sphrase ID	name	* noms français	ia	da	p	pia	pda	description
ABPPM19	Metabolism Training 19		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM20	Metabolism Training 20		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM21	Metabolism Training 21		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM22	Metabolism Training 22		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM23	Metabolism Training 23		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM24	Metabolism Training 24		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM25	Metabolism Training 25		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM26	Metabolism Training 26		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM27	Metabolism Training 27		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM28	Metabolism Training 28		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM29	Metabolism Training 29		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM30	Metabolism Training 30		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM31	Metabolism Training 31		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM32	Metabolism Training 32		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM33	Metabolism Training 33		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM34	Metabolism Training 34		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM35	Metabolism Training 35		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM36	Metabolism Training 36		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM37	Metabolism Training 37		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM38	Metabolism Training 38		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM39	Metabolism Training 39		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM40	Metabolism Training 40		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM41	Metabolism Training 41		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM42	Metabolism Training 42		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM43	Metabolism Training 43		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM44	Metabolism Training 44		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM45	Metabolism Training 45		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM46	Metabolism Training 46		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM47	Metabolism Training 47		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM48	Metabolism Training 48		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM49	Metabolism Training 49		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM50	Metabolism Training 50		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPI01	Intelligence Training 1		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI02	Intelligence Training 2		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI03	Intelligence Training 3		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI04	Intelligence Training 4		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI05	Intelligence Training 5		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI06	Intelligence Training 6		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI07	Intelligence Training 7		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI08	Intelligence Training 8		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI09	Intelligence Training 9		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI10	Intelligence Training 10		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI11	Intelligence Training 11		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI12	Intelligence Training 12		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI13	Intelligence Training 13		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI14	Intelligence Training 14		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI15	Intelligence Training 15		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI16	Intelligence Training 16		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI17	Intelligence Training 17		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI18	Intelligence Training 18		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI19	Intelligence Training 19		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI20	Intelligence Training 20		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI21	Intelligence Training 21		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI22	Intelligence Training 22		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI23	Intelligence Training 23		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI24	Intelligence Training 24		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI25	Intelligence Training 25		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI26	Intelligence Training 26		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI27	Intelligence Training 27		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI28	Intelligence Training 28		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI29	Intelligence Training 29		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI30	Intelligence Training 30		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI31	Intelligence Training 31		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI32	Intelligence Training 32		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI33	Intelligence Training 33		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI34	Intelligence Training 34		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI35	Intelligence Training 35		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI36	Intelligence Training 36		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI37	Intelligence Training 37		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI38	Intelligence Training 38		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI39	Intelligence Training 39		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI40	Intelligence Training 40		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI41	Intelligence Training 41		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI42	Intelligence Training 42		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI43	Intelligence Training 43		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI44	Intelligence Training 44		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI45	Intelligence Training 45		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI46	Intelligence Training 46		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI47	Intelligence Training 47		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI48	Intelligence Training 48		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI49	Intelligence Training 49		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPI50	Intelligence Training 50		a	the				Accroit votre intelligence et votre réserve de sève.
ABPPW01	Wisdom Training 1		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW02	Wisdom Training 2		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW03	Wisdom Training 3		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW04	Wisdom Training 4		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW05	Wisdom Training 5		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW06	Wisdom Training 6		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW07	Wisdom Training 7		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW08	Wisdom Training 8		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW09	Wisdom Training 9		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW10	Wisdom Training 10		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW11	Wisdom Training 11		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW12	Wisdom Training 12		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW13	Wisdom Training 13		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW14	Wisdom Training 14		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW15	Wisdom Training 15		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW16	Wisdom Training 16		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW17	Wisdom Training 17		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW18	Wisdom Training 18		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW19	Wisdom Training 19		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW20	Wisdom Training 20		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW21	Wisdom Training 21		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW22	Wisdom Training 22		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW23	Wisdom Training 23		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW24	Wisdom Training 24		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW25	Wisdom Training 25		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW26	Wisdom Training 26		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW27	Wisdom Training 27		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW28	Wisdom Training 28		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW29	Wisdom Training 29		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW30	Wisdom Training 30		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW31	Wisdom Training 31		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW32	Wisdom Training 32		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW33	Wisdom Training 33		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW34	Wisdom Training 34		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW35	Wisdom Training 35		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW36	Wisdom Training 36		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW37	Wisdom Training 37		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW38	Wisdom Training 38		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW39	Wisdom Training 39		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
ABPPW40	Wisdom Training 40		a	the				Accroit votre sagesse et la vitesse de regénération de votre réserve de sève.
