sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2	*commentaires
BFCA17	Coût en Stamina 17		un	le	Coûts en Stamina 17	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 226 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA18	Coût en Stamina 18		un	le	Coûts en Stamina 18	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 250 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCB01	Hp cost 1		a	the			the	Consume $|HP HP - worth 10 credits.	Consume $|HP HP	
BFCB02	Hp cost 2		a	the			the	Consume $|HP HP - worth 20 credits.	Consume $|HP HP	
BFCB03	Hp cost 3		a	the			the	Consume $|HP HP - worth 35 credits.	Consume $|HP HP	
BFCB04	Hp cost 4		a	the			the	Consume $|HP HP - worth 50 credits.	Consume $|HP HP	
BFCB05	Hp cost 5		a	the			the	Consume $|HP HP - worth 75 credits.	Consume $|HP HP	
BFCB06	Hp cost 6		a	the			the	Consume $|HP HP - worth 100 credits.	Consume $|HP HP	
BFCB07	Hp cost 7		a	the			the	Consume $|HP HP - worth 125 credits.	Consume $|HP HP	
BFCB08	Hp cost 8		a	the			the	Consume $|HP HP - worth 150 credits.	Consume $|HP HP	
BFCB09	Hp cost 9		a	the			the	Consume $|HP HP - worth 175 credits.	Consume $|HP HP	
BFCB10	Hp cost 10		a	the			the	Consume $|HP HP - worth 200 credits.	Consume $|HP HP	
BFCC01	Opening after Dodge 1		a	the			the	This attack can only be used after a successful dodge - worth 10 credits.	Opening after dodge 1	
BFCC02	Opening after Dodge 2		a	the			the	This attack can only be used after a successful dodge - worth 20 credits.	Opening after dodge 2	
BFCC03	Opening after Dodge 3		a	the			the	This attack can only be used after a successful dodge - worth 35 credits.	Opening after dodge 3	
BFCC04	Opening after Dodge 4		a	the			the	This attack can only be used after a successful dodge - worth 50 credits.	Opening after dodge 4	
BFCC05	Opening after Dodge 5		a	the			the	This attack can only be used after a successful dodge - worth 75 credits.	Opening after dodge 5	
BFCC06	Opening after Dodge 6		a	the			the	This attack can only be used after a successful dodge - worth 100 credits.	Opening after dodge 6	
BFCC07	Opening after Dodge 7		a	the			the	This attack can only be used after a successful dodge - worth 125 credits.	Opening after dodge 7	
BFCC08	Opening after Dodge 8		a	the			the	This attack can only be used after a successful dodge - worth 150 credits.	Opening after dodge 8	
BFCC09	Opening after Dodge 9		a	the			the	This attack can only be used after a successful dodge - worth 180 credits.	Opening after dodge 9	
BFCC10	Opening after Dodge 10		a	the			the	This attack can only be used after a successful dodge - worth 215 credits.	Opening after dodge 10	
BFCC11	Opening after Dodge 11		a	the			the	This attack can only be used after a successful dodge - worth 250 credits.	Opening after dodge 11	
BFCD01	Opening after Parry 1		a	the			the	This attack can only be used after a successful parry - worth 10 credits.	Opening after parry 1	
BFCD02	Opening after Parry 2		a	the			the	This attack can only be used after a successful parry - worth 20 credits.	Opening after parry 2	
BFCD03	Opening after Parry 3		a	the			the	This attack can only be used after a successful parry - worth 35 credits.	Opening after parry 3	
BFCD04	Opening after Parry 4		a	the			the	This attack can only be used after a successful parry - worth 50 credits.	Opening after parry 4	
BFCD05	Opening after Parry 5		a	the			the	This attack can only be used after a successful parry - worth 75 credits.	Opening after parry 5	
BFCD06	Opening after Parry 6		a	the			the	This attack can only be used after a successful parry - worth 100 credits.	Opening after parry 6	
BFCD07	Opening after Parry 7		a	the			the	This attack can only be used after a successful parry - worth 125 credits.	Opening after parry 7	
BFCD08	Opening after Parry 8		a	the			the	This attack can only be used after a successful parry - worth 150 credits.	Opening after parry 8	
BFCD09	Opening after Parry 9		a	the			the	This attack can only be used after a successful parry - worth 180 credits.	Opening after parry 9	
BFCD10	Opening after Parry 10		a	the			the	This attack can only be used after a successful parry - worth 215 credits.	Opening after parry 10	
BFCD11	Opening after Parry 11		a	the			the	This attack can only be used after a successful parry - worth 250 credits.	Opening after parry 11	
BFCE01	Opening after Critical Hit 1		a	the			the	This attack can only be used after a critical hit - worth 10 credits.	Opening after critical hit 1	
BFCE02	Opening after Critical Hit 2		a	the			the	This attack can only be used after a critical hit - worth 20 credits.	Opening after critical hit 2	
BFCE03	Opening after Critical Hit 3		a	the			the	This attack can only be used after a critical hit - worth 35 credits.	Opening after critical hit 3	
BFCE04	Opening after Critical Hit 4		a	the			the	This attack can only be used after a critical hit - worth 50 credits.	Opening after critical hit 4	
BFCE05	Opening after Critical Hit 5		a	the			the	This attack can only be used after a critical hit - worth 75 credits.	Opening after critical hit 5	
BFCE06	Opening after Critical Hit 6		a	the			the	This attack can only be used after a critical hit - worth 100 credits.	Opening after critical hit 6	
BFCE07	Opening after Critical Hit 7		a	the			the	This attack can only be used after a critical hit - worth 125 credits.	Opening after critical hit 7	
BFCE08	Opening after Critical Hit 8		a	the			the	This attack can only be used after a critical hit - worth 150 credits.	Opening after critical hit 8	
BFCE09	Opening after Critical Hit 9		a	the			the	This attack can only be used after a critical hit - worth 180 credits.	Opening after critical hit 9	
BFCE10	Opening after Critical Hit 10		a	the			the	This attack can only be used after a critical hit - worth 215 credits.	Opening after critical hit 10	
BFCE11	Opening after Critical Hit 11		a	the			the	This attack can only be used after a critical hit - worth 250 credits.	Opening after critical hit 11	
BCPA01	Fyros melee weapons		a	the			the	Brick Craft Root Fyros Melee Weapons		
BCPA02	Fyros range weapons		a	the			the	Brick Craft Root Fyros Range Weapons		
BCPA03	Fyros ammo		a	the			the	Brick Craft Root Fyros Ammo		
BCPA04	Fyros armors		a	the			the	Brick Craft Root Fyros Armors		
BCPA05	Fyros shields		a	the			the	Brick Craft Root Fyros Shields		
BCPA06	Fyros jewels		a	the			the	Brick Craft Root Fyros Jewels		
BCPA07	Matis melee weapons		a	the			the	Brick Craft Root Matis Melee Weapons		
BCPA08	Matis range weapons		a	the			the	Brick Craft Root Matis Range Weapons		
BCPA09	Maits ammo		a	the			the	Brick Craft Root Maits Ammo		
BCPA10	Matis armors		a	the			the	Brick Craft Root Matis Armors		
BCPA11	Matis shields		a	the			the	Brick Craft Root Matis Shields		
BCPA12	Matis jewels		a	the			the	Brick Craft Root Matis Jewels		
BCPA13	Tryker melee weapons		a	the			the	Brick Craft Root Tryker Melee Weapons		
BCPA14	Tryker range weapons		a	the			the	Brick Craft Root Tryker Range Weapons		
BCPA15	Tryker ammo		a	the			the	Brick Craft Root Tryker Ammo		
BCPA16	Tryker armors		a	the			the	Brick Craft Root Tryker Armors		
BCPA17	Tryker shields		a	the			the	Brick Craft Root Tryker Shields		
BCPA18	Tryker jewels		a	the			the	Brick Craft Root Tryker Jewels		
BCPA19	Zoraï melee weapons		a	the			the	Brick Craft Root Zorai Melee Weapons		
BCPA20	Zoraï range weapons		a	the			the	Brick Craft Root Zorai Range Weapons		
BCPA21	Zoraï ammo		a	the			the	Brick Craft Root Zorai Ammo		
BCPA22	Zoraï armors		a	the			the	Brick Craft Root Zorai Armors		
BCPA23	Zoraï shields		a	the			the	Brick Craft Root Zorai Shields		
BCPA24	Zoraï jewels		a	the			the	Brick Craft Root Zorai Jewels		
BIF01	Show the Weapon restriction		a	the						
BIF02	Show the Weapon restriction		a	the						
BIF03	Show the Weapon restriction		a	the						
BIF04	Show the Weapon restriction		a	the						
BIF05	Show the Weapon restriction		a	the						
BIF06	Show the Weapon restriction		a	the						
BIF07	%comp with One Handed Mace		a	the						
BIF08	Show the Weapon restriction		a	the						
BIF09	%comp with Staff		a	the						
BIF10	Show the Weapon restriction		a	the						
BIF11	Show the Weapon restriction		a	the						
BIF12	Show the Weapon restriction		a	the						
BIF13	Show the Weapon restriction		a	the						
BIF14	%comp with Spear		a	the						
BIF15	Show the Weapon restriction		a	the						
BIF16	Show the Weapon restriction		a	the						
BIF17	Show the Weapon restriction		a	the						
BIF18	%comp with One Handed Axe		a	the						
BIF19	Show the Weapon restriction		a	the						
BIF20	%comp with One Handed Sword		a	the						
BIF21	Show the Weapon restriction		a	the						
BIF22	Show the Weapon restriction		a	the						
BIF23	Show the Weapon restriction		a	the						
BIF24	Show the Weapon restriction		a	the						
BIF25	Show the Weapon restriction		a	the						
BIF26	%comp with Two Handed Mace		a	the						
BIF27	Show the Weapon restriction		a	the						
BIF28	Show the Weapon restriction		a	the						
BIF29	Show the Weapon restriction		a	the						
BIF30	%comp with Pike		a	the						
BIF31	Show the Weapon restriction		a	the						
BIF32	Show the Weapon restriction		a	the						
BIF33	Show the Weapon restriction		a	the						
BIF34	%comp with Two Handed Axe		a	the						
BIF35	Show the Weapon restriction		a	the						
BIF36	Show the Weapon restriction		a	the						
BIF37	Show the Weapon restriction		a	the						
BIF38	%comp with Two Handed Sword		a	the						
BIF39	Show the Weapon restriction		a	the						
BIF40	Show the Weapon restriction		a	the						
BIF41	Show the Weapon restriction		a	the						
BIF42	Show the Weapon restriction		a	the						
BIF43	Show the Weapon restriction		a	the						
BIF44	%comp with Dagger		a	the						
BIF45	Show the Weapon restriction		a	the						
BIF46	Show the Weapon restriction		a	the						
BIF47	%comp with Hand to Hand combat		a	the						
BIF48	Show the Weapon restriction		a	the						
BIF49	Show the Weapon restriction		a	the						
BIF50	Show the Weapon restriction		a	the						
BIF51	Show the Weapon restriction		a	the						
BIF52	%comp with Bowpistol		a	the						
BIF53	Show the Weapon restriction		a	the						
BIF54	Show the Weapon restriction		a	the						
BIF55	Show the Weapon restriction		a	the						
BIF56	%comp with Pistol		a	the						
BIF57	Show the Weapon restriction		a	the						
BIF58	Show the Weapon restriction		a	the						
BIF59	Show the Weapon restriction		a	the						
BIF60	Show the Weapon restriction		a	the						
BIF61	%comp with Autolauncher		a	the						
BIF62	Show the Weapon restriction		a	the						
BIF63	Show the Weapon restriction		a	the						
BIF64	%comp with Bowrifle		a	the						
BIF65	Show the Weapon restriction		a	the						
BIF66	Show the Weapon restriction		a	the						
BIF67	Show the Weapon restriction		a	the						
BIF68	%comp with Launcher		a	the						
BIF69	Show the Weapon restriction		a	the						
BIF70	Show the Weapon restriction		a	the						
BIF71	%comp with Rifle		a	the						
BIF72	Show the Weapon restriction		a	the						
BIF73	Show the Weapon restriction		a	the						
BIF74	Show the Weapon restriction		a	the						
BIF75	Show the Weapon restriction		a	the						
BIF76	Show the Weapon restriction		a	the						
BIF77	Show the Weapon restriction		a	the						
BIF78	Show the Weapon restriction		a	the						
BIF79	Show the Weapon restriction		a	the						
BIF80	Show the Weapon restriction		a	the						
BIF81	Show the Weapon restriction		a	the						
BIF82	Show the Weapon restriction		a	the						
BIF83	Show the Weapon restriction		a	the						
BIF84	Show the Weapon restriction		a	the						
BIF85	Show the Weapon restriction		a	the						
BIF86	Show the Weapon restriction		a	the						
BIF87	Show the Weapon restriction		a	the						
BIF88	Show the Weapon restriction		a	the						
BIF89	Show the Weapon restriction		a	the						
BIF90	Show the Weapon restriction		a	the						
BIF91	Show the Weapon restriction		a	the						
BIF92	Show the Weapon restriction		a	the						
BIF93	Show the Weapon restriction		a	the						
BIF94	Show the Weapon restriction		a	the						
BIF95	Show the Weapon restriction		a	the						
BIF96	Show the Weapon restriction		a	the						
BIF97	Show the Weapon restriction		a	the						
BIF98	Show the Weapon restriction		a	the						
BIF99	Show the Weapon restriction		a	the						
BIF100	Show the Weapon restriction		a	the						
BIF101	Show the Weapon restriction		a	the						
BIF102	Show the Weapon restriction		a	the						
BIF103	Show the Weapon restriction		a	the						
BIF104	Show the Weapon restriction		a	the						
BIF105	Show the Weapon restriction		a	the						
BIF106	Show the Weapon restriction		a	the						
BIF107	Show the Weapon restriction		a	the						
BIF108	Show the Weapon restriction		a	the						
BIF109	Show the Weapon restriction		a	the						
BIF110	Show the Weapon restriction		a	the						
BIF111	Show the Weapon restriction		a	the						
BIF112	Show the Weapon restriction		a	the						
BIF113	Show the Weapon restriction		a	the						
BIF114	Show the Weapon restriction		a	the						
BIF115	Show the Weapon restriction		a	the						
BIF116	Show the Weapon restriction		a	the						
BIF117	Show the Weapon restriction		a	the						
BIF118	Show the Weapon restriction		a	the						
BIF119	Show the Weapon restriction		a	the						
BIF120	Show the Weapon restriction		a	the						
BIF121	Show the Weapon restriction		a	the						
melee_reduce_latency_1	Reduce Latency 1		a	the			the	Put here the Brick Description		
bcfpea13	Fyros Bowpistol Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros pistolarc ammo blunt		
bcfpea14	Fyros Bowpistol Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros pistolarc ammo piercing		
bcfpea15	Fyros Bowpistol Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros pistolarc ammo slashing		
bcfpea07	Fyros Grenade Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros grenade ammo blunt		
bcfpea08	Fyros Grenade Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros grenade ammo piercing		
bcfpea09	Fyros Grenade Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros grenade ammo slashing		
bcfpea16	Fyros Pistol Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros pistol ammo blunt		
bcfpea17	Fyros Pistol Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros pistol ammo piercing		
bcfpea18	Fyros Pistol Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros pistol ammo slashing		
bcfpea01	Fyros Autolauncher Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros autolaunch ammo blunt		
bcfpea02	Fyros Autolauncher Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros autolaunch ammo piercing		
bcfpea03	Fyros Autolauncher Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros autolaunch ammo slashing		
bcfpea04	Fyros Bowrifle Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros bowgun ammo blunt		
bcfpea05	Fyros Bowrifle Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros bowgun ammo piercing		
bcfpea06	Fyros Bowrifle Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros bowgun ammo slashing		
bcfpea10	Fyros Launcher Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros launcher ammo blunt		
bcfpea11	Fyros Launcher Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros launcher ammo piercing		
bcfpea12	Fyros Launcher Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros launcher ammo slashing		
bcfpea19	Fyros Rifle Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros rifle ammo blunt		
bcfpea20	Fyros Rifle Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros rifle ammo piercing		
bcfpea21	Fyros Rifle Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for fyros rifle ammo slashing		
bcmpea13	Matis Bowpistol Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for matis pistolarc ammo blunt		
bcmpea14	Matis Bowpistol Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis pistolarc ammo piercing		
bcmpea15	Matis Bowpistol Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis pistolarc ammo slashing		
bcmpea07	Matis Grenade Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for matis grenade ammo blunt		
bcmpea08	Matis Grenade Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis grenade ammo piercing		
bcmpea09	Matis Grenade Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis grenade ammo slashing		
bcmpea16	Matis Pistol Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for matis pistol ammo blunt		
bcmpea17	Matis Pistol Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis pistol ammo piercing		
bcmpea18	Matis Pistol Slashing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis pistol ammo slashing		
bcmpea01	Matis Autolauncher Blunting Ammo Craft Pattern		a	the				Brick Craftman's plan for matis autolaunch ammo blunt		
bcmpea02	Matis Autolauncher Piercing Ammo Craft Pattern		a	the				Brick Craftman's plan for matis autolaunch ammo piercing		
