*HASH_VALUE	race ID	name	ia	da	p	pia	pda
_6A75F4806EFA64A9	Lightbird	Izam	un	el	Izams	los	
_6B18A47CA78864B4	Mektoub	Mektoub	un	el	Mektoubs	los	
_A87A0070E91A20A1	Phytopsy	Psykopla	una	la	Psykoplas		las
_2BD83C686EBB78A1	Pucetron	Kipee	un	el	Kipees	los	
_2BFA0C9566B710A4	Regus	Ragus	un	el	Ragus		los
_A28AF86F9CA484CB	Ryzerb	Najab	un	el	Najabs		los
_E648F0812DAACC99	Ryzoholo	Timari	un	el	Timaris	los	
_B027688DF0E9E0B5	Ryzoholok	Vorax	un	el	Vorax	los	
_DD9A98FDE6A9B4AB	SapEnslaver	Slaveni	un	el	Slavenislos		
_ABDE4DD566A924AB	SpittingWeeds	Cratcha	un	el	Cratchaslos		
_662AE099E1986CAE	Swarmplants	Shooki	un	el	Shookis	los	
_AD98A88EAAEA94AF	Vampignon	Yelk	un	el	Yelks	los	
_6E4A088360B94CA6	Varinx	Varinx	un	el	Varinx		los
_EAB8B4862D886C6C	Yber	Yber	un	el	Ybers		los
_658AD094682B948D	Zerx	Zerx	un	el	Zerx		los
_2D3828AC5F265890	race_c1	Javing	un	el	Javings		los
_EBF8B8C11E15F09D	race_c2	Cuttler	un	el	Cuttlers	los	
_649ADC991AD39BAA	race_c3	Ocyx	un	el	Ocyxes		los
_E93AECC05FF65096	race_c4	Jugula	un	el	Jugulas		los
_68C778AE1F65A889	race_c5	Kidinak	un	el	Kidinaks	los	
_29A93CAC6176389C	race_h1	Raspal	un	el	Raspals		los
_2AB80CAC5DE63883	race_h2	Bawaab	un	el	Bawaabs		los
_6BBAE4BD5EC6749F	race_h3	Frippo	un	el	Frippos		los
_6B2828B061077096	race_h4	Rendor	un	el	Rendors		los
_A538C48C91A6BC8B	race_h5	Gnoof	un	el	Gnoofs		los
_A878E0BA5D963C98	race_h6	Bolobi	un	el	Bolobis		los
_A5D8F8B3A1963894	race_h7	Shalah	un	el	Shalahs		los
_A209A0C46156BCB1	race_h8	Ploderos	un	el	Ploderoses		los
_A8A838BAA2C6388B	race_h9	Wombaï	un	el	Wombaïs		los
_2109609496264C93	race_h10	Madakam	un	el	Madakamslos		
_2CB6848F1C656C82	race_h11	Arana	una	la	Aranas	las	
_6756C0945C4550A1	race_h12	Gubani	un	el	Gubanis	los	
_E5B890C2A4E598AF	race_c6	Tyrancha	una	la	Tyranchas		las
_2629B4959676A893	race_c7	Yetin	un	el	Yetins		los
_01A8F8B90018E492	gooArma	Arma Goo	un	el	Armas Goo		las
_9E846FA06CAA4C7E	gooBalduse	Baldusa Goo	una	la	Baldusas Goo		las
_8A7824AB6140B89A	gooBul	Bodoc Goo	un	el	Bodocs Goo		las
_DE947FA3AF0C9483	gooCapryni	Capryni Goo	un	el	Caprynis Goo		los
_9C49D4A995B9544D	gooCephaloplant	Jubla Goo	un	el	Jublas Goo		los
_9C94DC8FD548B4B9	gooChonari	Gingo Goo	un	el	Gingos Goo		los
_9075A0A02799D4BC	gooClapclap	Prakker Goo	un	el	Prakkers Goo		los
_4CE5A0A0E90914B9	gooCococlaw	Clopper Goo	un	el	Cloppers Gloo		los
_0ED6C4C45682E09F	gooCute	Cute Goo 	un	el	Cutes Goo		los
_9894E48A2EB7885F	gooDag	Yubo Goo	un	el	Yubos Goo		los
_98F2C8956EF850B9	gooDiranak	Horncher Goo	un	el	Hornchers Goo		los
_1D0804A366573C5A	gooElectroalgs	Stinga Goo	una	la	Stingas Goo		las
_18D8646167EA3C8A	gooEstrasson	Cray Goo	un	el	Crays Goo		los
_A5D92892A0E2889B	gooFilin	Messab Goo	un	los	Messabs Goo		los
_DD77508FD5194CAF	gooFrahar	Frahar Goo	un	el	Frahars Goo		los
_1BF65486932938A1	gooGibbai	Gibbaï Goo	un	el	Gibbaïs Goo		los
_D0F8384FEDB97092	gooHachtaha	Goari Goo	un	el	Goaris Goo		los
_DA2760536988CCBD	gooJungler	Torbak Goo	un	el	Torbaks Goo		los
_E5F87C916783F0A2	gooKakty	Lumper Goo	un	el	Lumpers Goo		los
_9CC94C6C6996FB8A	gooKalab	Kalab Goo	un	el	Kalabs Goo		los
_0B96B8A95342D484	gooKami	Kami Goo	un	el	Kamis Goo		los
_1D365CB79E64CCC1	gooKazoar	Igara Goo	una	la	Igaras Goo		las
_D9967C5A27C830AD	gooKitifly	Kizoar Goo	un	el	Kizoars Goo		los
_5A1693A6E74BB48C	gooKitihank	Kinrey Goo	un	el	Kinreys Goo		los
_8D18ACAE24E7F06A	gooKitiharak	Kizarak Goo	un	el	Kizaraks Goo		los
_E2148B966B5B9093	gooKitikil	Kipesta Goo	una	la	Kipestas Goo		las
_2118E88CA318D852	gooKitimandib	Kincher Goo	un	el	Kinchers Goo		los
_A0CB8C6C6E961BAA	gooKitin	Kitin Goo	un	el	Kitins Goo		los
_4E78A89FAA47F06A	gooKitinagan	Kipucka Goo	una	la	Kipuckas Goo		las
_508474A8B13884B0	gooKitinega	Kirosta Goo	una	la	Kirostas Goo		las
_63A787A9674AA06E	gooKitinokto	Kiban Goo	un	el	Kibans Goo		los
_E2091C4EAC59E45F	gooLightbird	Izam Goo	un	el	Izams Goo		los
_623463A36F3A988C	gooMektoub	Mektoub Goo	un	el	Mektoubs Goo		los
_09F9DCBB28F84491	gooPhytopsy	Psykopla Goo	una	la	Psykoplas Goo		las
_D5C85460EC88ACB4	gooPucetron	Kipee Goo	un	el	Kipees Goo		los
_68295C7A6BD703B0	gooRegus	Ragus Goo	un	el	Raguss Goo		los
_E9B9FCA7DBF4D0A7	gooRyzerb	Najab Goo	un	el	 Najabs Goo		los
_5F568BA4ABFA08A3	gooRyzoholo	Timari Goo	un	el	Timaris Goo		los
_24568BB3670B1090	gooRyzoholok	Vorax Goo	un	el	Voraxes Goo		los
_26A9CCAA6CF3A794	gooSapEnslaver	Slaveni Goo	un	el	Slavenis Goo		los
_1E78FC5ADAF97CAC	gooSpittingWeeds	Cratcha Goo	un	el	Cratchas Goo	los	
_2248FCA724482C72	gooSwarmplants	Shooki Goo	un	el	Shookis Goo		los
_A0D85055E75AD07C	gooVampignon	Yelk Goo	un	el	Yelks Goo		los
_E16790959A59C8B0	gooVarinx	Varinx Goo	un	el	Varinxes Goo		los
_CF08BCA217B4D87D	gooYber	Yber Goo	un	el	Ybers Goo		los
_D07808B21824248D	gooZerx	 Zerx Goo	un	el	Zerxes Goo		los
_13299C8E12444055	gooc1	Javing Goo	un	el	Javings Goo		los
_EA294C6E6C99982D	gooc2	Cuttler Goo	un	el	Cuttlers Goo		los
_5F62BBBD6D874B74	gooc3	Ocyx Goo	un	el	Ocyxes Goo		los
_16D8E49A0F852856	gooc4	Jugula Goo	un	el	Jugulas Goo		los
_24287466A698C025	gooc5	Kidinak Goo	un	el	Kidinaks Goo		los
_1749689D51947448	gooh1	Raspal Goo	un 	el	Raspals Goo		los
_53E9687E92940C49	gooh2	Bawaab Goo	un	el	Bawaabs Goo		los
_17D8E8914FA55059	gooh3	Frippo Goo	un	el	Frippos Goo		los
_1459B091D1D48C59	gooh4	Rendor Goo	un	el	Rendors Goo		los
_5F64A8ACA4459833	gooh5	Gnoof Goo	un	el	Gnoofs Goo		los
_D6A8A48CD174284E	gooh6	Bolobi Goo	un	el	Bolobis Goo		los
_16E8849A4E04684E	gooh7	Shalah Goo	un	el	Shalahs Goo		los
_2A69B7A22D86EF7F	gooh8	Ploderos Goo	un	el	Ploderoses Goo		los
_93B8A094D2747C50	gooh9	Wombai Goo	un	el	Wombais Goo		los
_DFF68BA2E8546E64	gooh10	Madakam Goo	un	el	Madakams Goo		los
_17A60B671616F740	gooh11	Arana Goo	una	la	Aranas Goo		las
_2AD6DB5BAC46271A	gooh12	Gubani Goo	un	el	Gubanis Goo		los
