*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2
_87DF27B3356CEAF5	BFMC03	Attaque Précise 3		une	l'\d	Attaques Précises 3	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 50.	Attaque Précise 3 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_872F2BB3357CEEF6	BFMC04	Attaque Précise 4		une	l'\d	Attaques Précises 4	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 65.	Attaque Précise 4 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_87DF37B3358CF2F7	BFMC05	Attaque Précise 5		une	l'\d	Attaques Précises 5	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 90.	Attaque Précise 5 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_2548612479F664B1	BFMC06	Attaque Précise 6		une	l'\d	Attaques Précises 6	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 115.	Attaque Précise 6 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_B2EEF8758A898CB2	BFMC07	Attaque Précise 7		une	l'\d	Attaques Précises 7	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 140.	Attaque Précise 7 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_B21EF8758A9994B2	BFMC08	Attaque Précise 8		une	l'\d	Attaques Précises 8	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 170.	Attaque Précise 8 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_B2AEFC758AA99CB2	BFMC09	Attaque Précise 9		une	l'\d	Attaques Précises 9	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 200.	Attaque Précise 9 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_9DE7FA8D8536BEE5	BFMC10	Attaque Précise 10		une	l'\d	Attaques Précises 10	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 235.	Attaque Précise 10 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_9EE7FA8D0536C2E5	BFMC11	Attaque Précise 11		une	l'\d	Attaques Précises 11	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 275.	Attaque Précise 11 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_820A6C42D5B6F83F	BFMD01	Hémorragie 1		une	l'\d	Hémorragies 1	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 25.	Hémorragie 1 - Facteur Max. : $2BLEED_FACTOR
_820A704215B6003F	BFMD02	Hémorragie 2		une	l'\d	Hémorragies 2	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 35.	Hémorragie 2 - Facteur Max. : $2BLEED_FACTOR
_82BA784255B6083F	BFMD03	Hémorragie 3		une	l'\d	Hémorragies 3	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 50.	Hémorragie 3 - Facteur Max. : $2BLEED_FACTOR
_820A7C4296B6103F	BFMD04	Hémorragie 4		une	l'\d	Hémorragies 4	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 65.	Hémorragie 4 - Facteur Max. : $2BLEED_FACTOR
_82BA8842D6B6183F	BFMD05	Hémorragie 5		une	l'\d	Hémorragies 5	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 90.	Hémorragie 5 - Facteur Max. : $2BLEED_FACTOR
_13C8472D11280303	BFMD06	Hémorragie 6		une	l'\d	Hémorragies 6	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 115.	Hémorragie 6 - Facteur Max. : $2BLEED_FACTOR
_D2F8472D51380703	BFMD07	Hémorragie 7		une	l'\d	Hémorragies 7	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 140.	Hémorragie 7 - Facteur Max. : $2BLEED_FACTOR
_1318472D92480B03	BFMD08	Hémorragie 8		une	l'\d	Hémorragies 8	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 165.	Hémorragie 8 - Facteur Max. : $2BLEED_FACTOR
_D2B84B2DD2580F03	BFMD09	Hémorragie 9		une	l'\d	Hémorragies 9	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 200.	Hémorragie 9 - Facteur Max. : $2BLEED_FACTOR
_ED5A77B875A2E253	BFMD10	Hémorragie 10		une	l'\d	Hémorragies 10	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 235.	Hémorragie 10 - Facteur Max. : $2BLEED_FACTOR
_EE5A77BA75A2E653	BFMD11	Hémorragie 11		une	l'\d	Hémorragies 11	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 275.	Hémorragie 11 - Facteur Max. : $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Coût en Endurance 1		un	le	Coûts en Endurance 1	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 6 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA1191CCDA	BFCA02	Coût en Endurance 2		un	le	Coûts en Endurance 2	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 10 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA1101D0DB	BFCA03	Coût en Endurance 3		un	le	Coûts en Endurance 3	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 16 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA11B1D8DC	BFCA04	Coût en Endurance 4		un	le	Coûts en Endurance 4	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 20 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA1121DCDD	BFCA05	Coût en Endurance 5		un	le	Coûts en Endurance 5	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 26 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA11D1E4DE	BFCA06	Coût en Endurance 6		un	le	Coûts en Endurance 6	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 30 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA11E1ECDF	BFCA07	Coût en Endurance 7		un	le	Coûts en Endurance 7	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 40 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA11F1F4E0	BFCA08	Coût en Endurance 8		un	le	Coûts en Endurance 8	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 50 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_8E9224BA1161FCE1	BFCA09	Coût en Endurance 9		un	le	Coûts en Endurance 9	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 66 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_736A4DC80A3C7E15	BFCA10	Coût en Endurance 10		un	le	Coûts en Endurance 10	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 80 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200C383325EE8	BFCA11	Coût en Endurance 11		un	le	Coûts en Endurance 11	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 100 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200C5C34262E8	BFCA12	Coût en Endurance 12		un	le	Coûts en Endurance 12	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 120 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200C7035266E8	BFCA13	Coût en Endurance 13		un	le	Coûts en Endurance 13	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 140 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200C944626AE8	BFCA14	Coût en Endurance 14		un	le	Coûts en Endurance 14	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 160 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200CB84726EE8	BFCA15	Coût en Endurance 15		un	le	Coûts en Endurance 15	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 180 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200C3048272E8	BFCA16	Coût en Endurance 16		un	le	Coûts en Endurance 16	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 200 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613218C5449276E8	BFCA17	Coût en Endurance 17		un	le	Coûts en Endurance 17	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 226 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_613200C885A27AE8	BFCA18	Coût en Endurance 18		un	le	Coûts en Endurance 18	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Endurance - valeur 250 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR
_083E583067C3077C	BFCB01	Coût en Vie 1		un	le	Coûts en Vie 1	des	les	Consomme $|HP Points de Vie - valeur 10 crédits.	Consomme $|HP Points de Vie
_083E5830A7D30B7C	BFCB02	Coût en Vie 2		un	le	Coûts en Vie 2	des	les	Consomme $|HP Points de Vie - valeur 20 crédits.	Consomme $|HP Points de Vie
_083E5835E7E30F7C	BFCB03	Coût en Vie 3		un	le	Coûts en Vie 3	des	les	Consomme $|HP Points de Vie - valeur 35 crédits.	Consomme $|HP Points de Vie
_083E583068F3137C	BFCB04	Coût en Vie 4		un	le	Coûts en Vie 4	des	les	Consomme $|HP Points de Vie - valeur 50 crédits.	Consomme $|HP Points de Vie
_083E5835E803177C	BFCB05	Coût en Vie 5		un	le	Coûts en Vie 5	des	les	Consomme $|HP Points de Vie - valeur 75 crédits.	Consomme $|HP Points de Vie
_38F25511B222DB32	BFCB06	Coût en Vie 6		un	le	Coûts en Vie 6	des	les	Consomme $|HP Points de Vie - valeur 100 crédits.	Consomme $|HP Points de Vie
_38F26913B232DF32	BFCB07	Coût en Vie 7		un	le	Coûts en Vie 7	des	les	Consomme $|HP Points de Vie - valeur 125 crédits.	Consomme $|HP Points de Vie
_38F25516B242E332	BFCB08	Coût en Vie 8		un	le	Coûts en Vie 8	des	les	Consomme $|HP Points de Vie - valeur 150 crédits.	Consomme $|HP Points de Vie
_38F26918B252E732	BFCB09	Coût en Vie 9		un	le	Coûts en Vie 9	des	les	Consomme $|HP Points de Vie - valeur 175 crédits.	Consomme $|HP Points de Vie
_94F667E30FB27EDE	BFCB10	Coût en Vie 10		un	le	Coûts en Vie 10	des	les	Consomme $|HP Points de Vie - valeur 200 crédits.	Consomme $|HP Points de Vie
_0D1C4816003FD121	BFCC01	Ouverture après Esquive 1		une	l'\d	Ouvertures après Esquive 1	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 10 crédits.	Ouverture après Esquive 1
_0D2C4C17003FD521	BFCC02	Ouverture après Esquive 2		une	l'\d	Ouvertures après Esquive 2	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 20 crédits.	Ouverture après Esquive 2
_0D8C5018003FD921	BFCC03	Ouverture après Esquive 3		une	l'\d	Ouvertures après Esquive 3	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 35 crédits.	Ouverture après Esquive 3
_0D4C5819003FDD21	BFCC04	Ouverture après Esquive 4		une	l'\d	Ouvertures après Esquive 4	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 50 crédits.	Ouverture après Esquive 4
_0DAC601A003FE121	BFCC05	Ouverture après Esquive 5		une	l'\d	Ouvertures après Esquive 5	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 75 crédits.	Ouverture après Esquive 5
_71A829F813000587	BFCC06	Ouverture après Esquive 6		une	l'\d	Ouvertures après Esquive 6	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 100 crédits.	Ouverture après Esquive 6
_B2D82DF813000987	BFCC07	Ouverture après Esquive 7		une	l'\d	Ouvertures après Esquive 7	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 125 crédits.	Ouverture après Esquive 7
_711831F813000D87	BFCC08	Ouverture après Esquive 8		une	l'\d	Ouvertures après Esquive 8	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 150 crédits.	Ouverture après Esquive 8
_715835F813001187	BFCC09	Ouverture après Esquive 9		une	l'\d	Ouvertures après Esquive 9	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 180 crédits.	Ouverture après Esquive 9
_22EBD19E572BB7EC	BFCC10	Ouverture après Esquive 10		une	l'\d	Ouvertures après Esquive 10	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 215 crédits.	Ouverture après Esquive 10
_A3EBD19E572BBBE7	BFCC11	Ouverture après Esquive 11		une	l'\d	Ouvertures après Esquive 11	des	les	Cette attaque peut être utilisée uniquement après une esquive réussie - valeur 250 crédits.	Ouverture après Esquive 11
_CEDD482AC812FD2D	BFCD01	Ouverture après Parade 1		une	l'\d	Ouvertures après Parade 1	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 10 crédits. 	Ouverture après Parade 1
_CEED4C2BC812012D	BFCD02	Ouverture après Parade 2		une	l'\d	Ouvertures après Parade 2	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 20 crédits.	Ouverture après Parade 2
_CE4D502CC812052D	BFCD03	Ouverture après Parade 3		une	l'\d	Ouvertures après Parade 3	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 35 crédits.	Ouverture après Parade 3
_CE0D582DC812092D	BFCD04	Ouverture après Parade 4		une	l'\d	Ouvertures après Parade 4	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 50 crédits.	Ouverture après Parade 4
_CE6D602EC8120D2D	BFCD05	Ouverture après Parade 5		une	l'\d	Ouvertures après Parade 5	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 75 crédits.	Ouverture après Parade 5
_B8A8290CE0433D77	BFCD06	Ouverture après Parade 6		une	l'\d	Ouvertures après Parade 6	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 100 crédits.	Ouverture après Parade 6
_F9D82D0CE0434177	BFCD07	Ouverture après Parade 7		une	l'\d	Ouvertures après Parade 7	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 125 crédits.	Ouverture après Parade 7
_B818310CE0434577	BFCD08	Ouverture après Parade 8		une	l'\d	Ouvertures après Parade 8	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 150 crédits.	Ouverture après Parade 8
_B858350CE0434977	BFCD09	Ouverture après Parade 9		une	l'\d	Ouvertures après Parade 9	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 180 crédits.	Ouverture après Parade 9
_63EBD1DAA0CE0F10	BFCD10	Ouverture après Parade 10		une	l'\d	Ouvertures après Parade 10	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 215 crédits.	Ouverture après Parade 10
_E4EBD1DAA0CE130B	BFCD11	Ouverture après Parade 11		une	l'\d	Ouvertures après Parade 11	des	les	Cette attaque peut être utilisée uniquement après une parade réussie - valeur 250 crédits.	Ouverture après Parade 11
_C1FA2A351E9A5362	BFCE01	Ouverture après Coup Critique 1 		une	l'\d	Ouvertures après Coup Critique 1 	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 10 crédits. 	Ouverture après Coup Critique 1
_C10A2E351E9A5763	BFCE02	Ouverture après Coup Critique 2		une	l'\d	Ouvertures après Coup Critique 2	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 20 crédits. 	Ouverture après Coup Critique 2
_C11A32351E9A6F64	BFCE03	Ouverture après Coup Critique 3		une	l'\d	Ouvertures après Coup Critique 3	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 35 crédits. 	Ouverture après Coup Critique 3
_C12A36351E9A5F66	BFCE04	Ouverture après Coup Critique 4		une	l'\d	Ouvertures après Coup Critique 4	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 50 crédits. 	Ouverture après Coup Critique 4
_C13A3A351E9A7768	BFCE05	Ouverture après Coup Critique 5		une	l'\d	Ouvertures après Coup Critique 5	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 75 crédits. 	Ouverture après Coup Critique 5
_8BBAE3EAB8EFAB99	BFCE06	Ouverture après Coup Critique 6		une	l'\d	Ouvertures après Coup Critique 6	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 100 crédits. 	Ouverture après Coup Critique 6
_CBBAE7EAB83FB799	BFCE07	Ouverture après Coup Critique 7		une	l'\d	Ouvertures après Coup Critique 7	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 125 crédits. 	Ouverture après Coup Critique 7
_0CBAEBEAB8EFC799	BFCE08	Ouverture après Coup Critique 8		une	l'\d	Ouvertures après Coup Critique 8	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 150 crédits. 	Ouverture après Coup Critique 8
_4CBAEFEAB8EFD799	BFCE09	Ouverture après Coup Critique 9		une	l'\d	Ouvertures après Coup Critique 9	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 180 crédits. 	Ouverture après Coup Critique 9
_EA87DDD71A0874FB	BFCE10	Ouverture après Coup Critique 10		une	l'\d	Ouvertures après Coup Critique 10	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 215 crédits. 	Ouverture après Coup Critique 10
_EA97DDD7D9487CFB	BFCE11	Ouverture après Coup Critique 11		une	l'\d	Ouvertures après Coup Critique 11	des	les	Cette attaque peut être utilisée uniquement après un coup critique - valeur 250 crédits. 	Ouverture après Coup Critique 11
_583A97FB8F996BD0	BCPA01	Armes de Mêlée Fyros		des	les	Armes de Mêlée Fyros	des	les	Brique de plan de base de création pour armes de mêlée fyros	
_583A97FB8FD94FDA	BCPA02	Armes de Tir Fyros		des	les	Armes de Tir Fyros	des	les	Brique de plan de base de création pour armes de tir fyros	
_388E8BE65D00235C	BCPA03	Munitions Fyros		des	les	Munitions Fyros	des	les	Brique de plan de base de création pour munitions fyros	
_A64E972F5DCD5DF6	BCPA04	Armures Fyros		des	les	Armures Fyros	des	les	Brique de plan de base de création pour armures fyros	
_7BC2A183B0928625	BCPA05	Boucliers Fyros		des	les	Boucliers Fyros	des	les	Brique de plan de base de création pour boucliers fyros 	
_A2B4A8B09128ABBD	BCPA06	Bijoux Fyros		des	les	Bijoux Fyros	des	les	Brique de plan de base de création pour bijoux fyros 	
_583A67FF837983D0	BCPA07	Armes de Mêlée Matis		des	les	Armes de Mêlée Matis	des	les	Brique de plan de base de création pour armes de mêlée matis	
_583A67FF83B967DA	BCPA08	Armes de Tir Matis		des	les	Armes de Tir Matis	des	les	Brique de plan de base de création pour armes de tir matis 	
_388E73E2D8EF575C	BCPA09	Munitions Matis		des	les	Munitions Matis	des	les	Brique de plan de base de création pour munitions matis	
_A64E673351AD4DF7	BCPA10	Armures Matis		des	les	Armures Matis	des	les	Brique de plan de base de création pour armures matis 	
_FAE2298CAA027626	BCPA11	Boucliers Matis		des	les	Boucliers Matis	des	les	Brique de plan de base de création pour boucliers matis	
_A254989A4D989BBE	BCPA12	Bijoux Matis		des	les	Bijoux Matis	des	les	Brique de plan de base de création pour bijoux matis 	
_90EBE68D888530C2	BCPA13	Armes de Mêlée Trykers		des	les	Armes de Mêlée Trykers	des	les	Brique de plan de base de création pour armes de mêlée trykers	
_90EBEE91079648C2	BCPA14	Armes de Tir Trykers		des	les	Armes de Tir Trykers	des	les	Brique de plan de base de création pour armes de tir trykers 	
_CE8C7737D98F5995	BCPA15	Munitions Trykers		des	les	Munitions Trykers	des	les	Brique de plan de base de création pour munitions trykers	
_B383BCBB1479F2E6	BCPA16	Armures Trykers		des	les	Armures Trykers	des	les	Brique de plan de base de création pour armures trykers 	
_07973111867943EB	BCPA17	Boucliers Trykers		des	les	Boucliers Trykers	des	les	Brique de plan de base de création pour boucliers trykers	
_10E1DD8DF2FE63E5	BCPA18	Bijoux Trykers		des	les	Bijoux Trykers	des	les	Brique de plan de base de création pour bijoux trykers 	
_58C827FB891B8BD1	BCPA19	Armes de Mêlée Zoraïs		des	les	Armes de Mêlée Zoraïs	des	les	Brique de plan de base de création pour armes de mêlée zoraïs	
_58C827FB895B47DC	BCPA20	Armes de Tir Zoraïs		des	les	Armes de Tir Zoraïs	des	les	Brique de plan de base de création pour armes de tir zoraïs 	
_385545D8DAA06B5E	BCPA21	Munitions Zoraïs		des	les	Munitions Zoraïs	des	les	Brique de plan de base de création pour munitions zoraïs	
_A6DC272F574F55F8	BCPA22	Armures Zoraïs		des	les	Armures Zoraïs	des	les	Brique de plan de base de création pour armures zoraïs 	
_F88941972DD37EA3	BCPA23	Boucliers Zoraïs		des	les	Boucliers Zoraïs	des	les	Brique de plan de base de création pour boucliers zoraïs	
_C19B70A61369A3BF	BCPA24	Bijoux Zoraïs		des	les	Bijoux Zoraïs	des	les	Brique de plan de base de création pour bijoux zoraïs 	
_F2BD00EFAB47BB2A	BIF01	Affichage de la Restriction de l'Arme		un	l'\d	Affichages de la Restriction de l'Arme	des	les		
_F2BD00EFAB47BB2B	BIF02	Affichage de la Restriction de l'Arme		un	l'\d	Affichages de la Restriction de l'Arme	des	les		
_F2BD00EFAB47BB2C	BIF03	Affichage de la Restriction de l'Arme		un	l'\d	Affichages de la Restriction de l'Arme	des	les		
_F2BD00EFAB47BB2D	BIF04	Affichage de la Restriction de l'Arme		un	l'\d	Affichages de la Restriction de l'Arme	des	les		
_F2BD00EFAB47BB2E	BIF05	Affichage de la Restriction de l'Arme		un	l'\d	Affichages de la Restriction de l'Arme	des	les		
