*HASH_VALUE	item ID	name	named	nameda	ia	da	p	pd	pia	pda	description	
_C4ED4DA60E405F1D	fv_seal1	Bergarbeiter-Siegel	Bergarbeiter-Siegel	Bergarbeiter-Siegel	ein	das	Bergarbeiter-Siegel	Bergarbeiter-Siegel	ein	die		
_A7688EB001F4C3B6	fy_cheveux_long01	langer Fyros-Haarschnitt	lange Fyros-Haarschnitt	langen Fyros-Haarschnitt	ein	der	lange Fyros-Haarschnitte	langen Fyros-Haarschnitte	einen	die		
_C9AE97CCA6393608	fy_cheveux_medium01	mittellanger Fyros-Haarschnitt	mittellange Fyros-Haarschnitt	mittellangen Fyros-Haarschnitt	ein	der	mittellange Fyros-Haarschnitte	mittellangen Fyros-Haarschnitte	einen	die		
_444DFF215179DB83	fy_cheveux_shave01	rasierter Fyros-Haarschnitt	rasierte Fyros-Haarschnitt	rasierten Fyros-Haarschnitt	ein	der	rasierte Fyros-Haarschnitte	rasierten Fyros-Haarschnitte	einen	die		
_2B15C615EDDA8EDA	fy_cheveux_short01	kurzer Fyros-Haarschnitt	kurze Fyros-Haarschnitt	kurzen Fyros-Haarschnitt	ein	der	kurze Fyros-Haarschnitte	kurzen Fyros-Haarschnitte	einen	die		
_877F6110998470D1	fy_visage	Fyros-Maske	Fyros-Maske	Fyros-Maske	eine	die	Fyros-Masken	Fyros-Masken	eine	die		
_B961ACE6A4CCEFFF	goo_swarmplants_fiber	Goo-Shooki-Faser	Goo-Shooki-Faser	Goo-Shooki-Faser	eine	die	Goo-Shooki-Fasern	Goo-Shooki-Fasern	eine	die		
_35683D7993C78D1E	goo_swarmplants_fruit	Stück einer Goo-Shooki-Frucht	Stück einer Goo-Shooki-Frucht	Stück einer Goo-Shooki-Frucht	eine	die	Stücke einer Goo-Shooki-Frucht	Stückchen einer Goo-Shooki-Frucht	eine	die		
_D983739BF7A2F020	goo_vampignon_fungus	Goo-Vampignon-Fungus	Goo-Vampignon-Fungus	Goo-Vampignon-Fungus	der	ein	Goo-Vampignon-Fungi	Goo-Vampignon-Fungi	ein	die		
_7CA21DC266832C54	goo_varinx_blood	Fläschchen Goo-Varinx-Blut	Fläschchen Goo-Varinx-Blut	Fläschchen-Goo-Varinx-Blut	ein	das	Fläschchen Goo-Varinx-Blut	Fläschchen Goo-Varinx-Blut	ein	die		
_DDE22C9F40DC38D2	goo_yber_sticky_glands	Goo-Yber-Klebdrüse	Goo-Yber-Klebdrüse	Goo-Yber-Klebdrüse	ein	die	Goo-Yber-Klebdrüsen	Goo-Yber-Klebdrüsen	eine	die		
_DFBEF850F4144EB3	green_liquid_vial	Nexuskristall	Nexuskristall	Nexuskristall	ein	der	Nexuskristalle	Nexuskristalle	einen	die		
_C7E4ABA61E218D66	green_medicine	grüne Medizin	grüne Medizin	grüne Medizin	eine	die	grüne Medizinen	grünen Medizinen	eine	die		
_C035657CDDA3C54C	guard_scroll	Wächterbrief	Wächterbrief	Wächterbrief	ein	der	Wächterbriefe	Wächterbriefe	einen	die		
_FE92D2ABBEF726B8	heavy_armors_acreditation	schwere-Rüstungs-Akkreditierung	schwere-Rüstungs Akkreditierung	schwere Rüstungs Akkreditierung	eine	die	schwere-Rüstungs-Akkreditierungen	schwere-Rüstungs-Akkreditierungen	eine	die		
_7BFC81067891490A	heavy_conch	schwere Muschelschale	schwere Muschelschale	schwere Muschelschale	eine	die	schwere Muschelschalen	schweren Muschelschalen	eine	die		
_8B31326A3B23E66B	heavy_package	schweres Paket	schwere Paket	schwere Paket	ein	das	schwere Pakete	schweren Pakete	ein	die		
_E938348C4558587C	iccm1bm	Streitkolben	Streitkolben	Streitkolben	ein	der	Streitkolben	Streitkolben	einen	die	Einhandwaffe in Basis-Qualität	
_E5F930951F9AC05E	iccm1bs	Stab	Stab	Stab	ein	der	Stäbe	Stäbe	einen	die	Einhandwaffe in Basis-Qualität	
_9E18DC15602A786B	iccm1pd	Dolch	Dolch	Dolch	ein	der	Dolche	Dolche	einen	die	Einhandwaffe in Basis-Qualität	
_2768FC7B5E9AF45A	iccm1ps	Lanze	Lanze	Lanze	eine	die	Lanzen	Lanzen	eine	die	Einhandwaffe (Speer) in Basis-Qualität	
_EBB95CBE16B7C77A	iccm1sa	Axt	Axt	Axt	eine	die	Äxte	Äxte	eine	die	Einhandwaffe in Basis-Qualität	
_EBCA74981F9AFC68	iccm1ss	Schwert	Schwert	Schwert	ein	das	Schwerter	Schwerter	ein	die	Einhandwaffe in Basis-Qualität	
_2F3E1221B70D1897	iccm2bm	Zweihand-Streitkolben	Zweihand-Streitkolben	Zweihand-Streitkolben	ein	der	Zweihand-Streitkolben	Zweihand-Streitkolben	einen	die	Nahkampfwaffe in Basis-Qualität	
_E93894A4C889907D	iccm2pp	Pike	Pike	Pike	eine	die	Piken	Piken	eine	die	Zweihandwaffe in Basis-Qualität	
_5ACE81FC868EE997	iccm2sa	Zweihand-Axt	Zweihand-Axt	Zweihand-Axt	eine	die	Zweihand-Äxte	Zweihand-Äxte	eine	die	Nahkampfwaffe in Basis-Qualität	
_0974C96A2EDF5D2C	iccm2ss	Zweihand-Schwert	Zweihand-Schwert	Zweihand-Schwert	ein	das	Zweihand-Schwerter	Zweihand-Schwerter	ein	die	Nahkampfwaffe in Basis-Qualität	
_73404E493DF80D8A	iccp1bb	zertrümmernde Bogenpistolen-Munition	zertrümmernde Bogenpistolen-Munition	zertrümmernde Bogenpistolen-Munition	eine	die	Schuss zertrümmernde Bogenpistolen-Munition	Schuss zertrümmernde Bogenpistolen-Munition	eine	die		
_74B03E48FCE9E986	iccp1bp	durchbohrende Bogenpistolen-Munition	durchbohrende Bogenpistolen-Munition	durchbohrende Bogenpistolen-Munition	eine	die	Schuss durchbohrende Bogenpistolen-Munition	Schuss durchbohrende Bogenpistolen-Munition	eine	die		
_73304E49FD09098A	iccp1bs	schneidende Bogenpistolen-Munition	schneidende Bogenpistolen-Munition	schneidende Bogenpistolen-Munition	eine	die	Schuss schneidende Bogenpistolen-Munition	Schuss schneidende Bogenpistolen-Munition	eine	die		
_0DAD62FD2122F9CF	iccp1gb	zertrümmernde Granate	zertrümmernde Granate	zertrümmernde Granate	eine	die	zertrümmernde Granaten	zertrümmernden Granaten	eine	die		
_4B1D52F36103F9C5	iccp1gp	durchbohrende Granate	durchbohrende Granate	durchbohrende Granate	eine	die	durchbohrende Granaten	durchbohrenden Granaten	eine	die		
_0DAD5AFC2133F9CF	iccp1gs	schneidende Granate	schneidende Granate	schneidende Granate	eine	die	chneidende Granaten	schneidenden Granaten	eine	die		
_B1485A2A8BD9FE48	iccp1pb	zertrümmernde Pistolen-Munition	zertrümmernde Pistolen-Munition	zertrümmernde Pistolen-Munition	eine	die	Schuss zertrümmernde Pistolen-Munition	Schuss zertrümmernde Pistolen-Munition	eine	die		
_B1A83E318A1AF248	iccp1pp	durchbohrende Pistolen-Munition	durchbohrende Pistolen-Munition	durchbohrende Pistolen-Munition	eine	die	Schuss durchbohrende Pistolen-Munition	Schuss durchbohrende Pistolen-Munition	eine	die		
_B1485A2A0BDAFE48	iccp1ps	schneidende Pistolen-Munition	schneidende Pistolen-Munition	schneidende Pistolen-Munition	eine	die	Schuss schneidende Pistolen-Munition	Schuss schneidende Pistolen-Munition	eine	die		
_C8858CA7C752A745	iccp2ab	zertrümmernde Automatikgewehr-Munition	zertrümmernde Automatikgewehr-Munition	zertrümmernde Automatikgewehr-Munition	eine	die	Schuss zertrümmernde Automatikgewehr-Munition	Schuss zertrümmernde Automatikgewehr-Munition	eine	die		
_C8C57C9F4563A739	iccp2ap	durchbohrende Automatikgewehr-Munition	durchbohrende Automatikgewehr-Munition	durchbohrende Automatikgewehr-Munition	eine	die	Schuss durchbohrende Automatikgewehr-Munition	Schuss durchbohrende Automatikgewehr-Munition	eine	die		
_C88588A7C763A344	iccp2as	schneidende Automatikgewehr-Munition	schneidende Automatikgewehr-Munition	schneidende Automatikgewehr-Munition	eine	die	Schuss schneidende Automatikgewehr-Munition	Schuss schneidende Automatikgewehr-Munition	eine	die		
_EC122DC0AB2E8ED4	iccp2bb	zertrümmernde Bogengewehr-Munition	zertrümmernde Bogengewehr-Munition	zertrümmernde Bogengewehr-Munition	eine	die	Schuss zertrümmernde Bogengewehr-Munition	Schuss zertrümmernde Bogengewehr-Munition	eine	die		
_EB221DBD69AF9ACF	iccp2bp	durchbohrende Bogengewehr-Munition	durchbohrende Bogengewehr-Munition	durchbohrende Bogengewehr-Munition	eine	die	Schuss durchbohrende Bogengewehr-Munition	Schuss durchbohrende Bogengewehr-Munition	eine	die		
_AC1229C0AB3F8ED3	iccp2bs	schneidende Bogengewehr-Munition	schneidende Bogengewehr-Munition	schneidende Bogengewehr-Munition	eine	die	Schuss schneidende Bogengewehr-Munition	Schuss schneidende Bogengewehr-Munition	eine	die		
_679181B8EDBF72D0	iccp2lb	zertrümmernde Raketenwerfer-Munition	zertrümmernde Raketenwerfer-Munition	zertrümmernde Raketenwerfer-Munition	eine	die	Schuss zertrümmernde Raketenwerfer-Munition	Schuss zertrümmernde Raketenwerfer-Munition	eine	die		
_66A171B5AB407ECB	iccp2lp	durchbohrende Raketenwerfer-Munition	durchbohrende Raketenwerfer-Munition	durchbohrende Raketenwerfer-Munition	eine	die	Schuss durchbohrende Raketenwerfer-Munition	Schuss durchbohrende Raketenwerfer-Munition	eine	die		
_27917DB8EDD072CF	iccp2ls	schneidende Raketenwerfer-Munition	schneidende Raketenwerfer-Munition	schneidende Raketenwerfer-Munition	eine	die	Schuss schneidende Raketenwerfer-Munition	Schuss schneidende Raketenwerfer-Munition	eine	die		
_12A1C8C24D030CB4	iccp2rb	zertrümmernde Gewehr-Munition	zertrümmernde Gewehr-Munition	zertrümmernde Gewehr-Munition	eine	die	Schuss zertrümmernde Gewehr-Munition	Schuss zertrümmernde Gewehr-Munition	eine	die		
_1171B4BC0E94ECB5	iccp2rp	durchbohrende Gewehr-Munition	durchbohrende Gewehr-Munition	durchbohrende Gewehr-Munition	eine	die	Schuss durchbohrende Gewehr-Munition	Schuss durchbohrende Gewehr-Munition	eine	die		
_D2A1C8C24D0408B4	iccp2rs	schneidende Gewehr-Munition	schneidende Gewehr-Munition	schneidende Gewehr-Munition	eine	die	Schuss schneidende Gewehr-Munition	Schuss schneidende Gewehr-Munition	eine	die		
_3F8F7D75C1BEC1F0	iccr1b	Bogenpistole	Bogenpistole	Bogenpistole	eine	die	Bogenpistolen	Bogenpistolen	eine	die	Fernwaffe in Basis-Qualität	
_2E689894EBB81474	iccr1p	Pistole	Pistole	Pistole	eine	die	Pistolen	Pistolen	eine	die	Fernwaffe in Basis-Qualität	
_A14CDFFCC7C22A51	iccr2a	Automatikgewehr	Raketenwerfer	Raketenwerfer	ein	der	Automatikgewehre	Raketenwerfer	einen	die	Fernwaffe in Basis-Qualität	
_C6BD492B6CF411E9	iccr2b	Bogengewehr	Bogengewehr	Bogengewehr	ein	das	Bogengewehre	Bogengewehre	ein	die	Fernwaffe in Basis-Qualität	
_459D5D20E7D491D9	iccr2l	Raketenwerfer	Raketenwerfer	Raketenwerfer	ein	der	Raketenwerfer	Raketenwerfer	einen	die	Fernwaffe in Basis-Qualität	
_68B87C8A1F37E07E	iccr2r	Gewehr	Gewehr	Gewehr	ein	das	Gewehre	Gewehre	ein	die	Fernwaffe in Basis-Qualität	
_E2187DEF28BAFCA4	iccsb	Beschützer	Beschützer	Beschützer	ein	der	Beschützer	Beschützer	einen	die	Schild in Basis-Qualität	
_A958309BA2696CB0	iccss	Schild	Schild	Schild	ein	das	Schilde	Schilde	ein	die	Schild in Basis-Qualität	
_32A79FC666529B4E	icfahb	Kostom-Stiefel	Kostom-Stiefel	Kostom-Stiefel		die	Kostom-Stiefel	Kostom-Stiefel	eine	die	schwere Fyros-Rüstung in Basis-Qualität	
_4314D81D5EBF5A4C	icfahg	Kostom-Handschuhe	Kostom-Handschuhe	Kostom-Handschuhe		die	Kostom-Handschuhe	Kostom-Handschuhe	eine	die	schwere Fyros-Rüstung in Basis-Qualität	
_607F44F713B2B5A8	icfahh	Kostom-Helm	Kostom-Helm	Kostom-Helm	ein	der	Kostom-Helme	Kostom-Helme	einen	die	schwere Fyros-Rüstung in Basis-Qualität	
_B2196309DE04DD5E	icfahp	Kostom-Hose	Kostom-Hose	Kostom-Hose	eine	die	Kostom-Hosen	Kostom-Hosen	eine	die	schwere Fyros-Rüstung in Basis-Qualität	
_C781C4C6A454E328	icfahs	Kostom-Armschützer	Kostom-Armschützer	Kostom-Armschützer		die	Kostom-Armschützer	Kostom-Armschützer	eine	die	schwere Fyros-Rüstung in Basis-Qualität	
_A93B0E2063AC6933	icfahv	Kostom-Weste	Kostom-Weste	Kostom-Weste	eine	die	Kostom-Westen	Kostom-Westen	eine	die	schwere Fyros-Rüstung in Basis-Qualität	
_50C8EFA6D8AFBE63	icfalb	Hoben-Stiefel	Hoben-Stiefel	Hoben-Stiefel		die	Hoben-Stiefel	Hoben-Stiefel	eine	die	leichte Fyros-Rüstung in Basis-Qualität	
_8D573B86A948DFA6	icfalg	Hoben-Handschuhe	Hoben-Handschuhe	Hoben-Handschuhe		die	Hoben-Handschuhe	Hoben-Handschuhe	eine	die	leichte Fyros-Rüstung in Basis-Qualität	
_D4C8EB985C9FBA63	icfalp	Hoben-Hose	Hoben-Hose	Hoben-Hose	eine	die	Hoben-Hosen	Hoben-Hosen	eine	die	leichte Fyros-Rüstung in Basis-Qualität	
_DF27805BA638D353	icfals	Hoben-Armschützer	Hoben-Armschützer	Hoben-Armschützer		die	Hoben-Armschützer	Hoben-Armschützer	eine	die	leichte Fyros-Rüstung in Basis-Qualität	
_8A117EC1CFB43963	icfalv	Hoben-Weste	Hoben-Weste	Hoben-Weste	eine	die	Hoben-Westen	Hoben-Westen	eine	die	leichte Fyros-Rüstung in Basis-Qualität	
_D1371B8D52C4EAD8	icfamb	Rilon-Stiefel	Rilon-Stiefel	Rilon-Stiefel		die	Rilon-Stiefel	Rilon-Stiefel	eine	die	mittelschwere Fyros-Rüstung in Basis-Qualität	
_0D05EEE7C3B9179C	icfamg	Rilon-Handschuhe	Rilon-Handschuhe	Rilon-Handschuhe		die	Rilon-Handschuhe	Rilon-Handschuhe	eine	die	mittelschwere Fyros-Rüstung in Basis-Qualität	
_5527E39B52B4E6D8	icfamp	Rilon-Hose	Rilon-Hose	Rilon-Hose	eine	die	Rilon-Hosen	Rilon-Hosen	eine	die	mittelschwere Fyros-Rüstung in Basis-Qualität	
_13D29C71A399F33B	icfams	Rilon-Armschützer	Rilon-Armschützer	Rilon-Armschützer		die	Rilon-Armschützer	Rilon-Armschützer	eine	die	mittelschwere Fyros-Rüstung in Basis-Qualität	
_CA2892BE0C92566F	icfamv	Rilon-Weste	Rilon-Weste	Rilon-Weste	eine	die	Rilon-Westen	Rilon-Westen	eine	die	mittelschwere Fyros-Rüstung in Basis-Qualität	
_BEFA4612DF175275	icfja	Fyros-Fußring	Fyros-Fußring	Fyros-Fußring	ein	der	Fyros-Fußringe	Fyros-Fußringe	einen	die	Schmuck nach Fyros-Handwerksplan in Basis-Qualität	
_AC38EBF788DA77B7	icfjb	Fyros-Armband	Fyros-Armband	Fyros-Armband	ein	das	Fyros-Armbänder	Fyros-Armbänder	ein	die	Schmuck nach Fyros-Handwerksplan in Basis-Qualität	
_01FA46FDDF97DA69	icfjd	Fyros-Diadem	Fyros-Diadem	Fyros-Diadem	ein	das	Fyros-Diademe	Fyros-Diademe	ein	die	Schmuck nach Fyros-Handwerksplan in Basis-Qualität	
_A107DB0C1DB5B207	icfje	Fyros-Ohrring	Fyros-Ohrring	Fyros-Ohrring	ein	der	Fyros-Ohrringe	Fyros-Ohrringe	einen	die	Schmuck nach Fyros-Handwerksplan in Basis-Qualität	
_A8D8EFF697D3DE21	icfjp	Fyros-Anhänger	Fyros-Anhänger	Fyros-Anhänger	ein	der	Fyros-Anhänger	Fyros-Anhänger	einen	die	Schmuck nach Fyros-Handwerksplan in Basis-Qualität	
_F661163A7E4C352A	icfjr	Fyros-Ring	Fyros-Ring	Fyros-Ring	ein	der	Fyros-Ringe	Fyros-Ringe	einen	die	Schmuck nach Fyros-Handwerksplan in Basis-Qualität	
_00BC9F29CC7D7967	icfm1bm	Masson-Streitkolben	Masson-Streitkolben	Masson-Streitkolben	ein	der	Masson-Streitkolben	Masson-Streitkolben	einen	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_D7CEEF3B67555128	icfm1bs	Talus-Stab	Talus-Stab	Talus-Stab	ein	der	Talus-Stäbe	Talus-Stäbe	einen	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_61D14A716CB95A10	icfm1pd	Jab-Dolch	Jab-Dolch	Jab-Dolch	ein	der	Jab-Dolche	Jab-Dolche	einen	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_402BAC2E121563C6	icfm1ps	Kronk-Lanze	Kronk-Lanze	Kronk-Lanze	eine	die	Kronk-Lanzen	Kronk-Lanzen	eine	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_6CD86B0094928DED	icfm1sa	Cleven-Axt	Cleven-Axt	Cleven-Axt	eine	die	Cleven-Äxte	Cleven-Äxte	eine	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_F40879DA13349871	icfm1sab	Brennende Cleven-Axt	Brennende Cleven-Axt	Brennende Cleven-Axt	eine	die	Brennende Cleven-Äxte	Brennenden Cleven-Äxte	eine	die	Fyros-Nahkampfwaffe	
_976393F6AA5CC628	icfm1ss	Blam-Schwert	Blam-Schwert	Blam-Schwert	ein	das	Blam-Schwerter	Blam-Schwerter	ein	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_48E27FEEF1C9F652	icfm2bm	Hamp-Zweihand-Streitkolben	Hamp-Zweihand-Streitkolben	Hamp-Zweihand-Streitkolben	ein	der	Hamp-Zweihand-Streitkolben	Hamp-Zweihand-Streitkolben	einen	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_FECB774898D1BD66	icfm2pp	Punnel-Pike	Punnel-Pike	Punnel-Pike	eine	die	Punnel-Piken	Punnel-Piken	eine	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_45B90F5A6779EBB9	icfm2sa	Retch-Zweihand-Axt	Retch-Zweihand-Axt	Retch-Zweihand-Axt	eine	die	Retch-Zweihand-Äxte	Retch-Zweihand-Äxte	eine	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_062D49E95FA5177F	icfm2sab	Brennende Retch-Zweihand-Axt	Brennende Retch-Zweihand-Axt	Brennende Retch-Zweihand-Axt	eine	die	Brennende Retch-Zweihand-Äxte	Brennenden Retch-Zweihand-Äxte	eine	die	Fyros-Nahkampfwaffe	
_7E326F5C7A98C725	icfm2ss	Stavon-Zweihand-Schwert	Stavon-Zweihand-Schwert	Stavon-Zweihand-Schwert	ein	das	Stavon-Zweihand-Schwerter	Stavon-Zweihand-Schwerter	ein	die	Nahkampfwaffe nach Fyros-Handwerksplan in Basis-Qualität	
_E30EF804BF075EE8	icfm2ssb	Brennendes Stavon-Zweihand-Schwert	Brennendes Stavon-Zweihand-Schwert	Brennendes Stavon-Zweihand-Schwert	ein	das	Brennende Stavon-Zweihand-Schwerter	Brennenden Stavon-Zweihand-Schwerter	ein	die	Fyros-Nahkampfwaffe	
_38E6FF8C1FFCD3E1	icfp1bb	zertrümmernde Kolton-Munition	zertrümmernde Kolton-Munition	zertrümmernde Kolton-Munition	eine	die	Schuss zertrümmernde Kolton-Munition	Schuss zertrümmernde Kolton-Munition	eine	die	Bogenpistolen-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_38F6F3981C4DD3E1	icfp1bp	durchbohrende Kolton-Munition	durchbohrende Kolton-Munition	durchbohrende Kolton-Munition	eine	die	Schuss durchbohrende Kolton-Munition	Schuss durchbohrende Kolton-Munition	eine	die	Bogenpistolen-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_38E6FF8C5F0DD3E1	icfp1bs	schneidende Kolton-Munition	schneidende Kolton-Munition	schneidende Kolton-Munition	eine	die	Schuss schneidende Kolton-Munition	Schuss schneidende Kolton-Munition	eine	die	Bogenpistolen-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_92F29A201B96BF73	icfp1gb	zertrümmernde Fyros-Granate	zertrümmernde Fyros-Granate	zertrümmernde Fyros-Granate	eine	die	zertrümmernde Fyros-Granaten	zertrümmernden Fyros-Granaten	eine	die	Munition nach Fyros-Handwerksplan in Basis-Qualität	
_91C2861ADC279F74	icfp1gp	durchbohrende Fyros-Granate	durchbohrende Fyros-Granate	durchbohrende Fyros-Granate	eine	die	durchbohrende Fyros-Granaten	durchbohrenden Fyros-Granaten	eine	die	Munition nach Fyros-Handwerksplan in Basis-Qualität	
_52F29A201B97BB73	icfp1gs	schneidende Fyros-Granate	schneidende Fyros-Granate	schneidende Fyros-Granate	eine	die	schneidende Fyros-Granaten	schneidenden Fyros-Granaten	eine	die	Munition nach Fyros-Handwerksplan in Basis-Qualität	
_3689F8F069D4F12C	icfp1pb	zertrümmernde Rimel-Munition	zertrümmernde Rimel-Munition	zertrümmernde Rimel-Munition	eine	die	Schuss zertrümmernde Rimel-Munition	Schuss zertrümmernde Rimel-Munition	eine	die	Pistolen-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_3749D8EA2AB5C128	icfp1pp	durchbohrende Rimel-Munition	durchbohrende Rimel-Munition	durchbohrende Rimel-Munition	eine	die	Schuss durchbohrende Rimel-Munition	Schuss durchbohrende Rimel-Munition	eine	die	Pistolen-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_3679F8F069D5ED2C	icfp1ps	schneidende Rimel-Munition	schneidende Rimel-Munition	schneidende Rimel-Munition	eine	die	Schuss schneidende Rimel-Munition	Schuss schneidende Rimel-Munition	eine	die	Pistolen-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_4D44AA4EE881C952	icfp2ab	zertrümmernde Fraser-Munition	zertrümmernde Fraser-Munition	zertrümmernde Fraser-Munition	eine	die	Schuss zertrümmernde Fraser-Munition	Schuss zertrümmernde Fraser-Munition	eine	die	Automatikgewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_4E649656E602B551	icfp2ap	durchbohrende Fraser-Munition	durchbohrende Fraser-Munition	durchbohrende Fraser-Munition	eine	die	Schuss durchbohrende Fraser-Munition	Schuss durchbohrende Fraser-Munition	eine	die	Automatikgewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_4D34AA4E6892C952	icfp2as	schneidende Fraser-Munition	schneidende Fraser-Munition	schneidende Fraser-Munition	eine	die	Schuss schneidende Fraser-Munition	Schuss schneidende Fraser-Munition	eine	die	Automatikgewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_A16603BCFA63F9F2	icfp2bb	zertrümmernde Strabus-Munition	zertrümmernde Strabus-Munition	zertrümmernde Strabus-Munition	eine	die	Schuss zertrümmernde Strabus-Munition	Schuss zertrümmernde Strabus-Munition	eine	die	Bogengewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_DD8613B17A44F9ED	icfp2bp	durchbohrende Strabus-Munition	durchbohrende Strabus-Munition	durchbohrende Strabus-Munition	eine	die	Schuss durchbohrende Strabus-Munition	Schuss durchbohrende Strabus-Munition	eine	die	Bogengewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_A166FFBAFA74F9F2	icfp2bs	schneidende Strabus-Munition	schneidende Strabus-Munition	schneidende Strabus-Munition	eine	die	Schuss schneidende Strabus-Munition	Schuss schneidende Strabus-Munition	eine	die	Bogengewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_36CF579E228F73A1	icfp2lb	zertrümmernde Brazer-Munition	zertrümmernde Brazer-Munition	zertrümmernde Brazer-Munition	eine	die	Schuss zertrümmernde Brazer-Munition	Schuss zertrümmernde Brazer-Munition	eine	die	Raketenwerfer-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_362F3BA521D067A1	icfp2lp	durchbohrende Brazer-Munition	durchbohrende Brazer-Munition	durchbohrende Brazer-Munition	eine	die	Schuss durchbohrende Brazer-Munition	Schuss durchbohrende Brazer-Munition	eine	die	Raketenwerfer-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_36CF579EA29073A1	icfp2ls	schneidende Brazer-Munition	schneidende Brazer-Munition	schneidende Brazer-Munition	eine	die	Schuss schneidende Brazer-Munition	Schuss schneidende Brazer-Munition	eine	die	Raketenwerfer-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_C82C361752D999EA	icfp2rb	zertrümmernde Strammel-Munition	zertrümmernde Strammel-Munition	zertrümmernde Strammel-Munition	eine	die	Schuss zertrümmernde Strammel-Munition	Schuss zertrümmernde Strammel-Munition	eine	die	Gewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_87EC2218513A95E9	icfp2rp	durchbohrende Strammel-Munition	durchbohrende Strammel-Munition	durchbohrende Strammel-Munition	eine	die	Schuss durchbohrende Strammel-Munition	Schuss durchbohrende Strammel-Munition	eine	die	Gewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_882C321712EA99EA	icfp2rs	schneidende Strammel-Munition	schneidende Strammel-Munition	schneidende Strammel-Munition	eine	die	Schuss schneidende Strammel-Munition	Schuss schneidende Strammel-Munition	eine	die	Gewehr-Munition nach Fyros-Handwerksplan in Basis-Qualität	
_38049C717BD24862	icfr1b	Kolton-Bogenpistole	Kolton-Bogenpistole	Kolton-Bogenpistole	eine	die	Kolton-Bogenpistolen	Kolton-Bogenpistolen	eine	die	Fernwaffe nach Fyros-Handwerksplan in Basis-Qualität	
