*HASH_VALUE	creature ID	name	p	creagen	screagen
_58F1C27C3CBA097C	caapc3	Шныряющая бальдуза	Шныряющие бальдузы	Шныряющих бальдуз	Шныряющую бальдузу
_9A8F9E767E58E976	caapc4	Страшная бальдуза	Страшные бальдузы	Страшных бальдуз	Страшную бальдузу
_A3F6CE39004C43FB	caapd1	Таящаяся бальдуза	Таящиеся бальдузы	Таящихся бальдуз	Таящаяся бальдузу
_1C60CA7C00290D7D	caapd2	Рыскающая бальдуза	Рыскающие бальдузы	Рыскающих бальдуз	Рыскающую бальдузу
_5EA27D6E452BE76C	caapd3	Ярящаяся бальдуза	Ярящиеся бальдузы	Ярящихся бальдуз	Ярящаяся бальдузу
_7667B1216E765CF6	caapd4	Необузданная бальдуза	Необузданные бальдузы	Необузданных бальдуз	Необузданную бальдузу
_54A6FA51CC63F551	caape1	Огромная бальдуза	Огромные бальдузы	Огромных бальдуз	Огромную бальдузу
_59A0B28A3D69F58C	caape2	Ненасытная бальдуза	Ненасытные бальдузы	Ненасытных бальдуз	Ненасытную бальдузу
_7667010B6C3458F7	caape3	Коварная бальдуза	Коварные бальдузы	Коварных бальдуз	Коварную бальдузу
_DF859EBB4752744C	caape4	Нападающая бальдуза	Нападающие бальдузы	Нападающих бальдуз	Нападающую бальдузу
_E0260798D3C2F578	caapf1	Ужасающая бальдуза	Ужасающие бальдузы	Ужасающих бальдуз	Ужасающую бальдузу
_21E5CEB9CAF3885F	caapf2	Свирепая бальдуза	Свирепые бальдузы	Свирепых бальдуз	Свирепую бальдузу
_9D01BE7281CA0575	caapf3	Зловещая бальдуза	Зловещие бальдузы	Зловещих бальдуз	Зловещую бальдузу
_053FC2683CAA34B3	cabda1	Мелкий праккер	Мелкие праккеры	Мелких праккеров	Мелкого праккера
_19E5F66F0705ED3A	cabda2	Примитивный праккер	Примитивные праккеры	Примитивных праккеров	Примитивного праккера
_03B56A97FDEE515F	cabda3	Смирный праккер	Смирные праккеры	Смирных праккеров	Смирного праккера
_2E7F2D0A773E4CB8	cabda4	Стремительный праккер	Стремительные праккеры	Стремительных праккеров	Стремительного праккера
_7310210E7A4E40B9	cabdb1	Склизкий праккер	Склизкие праккеры	Склизких праккеров	Склизкого праккера
_85FEBE58BD1A5CB7	cabdb2	Обычный праккер	Обычные праккеры	Обычных праккеров	Обычного праккера
_1775EE2184EC230A	cabdb3	Жующий праккер	Жующие праккеры	Жующих праккеров	Жующего праккера
_32B04D12F42D4CB9	cabdb4	Зрелый праккер	Зрелые праккеры	Зрелых праккеров	Зрелого праккера
_61B832AEE534BD6D	cabdc1	Взрослый праккер	Взрослые праккеры	Взрослых праккеров	Взрослого праккера
_D535D66B05C4E12F	cabdc2	Обороняющийся праккер	Обороняющиеся праккеры	Обороняющихся праккеров	Обороняющегося праккера
_5671DA7F3D2A217F	cabdc3	Шныряющий праккер	Шныряющие праккеры	Шныряющих праккеров	Шныряющего праккера
_980FB6797FC80179	cabdc4	Страшный праккер	Страшные праккеры	Страшных праккеров	Страшного праккера
_5A76222E884C1B13	cabdd1	Таящийся праккер	Таящиеся праккеры	Таящихся праккеров	Таящегося праккера
_1AE0E27F01992580	cabdd2	Рыскающий праккер	Рыскающие праккеры	Рыскающих праккеров	Рыскающего праккера
_1CF29974066B0372	cabdd3	Ярящийся праккер	Ярящиеся праккеры	Ярящихся праккеров	Ярящегося праккера
_7B77390568560418	cabdd4	Необузданный праккер	Необузданные праккеры	Необузданных праккеров	Необузданного праккера
_562516660985F547	cabde1	Огромный праккер	Огромные праккеры	Огромных праккеров	Огромного праккера
_5720CA8D3ED90D8F	cabde2	Ненасытный праккер	Ненасытные праккеры	Ненасытных праккеров	Ненасытного праккера
_7B7789EF66140019	cabde3	Коварный праккер	Коварные праккеры	Коварных праккеров	Коварного праккера
_1A44FEBE8B443C53	cabde4	Нападающий праккер	Нападающие праккеры	Нападающих праккеров	Нападающего праккера
_97B713A99BE11171	cabdf1	Ужасающий праккер	Ужасающие праккеры	Ужасающих праккеров	Ужасающего праккера
_5CA42EBC0EE55066	cabdf2	Свирепый праккер	Свирепые праккеры	Свирепых праккеров	Свирепого праккера
_9B81D675823A1D78	cabdf3	Зловещий праккер	Зловещие праккеры	Зловещих праккеров	Зловещего праккера
_853FC2683CAA34B3	cabfa1	Мелкий праккер	Мелкие праккеры	Мелких праккеров	Мелкого праккера
_99E5F66F0705ED3A	cabfa2	Примитивный праккер	Примитивные праккеры	Примитивных праккеров	Примитивного праккера
_83B56A97FDEE515F	cabfa3	Смирный праккер	Смирные праккеры	Смирных праккеров	Смирного праккера
_AE7F2D0A773E4CB8	cabfa4	Стремительный праккер	Стремительные праккеры	Стремительных праккеров	Стремительного праккера
_F310210E7A4E40B9	cabfb1	Склизкий праккер	Склизкие праккеры	Склизких праккеров	Склизкого праккера
_05FEBE58BD1A5CB7	cabfb2	Обычный праккер	Обычные праккеры	Обычных праккеров	Обычного праккера
_9775EE2184EC230A	cabfb3	Жующий праккер	Жующие праккеры	Жующих праккеров	Жующего праккера
_B2B04D12F42D4CB9	cabfb4	Зрелый праккер	Зрелые праккеры	Зрелых праккеров	Зрелого праккера
_E1B832AEE534BD6D	cabfc1	Взрослый праккер	Взрослые праккеры	Взрослых праккеров	Взрослого праккера
_5535D66B05C4E12F	cabfc2	Обороняющийся праккер	Обороняющиеся праккеры	Обороняющихся праккеров	Обороняющегося праккера
_D671DA7F3D2A217F	cabfc3	Шныряющий праккер	Шныряющие праккеры	Шныряющих праккеров	Шныряющего праккера
_DA76222E884C1B13	cabfd1	Таящийся праккер	Таящиеся праккеры	Таящихся праккеров	Таящегося праккера
_9AE0E27F01992580	cabfd2	Рыскающий праккер	Рыскающие праккеры	Рыскающих праккеров	Рыскающего праккера
_9CF29974066B0372	cabfd3	Ярящийся праккер	Ярящиеся праккеры	Ярящихся праккеров	Ярящегося праккера
_FB77390568560418	cabfd4	Необузданный праккер	Необузданные праккеры	Необузданных праккеров	Необузданного праккера
_D62516660985F547	cabfe1	Огромный праккер	Огромные праккеры	Огромных праккеров	Огромного праккера
_D720CA8D3ED90D8F	cabfe2	Ненасытный праккер	Ненасытные праккеры	Ненасытных праккеров	Ненасытного праккера
_FB7789EF66140019	cabfe3	Коварный праккер	Коварные праккеры	Коварных праккеров	Коварного праккера
_9A44FEBE8B443C53	cabfe4	Нападающий праккер	Нападающие праккеры	Нападающих праккеров	Нападающего праккера
_17B713A99BE11171	cabff1	Ужасающий праккер	Ужасающие праккеры	Ужасающих праккеров	Ужасающего праккера
_DCA42EBC0EE55066	cabff2	Свирепый праккер	Свирепые праккеры	Свирепых праккеров	Свирепого праккера
_1B81D675823A1D78	cabff3	Зловещий праккер	Зловещие праккеры	Зловещих праккеров	Зловещего праккера
_863FC2683CAA34B3	cabja1	Мелкий праккер	Мелкие праккеры	Мелких праккеров	Мелкого праккера
_9AE5F66F0705ED3A	cabja2	Примитивный праккер	Примитивные праккеры	Примитивных праккеров	Примитивного праккера
_84B56A97FDEE515F	cabja3	Смирный праккер	Смирные праккеры	Смирных праккеров	Смирного праккера
_AF7F2D0A773E4CB8	cabja4	Стремительный праккер	Стремительные праккеры	Стремительных праккеров	Стремительного праккера
_F410210E7A4E40B9	cabjb1	Склизкий праккер	Склизкие праккеры	Склизких праккеров	Склизкого праккера
_06FEBE58BD1A5CB7	cabjb2	Обычный праккер	Обычные праккеры	Обычных праккеров	Обычного праккера
_9875EE2184EC230A	cabjb3	Жующий праккер	Жующие праккеры	Жующих праккеров	Жующего праккера
_B3B04D12F42D4CB9	cabjb4	Зрелый праккер	Зрелые праккеры	Зрелых праккеров	Зрелого праккера
_E2B832AEE534BD6D	cabjc1	Взрослый праккер	Взрослые праккеры	Взрослых праккеров	Взрослого праккера
_5635D66B05C4E12F	cabjc2	Обороняющийся праккер	Обороняющиеся праккеры	Обороняющихся праккеров	Обороняющегося праккера
_D771DA7F3D2A217F	cabjc3	Шныряющий праккер	Шныряющие праккеры	Шныряющих праккеров	Шныряющего праккера
_190FB6797FC80179	cabjc4	Страшный праккер	Страшные праккеры	Страшных праккеров	Страшного праккера
_DB76222E884C1B13	cabjd1	Таящийся праккер	Таящиеся праккеры	Таящихся праккеров	Таящегося праккера
_9BE0E27F01992580	cabjd2	Рыскающий праккер	Рыскающие праккеры	Рыскающих праккеров	Рыскающего праккера
_9DF29974066B0372	cabjd3	Ярящийся праккер	Ярящиеся праккеры	Ярящихся праккеров	Ярящегося праккера
_FC77390568560418	cabjd4	Необузданный праккер	Необузданные праккеры	Необузданных праккеров	Необузданного праккера
_D72516660985F547	cabje1	Огромный праккер	Огромные праккеры	Огромных праккеров	Огромного праккера
_D820CA8D3ED90D8F	cabje2	Ненасытный праккер	Ненасытные праккеры	Ненасытных праккеров	Ненасытного праккера
_FC7789EF66140019	cabje3	Коварный праккер	Коварные праккеры	Коварных праккеров	Коварного праккера
_9B44FEBE8B443C53	cabje4	Нападающий праккер	Нападающие праккеры	Нападающих праккеров	Нападающего праккера
_18B713A99BE11171	cabjf1	Ужасающий праккер	Ужасающие праккеры	Ужасающих праккеров	Ужасающего праккера
_DDA42EBC0EE55066	cabjf2	Свирепый праккер	Свирепые праккеры	Свирепых праккеров	Свирепого праккера
_1C81D675823A1D78	cabjf3	Зловещий праккер	Зловещие праккеры	Зловещих праккеров	Зловещего праккера
_073FC2683CAA34B3	cabla1	Мелкий праккер	Мелкие праккеры	Мелких праккеров	Мелкого праккера
_1BE5F66F0705ED3A	cabla2	Примитивный праккер	Примитивные праккеры	Примитивных праккеров	Примитивного праккера
_05B56A97FDEE515F	cabla3	Смирный праккер	Смирные праккеры	Смирных праккеров	Смирного праккера
_307F2D0A773E4CB8	cabla4	Стремительный праккер	Стремительные праккеры	Стремительных праккеров	Стремительного праккера
_083FC2683CAA34B3	cabpa1	Мелкий праккер	Мелкие праккеры	Мелких праккеров	Мелкого праккера
_1CE5F66F0705ED3A	cabpa2	Примитивный праккер	Примитивные праккеры	Примитивных праккеров	Примитивного праккера
_06B56A97FDEE515F	cabpa3	Смирный праккер	Смирные праккеры	Смирных праккеров	Смирного праккера
_317F2D0A773E4CB8	cabpa4	Стремительный праккер	Стремительные праккеры	Стремительных праккеров	Стремительного праккера
_7610210E7A4E40B9	cabpb1	Склизкий праккер	Склизкие праккеры	Склизких праккеров	Склизкого праккера
_88FEBE58BD1A5CB7	cabpb2	Обычный праккер	Обычные праккеры	Обычных праккеров	Обычного праккера
_1A75EE2184EC230A	cabpb3	Жующий праккер	Жующие праккеры	Жующих праккеров	Жующего праккера
_35B04D12F42D4CB9	cabpb4	Зрелый праккер	Зрелые праккеры	Зрелых праккеров	Зрелого праккера
_64B832AEE534BD6D	cabpc1	Взрослый праккер	Взрослые праккеры	Взрослых праккеров	Взрослого праккера
_D835D66B05C4E12F	cabpc2	Обороняющийся праккер	Обороняющиеся праккеры	Обороняющихся праккеров	Обороняющегося праккера
_5971DA7F3D2A217F	cabpc3	Шныряющий праккер	Шныряющие праккеры	Шныряющих праккеров	Шныряющего праккера
_9B0FB6797FC80179	cabpc4	Страшный праккер	Страшные праккеры	Страшных праккеров	Страшного праккера
_5D76222E884C1B13	cabpd1	Таящийся праккер	Таящиеся праккеры	Таящихся праккеров	Таящегося праккера
_1DE0E27F01992580	cabpd2	Рыскающий праккер	Рыскающие праккеры	Рыскающих праккеров	Рыскающего праккера
_1FF29974066B0372	cabpd3	Ярящийся праккер	Ярящиеся праккеры	Ярящихся праккеров	Ярящегося праккера
_7E77390568560418	cabpd4	Необузданный праккер	Необузданные праккеры	Необузданных праккеров	Необузданного праккера
_592516660985F547	cabpe1	Огромный праккер	Огромные праккеры	Огромных праккеров	Огромного праккера
_5A20CA8D3ED90D8F	cabpe2	Ненасытный праккер	Ненасытные праккеры	Ненасытных праккеров	Ненасытного праккера
_7E7789EF66140019	cabpe3	Коварный праккер	Коварные праккеры	Коварных праккеров	Коварного праккера
_1D44FEBE8B443C53	cabpe4	Нападающий праккер	Нападающие праккеры	Нападающих праккеров	Нападающего праккера
_9AB713A99BE11171	cabpf1	Ужасающий праккер	Ужасающие праккеры	Ужасающих праккеров	Ужасающего праккера
_5FA42EBC0EE55066	cabpf2	Свирепый праккер	Свирепые праккеры	Свирепых праккеров	Свирепого праккера
_9E81D675823A1D78	cabpf3	Зловещий праккер	Зловещие праккеры	Зловещих праккеров	Зловещего праккера
_D4F03E57EF0E24F6	cbada1	Неопытная игара	Неопытные игары	Неопытных игар	Неопытную игару
_8B0F2D2D62743C71	cbada2	Малая игара	Малые игары	Малых игар	Малую игару
_05EF352362D44071	cbada3	Породистая игара	Породистые игары	Породистых игар	Породистую игару
_BE1025FB33A75F1D	cbada4	Парящая игара	Парящие игары	Парящих игар	Парящую игару
_850FCD2B66D43872	cbadb1	Сытая игара	Сытые игары	Сытых игар	Сытую игару
_8B8FCD1F6AB63C72	cbadb2	Обыкновенная игара	Обыкновенные игары	Обыкновенных игар	Обыкновенную игару
_3FB019062F964F12	cbadb3	Важная игара	Важные игары	Важных игар	Важную игару
_E63B290DEA693377	cbadb4	Высшая игара	Высшие игары	Высших игар	Высшую игару
_7BEF120F3F0A7010	cbadc1	Бдительная игара	Бдительные игары	Бдительных игар	Бдительную игару
_0FB1CD236AF43C73	cbadc2	Голодная игара	Голодные игары	Голодных игар	Голодную игару
_DA344625C1FD8925	cbadc3	Игар-мусорщиков	Игары-мусорщики	Игар-мусорщиков	Игар-мусорщика
_BE1035F5F0365F1F	cbadc4	Следящая игара	Следящие игары	Следящих игар	Следящую игару
_01DF09F773D78333	cbadd1	Злобная игара	Злобные игары	Злобных игар	Злобную игару
_1640A25E2A6F28F6	cbadd2	Зловредная игара	Зловредные игары	Зловредных игар	Зловредную игару
_BE9F11FDB2465B20	cbadd3	Игара-пересмешник	Игары-пересмешники	Игар-пересмешников	Игару-пересмешника
_FE1069FEACA67B28	cbadd4	Игара-падальщик	Игары-падальщики	Игар-падальщиков	Игару-падальщика
_FC3FE9FE35B77F23	cbade1	Игара-охотник	Игары-охотники	Игар-охотников	Игару-охотника
_7BC00A14FCEA5818	cbade2	Порхающая игара	Порхающие игары	Порхающих игар	Порхающую игару
_52936182540E617E	cbade3	Устрашающая игара	Устрашающие игары	Устрашающих игар	Устрашающую игару
_D6009269AD603CFD	cbade4	Хищная игара	Хищные игары	Хищных игар	Хищную игару
_45C06D13DE4AABCE	cbaga1	Мерзкая игара	Мерзкие игары	Мерзких игар	Мерзкую игару
_7FCF16FDFC398001	cbaga2	Больная игара	Больные игары	Больных игар	Больную игару
_D2C02B80A3E41D47	cbaga3	Прокаженная игара	Прокаженные игары	Прокаженных игар	Прокаженную игару
_C043E96D3C3A70ED	cbaga4	Зараженная игара	Зараженные игары	Зараженных игар	Зараженную игару
_40601A15FCFAA40F	cbagb1	Тошнотворная игара	Тошнотворные игары	Тошнотворных игар	Тошнотворную игару
_7EFF520EBEDA600E	cbagb2	Смердящая игара	Смердящие игары	Смердящих игар	Смердящую игару
_458FA52B66944072	cbagb3	Болезненная игара	Болезненные игары	Болезненных игар	Болезненную игару
_003F520BBC1A7009	cbagb4	Отравленная игара	Отравленные игары	Отравленных игар	Отравленную игару
_3F20F9F8B3774713	cbagc1	Чумная игара	Чумные игары	Чумных игар	Чумную игару
_02CF11F7B2A73AE3	cbagc2	Хилая игара	Хилые игары	Хилых игар	Хилую игару
_A4042634CBCD6934	cbagc3	Гниющая игара	Гниющие игары	Гниющих игар	Гниющую игару
_3FA0421A3F0A8C10	cbagc4	Губительная игара	Губительные игары	Губительных игар	Губительную игару
_BBDF350270974714	cbagd1	Порченая игара	Порченые игары	Порченых игар	Порченую игару
_98607E652D6F2009	cbagd2	Гнойная игара	Гнойные игары	Гнойных игар	Гнойную игару
_92E4958A13E0C977	cbagd3	Пагубная игара	Пагубные игары	Пагубных игар	Пагубную игару
_C52FDD3360364474	cbagd4	Бесноватая игара	Бесноватые игары	Бесноватых игар	Бесноватую игару
_1762D66CB2707810	cbage1	Прыщавая игара	Прыщавые игары	Прыщавых игар	Прыщавую игару
_7EF02DF5B1A75721	cbage2	Облезающая игара	Облезающие игары	Облезающих игар	Облезающую игару
_7EBF11FBF0D65B21	cbage3	Бешеная игара	Бешеные игары	Бешеных игар	Бешеную игару
_DAD09A682D504405	cbage4	Отвратительная игара	Отвратительные игары	Отвратительных игар	Отвратительную игару
_FF6FF2033A597C0C	cbagf1	Безумная игара	Безумные игары	Безумных игар	Безумную игару
_7EB04AFD7D795418	cbagf2	Озверевшая игара	Озверевшие игары	Озверевших игар	Озверевшую игару
_7E4F26FD3C5A6810	cbagf3	Демоническая игара	Демонические игары	Демонических игар	Демоническую игару
_55F03E57EF0E24F6	cbaja1	Неопытная игара	Неопытные игары	Неопытных игар	Неопытную игару
_0C0F2D2D62743C71	cbaja2	Малая игара	Малые игары	Малых игар	Малую игару
_86EF352362D44071	cbaja3	Породистая игара	Породистые игары	Породистых игар	Породистую игару
_3F1025FB33A75F1D	cbaja4	Парящая игара	Парящие игары	Парящих игар	Парящую игару
_060FCD2B66D43872	cbajb1	Сытая игара	Сытые игары	Сытых игар	Сытую игару
_0C8FCD1F6AB63C72	cbajb2	Обыкновенная игара	Обыкновенные игары	Обыкновенных игар	Обыкновенную игару
_C0B019062F964F12	cbajb3	Важная игара	Важные игары	Важных игар	Важную игару
_673B290DEA693377	cbajb4	Высшая игара	Высшие игары	Высших игар	Высшую игару
_FCEF120F3F0A7010	cbajc1	Бдительная игара	Бдительные игары	Бдительных игар	Бдительную игару
_90B1CD236AF43C73	cbajc2	Голодная игара	Голодные игары	Голодных игар	Голодную игару
_5B344625C1FD8925	cbajc3	Игара-мусорщик	Игары-мусорщики	Игар-мусорщиков	Игару-мусорщика
_3F1035F5F0365F1F	cbajc4	Следящая игара	Следящие игары	Следящих игар	Следящую игару
_82DF09F773D78333	cbajd1	Злобная игара	Злобные игары	Злобных игар	Злобную игару
_9740A25E2A6F28F6	cbajd2	Зловредная игара	Зловредные игары	Зловредных игар	Зловредную игару
_3F9F11FDB2465B20	cbajd3	Игара-пересмешник	Игары-пересмешники	Игар-пересмешников	Игару-пересмешника
_7F1069FEACA67B28	cbajd4	Игара-падальщик	Игары-падальщики	Игар-падальщиков	Игару-падальщика
_7D3FE9FE35B77F23	cbaje1	Игара-охотник	Игары-охотники	Игар-охотников	Игару-охотника
_FCC00A14FCEA5818	cbaje2	Порхающая игара	Порхающие игары	Порхающих игар	Порхающую игару
_D3936182540E617E	cbaje3	Устрашающая игара	Устрашающие игары	Устрашающих игар	Устрашающую игару
_57009269AD603CFD	cbaje4	Хищная игара	Хищные игары	Хищных игар	Хищную игару
_29E83BA829078F62	cbajf5	Ким-Кол			Ким-Кол
_469CC926342DB4F3	cbbda1	Неопытный изам	Неопытные изамы	Неопытных изамов	Неопытного изама
_30704129E8D7072F	cbbda2	Малый изам	Малые изамы	Малых изамов	Малого изама
_ED0F6125A787F72F	cbbda3	Породистый изам	Породистые изамы	Породистых изамов	Породистого изама
_899F85E7F292FAFF	cbbda4	Парящий изам	Парящие изамы	Парящих изамов	Парящего изама
_AD8F111C2A27EF30	cbbdb1	Сытый изам	Сытые изамы	Сытых изамов	Сытого изама
_303001162B792F30	cbbdb2	Обыкновенный изам	Обыкновенные изамы	Обыкновенных изамов	Обыкновенного изама
_0501FD037270F6FA	cbbdb3	Важный изам	Важные изамы	Важных изамов	Важного изама
_189624FA6FE8375C	cbbdb4	Высший изам	Высшие изамы	Высших изамов	Высшего изама
_3F6E39F6A28AC019	cbbdc1	Бдительный изам	Бдительные изамы	Бдительных изамов	Бдительного изама
_F2B14518AB98F731	cbbdc2	Голодный изам	Голодные изамы	Голодных изамов	Голодного изама
_C5555E25FF5E74F6	cbbdc3	Изам -мусорщик	Изамы -мусорщики	Изамов -мусорщиков	Изама -мусорщика
_899F85EFEEB0FA01	cbbdc4	Следящий изам	Следящие изамы	Следящих изамов	Следящего изама
_05DF0DE774B2EE19	cbbde1	Изам-охотник	Изамы-охотники	Изамов-охотников	Изама-охотника
_436F2D0123998021	cbbde2	Порхающий изам	Порхающие изамы	Порхающих изамов	Порхающего изама
_2871A9610F2AEC63	cbbde3	Устрашающий изам	Устрашающие изамы	Устрашающих изамов	Устрашающего изама
_C40D9149330FD0F9	cbbde4	Хищный изам	Хищные изамы	Хищных изамов	Хищного изама
_A618A87B2157EF97	cbbde5	Дилион		Дилиона	Дилиона
_C79CC926342DB4F3	cbbja1	Неопытный изам	Неопытные изамы	Неопытных изамов	Неопытного изама
_B1704129E8D7072F	cbbja2	Малый изам	Малые изамы	Малых изамов	Малого изама
_6E0F6125A787F72F	cbbja3	Породистый изам	Породистые изамы	Породистых изамов	Породистого изама
_0A9F85E7F292FAFF	cbbja4	Парящий изам	Парящие изамы	Парящих изамов	Парящего изама
_2E8F111C2A27EF30	cbbjb1	Сытый изам	Сытые изамы	Сытых изамов	Сытого изама
_B13001162B792F30	cbbjb2	Обыкновенный изам	Обыкновенные изамы	Обыкновенных изамов	Обыкновенного изама
_8601FD037270F6FA	cbbjb3	Важный изам	Важные изамы	Важных изамов	Важного изама
_999624FA6FE8375C	cbbjb4	Высший изам	Высшие изамы	Высших изамов	Высшего изама
_C06E39F6A28AC019	cbbjc1	Бдительный изам	Бдительные изамы	Бдительных изамов	Бдительного изама
_73B14518AB98F731	cbbjc2	Голодный изам	Голодные изамы	Голодных изамов	Голодного изама
_46555E25FF5E74F6	cbbjc3	Изам-мусорщик	Изамы -мусорщики	Изамов -мусорщиков	Изама-мусорщика
_0A9F85EFEEB0FA01	cbbjc4	Следящий изам	Следящие изамы	Следящих изамов	Следящего изама
_86DF0DE774B2EE19	cbbje1	Изам-охотник	Изамы-охотники	Изамов-охотников	Изама-охотника
_C46F2D0123998021	cbbje2	Порхающий изам	Порхающие изамы	Порхающих изамов	Порхающего изама
_A971A9610F2AEC63	cbbje3	Устрашающий изам	Устрашающие изамы	Устрашающих изамов	Устрашающего изама
_450D9149330FD0F9	cbbje4	Хищный изам	Хищные изамы	Хищных изамов	Хищного изама
_27E2A16A8D9BDC6D	cbbjf1	Угрожающий изам	Угрожающие изамы	Угрожающих изамов	Угрожающего изама
_439E111EDC961B17	cbbjf2	Ярящийся изам	Ярящиеся изамы	Ярящихся изамов	Ярящегося изама
_47075A2F06DF8CED	cbbjf3	Громадный изам	Громадные изамы	Громадных изамов	Громадного изама
_489CC926342DB4F3	cbbla1	Неопытный изам	Неопытные изамы	Неопытных изамов	Неопытного изама
_32704129E8D7072F	cbbla2	Малый изам	Малые изамы	Малых изамов	Малого изама
_EF0F6125A787F72F	cbbla3	Породистый изам	Породистые изамы	Породистых изамов	Породистого изама
_8B9F85E7F292FAFF	cbbla4	Парящий изам	Парящие изамы	Парящих изамов	Парящего изама
_AF8F111C2A27EF30	cbblb1	Сытый изам	Сытые изамы	Сытых изамов	Сытого изама
_323001162B792F30	cbblb2	Обыкновенный изам	Обыкновенные изамы	Обыкновенных изамов	Обыкновенного изама
_0701FD037270F6FA	cbblb3	Важный изам	Важные изамы	Важных изамов	Важного изама
