*HASH_VALUE	sbrick ID	name	* noms français	description	description2
_E3ED1C33DFCFA3BD	BFMA08	Повышенный урон 8		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 140.	Повышенный урон 8 - Максимальный фактор $1INC_DMG
_E33D2433DFDFA7BE	BFMA09	Повышенный урон 9		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 165.	Повышенный урон 9 - Максимальный фактор $1INC_DMG
_1006A1C96FF045FA	BFMA10	Повышенный урон 10		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 190.	Повышенный урон 10 - Максимальный фактор $1INC_DMG
_5186A5C9AF0049FA	BFMA11	Повышенный урон 11		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 215.	Повышенный урон 11 - Максимальный фактор $1INC_DMG
_10B6A5C9EF104DFA	BFMA12	Повышенный урон 12		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 240.	Повышенный урон 12 - Максимальный фактор $1INC_DMG
_51D6A5C92F2051FA	BFMA13	Повышенный урон 13		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 265.	Повышенный урон 13 - Максимальный фактор $1INC_DMG
_87DF1BB3354CE2F3	BFMC01	Прицельный удар 1		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 20.	Прицельный удар 1 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_872F1FB3355CE6F4	BFMC02	Прицельный удар 2		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 35.	Прицельный удар 2 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_87DF27B3356CEAF5	BFMC03	Прицельный удар 3		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 50.	Прицельный удар 3 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_872F2BB3357CEEF6	BFMC04	Прицельный удар 4		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 65.	Прицельный удар 4 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_87DF37B3358CF2F7	BFMC05	Прицельный удар 5		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 90.	Прицельный удар 5 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_2548612479F664B1	BFMC06	Прицельный удар 6		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 115.	Прицельный удар 6 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_B2EEF8758A898CB2	BFMC07	Прицельный удар 7		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 140.	Прицельный удар 7 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_B21EF8758A9994B2	BFMC08	Прицельный удар 8		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 170.	Прицельный удар 8 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_B2AEFC758AA99CB2	BFMC09	Прицельный удар 9		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 200.	Прицельный удар 9 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_9DE7FA8D8536BEE5	BFMC10	Прицельный удар 10		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 235.	Прицельный удар 10 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_9EE7FA8D0536C2E5	BFMC11	Прицельный удар 11		Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 275.	Прицельный удар 11 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_820A6C42D5B6F83F	BFMD01	Кровотечение 1		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 25."	Кровотечение 1 - Максимальный фактор: $2BLEED_FACTOR
_820A704215B6003F	BFMD02	Кровотечение 2		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 35."	Кровотечение 2 - Максимальный фактор: $2BLEED_FACTOR
_82BA784255B6083F	BFMD03	Кровотечение 3		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 50."	Кровотечение 3 - Максимальный фактор: $2BLEED_FACTOR
_820A7C4296B6103F	BFMD04	Кровотечение 4		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 65."	Кровотечение 4 - Максимальный фактор: $2BLEED_FACTOR
_82BA8842D6B6183F	BFMD05	Кровотечение 5		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 90."	Кровотечение 5 - Максимальный фактор: $2BLEED_FACTOR
_13C8472D11280303	BFMD06	Кровотечение 6		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 115."	Кровотечение 6 - Максимальный фактор: $2BLEED_FACTOR
_D2F8472D51380703	BFMD07	Кровотечение 7		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 140."	Кровотечение 7 - Максимальный фактор: $2BLEED_FACTOR
_1318472D92480B03	BFMD08	Кровотечение 8		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 165."	Кровотечение 8 - Максимальный фактор: $2BLEED_FACTOR
_D2B84B2DD2580F03	BFMD09	Кровотечение 9		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 200."	Кровотечение 9 - Максимальный фактор: $2BLEED_FACTOR
_ED5A77B875A2E253	BFMD10	Кровотечение 10		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 235."	Кровотечение 10 - Максимальный фактор: $2BLEED_FACTOR
_EE5A77BA75A2E653	BFMD11	Кровотечение 11		"Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 275."	Кровотечение 11 - Максимальный фактор: $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Штраф на стойкость 1		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 6 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1191CCDA	BFCA02	Штраф на стойкость 2		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 10 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1101D0DB	BFCA03	Штраф на стойкость 3		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 16 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11B1D8DC	BFCA04	Штраф на стойкость 4		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 20 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1121DCDD	BFCA05	Штраф на стойкость 5		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 26 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11D1E4DE	BFCA06	Штраф на стойкость 6		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 30 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11E1ECDF	BFCA07	Штраф на стойкость 7		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 40 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11F1F4E0	BFCA08	Штраф на стойкость 8		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 50 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1161FCE1	BFCA09	Штраф на стойкость 9		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 66 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_736A4DC80A3C7E15	BFCA10	Штраф на стойкость 10		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 80 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C383325EE8	BFCA11	Штраф на стойкость 11		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 100 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C5C34262E8	BFCA12	Штраф на стойкость 12		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 120 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C7035266E8	BFCA13	Штраф на стойкость 13		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 140 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C944626AE8	BFCA14	Штраф на стойкость 14		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 160 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200CB84726EE8	BFCA15	Штраф на стойкость 15		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 180 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C3048272E8	BFCA16	Штраф на стойкость 16		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 200 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613218C5449276E8	BFCA17	Штраф на стойкость 17		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 226 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C885A27AE8	BFCA18	Штраф на стойкость 18		"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 250 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_083E583067C3077C	BFCB01	Штраф на здоровье 1		Расходует $|HP единиц здоровья - обеспечивает  10 очков балансировки.	Расходует $|HP единиц здоровья
_083E5830A7D30B7C	BFCB02	Штраф на здоровье 2		Расходует $|HP единиц здоровья - обеспечивает  20 очков балансировки.	Расходует $|HP единиц здоровья
_083E5835E7E30F7C	BFCB03	Штраф на здоровье 3		Расходует $|HP единиц здоровья - обеспечивает  35 очков балансировки.	Расходует $|HP единиц здоровья
_083E583068F3137C	BFCB04	Штраф на здоровье 4		Расходует $|HP единиц здоровья - обеспечивает  50 очков балансировки.	Расходует $|HP единиц здоровья
_083E5835E803177C	BFCB05	Штраф на здоровье 5		Расходует $|HP единиц здоровья - обеспечивает  75 очков балансировки.	Расходует $|HP единиц здоровья
_38F25511B222DB32	BFCB06	Штраф на здоровье 6		Расходует $|HP единиц здоровья - обеспечивает  100 очков балансировки.	Расходует $|HP единиц здоровья
_38F26913B232DF32	BFCB07	Штраф на здоровье 7		Расходует $|HP единиц здоровья - обеспечивает  125 очков балансировки.	Расходует $|HP единиц здоровья
_38F25516B242E332	BFCB08	Штраф на здоровье 8		Расходует $|HP единиц здоровья - обеспечивает  150 очков балансировки.	Расходует $|HP единиц здоровья
_38F26918B252E732	BFCB09	Штраф на здоровье 9		Расходует $|HP единиц здоровья - обеспечивает  175 очков балансировки.	Расходует $|HP единиц здоровья
_94F667E30FB27EDE	BFCB10	Штраф на здоровье 10		Расходует $|HP единиц здоровья - обеспечивает  200 очков балансировки.	Расходует $|HP единиц здоровья
_0D1C4816003FD121	BFCC01	Действие после уклонения 1		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 10 очков балансировки.	Действие после уклонения 1
_0D2C4C17003FD521	BFCC02	Действие после уклонения 2		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 20 очков балансировки.	Действие после уклонения 2
_0D8C5018003FD921	BFCC03	Действие после уклонения 3		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 35 очков балансировки.	Действие после уклонения 3
_0D4C5819003FDD21	BFCC04	Действие после уклонения 4		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 50 очков балансировки.	Действие после уклонения 4
_0DAC601A003FE121	BFCC05	Действие после уклонения 5		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 75 очков балансировки.	Действие после уклонения 5
_71A829F813000587	BFCC06	Действие после уклонения 6		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 100 очков балансировки.	Действие после уклонения 6
_B2D82DF813000987	BFCC07	Действие после уклонения 7		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 125 очков балансировки.	Действие после уклонения 7
_711831F813000D87	BFCC08	Действие после уклонения 8		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 150 очков балансировки.	Действие после уклонения 8
_715835F813001187	BFCC09	Действие после уклонения 9		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 180 очков балансировки.	Действие после уклонения 9
_22EBD19E572BB7EC	BFCC10	Действие после уклонения 10		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 215 очков балансировки.	Действие после уклонения 10
_A3EBD19E572BBBE7	BFCC11	Действие после уклонения 11		Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 250 очков балансировки.	Действие после уклонения 11
_CEDD482AC812FD2D	BFCD01	Действие после парирования 1		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 10 очков балансировки.	Действие после парирования 1
_CEED4C2BC812012D	BFCD02	Действие после парирования 2		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 20 очков балансировки.	Действие после парирования 2
_CE4D502CC812052D	BFCD03	Действие после парирования 3		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 35 очков балансировки.	Действие после парирования 3
_CE0D582DC812092D	BFCD04	Действие после парирования 4		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 50 очков балансировки.	Действие после парирования 4
_CE6D602EC8120D2D	BFCD05	Действие после парирования 5		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 75 очков балансировки.	Действие после парирования 5
_B8A8290CE0433D77	BFCD06	Действие после парирования 6		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 100 очков балансировки.	Действие после парирования 6
_F9D82D0CE0434177	BFCD07	Действие после парирования 7		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 125 очков балансировки.	Действие после парирования 7
_B818310CE0434577	BFCD08	Действие после парирования 8		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 150 очков балансировки.	Действие после парирования 8
_B858350CE0434977	BFCD09	Действие после парирования 9		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 180 очков балансировки.	Действие после парирования 9
_63EBD1DAA0CE0F10	BFCD10	Действие после парирования 10		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 215 очков балансировки.	Действие после парирования 10
_E4EBD1DAA0CE130B	BFCD11	Действие после парирования 11		Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 250 очков балансировки.	Действие после парирования 11
_C1FA2A351E9A5362	BFCE01	Действие после критического попадания 1		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 10 очков балансировки.	Действие после критического попадания 1
_C10A2E351E9A5763	BFCE02	Действие после критического попадания 2		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 20 очков балансировки.	Действие после критического попадания 2
_C11A32351E9A6F64	BFCE03	Действие после критического попадания 3		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 35 очков балансировки.	Действие после критического попадания 3
_C12A36351E9A5F66	BFCE04	Действие после критического попадания 4		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 50 очков балансировки.	Действие после критического попадания 4
_C13A3A351E9A7768	BFCE05	Действие после критического попадания 5		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 75 очков балансировки.	Действие после критического попадания 5
_8BBAE3EAB8EFAB99	BFCE06	Действие после критического попадания 6		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 100 очков балансировки.	Действие после критического попадания 6
_CBBAE7EAB83FB799	BFCE07	Действие после критического попадания 7		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 125 очков балансировки.	Действие после критического попадания 7
_0CBAEBEAB8EFC799	BFCE08	Действие после критического попадания 8		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 150 очков балансировки.	Действие после критического попадания 8
_4CBAEFEAB8EFD799	BFCE09	Действие после критического попадания 9		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 180 очков балансировки.	Действие после критического попадания 9
_EA87DDD71A0874FB	BFCE10	Действие после критического попадания 10		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 215 очков балансировки.	Действие после критического попадания 10
_EA97DDD7D9487CFB	BFCE11	Действие после критического попадания 11		Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 250 очков балансировки.	Действие после критического попадания 11
_583A97FB8F996BD0	BCPA01	Оружие ближнего боя файросов		Базовая станза для изготовления оружия ближнего боя файросов.	
_583A97FB8FD94FDA	BCPA02	Оружие дальнего боя файросов		Базовая станза для изготовления оружия дальнего боя файросов.	
_388E8BE65D00235C	BCPA03	Заряды файросов		Базовая станза для изготовления зарядов файросов.	
_A64E972F5DCD5DF6	BCPA04	Доспехи файросов		Базовая станза для изготовления доспехов файросов.	
_7BC2A183B0928625	BCPA05	Щиты файросов		Базовая станза для изготовления щитов файросов.	
_A2B4A8B09128ABBD	BCPA06	Украшения файросов		Базовая станза для изготовления украшений файросов.	
_583A67FF837983D0	BCPA07	Оружие ближнего боя матисов		Базовая станза для изготовления оружия ближнего боя матисов.	
_583A67FF83B967DA	BCPA08	Оружие дальнего боя матисов		Базовая станза для изготовления оружия дальнего боя матисов.	
_388E73E2D8EF575C	BCPA09	Матисские заряды		Базовая станза для изготовления матисских зарядов	
_A64E673351AD4DF7	BCPA10	Доспехи матисов		Базовая станза для изготовления доспехов матисов.	
_FAE2298CAA027626	BCPA11	Щиты матисов		Базовая станза для изготовления щитов матисов.	
_A254989A4D989BBE	BCPA12	Украшения матисов		Базовая станза для изготовления украшений матисов.	
_90EBE68D888530C2	BCPA13	 Оружие ближнего боя трайкеров		Базовая станза для изготовления оружия ближнего боя трайкеров.	
_90EBEE91079648C2	BCPA14	Оружие дальнего боя трайкеров		Базовая станза для изготовления оружия дальнего боя трайкеров.	
_CE8C7737D98F5995	BCPA15	Заряды трайкеров		Базовая станза для изготовления зарядов трайкеров.	
_B383BCBB1479F2E6	BCPA16	Доспехи трайкеров		Базовая станза для изготовления доспехов трайкеров.	
_07973111867943EB	BCPA17	Щиты трайкеров		Базовая станза для изготовления щитов трайкеров.	
_10E1DD8DF2FE63E5	BCPA18	Украшения трайкеров		Базовая станза для изготовления украшений трайкеров.	
_58C827FB891B8BD1	BCPA19	Оружие ближнего боя Зораи		Базовая станза для изготовления оружия ближнего боя Зораи.	
_58C827FB895B47DC	BCPA20	Оружие дальнего боя Зораи		Базовая станза для изготовления оружия дальнего боя Зораи.	
_385545D8DAA06B5E	BCPA21	Заряды Зораи		Базовая станза для изготовления зарядов Зораи.	
_A6DC272F574F55F8	BCPA22	Доспехи Зораи		Базовая станза для изготовления доспехов Зораи.	
_F88941972DD37EA3	BCPA23	Щиты Зораи		Базовая станза для изготовления щитов Зораи.	
_C19B70A61369A3BF	BCPA24	Украшения Зораи		Базовая станза для изготовления украшений Зораи.	
_F2BD00EFAB47BB2A	BIF01	%comp			
_F2BD00EFAB47BB2B	BIF02	%comp			
_F2BD00EFAB47BB2C	BIF03	%comp			
_F2BD00EFAB47BB2D	BIF04	%comp			
_F2BD00EFAB47BB2E	BIF05	%comp			
_F2BD00EFAB47BB2F	BIF06	%comp			
_4414D1D754F87749	BIF07	%comp с одноручной палицей			
_F2BD00EFAB47BB31	BIF08	%comp			
_1310C067D555CE38	BIF09	%comp с посохом			
_32BD00EFAB47BB29	BIF10	%comp			
_32BD00EFAB47BB2A	BIF11	%comp			
_32BD00EFAB47BB2B	BIF12	%comp			
_32BD00EFAB47BB2C	BIF13	%comp			
_1250B067D555BA40	BIF14	%comp с копьем			
_32BD00EFAB47BB2E	BIF15	%comp			
_32BD00EFAB47BB2F	BIF16	%comp			
_32BD00EFAB47BB30	BIF17	%comp			
_81BEC5CB19B87F61	BIF18	%comp с одноручным топором			
_32BD00EFAB47BB32	BIF19	%comp			
_9E4401C415C9A758	BIF20	%comp с одноручным мечом			
_72BD00EFAB47BB2A	BIF21	%comp с одноручным мечом			
_72BD00EFAB47BB2B	BIF22	%comp			
_72BD00EFAB47BB2C	BIF23	%comp			
_72BD00EFAB47BB2D	BIF24	%comp			
_72BD00EFAB47BB2E	BIF25	%comp			
_C4B4F5DC54F87748	BIF26	%comp с двуручной палицей			
_72BD00EFAB47BB30	BIF27	%comp			
_72BD00EFAB47BB31	BIF28	%comp			
_72BD00EFAB47BB32	BIF29	%comp			
_CE80B0411778CA2A	BIF30	%comp с пикой			
_B2BD00EFAB47BB2A	BIF31	%comp			
_B2BD00EFAB47BB2B	BIF32	%comp			
_B2BD00EFAB47BB2C	BIF33	%comp			
_015EE9D019B87F5D	BIF34	%comp с двуручным топором			
_B2BD00EFAB47BB2E	BIF35	%comp			
_B2BD00EFAB47BB2F	BIF36	%comp			
_B2BD00EFAB47BB30	BIF37	%comp			
_DEE425C915C9A760	BIF38	%comp с двуручным мечом			
_B2BD00EFAB47BB32	BIF39	%comp с двуручным мечом			
_F3BD00EFAB47BB29	BIF40	%comp			
_F3BD00EFAB47BB2A	BIF41	%comp			
_F3BD00EFAB47BB2B	BIF42	%comp			
_F3BD00EFAB47BB2C	BIF43	%comp			
_1500005B4915FE48	BIF44	%comp с кинжалом			
_F3BD00EFAB47BB2E	BIF45	%comp с кинжалом	a		
_F3BD00EFAB47BB2F	BIF46	%comp			
_747975A146FEE454	BIF47	%comp с навыками рукопашного боя			
_F3BD00EFAB47BB31	BIF48	%comp			
_F3BD00EFAB47BB32	BIF49	%comp			
_33BD00EFAB47BB29	BIF50	%comp			
_33BD00EFAB47BB2A	BIF51	%comp			
_6024285D4F973B69	BIF52	%comp с самострелом			
_33BD00EFAB47BB2C	BIF53	%comp			
_33BD00EFAB47BB2D	BIF54	%comp			
_33BD00EFAB47BB2E	BIF55	%comp			
_99C120674935EA54	BIF56	%comp с пистолетом			
_33BD00EFAB47BB30	BIF57	%comp			
_33BD00EFAB47BB31	BIF58	%comp			
_33BD00EFAB47BB32	BIF59	%comp			
_73BD00EFAB47BB29	BIF60	%comp			
_E1035C53D799BB67	BIF61	%comp с автометателем			
_73BD00EFAB47BB2B	BIF62	%comp			
_73BD00EFAB47BB2C	BIF63	%comp			
_5F637452C9E62348	BIF64	%comp с арбалетом			
_73BD00EFAB47BB2E	BIF65	%comp			
_73BD00EFAB47BB2F	BIF66	%comp			
_73BD00EFAB47BB30	BIF67	%comp			
_5E433C5C0C762B46	BIF68	%comp с метателем			
_73BD00EFAB47BB32	BIF69	%comp			
_B3BD00EFAB47BB29	BIF70	%comp			
_56609466D555AE36	BIF71	%comp с ружьем			
_B3BD00EFAB47BB2B	BIF72	%comp			
_B3BD00EFAB47BB2C	BIF73	%comp			
_B3BD00EFAB47BB2D	BIF74	%comp			
_B3BD00EFAB47BB2E	BIF75	%comp			
_B3BD00EFAB47BB2F	BIF76	%comp			
_B3BD00EFAB47BB30	BIF77	%comp			
_B3BD00EFAB47BB31	BIF78	%comp			
_B3BD00EFAB47BB32	BIF79	%comp			
_F4BD00EFAB47BB29	BIF80	%comp			
_F4BD00EFAB47BB2A	BIF81	%comp			
_F4BD00EFAB47BB2B	BIF82	%comp			
_F4BD00EFAB47BB2C	BIF83	%comp			
_F4BD00EFAB47BB2D	BIF84	%comp			
_F4BD00EFAB47BB2E	BIF85	%comp			
_F4BD00EFAB47BB2F	BIF86	%comp			
_F4BD00EFAB47BB30	BIF87	%comp			
_F4BD00EFAB47BB31	BIF88	%comp			
_F4BD00EFAB47BB32	BIF89	%comp			
_34BD00EFAB47BB29	BIF90	%comp			
_34BD00EFAB47BB2A	BIF91	%comp			
_34BD00EFAB47BB2B	BIF92	%comp			
_34BD00EFAB47BB2C	BIF93	%comp			
_34BD00EFAB47BB2D	BIF94	%comp			
_34BD00EFAB47BB2E	BIF95	%comp			
_34BD00EFAB47BB2F	BIF96	%comp			
_34BD00EFAB47BB30	BIF97	%comp			
_34BD00EFAB47BB31	BIF98	%comp			
_34BD00EFAB47BB32	BIF99	%comp			
_B8DBDDF723F2A6CE	BIF100	%comp			
_B8DBDDF723F2AACE	BIF101	%comp			
_B8DBDDF723F2AECE	BIF102	%comp			
_B8DBDDF723F2B2CE	BIF103	%comp			
