*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2
_0D2C4C17003FD521	BFCC02	Opening After Dodge 2		an	the				Makes the action only usable after you dodge successfully- gives 20 credits.	Opening After dodge 2
_0D8C5018003FD921	BFCC03	Opening After Dodge 3		an	the				Makes the action only usable after you dodge successfully- gives 35 credits.	Opening After dodge 3
_0D4C5819003FDD21	BFCC04	Opening After Dodge 4		an	the				Makes the action only usable after you dodge successfully- gives 50 credits.	Opening After dodge 4
_0DAC601A003FE121	BFCC05	Opening After Dodge 5		an	the				Makes the action only usable after you dodge successfully- gives 75 credits.	Opening After dodge 5
_71A829F813000587	BFCC06	Opening After Dodge 6		an	the				Makes the action only usable after you dodge successfully- gives 100 credits.	Opening After dodge 6
_B2D82DF813000987	BFCC07	Opening After Dodge 7		an	the				Makes the action only usable after you dodge successfully- gives 125 credits.	Opening After dodge 7
_711831F813000D87	BFCC08	Opening After Dodge 8		an	the				Makes the action only usable after you dodge successfully- gives 150 credits.	Opening After dodge 8
_715835F813001187	BFCC09	Opening After Dodge 9		an	the				Makes the action only usable after you dodge successfully- gives 180 credits.	Opening After dodge 9
_22EBD19E572BB7EC	BFCC10	Opening After Dodge 10		an	the				Makes the action only usable after you dodge successfully- gives 215 credits.	Opening After dodge 10
_A3EBD19E572BBBE7	BFCC11	Opening After Dodge 11		an	the				Makes the action only usable after you dodge successfully- gives 250 credits.	Opening After dodge 11
_CEDD482AC812FD2D	BFCD01	Opening After Parry 1		an	the				Makes the action only usable after you parry successfully- gives 10 credits.	Opening After parry 1
_CEED4C2BC812012D	BFCD02	Opening After Parry 2		an	the				Makes the action only usable after you parry successfully- gives 20 credits.	Opening After parry 2
_CE4D502CC812052D	BFCD03	Opening After Parry 3		an	the				Makes the action only usable after you parry successfully- gives 35 credits.	Opening After parry 3
_CE0D582DC812092D	BFCD04	Opening After Parry 4		an	the				Makes the action only usable after you parry successfully- gives 50 credits.	Opening After parry 4
_CE6D602EC8120D2D	BFCD05	Opening After Parry 5		an	the				Makes the action only usable after you parry successfully- gives 75 credits.	Opening After parry 5
_B8A8290CE0433D77	BFCD06	Opening After Parry 6		an	the				Makes the action only usable after you parry successfully- gives 100 credits.	Opening After parry 6
_F9D82D0CE0434177	BFCD07	Opening After Parry 7		an	the				Makes the action only usable after you parry successfully- gives 125 credits.	Opening After parry 7
_B818310CE0434577	BFCD08	Opening After Parry 8		an	the				Makes the action only usable after you parry successfully- gives 150 credits.	Opening After parry 8
_B858350CE0434977	BFCD09	Opening After Parry 9		an	the				Makes the action only usable after you parry successfully- gives 180 credits.	Opening After parry 9
_63EBD1DAA0CE0F10	BFCD10	Opening After Parry 10		an	the				Makes the action only usable after you parry successfully- gives 215 credits.	Opening After parry 10
_E4EBD1DAA0CE130B	BFCD11	Opening After Parry 11		an	the				Makes the action only usable after you parry successfully- gives 250 credits.	Opening After parry 11
_C1FA2A351E9A5362	BFCE01	Opening After Critical Hit 1		an	the				Makes the action only usable after you deliver a critical hit - gives 10 credits.	Opening After critical hit 1
_C10A2E351E9A5763	BFCE02	Opening After Critical Hit 2		an	the				Makes the action only usable after you deliver a critical hit - gives 20 credits.	Opening After critical hit 2
_C11A32351E9A6F64	BFCE03	Opening After Critical Hit 3		an	the				Makes the action only usable after you deliver a critical hit - gives 35 credits.	Opening After critical hit 3
_C12A36351E9A5F66	BFCE04	Opening After Critical Hit 4		an	the				Makes the action only usable after you deliver a critical hit - gives 50 credits.	Opening After critical hit 4
_C13A3A351E9A7768	BFCE05	Opening After Critical Hit 5		an	the				Makes the action only usable after you deliver a critical hit - gives 75 credits.	Opening After critical hit 5
_8BBAE3EAB8EFAB99	BFCE06	Opening After Critical Hit 6		an	the				Makes the action only usable after you deliver a critical hit - gives 100 credits.	Opening After critical hit 6
_CBBAE7EAB83FB799	BFCE07	Opening After Critical Hit 7		an	the				Makes the action only usable after you deliver a critical hit - gives 125 credits.	Opening After critical hit 7
_0CBAEBEAB8EFC799	BFCE08	Opening After Critical Hit 8		an	the				Makes the action only usable after you deliver a critical hit - gives 150 credits.	Opening After critical hit 8
_4CBAEFEAB8EFD799	BFCE09	Opening After Critical Hit 9		an	the				Makes the action only usable after you deliver a critical hit - gives 180 credits.	Opening After critical hit 9
_EA87DDD71A0874FB	BFCE10	Opening After Critical Hit 10		an	the				Makes the action only usable after you deliver a critical hit - gives 215 credits.	Opening After critical hit 10
_EA97DDD7D9487CFB	BFCE11	Opening After Critical Hit 11		an	the				Makes the action only usable after you deliver a critical hit - gives 250 credits.	Opening after critical hit 11
_583A97FB8F996BD0	BCPA01	Fyros Melee Weapons		a	the				Base stanza for crafting Fyros melee weapons.	
_583A97FB8FD94FDA	BCPA02	Fyros Range Weapons		a	the				Base stanza for crafting Fyros range weapons.	
_388E8BE65D00235C	BCPA03	Fyros Ammo		a	the				Base stanza for crafting Fyros ammo.	
_A64E972F5DCD5DF6	BCPA04	Fyros Armor		a	the				Base stanza for crafting Fyros armor.	
_7BC2A183B0928625	BCPA05	Fyros Shields		a	the				Base stanza for crafting Fyros shields.	
_A2B4A8B09128ABBD	BCPA06	Fyros Jewels		a	the				Base stanza for crafting Fyros jewels.	
_583A67FF837983D0	BCPA07	Matis Melee Weapons		a	the				Base stanza for crafting Matis melee weapons.	
_583A67FF83B967DA	BCPA08	Matis Range Weapons		a	the				Base stanza for crafting Matis range weapons.	
_388E73E2D8EF575C	BCPA09	Matis Ammo		a	the				Base stanza for crafting Matis ammo.	
_A64E673351AD4DF7	BCPA10	Matis Armor		a	the				Base stanza for crafting Matis armor.	
_FAE2298CAA027626	BCPA11	Matis Shields		a	the				Base stanza for crafting Matis shields.	
_A254989A4D989BBE	BCPA12	Matis Jewels		a	the				Base stanza for crafting Matis jewels.	
_90EBE68D888530C2	BCPA13	Tryker Melee Weapons		a	the				Base stanza for crafting Tryker melee weapons.	
_90EBEE91079648C2	BCPA14	Tryker Range Weapons		a	the				Base stanza for crafting Tryker range weapons.	
_CE8C7737D98F5995	BCPA15	Tryker Ammo		a	the				Base stanza for crafting Tryker ammo.	
_B383BCBB1479F2E6	BCPA16	Tryker Armor		a	the				Base stanza for crafting Tryker armor.	
_07973111867943EB	BCPA17	Tryker Shields		a	the				Base stanza for crafting Tryker shields.	
_10E1DD8DF2FE63E5	BCPA18	Tryker Jewels		a	the				Base stanza for crafting Tryker jewels.	
_58C827FB891B8BD1	BCPA19	Zoraï Melee Weapons		a	the				Base stanza for crafting Zoraï melee weapons.	
_58C827FB895B47DC	BCPA20	Zoraï Range Weapons		a	the				Base stanza for crafting Zoraï range weapons.	
_385545D8DAA06B5E	BCPA21	Zoraï Ammo		a	the				Base stanza for crafting Zoraï ammo.	
_A6DC272F574F55F8	BCPA22	Zoraï Armor		a	the				Base stanza for crafting Zoraï armor.	
_F88941972DD37EA3	BCPA23	Zoraï Shields		a	the				Base stanza for crafting Zoraï shields.	
_C19B70A61369A3BF	BCPA24	Zoraï Jewels		a	the				Base stanza for crafting Zoraï jewels.	
_F2BD00EFAB47BB2A	BIF01	%comp		a	the					
_F2BD00EFAB47BB2B	BIF02	%comp		a	the					
_F2BD00EFAB47BB2C	BIF03	%comp		a	the					
_F2BD00EFAB47BB2D	BIF04	%comp		a	the					
_F2BD00EFAB47BB2E	BIF05	%comp		a	the					
_F2BD00EFAB47BB2F	BIF06	%comp		a	the					
_4414D1D754F87749	BIF07	%comp with One-handed Mace		a	the					
_F2BD00EFAB47BB31	BIF08	%comp		a	the					
_1310C067D555CE38	BIF09	%comp with Staff		a	the					
_32BD00EFAB47BB29	BIF10	%comp		a	the					
_32BD00EFAB47BB2A	BIF11	%comp		a	the					
_32BD00EFAB47BB2B	BIF12	%comp		a	the					
_32BD00EFAB47BB2C	BIF13	%comp		a	the					
_1250B067D555BA40	BIF14	%comp with Spear		a	the					
_32BD00EFAB47BB2E	BIF15	%comp		a	the					
_32BD00EFAB47BB2F	BIF16	%comp		a	the					
_32BD00EFAB47BB30	BIF17	%comp		a	the					
_81BEC5CB19B87F61	BIF18	%comp with One-handed Axe		a	the					
_32BD00EFAB47BB32	BIF19	%comp		a	the					
_9E4401C415C9A758	BIF20	%comp with One-handed Sword		a	the					
_72BD00EFAB47BB2A	BIF21	%comp with One-handed Sword		a	the					
_72BD00EFAB47BB2B	BIF22	%comp		a	the					
_72BD00EFAB47BB2C	BIF23	%comp		a	the					
_72BD00EFAB47BB2D	BIF24	%comp		a	the					
_72BD00EFAB47BB2E	BIF25	%comp		a	the					
_C4B4F5DC54F87748	BIF26	%comp with Two-handed Mace		a	the					
_72BD00EFAB47BB30	BIF27	%comp		a	the					
_72BD00EFAB47BB31	BIF28	%comp		a	the					
_72BD00EFAB47BB32	BIF29	%comp		a	the					
_CE80B0411778CA2A	BIF30	%comp with Pike		a	the					
_B2BD00EFAB47BB2A	BIF31	%comp		a	the					
_B2BD00EFAB47BB2B	BIF32	%comp		a	the					
_B2BD00EFAB47BB2C	BIF33	%comp		a	the					
_015EE9D019B87F5D	BIF34	%comp with Two-handed Axe		a	the					
_B2BD00EFAB47BB2E	BIF35	%comp		a	the					
_B2BD00EFAB47BB2F	BIF36	%comp		a	the					
_B2BD00EFAB47BB30	BIF37	%comp		a	the					
_DEE425C915C9A760	BIF38	%comp with Two-handed Sword		a	the					
_B2BD00EFAB47BB32	BIF39	%comp with Two-handed Sword		a	the					
_F3BD00EFAB47BB29	BIF40	%comp		a	the					
_F3BD00EFAB47BB2A	BIF41	%comp		a	the					
_F3BD00EFAB47BB2B	BIF42	%comp		a	the					
_F3BD00EFAB47BB2C	BIF43	%comp		a	the					
_1500005B4915FE48	BIF44	%comp with Dagger		a	the					
_F3BD00EFAB47BB2E	BIF45	%comp with Dagger		a	the					
_F3BD00EFAB47BB2F	BIF46	%comp		a	the					
_747975A146FEE454	BIF47	%comp with Hand to Hand Combat		a	the					
_F3BD00EFAB47BB31	BIF48	%comp		a	the					
_F3BD00EFAB47BB32	BIF49	%comp		a	the					
_33BD00EFAB47BB29	BIF50	%comp		a	the					
_33BD00EFAB47BB2A	BIF51	%comp		a	the					
_6024285D4F973B69	BIF52	%comp with Bowpistol		a	the					
_33BD00EFAB47BB2C	BIF53	%comp		a	the					
_33BD00EFAB47BB2D	BIF54	%comp		a	the					
_33BD00EFAB47BB2E	BIF55	%comp		a	the					
_99C120674935EA54	BIF56	%comp with Pistol		a	the					
_33BD00EFAB47BB30	BIF57	%comp		a	the					
_33BD00EFAB47BB31	BIF58	%comp		a	the					
_33BD00EFAB47BB32	BIF59	%comp		a	the					
_73BD00EFAB47BB29	BIF60	%comp		a	the					
_E1035C53D799BB67	BIF61	%comp with Autolauncher		a	the					
_73BD00EFAB47BB2B	BIF62	%comp		a	the					
_73BD00EFAB47BB2C	BIF63	%comp		a	the					
_5F637452C9E62348	BIF64	%comp with Bowrifle		a	the					
_73BD00EFAB47BB2E	BIF65	%comp		a	the					
_73BD00EFAB47BB2F	BIF66	%comp		a	the					
_73BD00EFAB47BB30	BIF67	%comp		a	the					
_5E433C5C0C762B46	BIF68	%comp with Launcher		a	the					
_73BD00EFAB47BB32	BIF69	%comp		a	the					
_B3BD00EFAB47BB29	BIF70	%comp		a	the					
_56609466D555AE36	BIF71	%comp with Rifle		a	the					
_B3BD00EFAB47BB2B	BIF72	%comp		a	the					
_B3BD00EFAB47BB2C	BIF73	%comp		a	the					
_B3BD00EFAB47BB2D	BIF74	%comp		a	the					
_B3BD00EFAB47BB2E	BIF75	%comp		a	the					
_B3BD00EFAB47BB2F	BIF76	%comp		a	the					
_B3BD00EFAB47BB30	BIF77	%comp		a	the					
_B3BD00EFAB47BB31	BIF78	%comp		a	the					
_B3BD00EFAB47BB32	BIF79	%comp		a	the					
_F4BD00EFAB47BB29	BIF80	%comp		a	the					
_F4BD00EFAB47BB2A	BIF81	%comp		a	the					
_F4BD00EFAB47BB2B	BIF82	%comp		a	the					
_F4BD00EFAB47BB2C	BIF83	%comp		a	the					
_F4BD00EFAB47BB2D	BIF84	%comp		a	the					
_F4BD00EFAB47BB2E	BIF85	%comp		a	the					
_F4BD00EFAB47BB2F	BIF86	%comp		a	the					
_F4BD00EFAB47BB30	BIF87	%comp		a	the					
_F4BD00EFAB47BB31	BIF88	%comp		a	the					
_F4BD00EFAB47BB32	BIF89	%comp		a	the					
_34BD00EFAB47BB29	BIF90	%comp		a	the					
_34BD00EFAB47BB2A	BIF91	%comp		a	the					
_34BD00EFAB47BB2B	BIF92	%comp		a	the					
_34BD00EFAB47BB2C	BIF93	%comp		a	the					
_34BD00EFAB47BB2D	BIF94	%comp		a	the					
_34BD00EFAB47BB2E	BIF95	%comp		a	the					
_34BD00EFAB47BB2F	BIF96	%comp		a	the					
_34BD00EFAB47BB30	BIF97	%comp		a	the					
_34BD00EFAB47BB31	BIF98	%comp		a	the					
_34BD00EFAB47BB32	BIF99	%comp		a	the					
_B8DBDDF723F2A6CE	BIF100	%comp		a	the					
_B8DBDDF723F2AACE	BIF101	%comp		a	the					
_B8DBDDF723F2AECE	BIF102	%comp		a	the					
_B8DBDDF723F2B2CE	BIF103	%comp		a	the					
_B8DBDDF723F2B6CE	BIF104	%comp		a	the					
_B8DBDDF723F2BACE	BIF105	%comp		a	the					
_B8DBDDF723F2BECE	BIF106	%comp		a	the					
_B8DBDDF723F2C2CE	BIF107	%comp		a	the					
_B8DBDDF723F2C6CE	BIF108	%comp		a	the					
_B8DBDDF723F2CACE	BIF109	%comp		a	the					
_B8DBDDF723F2A6CF	BIF110	%comp		a	the					
_B8DBDDF723F2AACF	BIF111	%comp		a	the					
_B8DBDDF723F2AECF	BIF112	%comp		a	the					
_B8DBDDF723F2B2CF	BIF113	%comp		a	the					
_B8DBDDF723F2B6CF	BIF114	%comp		a	the					
_B8DBDDF723F2BACF	BIF115	%comp		a	the					
_B8DBDDF723F2BECF	BIF116	%comp		a	the					
_B8DBDDF723F2C2CF	BIF117	%comp		a	the					
_B8DBDDF723F2C6CF	BIF118	%comp		a	the					
_B8DBDDF723F2CACF	BIF119	%comp		a	the					
_B8DBDDF723F2A6D0	BIF120	%comp		a	the					
_B8DBDDF723F2AAD0	BIF121	%comp		a	the					
_11BC1D80B4692AF1	melee_reduce_latency_1	Reduce Latency 1		a	the				Put here the Stanza Description.	
_6A770AFF2C254AB2	bcfpea13	Bowpistol Smashing Ammo		a	the				Crafting plan for Fyros bowpistol smashing ammo.	
_EAF7EAF96D254AA8	bcfpea14	Bowpistol Piercing Ammo		a	the				Crafting plan for Fyros bowpistol piercing ammo.	
_6A7702FFAD254AB2	bcfpea15	Bowpistol Slashing Ammo		a	the				Crafting plan for Fyros bowpistol slashing ammo.	
_A0BDD48F4644C1BA	bcfpea07	Grenade Smashing Ammo		a	the				Crafting plan for Fyros grenade smashing ammo.	
_A06DD08E4654B1B7	bcfpea08	Grenade Piercing Ammo		a	the				Crafting plan for Fyros grenade piercing ammo.	
_A0BDD48F8744BDBA	bcfpea09	Grenade Slashing Ammo		a	the				Crafting plan for Fyros grenade slashing ammo.	
_3F65D3106C5BB33C	bcfpea16	Pistol Smashing Ammo		a	the				Crafting plan for Fyros pistol smashing ammo.	
_3E35BF0FADCBA340	bcfpea17	Pistol Piercing Ammo		a	the				Crafting plan for Fyros pistol piercing ammo.	
