*HASH_VALUE	race ID	name	ia	da	p	pia	pda
_99EA64B99FD4C877	race_h3	Frippo	a	the	Frippos		the
_992984AB9F349486	race_h4	Rendor	a	the	Rendors		the
_1CB568B194D2849E	race_h5	Gnoof	a	the	Gnoofs		the
_D6D958A85D34BC6D	race_h6	Bolobi	a	the	Bolobis		the
_D6A928A0E194A07D	race_h7	Shalah	a	the	Shalahs		the
_252860AE23E60BA8	race_h8	Ploderos	a	the	Plodeross		the
_57095CA75F74BC82	race_h9	Wombai	a	the	Wombais		the
_62E8288153139F93	race_h10	Madakam	a	the	Madakams		the
_98F9508696450454	race_h11	Arana	an	the	Aranas		the
_2537747E9AE49370	race_h12	Gubani	a	the	Gubanis		the
_E5B890C2A4E598AF	race_c6	Tyrancha	a	the	Tyranchas		the
_2629B4959676A893	race_c7	Yetin	a	the	Yetins		the
_01A8F8B90018E492	gooArma	Arma Goo	an	the			
_9E846FA06CAA4C7E	gooBalduse	Baldusa Goo	a	the			
_8A7824AB6140B89A	gooBul	Bodoc Goo	a	the			
_DE947FA3AF0C9483	gooCapryni	Capryni Goo	a	the			
_9C49D4A995B9544D	gooCephaloplant	Jubla Goo	a	the			
_9C94DC8FD548B4B9	gooChonari	Gingo Goo	a	the			
_9075A0A02799D4BC	gooClapclap	Prakker Goo	a	the			
_4CE5A0A0E90914B9	gooCococlaw	Clopper Goo	a	the			
_0ED6C4C45682E09F	gooCute	Cute Goo	a	the			
_9894E48A2EB7885F	gooDag	Yubo Goo	a	the			
_98F2C8956EF850B9	gooDiranak	Horncher Goo	a	the			
_1D0804A366573C5A	gooElectroalgs	Stinga Goo	a	the			
_18D8646167EA3C8A	gooEstrasson	Cray Goo	a	the			
_A5D92892A0E2889B	gooFilin	Messab Goo	a	the			
_DD77508FD5194CAF	gooFrahar	Frahar Goo	a	the			
_1BF65486932938A1	gooGibbai	Gibbay Goo	a	the			
_D0F8384FEDB97092	gooHachtaha	Goari Goo	a	the			
_DA2760536988CCBD	gooJungler	Torbak Goo	a	the			
_E5F87C916783F0A2	gooKakty	Lumper Goo	a	the			
_9CC94C6C6996FB8A	gooKalab	Kalab Goo	a	the			
_0B96B8A95342D484	gooKami	Kami Goo	a	the			
_1D365CB79E64CCC1	gooKazoar	Igara Goo	an	the			
_D9967C5A27C830AD	gooKitifly	Kizoar Goo	a	the			
_5A1693A6E74BB48C	gooKitihank	Kinrey Goo	a	the			
_8D18ACAE24E7F06A	gooKitiharak	Kizarak Goo	a	the			
_E2148B966B5B9093	gooKitikil	Kipesta Goo	a	the			
_2118E88CA318D852	gooKitimandib	Kincher Goo	a	the			
_A0CB8C6C6E961BAA	gooKitin	Kitin Goo	a	the			
_4E78A89FAA47F06A	gooKitinagan	Kipucka Goo	a	the			
_508474A8B13884B0	gooKitinega	Kirosta Goo	a	the			
_63A787A9674AA06E	gooKitinokto	Kiban Goo	a	the			
_E2091C4EAC59E45F	gooLightbird	Izam Goo	an	the			
_623463A36F3A988C	gooMektoub	Mektoub Goo	a	the			
_09F9DCBB28F84491	gooPhytopsy	Psykopla Goo	a	the			
_D5C85460EC88ACB4	gooPucetron	Kipee Goo	a	the			
_68295C7A6BD703B0	gooRegus	Ragus Goo	a	the			
_E9B9FCA7DBF4D0A7	gooRyzerb	Najab Goo	a	the			
_5F568BA4ABFA08A3	gooRyzoholo	Timari Goo	a	the			
_24568BB3670B1090	gooRyzoholok	Vorax Goo	a	the			
_26A9CCAA6CF3A794	gooSapEnslaver	Slaveni Goo	a	the			
_1E78FC5ADAF97CAC	gooSpittingWeeds	Cratcha Goo	a	the			
_2248FCA724482C72	gooSwarmplants	Shooki Goo	a	the			
_A0D85055E75AD07C	gooVampignon	Yelk Goo	a	the			
_E16790959A59C8B0	gooVarinx	Varinx Goo	a	the			
_CF08BCA217B4D87D	gooYber	Yber Goo	a	the			
_D07808B21824248D	gooZerx	Zerx Goo	a	the			
_13299C8E12444055	gooc1	Javing Goo	a	the			
_EA294C6E6C99982D	gooc2	Cuttler Goo	a	the			
_5F62BBBD6D874B74	gooc3	Ocyx Goo	a	the			
_16D8E49A0F852856	gooc4	Jugula Goo	a	the			
_24287466A698C025	gooc5	Kidinak Goo	a	the			
_1749689D51947448	gooh1	Raspal Goo	a	the			
_53E9687E92940C49	gooh2	Bawaab Goo	a	the			
_17D8E8914FA55059	gooh3	Frippo Goo	a	the			
_1459B091D1D48C59	gooh4	Rendor Goo	a	the			
_5F64A8ACA4459833	gooh5	Gnoof Goo	a	the			
_D6A8A48CD174284E	gooh6	Bolobi Goo	a	the			
_16E8849A4E04684E	gooh7	Shalah Goo	a	the			
_2A69B7A22D86EF7F	gooh8	Ploderos Goo	a	the			
_93B8A094D2747C50	gooh9	Wombai Goo	a	the			
_DFF68BA2E8546E64	gooh10	Madakam Goo	a	the			
_17A60B671616F740	gooh11	Arana Goo	an	the			
_2AD6DB5BAC46271A	gooh12	Gubani Goo	a	the			
