*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description		
_2E67673587860FDF	aBFMC01	Ataque Preciso 1		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 20		
_2E67673508A60FDF	aBFMC02	Ataque Preciso 2		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 35.		
_2E67673507D60FDF	aBFMC03	Ataque Preciso 3		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 50.		
_2E67673589F60FDF	aBFMC04	Ataque Preciso 4		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 65.		
_2E67673588360FDF	aBFMC05	Ataque Preciso 5		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 90.		
_2E671F3C08C60FDF	aBFMC06	Ataque Preciso 6		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 115.		
_2E671F3709D60FDF	aBFMC07	Ataque Preciso 7		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 140.		
_2E671F370AE60FDF	aBFMC08	Ataque Preciso 8		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 170.		
_2E671F3789060FDF	aBFMC09	Ataque Preciso 9		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de  200.		
_F1024ED620BDADB2	aBFMC10	Ataque Preciso 10		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar-  máxima eficiencia para un arma con un nivel recomendado de 235.		
_F1024EDB20CDADB2	aBFMC11	Ataque Preciso 11		un	el				Reduce la posibilidad de que tu enemigo pueda esquivar -  máxima eficiencia para un arma con un nivel recomendado de 275.		
_E476C1DC32F82500	aBFMD01	Sangrado 1		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 25.		
_E476C5DD32082500	aBFMD02	Sangrado 2		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 35.		
_E426CDDE32182500	aBFMD03	Sangrado 3		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 50.		
_E476D1DF32282500	aBFMD04	Sangrado 4		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 65.		
_E426DDE032382500	aBFMD05	Sangrado 5		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 90.		
_A636BDE13248252E	aBFMD06	Sangrado 6		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 115.		
_6566BDE23258252E	aBFMD07	Sangrado 7		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 140.		
_A686BDE33268252E	aBFMD08	Sangrado 8		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 165.		
_6526C1E43278252E	aBFMD09	Sangrado 9		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 200.		
_EC6DE377614890A8	aBFMD10	Sangrado 10		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 235.		 
_ED6DE777615890A8	aBFMD11	Sangrado 11		un	el				Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) para 10 s - máxima eficiencia para un arma con un nivel recomendado de 275.		
_1CD63F5A46D02A42	abfcb01	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46E02A42	abfcb02	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46F02A42	abfcb03	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46002A42	abfcb04	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46102A42	abfcb05	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46202A42	abfcb06	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46302A42	abfcb07	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46402A42	abfcb08	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46502A42	abfcb09	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_1CD63F5A46C02E42	abfcb10	Actualización del Crédito de HP		un	el				Te da una estancia de crédito que consume HP.		
_45137A24795BE8EE	abfcc01	Ataque Después de Evasión 1		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 20. Utilizable solo después de una evasión		
_45237A24B96BE8EE	abfcc02	Ataque Después de Evasión 2		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 30. Utilizable solo después de una evasión.		
_45337A29FA7BE8EE	abfcc03	Ataque Después de Evasión 3		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 45. Utilizable solo después de una evasión.		
_45437A24BA8BE8EE	abfcc04	Ataque Después de Evasión 4		un	el				Aumenta el daño hasta el doble  - máxima eficiencia para un arma con un nivel de habilidad recomendado de 70. Utilizable solo después de una evasión.		
_45537A243B9BE8EE	abfcc05	Ataque Después de Evasión 5		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 90. Utilizable solo después de una evasión.		
_75109F1C5544AF5B	abfcc06	Ataque Después de Evasión 6		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 115. Utilizable solo después de una evasión.		
_75208B1F5554AF5B	abfcc07	Ataque Después de Evasión 7		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 140. Utilizable solo después de una evasión.		
_75309F215564AF5B	abfcc08	Ataque Después de Evasión 8	 	un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 165. Utilizable solo después de una evasión.		
_75408B245574AF5B	abfcc09	Ataque Después de Evasión 9		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 190. Utilizable solo después de una evasión.		
_FF9A3608ED4E331B	abfcc10	Ataque Después de Evasión 10		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel recomendado de 215. Utilizable solo después de una evasión.		
_3F9A4A08ED5E331B	abfcc11	Ataque Después de Evasión 11		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un arma con un nivel de habilidad recomendado de 265. Utilizable solo después de una evasión.		
_E1B9C8AA445797A9	abfcd01	Ataque Después del Desvío 1		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 20. Utilizable solamente después de un desvío.		
_E1C9C8AA44B79BA9	abfcd02	Ataque Después del Desvío 2		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de eficiencia recomendado de 35. Utilizable solamente después de un desvío.		
_E1D9C8AA4477A3A9	abfcd03	Ataque Después del Desvío 3		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 50. Utilizable solamente después de un desvío.		
_E1E9C8AA44D7A7A9	abfcd04	Ataque Después del Desvío 4		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 65. Utilizable solamente después de una evasión.		
_E1F9C8AA4497B3A9	abfcd05	Ataque Después del Desvío 5		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 90. Utilizable solamente después de una evasión.		
_5D21A7788FC82542	abfcd06	Ataque Después del Desvío 6		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 115. Utilizable solamente después de una evasión.		
_5D31A7784E082542	abfcd07	Ataque Después del Desvío 7		un	el				Reduce las posibilidades de evasión del enemigo  -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 140. Utilizable solamente después de una evasión.		
_5D41A7784E482542	abfcd08	Ataque Después del Desvío 8		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 170. Utilizable solamente después de una evasión.		
_5D51A7784EE82942	abfcd09	Ataque Después del Desvío 9		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad recomendado de 200. Utilizable solamente después de una evasión.		
_43BC5600C3F666D3	abfcd10	Ataque Después del Desvío 10		un	el				Reduce las posibilidades de una evasión del enemigo -  máxima eficiencia para un nivel de habilidad recomendado de 235. Utilizable solamente después de una evasión.		
_83BC5600C40666D3	abfcd11	Ataque Después del Desvío 11		un	el				Reduce las posibilidades de evasión del enemigo -  máxima eficiencia para un arma con un nivel de habilidad de 275. Utilizable solamente después de una evasión.		
_604F56ED5F5B0DDE	abfce01	Ataque Después de Golpe Critico 1		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F5AED5F6B0DDE	abfce02	Ataque Después del Golpe Critico 2		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F5EED5F7B0DDE	abfce03	Ataque Después del Golpe Critico 3		un 	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F62ED5F8B0DDE	abfce04	Ataque Después del Golpe Critico 4		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F66ED5F9B0DDE	abfce05	Ataque Después del Golpe Critico 5		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F6AED5FAB0DDE	abfce06	Ataque Después del Golpe Critico 6		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F6EED5FBB0DDE	abfce07	Ataque Después del Golpe Critico 7		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F72ED5FCB0DDE	abfce08	Ataque Después del Golpe Critico 8		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_604F76ED5FDB0DDE	abfce09	Ataque Después del Golpe Critico 9		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_3126B3CC4CDFE072	abfce10	Ataque Después del Golpe Critico 10		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_3136B3CC4CEFE072	abfce11	Ataque Después del Golpe Critico 11		un	el				Da un 'ataque después de un golpe critico' a la estancia de crédito para el combate.		
_DF30CD79CE5422FD	ABPPC01	Entrenamiento de Constitución 1		un	el				Aumenta tu constitución y tus PG (Puntos de Golpe)		
_DF30CD79CE6426FD	ABPPC02	Entrenamiento de Constitución 2		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CE742AFD	ABPPC03	Entrenamiento de Constitución 3		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CE842EFD	ABPPC04	Entrenamiento de Constitución 4		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CE9432FD	ABPPC05	Entrenamiento de Constitución 5		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CEA436FD	ABPPC06	Entrenamiento de Constitución 6		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CEB43AFD	ABPPC07	Entrenamiento de Constitución 7		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CEC43EFD	ABPPC08	Entrenamiento de Constitución 8		un	el				Aumenta tu constitución y tus PG.		
_DF30CD79CED442FD	ABPPC09	Entrenamiento de Constitución 9		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A08E9A5D	ABPPC10	Entrenamiento de Constitución 10		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0AE9A5D	ABPPC11	Entrenamiento de Constitución 11		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0CE9A5D	ABPPC12	Entrenamiento de Constitución 12		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0EE9A5D	ABPPC13	Entrenamiento de Constitución 13		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A00E9A5D	ABPPC14	Entrenamiento de Constitución 14		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A02E9A5D	ABPPC15	Entrenamiento de Constitución 15		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A04E9A5D	ABPPC16	Entrenamiento de Constitución 16		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A06E9A5D	ABPPC17	Entrenamiento de Constitución 17		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A08E9A5D	ABPPC18	Entrenamiento de Constitución 18		un 	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0AE9A5D	ABPPC19	Entrenamiento de Constitución 19		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A08EA25D	ABPPC20	Entrenamiento de Constitución 20		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0AEA25D	ABPPC21	Entrenamiento de Constitución 21		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0CEA25D	ABPPC22	Entrenamiento de Constitución 22		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A0EEA25D	ABPPC23	Entrenamiento de Constitución 23		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A00EA25D	ABPPC24	Entrenamiento de Constitución 24		un	el				Aumenta tu constitución y tus PG.		
_BCB8F0A7A02EA25D	ABPPC25	Entrenamiento de Constitución 25		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51AF0BFA	ABPPC26	Entrenamiento de Constitución 26		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51CF0BFA	ABPPC27	Entrenamiento de Constitución 27		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51EF0BFA	ABPPC28	Entrenamiento de Constitución 28		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA510F0BFA	ABPPC29	Entrenamiento de Constitución 29		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51EF13FA	ABPPC30	Entrenamiento de Constitución 30		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA510F13FA	ABPPC31	Entrenamiento de Constitución 31		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA512F13FA	ABPPC32	Entrenamiento de Constitución 32		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA514F13FA	ABPPC33	Entrenamiento de Constitución 33		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA516F13FA	ABPPC34	Entrenamiento de Constitución 34		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA518F13FA	ABPPC35	Entrenamiento de Constitución 35		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51AF13FA	ABPPC36	Entrenamiento de Constitución 36		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51CF13FA	ABPPC37	Entrenamiento de Constitución 37		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51EF13FA	ABPPC38	Entrenamiento de Constitución 38		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA510F13FA	ABPPC39	Entrenamiento de Constitución 39		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51EF1BFA	ABPPC40	Entrenamiento de Constitución 40		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA510F1BFA	ABPPC41	Entrenamiento de Constitución 41		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA512F1BFA	ABPPC42	Entrenamiento de Constitución		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA514F1BFA	ABPPC43	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA516F1BFA	ABPPC44	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA518F1BFA	ABPPC45	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51AF1BFA	ABPPC46	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51CF1BFA	ABPPC47	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51EF1BFA	ABPPC48	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA510F1BFA	ABPPC49	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_FEF681FA51EF23FA	ABPPC50	Entrenamiento de Constitución 		un	el				Aumenta tu constitución y tus PG.		
_09FB58BF0EA0ADD0	ABPPM01	Entrenamiento de Metabolismo 1		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_49FB58BF0EB0ADD0	ABPPM02	Entrenamiento de Metabolismo 2		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_89FB58BF0EC0ADD0	ABPPM03	Entrenamiento de Metabolismo 3		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_CAFB58BF0ED0ADD0	ABPPM04	Entrenamiento de Metabolismo 4		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_0AFB58BF0EE0ADD0	ABPPM05	Entrenamiento de Metabolismo 5		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_4AFB58BF0EF0ADD0	ABPPM06	Entrenamiento de Metabolismo 6		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_8AFB58BF0E00ADD0	ABPPM07	Entrenamiento de Metabolismo 7		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_CBFB58BF0E10ADD0	ABPPM08	Entrenamiento de Metabolismo 8		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_0BFB58BF0E20ADD0	ABPPM09	Entrenamiento de Metabolismo 9		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DAEFEC28	ABPPM10	Entrenamiento de Metabolismo 10		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DAFFEC29	ABPPM11	Entrenamiento de Metabolismo 11		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA0FEC2A	ABPPM12	Entrenamiento de Metabolismo 12		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA1FEC2B	ABPPM13	Entrenamiento de Metabolismo 13		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA2FEC2C	ABPPM14	Entrenamiento de Metabolismo 14		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA3FEC2D	ABPPM15	Entrenamiento de Metabolismo 15		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA4FEC2E	ABPPM16	Entrenamiento de Metabolismo 16		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA5FEC2F	ABPPM17	Entrenamiento de Metabolismo 17		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA6FEC30	ABPPM18	Entrenamiento de Metabolismo 18		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_03F5F4A4DA7FEC31	ABPPM19	Entrenamiento de Metabolismo 19		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DAEFF028	ABPPM20	Entrenamiento de Metabolismo 20		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DAFFF029	ABPPM21	Entrenamiento de Metabolismo 21		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA0FF02A	ABPPM22	Entrenamiento de Metabolismo 22		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA1FF02B	ABPPM23	Entrenamiento de Metabolismo 23		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA2FF02C	ABPPM24	Entrenamiento de Metabolismo 24		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA3FF02D	ABPPM25	Entrenamiento de Metabolismo 25		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA4FF02E	ABPPM26	Entrenamiento de Metabolismo 26		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA5FF02F	ABPPM27	Entrenamiento de Metabolismo 27		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA6FF030	ABPPM28	Entrenamiento de Metabolismo 28		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_43F5F4A4DA7FF031	ABPPM29	Entrenamiento de Metabolismo 29		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DAEFF428	ABPPM30	Entrenamiento de Metabolismo 30		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DAFFF429	ABPPM31	Entrenamiento de Metabolismo 31		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA0FF42A	ABPPM32	Entrenamiento de Metabolismo 32		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA1FF42B	ABPPM33	Entrenamiento de Metabolismo 33		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA2FF42C	ABPPM34	Entrenamiento de Metabolismo 34		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA3FF42D	ABPPM35	Entrenamiento de Metabolismo 35		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA4FF42E	ABPPM36	Entrenamiento de Metabolismo 36		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA5FF42F	ABPPM37	Entrenamiento de Metabolismo 37		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA6FF430	ABPPM38	Entrenamiento de Metabolismo 38		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_83F5F4A4DA7FF431	ABPPM39	Entrenamiento de Metabolismo 39		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DAEFF828	ABPPM40	Entrenamiento de Metabolismo 40		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DAFFF829	ABPPM41	Entrenamiento de Metabolismo 41		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA0FF82A	ABPPM42	Entrenamiento de Metabolismo 42		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA1FF82B	ABPPM43	Entrenamiento de Metabolismo 43		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA2FF82C	ABPPM44	Entrenamiento de Metabolismo 44		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA3FF82D	ABPPM45	Entrenamiento de Metabolismo 45		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA4FF82E	ABPPM46	Entrenamiento de Metabolismo 46		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA5FF82F	ABPPM47	Entrenamiento de Metabolismo 47		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA6FF830	ABPPM48	Entrenamiento de Metabolismo 48		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_C4F5F4A4DA7FF831	ABPPM49	Entrenamiento de Metabolismo 49		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_04F5F4A4DAEFFC28	ABPPM50	Entrenamiento de Metalismo 50		un	el				Aumenta tu metabolismo y tu velocidad de regeneración de HP.		
_D56B5224445617B4	ABPPI01	Entrenamiento de Inteligencia 1		un	el				Aumenta tu inteligencia y tu savia		
_D56B522444661BB4	ABPPI02	Entrenamiento de Inteligencia 2		un	el				Aumenta tu inteligencia y tu savia		
_D56B522444761FB4	ABPPI03	Entrenamiento de Inteligencia 3		un	el				Aumenta tu inteligencia y tu savia		
_D56B5224448623B4	ABPPI04	Entrenamiento de Inteligencia 4		un	el				Aumenta tu inteligencia y tu savia		
_D56B5224449627B4	ABPPI05	Entrenamiento de Inteligencia 5		un	el				Aumenta tu inteligencia y tu savia		
_D56B522444A62BB4	ABPPI06	Entrenamiento de Inteligencia 6		un	el				Aumenta tu inteligencia y tu savia		
_D56B522444B62FB4	ABPPI07	Entrenamiento de Inteligencia 7		un	el				Aumenta tu inteligencia y tu savia		
_D56B522444C633B4	ABPPI08	Entrenamiento de Inteligencia 8		un	el				Aumenta tu inteligencia y tu savia		
_D56B522444D637B4	ABPPI09	Entrenamiento de Inteligencia 9		un	el				Aumenta tu inteligencia y tu savia		
_6CBE7695E6342846	ABPPI10	Entrenamiento de Inteligencia 10		un	el				Aumenta tu inteligencia y tu savia		
