*HASH_VALUE	creature ID	name	ia	da	p	pia	pda
_FC77390568560418	cabjd4	Prakker Salvaje	un	el	Prakkers Salvajes		los
_D72516660985F547	cabje1	Prakker Gigantesco	un	el	Prakkers Gigantescos		los
_D820CA8D3ED90D8F	cabje2	Prakker Voraz	un	el	Prakkers Voraces		los
_FC7789EF66140019	cabje3	Prakker Malo	un	el	Prakkers Malos		los
_9B44FEBE8B443C53	cabje4	Prakker al Ataque	un	el	Prakkers al Ataque		los
_18B713A99BE11171	cabjf1	Prakker Espantoso	un	el	Prakkers Espantosos		los
_DDA42EBC0EE55066	cabjf2	Prakker Atroz	un	el	Prakkers Atroces		los
_1C81D675823A1D78	cabjf3	Prakker Siniestro	un	el	Prakkers Siniestros		los
_073FC2683CAA34B3	cabla1	Prakker Pequeño	un	el	Prakkers Pequeños		los
_1BE5F66F0705ED3A	cabla2	Prakker Primitivo	un	el	Prakkers Primitivos		los
_05B56A97FDEE515F	cabla3	Prakker Apaciguado	un	el	Prakkers Apaciguados		los
_307F2D0A773E4CB8	cabla4	Prakker Rápido	un	el	Prakkers Apaciguados		los
_083FC2683CAA34B3	cabpa1	Prakker Pequeño	un	el	Prakkers Pequeños		los
_1CE5F66F0705ED3A	cabpa2	Prakker Primitivo	un	el	Prakkers Primitivos		los
_06B56A97FDEE515F	cabpa3	Prakker Apaciguado	un	el	Prakkers Apaciguados		los
_317F2D0A773E4CB8	cabpa4	Prakker Rápido	un	el	Prakkers Rápidos		los
_7610210E7A4E40B9	cabpb1	Prakker Limoso	un	el	Prakkers Limosos		los
_88FEBE58BD1A5CB7	cabpb2	Prakker Común	un	el	Prakkers Comunes		los
_1A75EE2184EC230A	cabpb3	Prakker para Alimento	un	el	Prakkers para Alimento		los
_35B04D12F42D4CB9	cabpb4	Prakker Adulto	un	el	Prakkers Adultos		los
_64B832AEE534BD6D	cabpc1	Prakker Plenamente Desarrollado	un	el	Prakkers Plenamente Desarrollados		los
_D835D66B05C4E12F	cabpc2	Prakker Defensivo	un	el	Prakkers Defensivos		los
_5971DA7F3D2A217F	cabpc3	Prakker Arruinado	un	el	Prakkers Arruinados		los
_9B0FB6797FC80179	cabpc4	Prakker Frio	un	el	Prakkers Fríos		los
_5D76222E884C1B13	cabpd1	Prakker al Acecho	un	el	Prakkers al Acecho		los
_1DE0E27F01992580	cabpd2	Prakker Merodeando	un	el	Prakkers Merodeando		los
_1FF29974066B0372	cabpd3	Prakker Enfurecido	un	el	Prakkers Enfurecidos		los
_7E77390568560418	cabpd4	Prakker Salvaje	un	el	Prakkers Salvajes		los
_592516660985F547	cabpe1	Prakker Gigantesco	un	el	Prakkers Gigantescos		los
_5A20CA8D3ED90D8F	cabpe2	Prakker Voraz	un	el	Prakkers Voraces		los
_7E7789EF66140019	cabpe3	Prakker Malo	un	el	Prakkers Malos		los
_1D44FEBE8B443C53	cabpe4	Prakker al Ataque	un	el	Prakkers al Ataque		los
_9AB713A99BE11171	cabpf1	Prakker Espantoso	un	el	Prakkers Espantosos		los
_5FA42EBC0EE55066	cabpf2	Prakker Atroz	un	el	Prakkers Atroces		los
_9E81D675823A1D78	cabpf3	Prakker Siniestro	un	el	Prakkers Atroces		los
_D4F03E57EF0E24F6	cbada1	Igara Novata/Pichona	una	la	Igaras Novatas/Pichonas		las
_8B0F2D2D62743C71	cbada2	Igara Menor	un	la	Igaras Menores		las
_05EF352362D44071	cbada3	Igara Mansa	una	la	Igaras Mansas		las
_BE1025FB33A75F1D	cbada4	Igara Inmensa	una	la	Igaras Inmensas		las
_850FCD2B66D43872	cbadb1	Igara Infartada	una	la	Igaras Infartadas		las
_8B8FCD1F6AB63C72	cbadb2	Igara Vulgar	una	la	Igaras Vulgares		las
_3FB019062F964F12	cbadb3	Igara Hinchada	una	la	Igaras Hinchadas		las
_E63B290DEA693377	cbadb4	Igara Principal	un	la	Igaras Principales		las
_7BEF120F3F0A7010	cbadc1	Igara Vigilante	una	la	Igaras Vigilantes		las
_0FB1CD236AF43C73	cbadc2	Igara Hambrienta	una	la	Igaras Hambrientas		las
_DA344625C1FD8925	cbadc3	Igara Carronera	una	la	Igaras Carroneras		las
_BE1035F5F0365F1F	cbadc4	Igara de Mirada Maliciosa	una	la	Igara de Mirada Maliciosa		las
_01DF09F773D78333	cbadd1	Igara Viciosa	una	la	Igaras Viciosas		las
_1640A25E2A6F28F6	cbadd2	Igara Maligna	una	la	Igaras Malignas		las
_BE9F11FDB2465B20	cbadd3	Igara Burlona	una	la	Igaras Burlonas		las
_FE1069FEACA67B28	cbadd4	Igara de Carroña	una	la	Igaras de Carroña		las
_FC3FE9FE35B77F23	cbade1	Igara Rastreadora	una	la	Igaras Rastreadoras		las
_7BC00A14FCEA5818	cbade2	Igara Volátil	una	la	Igaras Volátiles		las
_52936182540E617E	cbade3	Igara Aterradora	una	la	Igaras Aterradoras		las
_D6009269AD603CFD	cbade4	Igara Rapaz	una	la	Igaras Rapace		las
_45C06D13DE4AABCE	cbaga1	Igara Impura	una	la	Igaras Impuras		las
_7FCF16FDFC398001	cbaga2	Igaras Arruinadas	una	la	Igaras Arruinadas		las
_D2C02B80A3E41D47	cbaga3	Igara Contaminada	una	la	Igaras Contaminadas		las
_C043E96D3C3A70ED	cbaga4	Igara Infectada	una	la	Igaras Infectadas		las
_40601A15FCFAA40F	cbagb1	Igara Nauseabunda	una	la	Igaras Nauseabundas		las
_7EFF520EBEDA600E	cbagb2	Igara Maloliente	una	la	Igaras Malolientes		las
_458FA52B66944072	cbagb3	Igara Mórbida	una	la	Igaras Mórbidas		las
_003F520BBC1A7009	cbagb4	Igara Envenenada	una	la	Igaras Envenenadas		las
_3F20F9F8B3774713	cbagc1	Igara Plagada	una	la	Igaras Plagadas		las
_02CF11F7B2A73AE3	cbagc2	Igara Enfermiza	una	la	Igaras Enfermizas		las
_A4042634CBCD6934	cbagc3	Igara Putrefacta	una	la	Igaras Putrefacta		las
_3FA0421A3F0A8C10	cbagc4	Igara Virulenta	una	la	Igaras Virulentas		las
_BBDF350270974714	cbagd1	Igara Devastada	una	la	Igaras Devastadas		las
_98607E652D6F2009	cbagd2	Igara Enconada	una	la	Igaras Enconadas		las
_92E4958A13E0C977	cbagd3	Igara Pestífera	una	la	Igaras Pestíferas		las
_C52FDD3360364474	cbagd4	Igara Delirante	una	la	Igaras Delirantes		las
_1762D66CB2707810	cbage1	Igara Pustulosa	una	la	Igaras Pustulosas		las
_7EF02DF5B1A75721	cbage2	Igara Filtrante	una	la	Igaras Filtrantes		las
_7EBF11FBF0D65B21	cbage3	Igara Espumosa	una	la	Igaras Espumosa		las
_DAD09A682D504405	cbage4	Igara Asquerosa	una	la	Igaras Asquerosas		las
_FF6FF2033A597C0C	cbagf1	Igara Demente	una	la	Igaras Dementes		las
_7EB04AFD7D795418	cbagf2	Igara Delirante	una	la	Igaras Delirantes		las
_7E4F26FD3C5A6810	cbagf3	Igara Diabólica	una	la	Igaras Diabólicas		las
_55F03E57EF0E24F6	cbaja1	Igara Novata/Pichona	una	la	Igaras Novatas/Pichonas		las
_0C0F2D2D62743C71	cbaja2	Igara Menor	una	la	Igaras Menores		las
_86EF352362D44071	cbaja3	Igara Mansa	una	la	Igaras Mansas		las
_3F1025FB33A75F1D	cbaja4	Igara Inmensa	una	la	Igaras Inmensas		las
_060FCD2B66D43872	cbajb1	Igara Infartada	una	la	Igaras Infartadas		las
_0C8FCD1F6AB63C72	cbajb2	Igara Vulgar	una	la	Igaras Vulgares		las
_C0B019062F964F12	cbajb3	Igara Hinchada	una	la	Igaras Hinchadas		las
_673B290DEA693377	cbajb4	Igara Principal	una	la	Igaras Principales		las
_FCEF120F3F0A7010	cbajc1	Igara Vigilante	una	la	Igaras Vigilantes		las
_90B1CD236AF43C73	cbajc2	Igara Hambrienta	una	la	Igaras Hambrientas		las
_5B344625C1FD8925	cbajc3	Igara Carroñera	una	la	Igaras Carroñeras		las
_3F1035F5F0365F1F	cbajc4	Igara de Mirada Maliciosa	una	la	Igaras de Miradas Maliciosas		las
_82DF09F773D78333	cbajd1	Igara Viciosa	una	la	Igaras Viciosas		las
_9740A25E2A6F28F6	cbajd2	Igara Maligna	una	la	Igaras Malignas		las
_3F9F11FDB2465B20	cbajd3	Igara Burlona	una	la	Igaras Burlonas		las
_7F1069FEACA67B28	cbajd4	Igara de Carroña	una	la	Igaras de Carroña		las
_7D3FE9FE35B77F23	cbaje1	Igara Rastreadora	una	la	Igaras Rastreadoras		las
_FCC00A14FCEA5818	cbaje2	Igara Volátil	una	la	Volatile Igaras		las
_D3936182540E617E	cbaje3	Igara Aterradora	una	la	Igaras Aterradoras		las
_57009269AD603CFD	cbaje4	Igara Rapaz	una	la	Igaras Rapaces		las
_29E83BA829078F62	cbajf5	Kim-Kol					
_469CC926342DB4F3	cbbda1	Izam Novato/Pichón	un	el	Izams Novatos/Pichones		los
_30704129E8D7072F	cbbda2	Izam Menor	un	el	Izams Menores		los
_ED0F6125A787F72F	cbbda3	Izam Manso	un	el	Izams Mansos		los
_899F85E7F292FAFF	cbbda4	Izam Inmenso	un	el	Izams Inmensos		los
_AD8F111C2A27EF30	cbbdb1	Izam Infartado	un	el	Izams Infartados		los
_303001162B792F30	cbbdb2	Izam Vulgar	un	el	Izams Vulgares		los
_0501FD037270F6FA	cbbdb3	Izam Hinchado	un	el	Izams Hinchados		los
_189624FA6FE8375C	cbbdb4	Izam Principal	un	el	Izams Principales		los
_3F6E39F6A28AC019	cbbdc1	Izam Vigilante	un	el	Izams Vigilantes		los
_F2B14518AB98F731	cbbdc2	Izam Hambriento	un	el	Izams Hambrientos		los
_C5555E25FF5E74F6	cbbdc3	Izam Carroñero	un	el 	Izams Carroñeros		los 
_899F85EFEEB0FA01	cbbdc4	Izam de Mirada Maliciosa	un	el	Izams de Miradas Maliciosas		los
_05DF0DE774B2EE19	cbbde1	Izam Rastreador	un	el	Izams Rastreadores		los
_436F2D0123998021	cbbde2	Izam Volátil	un	el	Izams Volátiles		los
_2871A9610F2AEC63	cbbde3	Izam Aterrador	un	el	Izams Aterradores		los
_C40D9149330FD0F9	cbbde4	Izam Rapaz	un	el	Izams Rapaces		los
_A618A87B2157EF97	cbbde5	Dylion					
_C79CC926342DB4F3	cbbja1	Izam Novato/Pichón	un	el	Izams Novatos/Pichones		los
_B1704129E8D7072F	cbbja2	Izam Menor	un	el	Izams Menores		los
_6E0F6125A787F72F	cbbja3	Izam Manso	un	el	Izams Mansos		los
_0A9F85E7F292FAFF	cbbja4	Izam Inmenso	un	el	Izams Inmensos		los
_2E8F111C2A27EF30	cbbjb1	Izam Infartado	un	el	Izams Infartados		los
_B13001162B792F30	cbbjb2	Izam Vulgar	un	el	Izams Vulgares		los
_8601FD037270F6FA	cbbjb3	Izam Hinchado	un	el	Izams Hinchados		los
_999624FA6FE8375C	cbbjb4	Izam Principal	un	el	Izams Principales		los
_C06E39F6A28AC019	cbbjc1	Izam Vigilante	un	el	Izams Vigilantes		los
_73B14518AB98F731	cbbjc2	Izam Hambriento	un	el	Izams Hambrientos		los
_46555E25FF5E74F6	cbbjc3	Izam Carroñero	un	el	Izams Carroñeros		los
_0A9F85EFEEB0FA01	cbbjc4	Izam de Mirada Maliciosa	un	el	Izams de Miradas Maliciosas		los
_86DF0DE774B2EE19	cbbje1	Izam Rastreador	un	el	Izams Rastreadores		los
_C46F2D0123998021	cbbje2	Izam Volátil	un	el	Izams Volátiles		los
_A971A9610F2AEC63	cbbje3	Izam Aterrador	un	el	Izam Aterradores		los
_450D9149330FD0F9	cbbje4	Izam Rapaz	un	el	Izams Rapaces		los
_27E2A16A8D9BDC6D	cbbjf1	Izam Amenazador	un	el 	Izams Amenazador		los
_439E111EDC961B17	cbbjf2	Izam Enfurecido	un	el	Izams Enfurecidos		los
_47075A2F06DF8CED	cbbjf3	Izam Tremendo	un	el	Izams Tremendos		los
_489CC926342DB4F3	cbbla1	Izam Novato/Pichón	un	el	Izams Novatos/Pichones		los
_32704129E8D7072F	cbbla2	Izam Menor	un	el	Izams Menores		los
_EF0F6125A787F72F	cbbla3	Izam Manso	un	el	Izams Mansos		los
_8B9F85E7F292FAFF	cbbla4	Izam Inmenso	un	el	Izam Inmensos		los
_AF8F111C2A27EF30	cbblb1	Izam Infartado	un	el	Izams Infartados		los
_323001162B792F30	cbblb2	Izam Vulgar	un	el	Izams Vulgares		los
_0701FD037270F6FA	cbblb3	Izam Hinchado	un	el 	Izam Hinchados		los
_1A9624FA6FE8375C	cbblb4	Izam Principal	un	el	Izams Principales		los
_416E39F6A28AC019	cbblc1	Izam Vigilante	un	el	Izams Vigilantes		los
_F4B14518AB98F731	cbblc2	Izam Hambriento	un	el	Izams Hambrientos		los
_C7555E25FF5E74F6	cbblc3	Izam Carroñero	un	el	Izams Carroñeros		los
_8B9F85EFEEB0FA01	cbblc4	Izam de Mirada Maliciosa	un	el	Izams de Miradas Maliciosas		los
_0F5F3DEBF0F2EE1A	cbbld1	Izam Vicioso	un	el	Izams Viciosos		los
_090CB14171EEC0EE	cbbld2	Izam Maligno	un	el	Izams Malignos		los
_8B9F4DEBF2D0F602	cbbld3	Izam Burlon	un	el	Izams Burlones		los
_0B9F8509EC90FA10	cbbld4	Izam de Carroña	un	el	Izams de Carroña		los
_499CC926342DB4F3	cbbpa1	Izam Novato/Pichón	un	el	Izams Novatos/Pichones		los
_33704129E8D7072F	cbbpa2	Izam Menor	un	el	Izams Menores		los
_F00F6125A787F72F	cbbpa3	Izam Apacible	un	el	Izams Apacibles		los
_8C9F85E7F292FAFF	cbbpa4	Izam Inmenso	un	el	Izams Inmensos		los
_B08F111C2A27EF30	cbbpb1	Izam Infartado	un	el	Izams Infartados		los
_333001162B792F30	cbbpb2	Izam Vulgar	un	el	Izams Vulgares		los
_0801FD037270F6FA	cbbpb3	Izam Hinchado	un	el	Izams Hinchados		los
_1B9624FA6FE8375C	cbbpb4	Izam Principal	un	el	Izams Principales		los
_426E39F6A28AC019	cbbpc1	Izam Vigilante	un	el	Izams Vigilantes		los
_F5B14518AB98F731	cbbpc2	Izam Hambriento	un	el	Izams Vigilantes		los
_C8555E25FF5E74F6	cbbpc3	Izam Carroñero	un	el	Izams Carroñeros		los
_8C9F85EFEEB0FA01	cbbpc4	Izam de Mirada Maliciosa	un	el	Izams de Miradas Maliciosas		los
_105F3DEBF0F2EE1A	cbbpd1	Izam Vicioso	un	el	Izams Viciosos		los
_0A0CB14171EEC0EE	cbbpd2	Izam Maligno	un	el	Izams Malignos		los
_8C9F4DEBF2D0F602	cbbpd3	Izam Burlón	un	el	Izams Burlones		los
_0C9F8509EC90FA10	cbbpd4	Izam de Carroña	un	el	Izams de Carroña		los
_C2B185276874236E	cbcga1	Yber Impuro	un	el	Ybers Impuros		los
_04AFE9F362486021	cbcga2	Yber Arruinado	un	el	Ybers Arruinados		los
_4EE0BA7009843982	cbcga3	Yber Contaminado	un	el	Ybers Contaminados		los
_001FD1F97DB9D009	cbcga4	Yber Infectado	un	el	Ybers Infectados		los
_014049F4A2F9D82D	cbcgb1	Yber Nauseabundo	un	el	Ybers Nauseabundos		los
_014F05FBA8899020	cbcgb2	Yber Apestoso	un	el	Ybers Apestosos		los
_6DDF0D1C6C46EF40	cbcgb3	Yber Mórbido	un	el	Ybers Mórbidos		los
_FFF0710F66C3839C	cbcgb4	Yber Envenenado	un	el	Ybers Envenenados		los
_C53155EF6634EEFB	cbcgc1	Yber Plagado	un	el	Ybers Plagados		los
_CF0F75F3E494F273	cbcgc2	Yber Enfermizo	un	el	Ybers Enfermizo		los
_8CD6823408BF0403	cbcgc3	Yber Putrefacto	un	el	Ybers Putrefactos		los
_41D045F9A68ACC1D	cbcgc4	Yber Virulento	un	el	Ybers Virulentos		los
_C56F2519E074EEFC	cbcgd1	Yber Arruinado	un	el	Ybers Arruinados		los
_C6AE8D44722DE4F8	cbcgd2	Yber Enconado	un	el	Ybers Enconados		los
_DD93017B043C447C	cbcgd3	Yber Pestífero	un	el	Ybers Pestiferos		los
_2D5F3D27EAB70742	cbcgd4	Yber Delirante	un	el	Ybers Delirantes		los
_45AFCD5A38EFE40F	cbcge1	Yber Pustuloso	un	el	Ybers Pustulosos		los
_49AF9DF7E294F203	cbcge2	Yber Filtrante	un	el	Ybers Filtrantes		los
_49AF85EFE6F2F603	cbcge3	Yber Espumoso	un	el	Ybers Espumosos		los
_054E795372EEF400	cbcge4	Yber Asqueroso	un	el	Ybers Asquerosos		los
_85EFF1F021685C26	cbcgf1	Yber Demente	un	el	Ybers Dementes		los
_C540F5F5E488601B	cbcgf2	Yber Frenético	un	el	Ybers Frenéticos		los
_40DFF5ECA2C8AC29	cbcgf3	Yber Diabólico	un	el	Ybers Diabólicos		los
_02ED6936342DC8F7	cbcja1	Yber Novato/Pichón	un	el	Yves Novatos/Pichón		los
_B180412E2A96E73F	cbcja2	Yber Menor	un	el	Ybers Menores		los
_6E1F612AE946D73F	cbcja3	Yber Manso	un	el	Ybers Mansos		los
_0AAFADEFE694FAFF	cbcja4	Yber Inmenso	un	el	Ybers Inmensos		los
_2E9F11216CE6CF40	cbcjb1	Yber Infartado	un	el	Ybers Infartados		los
_B140011B6D380F40	cbcjb2	Yber Vulgar	un	el	Ybers Vulgares		los
_8611250B6672F6FA	cbcjb3	Yber Hinchado	un	el	Ybers Hinchados		los
_93A724FAB028EB70	cbcjb4	Yber Principal	un	el	Ybers Principales		los
_010FE9EEA68AC019	cbcjc1	Yber Vigilante	un	el	Ybers Vigilantes		los
_73C1451DED57D741	cbcjc2	Yber Hambriento	un	el	Ybers Hambrientos		los
