*HASH_VALUE	creature ID	name	named	namedda	nameda	iaa	ia	iag	da	dag	daa	dad	p	pd	pia	pda
_1666DA5ACAE3ED44	caala2	Primitiver Baldusa	Primitiver Baldusa	Primitive Baldusa	Primitiven Baldusa	einen	ein	eines	der	des	den	dem	Primitive Baldusas	Primitiven Baldusas	Primitiven Baldusas	die
_8824CE90B89EC95F	caala3	Zahmer Baldusa	Zahmer Baldusa	Zahme Baldusa	Zahmen Baldusa	einen	ein	eines	der	des	den	dem	Zahme Baldusas	Zahmen Baldusas	Zahmen Baldusas	die
_EC3F8D0D79DDD0AA	caala4	Schneller Baldusa	Schneller Baldusa	Schnelle Baldusa	Schnellen Baldusa	einen	ein	eines	der	des	den	dem	Schnelle Baldusas	Schnellen Baldusas	Schnellen Baldusas	die
_47A016507B99B8C1	caapa1	Kleiner Baldusa	Kleiner Baldusa	Kleine Baldusa	Kleinen Baldusa	einen	ein	eines	der	des	den	dem	Kleine Baldusas	Kleinen Baldusas	Kleinen Baldusas	die
_1766DA5ACAE3ED44	caapa2	Primitiver Baldusa	Primitiver Baldusa	Primitive Baldusa	Primitiven Baldusa	einen	ein	eines	der	des	den	dem	Primitive Baldusas	Primitiven Baldusas	Primitiven Baldusas	die
_8924CE90B89EC95F	caapa3	Zahmer Baldusa	Zahmer Baldusa	Zahme Baldusa	Zahmen Baldusa	einen	ein	eines	der	des	den	dem	Zahme Baldusas	Zahmen Baldusas	Zahmen Baldusas	die
_ED3F8D0D79DDD0AA	caapa4	Schneller Baldusa	Schneller Baldusa	Schnelle Baldusa	Schnellen Baldusa	einen	ein	eines	der	des	den	dem	Schnelle Baldusas	Schnellen Baldusas	Schnellen Baldusas	die
_32D081117CEDC4AB	caapb1	Schleimiger Baldusa	Schleimiger Baldusa	Schleimige Baldusa	Schleimigen Baldusa	einen	ein	eines	der	des	den	dem	Schleimige Baldusas	Schleimigen Baldusas	Schleimigen Baldusas	die
_C75F1240FC09E0C5	caapb2	Gewöhnlicher Baldusa	Gewöhnlicher Baldusa	Gewöhnliche Baldusa	Gewöhnlichen Baldusa	einen	ein	eines	der	des	den	dem	Gewöhnliche Baldusas	Gewöhnlichen Baldusas	Gewöhnlichen Baldusas	die
_60F59A2CFCEC4BF2	caapb3	Trübseliger Baldusa	Trübseliger Baldusa	Trübselige Baldusa	Trübseligen Baldusa	einen	ein	eines	der	des	den	dem	Trübselige Baldusas	Trübseligen Baldusas	Trübseligen Baldusas	die
_F170AD15F6CCD0AB	caapb4	Alpha-Baldusa	Alpha-Baldusa	Alpha-Baldusa	Alpha-Baldusa	einen	ein	eines	der	des	den	dem	Alpha-Baldusas	Alpha-Baldusas	Alpha-Baldusas	die
_E3B6FA9D24B6C971	caapc1	Ausgewachsener Baldusa	Ausgewachsener Baldusa	Ausgewachsene Baldusa	Ausgewachsenen Baldusa	einen	ein	eines	der	des	den	dem	Ausgewachsene Baldusas	Ausgewachsenen Baldusas	Ausgewachsenen Baldusas	die
_D3B6BA56C8A2E139	caapc2	Wehrhafter Baldusa	Wehrhafter Baldusa	Wehrhafte Baldusa	Wehrhaften Baldusa	einen	ein	eines	der	des	den	dem	Wehrhafte Baldusas	Wehrhaften Baldusas	Wehrhaften Baldusas	die
_58F1C27C3CBA097C	caapc3	Umherstreifender Baldusa	Umherstreifender Baldusa	Umherstreifende Baldusa	Umherstreifenden Baldusa	einen	ein	eines	der	des	den	dem	Umherstreifende Baldusas	Umherstreifenden Baldusas	Umherstreifenden Baldusas	die
_9A8F9E767E58E976	caapc4	Ruhender Baldusa	Ruhender Baldusa	Ruhende Baldusa	Ruhenden Baldusa	einen	ein	eines	der	des	den	dem	Ruhende Baldusas	Ruhenden Baldusas	Ruhenden Baldusas	die
_A3F6CE39004C43FB	caapd1	Lauernder Baldusa	Lauernder Baldusa	Lauernde Baldusa	Lauernden Baldusa	einen	ein	eines	der	des	den	dem	Lauernde Baldusas	Lauernden Baldusas	Lauernden Baldusas	die
_1C60CA7C00290D7D	caapd2	Herumtreibender Baldusa	Herumtreibender Baldusa	Herumtreibende Baldusa	Herumtreibenden Baldusa	einen	ein	eines	der	des	den	dem	Herumtreibende Baldusas	Herumtreibenden Baldusas	Herumtreibenden Baldusas	die
_5EA27D6E452BE76C	caapd3	Wütender Baldusa	Wütender Baldusa	Wütende Baldusa	Wütenden Baldusa	einen	ein	eines	der	des	den	dem	Wütende Baldusas	Wütenden Baldusas	Wütenden Baldusas	die
_7667B1216E765CF6	caapd4	Wilder Baldusa	Wilder Baldusa	Wilde Baldusa	Wilden Baldusa	einen	ein	eines	der	des	den	dem	Wilde Baldusas	Wilden Baldusas	Wilden Baldusas	die
_54A6FA51CC63F551	caape1	Riesiger Baldusa	Riesiger Baldusa	Riesige Baldusa	Riesigen Baldusa	einen	ein	eines	der	des	den	dem	Riesige Baldusas	Riesigen Baldusas	Riesigen Baldusas	die
_59A0B28A3D69F58C	caape2	Heißhungriger Baldusa	Heißhungriger Baldusa	Heißhungrige Baldusa	Heißhungrigen Baldusa	einen	ein	eines	der	des	den	dem	Heißhungrige Baldusas	Heißhungrigen Baldusas	Heißhungrigen Baldusas	die
_7667010B6C3458F7	caape3	Ordinärer Baldusa	Ordinärer Baldusa	Ordinäre Baldusa	Ordinären Baldusa	einen	ein	eines	der	des	den	dem	Ordinäre Baldusas	Ordinären Baldusas	Ordinären Baldusas	die
_DF859EBB4752744C	caape4	Angriffslustiger Baldusa	Angriffslustiger Baldusa	Angriffslustige Baldusa	Angriffslustigen Baldusa	einen	ein	eines	der	des	den	dem	Angriffslustige Baldusas	Angriffslustigen Baldusas	Angriffslustigen Baldusas	die
_E0260798D3C2F578	caapf1	Erschreckender Baldusa	Erschreckender Baldusa	Erschreckende Baldusa	Erschreckenden Baldusa	einen	ein	eines	der	des	den	dem	Erschreckende Baldusas	Erschreckenden Baldusas	Erschreckenden Baldusas	die
_21E5CEB9CAF3885F	caapf2	Scheußlicher Baldusa	Scheußlicher Baldusa	Scheußliche Baldusa	Scheußlichen Baldusa	einen	ein	eines	der	des	den	dem	Scheußliche Baldusas	Scheußlichen Baldusas	Scheußlichen Baldusas	die
_9D01BE7281CA0575	caapf3	Bedrohlicher Baldusa	Bedrohlicher Baldusa	Bedrohliche Baldusa	Bedrohlichen Baldusa	einen	ein	eines	der	des	den	dem	Bedrohliche Baldusas	Bedrohlichen Baldusas	Bedrohlichen Baldusas	die
_053FC2683CAA34B3	cabda1	Kleiner Prakker	Kleiner Prakker	Kleine Prakker	Kleinen Prakker	einen	ein	eines	der	des	den	dem	Kleine Prakker	Kleinen Prakker	Kleinen Prakkers	die
_19E5F66F0705ED3A	cabda2	Primitiver Prakker	Primitiver Prakker	Primitive Prakker	Primitiven Prakker	einen	ein	eines	der	des	den	dem	Primitive Prakker	Primitiven Prakker	Primitiven Prakkers	die
_03B56A97FDEE515F	cabda3	Zahmer Prakker	Zahmer Prakker	Zahme Prakker	Zahmen Prakker	einen	ein	eines	der	des	den	dem	Zahme Prakker	Zahmen Prakker	Zahmen Prakkers	die
_2E7F2D0A773E4CB8	cabda4	Schneller Prakker	Schneller Prakker	Schnelle Prakker	Schnellen Prakker	einen	ein	eines	der	des	den	dem	Schnelle Prakker	Schnellen Prakker	Schnellen Prakkers	die
_7310210E7A4E40B9	cabdb1	Schleimiger Prakker	Schleimiger Prakker	Schleimige Prakker	Schleimigen Prakker	einen	ein	eines	der	des	den	dem	Schleimige Prakker	Schleimigen Prakker	Schleimigen Prakkers	die
_85FEBE58BD1A5CB7	cabdb2	Gewöhnlicher Prakker	Gewöhnlicher Prakker	Gewöhnliche Prakker	Gewöhnlichen Prakker	einen	ein	eines	der	des	den	dem	Gewöhnliche Prakker	Gewöhnlichen Prakker	Gewöhnlichen Prakkers	die
_1775EE2184EC230A	cabdb3	Trübseliger Prakker	Trübseliger Prakker	Trübselige Prakker	Trübseligen Prakker	einen	ein	eines	der	des	den	dem	Trübselige Prakker	Trübseligen Prakker	Trübseligen Prakkers	die
_32B04D12F42D4CB9	cabdb4	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	einen	ein	eines	der	des	den	dem	Alpha-Prakker	Alpha-Prakker	Alpha-Prakkers	die
_61B832AEE534BD6D	cabdc1	Ausgewachsener Prakker	Ausgewachsener Prakker	Ausgewachsene Prakker	Ausgewachsenen Prakker	einen	ein	eines	der	des	den	dem	Ausgewachsene Prakker	Ausgewachsenen Prakker	Ausgewachsenen Prakkers	die
_D535D66B05C4E12F	cabdc2	Wehrhafter Prakker	Wehrhafter Prakker	Wehrhafte Prakker	Wehrhaften Prakker	einen	ein	eines	der	des	den	dem	Wehrhafte Prakker	Wehrhaften Prakker	Wehrhaften Prakkers	die
_5671DA7F3D2A217F	cabdc3	Umherstreifender Prakker	Umherstreifender Prakker	Umherstreifende Prakker	Umherstreifenden Prakker	einen	ein	eines	der	des	den	dem	Umherstreifende Prakker	Umherstreifenden Prakker	Umherstreifenden Prakkers	die
_980FB6797FC80179	cabdc4	Ruhender Prakker	Ruhender Prakker	Ruhende Prakker	Ruhenden Prakker	einen	ein	eines	der	des	den	dem	Ruhende Prakker	Ruhenden Prakker	Ruhenden Prakkers	die
_5A76222E884C1B13	cabdd1	Lauernder Prakker	Lauernder Prakker	Lauernde Prakker	Lauernden Prakker	einen	ein	eines	der	des	den	dem	Lauernde Prakkers	Lauernden Prakkers	Lauernden Prakkers	die
_1AE0E27F01992580	cabdd2	Herumtreibender Prakker	Herumtreibender Prakker	Herumtreibende Prakker	Herumtreibenden Prakker	einen	ein	eines	der	des	den	dem	Herumtreibende Prakker	Herumtreibenden Prakker	Herumtreibenden Prakkers	die
_1CF29974066B0372	cabdd3	Wütender Prakker	Wütender Prakker	Wütende Prakker	Wütenden Prakker	einen	ein	eines	der	des	den	dem	Wütende Prakker	Wütenden Prakkers	Wütenden Prakkers	die
_7B77390568560418	cabdd4	Wilder Prakker	Wilder Prakker	Wilde Prakker	Wilden Prakker	einen	ein	eines	der	des	den	dem	Wilde Prakker	Wilden Prakker	Wilden Prakkers	die
_562516660985F547	cabde1	Riesiger Prakker	Riesiger Prakker	Riesige Prakker	Riesigen Prakker	einen	ein	eines	der	des	den	dem	Riesige Prakker	Riesigen Prakker	Riesigen Prakkers	die
_5720CA8D3ED90D8F	cabde2	Heißhungriger Prakker	Heißhungriger Prakker	Heißhungrige Prakker	Heißhungrigen Prakker	einen	ein	eines	der	des	den	dem	Heißhungrige Prakker	Heißhungrigen Prakker	Heißhungrigen Prakkers	die
_7B7789EF66140019	cabde3	Ordinärer Prakker	Ordinärer Prakker	Ordinäre Prakker	Ordinären Prakker	einen	ein	eines	der	des	den	dem	Ordinäre Prakker	Ordinären Prakker	Ordinären Prakkers	die
_1A44FEBE8B443C53	cabde4	Angriffslustiger Prakker	Angriffslustiger Prakker	Angriffslustige Prakker	Angriffslustigen Prakker	einen	ein	eines	der	des	den	dem	Angriffslustige Prakker	Angriffslustigen Prakker	Angriffslustigen Prakkers	die
_97B713A99BE11171	cabdf1	Erschreckender Prakker	Erschreckender Prakker	Erschreckende Prakker	Erschreckenden Prakker	einen	ein	eines	der	des	den	dem	Erschreckende Prakker	Erschreckenden Prakker	Erschreckenden Prakkers	die
_5CA42EBC0EE55066	cabdf2	Scheußlicher Prakker	Scheußlicher Prakker	Scheußliche Prakker	Scheußlichen Prakker	einen	ein	eines	der	des	den	dem	Scheußliche Prakker	Scheußlichen Prakker	Scheußlichen Prakkers	die
_9B81D675823A1D78	cabdf3	Bedrohlicher Prakker	Bedrohlicher Prakker	Bedrohliche Prakker	Bedrohlichen Prakker	einen	ein	eines	der	des	den	dem	Bedrohliche Prakker	Bedrohlichen Prakker	Bedrohlichen Prakkers	die
_853FC2683CAA34B3	cabfa1	Kleiner Prakker	Kleiner Prakker	Kleine Prakker	Kleinen Prakker	einen	ein	eines	der	des	den	dem	Kleine Prakker	Kleinen Prakker	Kleinen Prakkers	die
_99E5F66F0705ED3A	cabfa2	Primitiver Prakker	Primitiver Prakker	Primitive Prakker	Primitiven Prakker	einen	ein	eines	der	des	den	dem	Primitive Prakker	Primitiven Prakker	Primitiven Prakkers	die
_83B56A97FDEE515F	cabfa3	Zahmer Prakker	Zahmer Prakker	Zahme Prakker	Zahmen Prakker	einen	ein	eines	der	des	den	dem	Zahme Prakker	Zahmen Prakker	Zahmen Prakkers	die
_AE7F2D0A773E4CB8	cabfa4	Schneller Prakker	Schneller Prakker	Schnelle Prakker	Schnellen Prakker	einen	ein	eines	der	des	den	dem	Schnelle Prakker	Schnellen Prakker	Schnellen Prakkers	die
_F310210E7A4E40B9	cabfb1	Schleimiger Prakker	Schleimiger Prakker	Schleimige Prakker	Schleimigen Prakker	einen	ein	eines	der	des	den	dem	Schleimige Prakker	Schleimigen Prakker	Schleimigen Prakkers	die
_05FEBE58BD1A5CB7	cabfb2	Gewöhnlicher Prakker	Gewöhnlicher Prakker	Gewöhnliche Prakker	Gewöhnlichen Prakker	einen	ein	eines	der	des	den	dem	Gewöhnliche Prakker	Gewöhnlichen Prakker	Gewöhnlichen Prakkers	die
_9775EE2184EC230A	cabfb3	Trübseliger Prakker	Trübseliger Prakker	Trübselige Prakker	Trübseligen Prakker	einen	ein	eines	der	des	den	dem	Trübselige Prakker	Trübseligen Prakker	Trübseligen Prakkers	die
_B2B04D12F42D4CB9	cabfb4	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	einen	ein	eines	der	des	den	dem	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	die
_E1B832AEE534BD6D	cabfc1	Ausgewachsener Prakker	Ausgewachsener Prakker	Ausgewachsene Prakker	Ausgewachsenen Prakker	einen	ein	eines	der	des	den	dem	Ausgewachsene Prakker	Ausgewachsenen Prakker	Ausgewachsenen Prakkers	die
_5535D66B05C4E12F	cabfc2	Wehrhafter Prakker	Wehrhafter Prakker	Wehrhafte Prakker	Wehrhaften Prakker	einen	ein	eines	der	des	den	dem	Wehrhafte Prakker	Wehrhaften Prakker	Wehrhaften Prakkers	die
_D671DA7F3D2A217F	cabfc3	Umherstreifender Prakker	Umherstreifender Prakker	Umherstreifende Prakker	Umherstreifenden Prakker	einen	ein	eines	der	des	den	dem	Umherstreifende Prakker	Umherstreifenden Prakker	Umherstreifenden Prakkers	die
_DA76222E884C1B13	cabfd1	Lauernder Prakker	Lauernder Prakker	Lauernde Prakker	Lauernden Prakker	einen	ein	eines	der	des	den	dem	Lauernde Prakker	Lauernden Prakker	Lauernden Prakkers	die
_9AE0E27F01992580	cabfd2	Herumtreibender Prakker	Herumtreibender Prakker	Herumtreibende Prakker	Herumtreibenden Prakker	einen	ein	eines	der	des	den	dem	Herumtreibende Prakker	Herumtreibenden Prakker	Herumtreibenden Prakkers	die
_9CF29974066B0372	cabfd3	Wütender Prakker	Wütender Prakker	Wütende Prakker	Wütenden Prakker	einen	ein	eines	der	des	den	dem	Wütende Prakker	Wütenden Prakker	Wütenden Prakkers	die
_FB77390568560418	cabfd4	Wilder Prakker	Wilder Prakker	Wilde Prakker	Wilden Prakker	einen	ein	eines	der	des	den	dem	Wilde Prakker	Wilden Prakker	Wilden Prakkers	die
_D62516660985F547	cabfe1	Riesiger Prakker	Riesiger Prakker	Riesige Prakker	Riesigen Prakker	einen	ein	eines	der	des	den	dem	Riesige Prakker	Riesigen Prakker	Riesigen Prakkers	die
_D720CA8D3ED90D8F	cabfe2	Heißhungriger Prakker	Heißhungriger Prakker	Heißhungrige Prakker	Heißhungrigen Prakker	einen	ein	eines	der	des	den	dem	Heißhungrige Prakker	Heißhungrigen Prakker	Heißhungrigen Prakkers	die
_FB7789EF66140019	cabfe3	Ordinärer Prakker	Ordinärer Prakker	Ordinäre Prakker	Ordinären Prakker	einen	ein	eines	der	des	den	dem	Ordinäre Prakker	Ordinären Prakker	Ordinären Prakkers	die
_9A44FEBE8B443C53	cabfe4	Angriffslustiger Prakker	Angriffslustiger Prakker	Angriffslustige Prakker	Angriffslustigen Prakker	einen	ein	eines	der	des	den	dem	Angriffslustige Prakker	Angriffslustigen Prakker	Angriffslustigen Prakkers	die
_17B713A99BE11171	cabff1	Erschreckender Prakker	Erschreckender Prakker	Erschreckende Prakker	Erschreckenden Prakker	einen	ein	eines	der	des	den	dem	Erschreckende Prakker	Erschreckenden Prakker	Erschreckenden Prakkers	die
_DCA42EBC0EE55066	cabff2	Scheußlicher Prakker	Scheußlicher Prakker	Scheußliche Prakker	Scheußlichen Prakker	einen	ein	eines	der	des	den	dem	Scheußliche Prakker	Scheußlichen Prakker	Scheußlichen Prakkers	die
_1B81D675823A1D78	cabff3	Bedrohlicher Prakker	Bedrohlicher Prakker	Bedrohliche Prakker	Bedrohlichen Prakker	einen	ein	eines	der	des	den	dem	Bedrohliche Prakker	Bedrohlichen Prakker	Bedrohlichen Prakkers	die
_863FC2683CAA34B3	cabja1	Kleiner Prakker	Kleiner Prakker	Kleine Prakker	Kleinen Prakker	einen	ein	eines	der	des	den	dem	Kleine Prakker	Kleinen Prakker	Kleinen Prakkers	die
_9AE5F66F0705ED3A	cabja2	Primitiver Prakker	Primitiver Prakker	Primitive Prakker	Primitiven Prakker	einen	ein	eines	der	des	den	dem	Primitive Prakker	Primitiven Prakker	Primitiven Prakkers	die
_84B56A97FDEE515F	cabja3	Zahmer Prakker	Zahmer Prakker	Zahme Prakker	Zahmen Prakker	einen	ein	eines	der	des	den	dem	Zahme Prakker	Zahmen Prakker	Zahmen Prakkers	die
_AF7F2D0A773E4CB8	cabja4	Schneller Prakker	Schneller Prakker	Schnelle Prakker	Schnellen Prakker	einen	ein	eines	der	des	den	dem	Schnelle Prakker	Schnellen Prakker	Schnellen Prakkers	die
_F410210E7A4E40B9	cabjb1	Schleimiger Prakker	Schleimiger Prakker	Schleimige Prakker	Schleimigen Prakker	einen	ein	eines	der	des	den	dem	Schleimige Prakker	Schleimigen Prakker	Schleimigen Prakkers	die
_06FEBE58BD1A5CB7	cabjb2	Gewöhnlicher Prakker	Gewöhnlicher Prakker	Gewöhnliche Prakker	Gewöhnlichen Prakker	einen	ein	eines	der	des	den	dem	Gewöhnliche Prakker	Gewöhnlichen Prakker	Gewöhnlichen Prakkers	die
_9875EE2184EC230A	cabjb3	Trübseliger Prakker	Trübseliger Prakker	Trübselige Prakker	Trübseligen Prakker	einen	ein	eines	der	des	den	dem	Trübselige Prakker	Trübseligen Prakker	Trübseligen Prakkers	die
_B3B04D12F42D4CB9	cabjb4	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	einen	ein	eines	der	des	den	dem	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	die
_E2B832AEE534BD6D	cabjc1	Ausgewachsener Prakker	Ausgewachsener Prakker	Ausgewachsene Prakker	Ausgewachsenen Prakker	einen	ein	eines	der	des	den	dem	Ausgewachsene Prakker	Ausgewachsenen Prakker	Ausgewachsenen Prakkers	die
_5635D66B05C4E12F	cabjc2	Wehrhafter Prakker	Wehrhafter Prakker	Wehrhafte Prakker	Wehrhaften Prakker	einen	ein	eines	der	des	den	dem	Wehrhafte Prakker	Wehrhaften Prakker	Wehrhaften Prakkers	die
_D771DA7F3D2A217F	cabjc3	Umherstreifender Prakker	Umherstreifender Prakker	Umherstreifende Prakker	Umherstreifenden Prakker	einen	ein	eines	der	des	den	dem	Umherstreifende Prakker	Umherstreifenden Prakker	Umherstreifenden Prakkers	die
_190FB6797FC80179	cabjc4	Ruhender Prakker	Ruhender Prakker	Ruhende Prakker	Ruhenden Prakker	einen	ein	eines	der	des	den	dem	Ruhende Prakker	Ruhenden Prakker	Ruhenden Prakkers	die
_DB76222E884C1B13	cabjd1	Lauernder Prakker	Lauernder Prakker	Lauernde Prakker	Lauernden Prakker	einen	ein	eines	der	des	den	dem	Lauernde Prakker	Lauernden Prakker	Lauernden Prakkers	die
_9BE0E27F01992580	cabjd2	Herumtreibender Prakker	Herumtreibender Prakker	Herumtreibende Prakker	Herumtreibenden Prakker	einen	ein	eines	der	des	den	dem	Herumtreibende Prakker	Herumtreibenden Prakker	Herumtreibenden Prakkers	die
_9DF29974066B0372	cabjd3	Wütender Prakker	Wütender Prakker	Wütende Prakker	Wütenden Prakker	einen	ein	eines	der	des	den	dem	Wütende Prakker	Wütenden Prakker	Wütenden Prakkers	die
_FC77390568560418	cabjd4	Wilder Prakker	Wilder Prakker	Wilde Prakker	Wilden Prakker	einen	ein	eines	der	des	den	dem	Wilde Prakker	Wilden Prakker	Wilden Prakkers	die
_D72516660985F547	cabje1	Riesiger Prakker	Riesiger Prakker	Riesige Prakker	Riesigen Prakker	einen	ein	eines	der	des	den	dem	Riesige Prakker	Riesigen Prakker	Riesigen Prakkers	die
_D820CA8D3ED90D8F	cabje2	Heißhungriger Prakker	Heißhungriger Prakker	Heißhungrige Prakker	Heißhungrigen Prakker	einen	ein	eines	der	des	den	dem	Heißhungrige Prakker	Heißhungrigen Prakker	Heißhungrigen Prakkers	die
_FC7789EF66140019	cabje3	Ordinärer Prakker	Ordinärer Prakker	Ordinäre Prakker	Ordinären Prakker	einen	ein	eines	der	des	den	dem	Ordinäre Prakker	Ordinären Prakker	Ordinären Prakkers	die
_9B44FEBE8B443C53	cabje4	Angriffslustiger Prakker	Angriffslustiger Prakker	Angriffslustige Prakker	Angriffslustigen Prakker	einen	ein	eines	der	des	den	dem	Angriffslustige Prakker	Angriffslustigen Prakker	Angriffslustigen Prakkers	die
_18B713A99BE11171	cabjf1	Erschreckender Prakker	Erschreckender Prakker	Erschreckende Prakker	Erschreckenden Prakker	einen	ein	eines	der	des	den	dem	Erschreckende Prakker	Erschreckenden Prakker	Erschreckenden Prakkers	die
