*HASH_VALUE	skill ID	name	named	ia	da	p	pd	pia	pda	description
_6859B085A7C998AF	Harvest	Ernte	Ernte	eine	die	Ernten	Ernten	\d	die	
_EB948CF094239D1E	HealingKamisKnowledge	Wissen des Heilkami	Wissen des Heilkami	ein	das	Wissen des Heilkami	Wissen des Heilkami	\d	das	
_F92866BFE38BCB95	HearWithering	Gehörschwächung	Gehörschwächung	eine	die	Gehörschwächungen	Gehörschwächungen	\d	die	
_640B62BEC91C82E5	HeavyArmourWear	Schwere Rüstung Tragen	Schwere Rüstung Tragen	\d	das	Schwere Rüstung Tragen	Schwere Rüstung Tragen	\d	das	
_71544EE048F0E123	HeavyWeapon	Schwere Waffe	Schwere Waffe	eine	die	Schwere Waffen	Schweren Waffen	\d	die	
_A8888C626796B06B	Hide	Versteck	Versteck	ein	das	Verstecke	Verstecke	\d	die	
_61E7E149D27F1BCF	HominOpponentConsiderWeapon	Homin beachtend	Homin beachtend	\d	\d	Homin beachtend	Homin beachtend	\d	\d	
_EDE50008D7249D1E	HuntingKamisKnowledge	Wissen des Jagdkami	Wissen des Jagdkami	ein	das	Wissen des Jagdkami	Wissen des Jagdkami	\d	das	
_E26A44A9F229689B	Jewellery	Schmuck	Schmuck	ein	der	Schmuck	Schmuck	\d	der	
_6836DC6A2C2798A7	Jungle	Dschungel	Dschungel	ein	der	Dschungel	Dschungel	\d	die	
_D43BDC86316D70C3	JungleExoticRawMaterialKnowledge	exotisches Rohstoffwissen des Dschungels	exotisches Rohstoffwissen des Dschungels	ein	das	exotisches Rohstoffwissen des Dschungels	exotisches Rohstoffwissen des Dschungels	\d	das	
_D002AC767BE09178	JungleKamisKnowledge	Wissen des Dschungelkami	Wissen des Dschungelkami	ein	das	Wissen des Dschungelkami	Wissen des Dschungelkami	\d	das	
_48122A4F06FF7649	JungleTravel	Dschungelreise	Dschungelreise	eine	die	Dschungelreisen	Dschungelreisen	\d	die	
_66B8AC6A67086042	Kami	Kami	Kami	ein	der	Kami	Kami	\d	die	
_B2D412D83E3E19EF	KamicShield	Kamischer Schild	Kamischer Schild	ein	das	Kamische Schilde	Kamischen Schilde	\d	die	
_BFCCBDCE2A8BD517	KamicShock	Kamischer Schock	Kamischer Schock	ein	der	Kamische Schocks	Kamischen Schocks	\d	die	
_6678EC6AE728C042	Kick	Tritt	Tritt	ein	der	Tritte	Tritte	\d	die	
_6629A89C6C9428A7	Kitin	Kitin	Kitin	ein	der	Kitin	Kitin	\d	die	
_6478AC6C64A86045	Lake	Seenland	Seenland	\d	das	Seenland	Seenland	\d	das	
_F97BD9096BA49380	LakeArmor	Seenland Rüstung	Seenland Rüstung	eine	die	Seenland Rüstungen	Seenland Rüstungen	\d	die	
_B07CB462F9A9C8D8	LakeExoticRawMaterialKnowledge	exotisches Rohstoffwissen des Seenlandes	exotisches Rohstoffwissen des Seenlandes	ein	das	exotisches Rohstoffwissen des Seenlandes	exotisches Rohstoffwissen des Seenlandes	\d	das	
_28CFFC31CA6B47F2	LakeKamisKnowledge	Wissen des Seenlandkami	Wissen des Seenlandkami	ein	das	Wissen des Seenlandkami	Wissen des Seenlandkami	\d	das	
_FF4DC5E9C12A3403	LakeTravel	Seenlandreise	Seenlandreise	eine	die	Seenlandreisen	Seenlandreisen	\d	die	
_8B21013F85EEE200	LeadAnimal	Haupttier	Haupttier	ein	das	Haupttiere	Haupttiere	\d	die	
_404CCCFC606DB7A4	LeatherTailoring	Lederverarbeitung	Lederverarbeitung	eine	die	Lederverarbeitungen	Lederverarbeitungen	\d	die	
_04D81F0172B9CF5A	LeftHandedAttack	linkshändiger Angriff	linkshändiger Angriff	ein	der	linkshändige Angriffe	linkshändigen Angriffe	\d	die	
_21775CB4E56D5B7C	LeftHandedParry	linkshändige Abwehr	linkshändige Abwehr	eine	die	linkshändige Abwehr	linkshändige Abwehr	\d	die	
_0C452E1ADB0F4DDD	LifeAlchemy	Lebens-Alchemie	Lebens-Alchemie	eine	die	Lebens-Alchemie	Lebens-Alchemie	\d	die	
_2687E4D96CC9C432	LifeGift	Lebens-Spende	Lebens-Spende	eine	die	Lebens-Spenden	Lebens-Spenden	\d	die	
_61EA3687978923C4	LightArmourWear	Leichte Rüstung Tragen	Leichte Rüstung Tragen	\d	das	Leichte Rüstung Tragen	Leichte Rüstung Tragen	\d	das	
_69374089A477E8A4	Madness	Wahnsinn	Wahnsinn	ein	der	Wahnsinn	Wahnsinn	\d	der	
_455DACCC024CA8F0	MagicObjects	Magisches Objekt	Magisches Objekt	ein	das	Magische Objekte	Magischen Objekte	\d	die	
_4A1563AB5D130552	MagicTransfert	Magieübertragung	Magieübertragung	eine	die	Magieübertragungen	Magieübertragungen	\d	die	
_3C8E85DF39A1D502	MajorDryade	höhere Dryade	höhere Dryade	eine	die	höhere Dryaden	höheren Dryaden	\d	die	
_29D697CA61F99ED6	MajorHealLife	höhere Lebens-Heilung	höhere Lebens-Heilung	eine	die	höhere Lebens-Heilungen	höheren Lebens-Heilungen	\d	die	
_221426D45905F8BD	MajorLifeRegeneration	höhere Lebens-Regeneration	höhere Lebens-Regeneration	eine	die	höhere Lebens-Regenerationen	höheren Lebens-Regenerationen	\d	die	
_F38A5F79563A0FA9	MajorMandragore	höhere Alraune	höhere Alraune	eine	g	höhere Alraunen	höheren Alraunen	\d	die	
_B2D6DE9C984FBAD2	MajorSapHeal	höhere Sap-Heilung	höhere Sap-Heilung	eine	die	höhere Sap-Heilungen	höheren Sap-Heilungen	\d	die	
_6A3765DA24F200B7	MajorSapRegenearation	höhere Sap-Regeneration	höhere Sap-Regeneration	eine	die	höhere Sap-Regenerationen	höheren Sap-Regenerationen	\d	die	
_C3BDE5F46A8D2923	MajorSylve	höherer Wald	höherer Wald	ein	der	höhere Wälder	höheren Wälder	\d	die	
_2271748AD8753575	MajorTirednessHeal	höhere Müdigkeits-Heilung	höhere Müdigkeits-Heilung	eine	die	höhere Müdigkeits-Heilungen	höheren Müdigkeits-Heilungen	\d	die	
_CD60785A66010F6E	MajorTirednessRegenearation	höhere Müdigkeits-Regeneration	höhere Müdigkeits-Regeneration	eine	die	höhere Müdigkeits-Regenerationen	höheren Müdigkeits-Regenerationen	\d	die	
_01BCE9F0799924F8	MakeAnklet	Fußring-Herstellung	Fußring-Herstellung	eine	die	Fußring-Herstellungen	Fußring-Herstellungen	\d	die	
_E6E88B9DA26BDFC1	MakeAutolaunch	Automatikgewehr-Herstellung	Automatikgewehr-Herstellung	eine	die	Automatikgewehr-Herstellungen	Automatikgewehr-Herstellungen	\d	die	
_58A84D5F4AF94B44	MakeAutolaunchAmmo	Munitionsherstellung für Automatikgewehre	Munitionsherstellung für Automatikgewehre	eine	die	Munitionsherstellungen für Automatikgewehre	Munitionsherstellungen für Automatikgewehre	\d	die	
_90B8B46306581057	MakeAxe	Axt-Herstellung	Axt-Herstellung	eine	die	Axt-Herstellungen	Axt-Herstellungen	\d	die	
_90D8586406985859	MakeBag	Beutel-Herstellung	Beutel-Herstellung	eine	die	Beutel-Herstellungen	Beutel-Herstellungen	\d	die	
_836DED0DB76A28F3	MakeBowgun	Bogengewehr-Herstellung	Bogengewehr-Herstellung	eine	die	Bogengewehr-Herstellung	Bogengewehr-Herstellung	\d	die	
_6E7182DF96ED29C9	MakeBowgunAmmo	Munitionsherstellung für Bogengewehre	Munitionsherstellung für Bogengewehre	eine	die	Munitionsherstellungen für Bogengewehre	Munitionsherstellungen für Bogengewehre	\d	die	
_A1D515107FFE3A20	MakeBracelet	Armband-Herstellung	Armband-Herstellung	eine	die	Armband-Herstellungen	Armband-Herstellungen	\d	die	
_B3F506251E3059DC	MakeBuckler	Beschützer-Herstellung	Beschützer-Herstellung	eine	die	Beschützer-Herstellungen	Beschützer-Herstellungen	\d	die	
_392FB217A21035D5	MakeClothes	Kleidungsherstellung	Kleidungsherstellung	eine	die	Kleidungsherstellungen	Kleidungsherstellungen	\d	die	
_806CBDDFB589F0F9	MakeDagger	Dolch-Herstellung	Dolch-Herstellung	eine	die	Dolch-Herstellungen	Dolch-Herstellungen	\d	die	
_3F3C85E1F72910F4	MakeDiadem	Diadem-Herstellung	Diadem-Herstellung	eine	die	Diadem-Herstellungen	Diadem-Herstellungen	\d	die	
_BDACDE4D3678E9F7	MakeEaring	Ohrring-Herstellung	Ohrring-Herstellung	eine	die	Ohrring-Herstellungen	Ohrring-Herstellungen	\d	die	
_99CF9A08F5CB4324	MakeFireAmmos	Brandsatzmunitions-Herstellung	Brandsatzmunitions-Herstellung	\d	das	Brandsatzmunitions-Herstellungen	Brandsatzmunitions-Herstellungen	\d	das	
_6BFA2687EB3F65CE	MakeFireToughenedArmors	Feuergestählte Rüstungsherstellung	Feuergestählte Rüstungsherstellung	eine	die	Feuergestählte Rüstungsherstellungen	Feuergestählte Rüstungsherstellungen	\d	die	
_5DDB274FBD6D6B60	MakeFireWeapons	Feuerwaffen-Herstellung	Feuerwaffen-Herstellung	eine	die	Feuerwaffen-Herstellungen	Feuerwaffen-Herstellungen	\d	die	
_7A25B19EE3EF09CE	MakeFloralLivingJewels	Herstellung lebendigen Blumenschmucks	Herstellung lebendigen Blumenschmucks	eine	die	Herstellungen lebendigen Blumenschmucks	Herstellungen lebendigen Blumenschmucks	\d	die	
_D61E921DB8BE7F70	MakeFloralPatternLivingClothes	Herstellung lebendiger Blumenkleidung	Herstellung lebendiger Blumenkleidung	eine	die	Herstellungen lebendiger Blumenkleidung	Herstellungen lebendiger Blumenkleidung	\d	die	
_3564EA24DFAE45CB	MakeGrenade	Granaten-Herstellung	Granaten-Herstellung	eine	die	Granaten-Herstellungen	Granaten-Herstellungen	\d	die	
_5DB2A7D44F1CA3D5	MakeHarpoonGun	Harpunen-Herstellung	Harpunen-Herstellung	eine	die	Harpunen-Herstellungen	Harpunen-Herstellungen	\d	die	
_24321D769D476015	MakeHarpoonGunAmmo	Munitionsherstellung für Harpunen	Munitionsherstellung für Harpunen	eine	die	Munitionsherstellungen für Harpunen	Munitionsherstellungen für Harpunen	\d	die	
_24DAAAC9894A7EBA	MakeHeavyArmors	Herstellung schwerer Rüstung	Herstellung schwerer Rüstung	eine	die	Herstellungen schwerer Rüstung	Herstellungen schwerer Rüstung	\d	die	
_F12613925D5F5285	MakeHeavyBoots	Herstellung schwerer Stiefel	Herstellung schwerer Stiefel	eine	die	Herstellungen schwerer Stiefel	Herstellungen schwerer Stiefel	\d	die	
_61897E8DECF7D3AB	MakeHeavyGloves	Herstellung schwerer Handschuhe	Herstellung schwerer Handschuhe	eine	die	Herstellungen schwerer Handschuhe	Herstellungen schwerer Handschuhe	\d	die	
_DF9876EB2FC8ABA0	MakeHeavyHelmet	Herstellung schwerer Helme	Herstellung schwerer Helme	eine	die	Herstellungen schwerer Helme	Herstellungen schwerer Helme	\d	die	
_716683921D7F8A85	MakeHeavyPants	Herstellung schwerer Hosen	Herstellung schwerer Hosen	eine	die	Herstellungen schwerer Hosen	Herstellungen schwerer Hosen	\d	die	
_67688CED00A9176B	MakeHeavySleeves	Herstellung schwerer Armschützer	Herstellung schwerer Armschützer	eine	die	Herstellungen schwerer Armschützer	Herstellungen schwerer Armschützer	\d	die	
_99D5FEB80CE66203	MakeHeavyVest	Herstellung schwerer Westen	Herstellung schwerer Westen	eine	die	Herstellungen schwerer Westen	Herstellungen schwerer Westen	\d	die	
_42CD65D02155B99E	MakeJewels	Schmuck-Herstellung	Schmuck-Herstellung	eine	die	Schmuck-Herstellungen	Schmuck-Herstellungen	\d	die	
_34A8590FAE27CB85	MakeKamicClothes	Kami Kleidungsherstellung	Kami Kleidungsherstellung	eine	die	Kami Kleidungsherstellungen	Kami Kleidungsherstellungen	\d	die	
_95699B664F72967A	MakeKamicJewels	Kami Schmuckherstellung	Kami Schmuckherstellung	eine	die	Kami Schmuckherstellungen	Kami Schmuckherstellungen	\d	die	
_9ACACF60BF7A2F6B	MakeKamicWeapon	Kami Waffenherstellung	Kami Waffenherstellung	eine	die	Kami Waffenherstellungen	Kami Waffenherstellungen	\d	die	
_ADBFC1E65BE62BD6	MakeLance	Lanzenherstellung	Lanzenherstellung	eine	die	Lanzenherstellungen	Lanzenherstellungen	\d	die	
_E164250C41DF1A49	MakeLauncher	Raketenwerfer-Herstellung	Raketenwerfer-Herstellung	eine	die	Raketenwerfer-Herstellungen	Raketenwerfer-Herstellungen	\d	die	
_DFDDC01F39E70A29	MakeLauncherAmmo	Munitionsherstellung für Raketenwerfer	Munitionsherstellung für Raketenwerfer	eine	die	Munitionsherstellungen für Raketenwerfer	Munitionsherstellungen für Raketenwerfer	\d	die	
_B1452B919ADE7A8D	MakeLightBoots	Herstellung leichter Stiefel	Herstellung leichter Stiefel	eine	die	Herstellungen leichter Stiefel	Herstellungen leichter Stiefel	\d	die	
_E2C98E83E6B7DFA5	MakeLightGloves	Herstellung leichter Handschuhe	Herstellung leichter Handschuhe	eine	die	Herstellungen leichter Handschuhe	Herstellungen leichter Handschuhe	\d	die	
_60D886E12988B79A	MakeLightHelmet	Herstellung leichter Helme	Herstellung leichter Helme	eine	die	Herstellungen leichter Helme	Herstellungen leichter Helme	\d	die	
_31859B915AFEB28D	MakeLightPants	Herstellung leichter Hosen	Herstellung leichter Hosen	eine	die	Herstellungen leichter Hosen	Herstellungen leichter Hosen	\d	die	
_686878DABD684F73	MakeLightSleeves	Herstellung leichter Armschützer	Herstellung leichter Armschützer	eine	die	Herstellungen leichter Armschützer	Herstellungen leichter Armschützer	\d	die	
_9A15EAA50A364A0D	MakeLightVest	Herstellung leichter Westen	Herstellung leichter Westen	eine	die	Herstellung enleichter Westen	Herstellungen leichter Westen	\d	die	
_93B5F2C0B18D74E6	MakeLongAxe	Langaxt-Herstellung	Langaxt-Herstellung	eine	die	Langaxt-Herstellungen	Langaxt-Herstellungen	\d	die	
_D630EAD54340E14A	MakeLongMace	Zweihand-Streitkolben-Herstellung	Zweihand-Streitkolben-Herstellung	eine	die	Zweihand-Streitkolben-Herstellungen	Zweihand-Streitkolben-Herstellungen	\d	die	
_1FD845A457C05A0E	MakeLongSword	Langschwert-Herstellung	Langschwert-Herstellung	eine	die	Langschwert-Herstellungen	Langschwert-Herstellungen	\d	die	
_2487A4CC28998435	MakeMace	Streitkolben-Herstellung	Streitkolben-Herstellung	eine	die	Streitkolben-Herstellungen	Streitkolben-Herstellungen	\d	die	
_249833D77C3DF353	MakeMediumArmors	Herstellung mittlerer Rüstung	Herstellung mittlerer Rüstung	eine	die	Herstellungen mittlerer Rüstung	Herstellungen mittlerer Rüstung	\d	die	
_5B045F5B9D1CE3A1	MakeMediumBoots	Herstellung mittlerer Stiefel	Herstellung mittlerer Stiefel	eine	die	Herstellungen mittlerer Stiefel	Herstellungen mittlerer Stiefel	\d	die	
_609817297DA8535F	MakeMediumGloves	Herstellung mittlerer Handschuhe	Herstellung mittlerer Handschuhe	eine	die	Herstellungen mittlerer Handschuhe	Herstellungen mittlerer Handschuhe	\d	die	
_35E84B28BD78EF5A	MakeMediumHelmet	Herstellung mittlerer Helme	Herstellung mittlerer Helme	eine	die	Herstellungen mittlerer Helme	Herstellungen mittlerer Helme	\d	die	
_5CD527699D1CDF92	MakeMediumPants	Herstellung mittlerer Hosen	Herstellung mittlerer Hosen	eine	die	Herstellungen mittlerer Hosen	Herstellungen mittlerer Hosen	\d	die	
_0371DC2A30794373	MakeMediumSleeves	Herstellung mittlerer Armschützer	Herstellung mittlerer Armschützer	eine	die	Herstellungen mittlerer Armschützer	Herstellungen mittlerer Armschützer	\d	die	
_302346DAD82D72D8	MakeMediumVest	Herstellung mittlerer Westen	Herstellung mittlerer Westen	eine	die	Herstellungen mittlerer Westen	Herstellungen mittlerer Westen	\d	die	
_6EF52BF62AAC8F82	MakeMeleeWeapons	Nahkampfwaffen-Herstellung	Nahkampfwaffen-Herstellung	eine	die	Nahkampfwaffen-Herstellungen	Nahkampfwaffen-Herstellungen	\d	die	
_3175AA365D2061D4	MakePendant	Anhänger-Herstellung	Anhänger-Herstellung	eine	die	Anhänger-Herstellungen	Anhänger-Herstellungen	\d	die	
_26B8A4CC2A99B040	MakePike	Pikenherstellung	Pikenherstellung	eine	die	Pikenherstellungen	Pikenherstellungen	\d	die	
_81DD09FDFE0B10FF	MakePistol	Pistolenherstellung	Pistolenherstellung	eine	die	Pistolenherstellungen	Pistolenherstellungen	\d	die	
_70426AD1DC7E01CF	MakePistolAmmo	Munitionsherstellung für Pistolen	Munitionsherstellung für Pistolen	eine	die	Munitionsherstellungen für Pistolen	Munitionsherstellungen für Pistolen	\d	die	
_0B53EDC45CF7C64C	MakePistolarc	Bogenpistolenherstellung	Bogenpistolenherstellung	eine	die	Bogenpistolenherstellungen	Bogenpistolenherstellungen	\d	die	
_1931C00DE17507E4	MakePistolarcAmmo	Munitionsherstellung für Bogenpistolen	Munitionsherstellung für Bogenpistolen	eine	die	Munitionsherstellungen für Bogenpistolen	Munitionsherstellungen für Bogenpistolen	\d	die	
_9E16DA9899F07C63	MakePoisonnousLivingWeapons	Herstellung lebendiger Giftwaffen	Herstellung lebendiger Giftwaffen	eine	die	Herstellungen lebendiger Giftwaffen	Herstellungen lebendiger Giftwaffen	\d	die	
_E763C9DD6B1E8891	MakeRangeWeaponAmmos	Munitionsherstellung für Fernwaffen	Munitionsherstellung für Fernwaffen	eine	die	Munitionsherstellungen für Fernwaffen	Munitionsherstellungen für Fernwaffen	\d	die	
_6D462BF82A8C9B89	MakeRangeWeapons	Fernwaffenherstellung	Fernwaffenherstellung	eine	die	Fernwaffenherstellungen	Fernwaffenherstellungen	\d	die	
_ADBFE5DEE3476BE2	MakeRifle	Gewehrherstellung	Gewehrherstellung	eine	die	Gewehrherstellungen	Gewehrherstellungen	\d	die	
_923F6E790CE45A15	MakeRifleAmmo	Munitionsherstellung für Gewehre	Munitionsherstellung für Gewehre	eine	die	Munitionsherstellungen für Gewehre	Munitionsherstellungen für Gewehre	\d	die	
_26D8A4CE6BC9C045	MakeRing	Ring-Herstellung	Ring-Herstellung	eine	die	Ring-Herstellungen	Ring-Herstellungen	\d	die	
_BFBC85EFBA9A0CFA	MakeShield	Schild-Herstellung	Schild-Herstellung	eine	die	Schild-Herstellungen	Schild-Herstellungen	\d	die	
_B99BAF7F594C2772	MakeShiftRepair	Notreparatur	Notreparatur	eine	die	Notreparaturen	Notreparaturen	\d	die	
_80F17C40F5C78AB9	MakeSurvivalTools	Überlebenswerkzeug-Herstellung	Überlebenswerkzeug-Herstellung	eine	die	Überlebenswerkzeug-Herstellungen	Überlebenswerkzeug-Herstellungen	\d	die	
_106EFD8DAB1A104A	MakeSurvivalWeapon	Überlebenswaffen-Herstellung	Überlebenswaffen-Herstellung	eine	die	Überlebenswaffen-Herstellungen	Überlebenswaffen-Herstellungen	\d	die	
_ADAFFDE56877DBE4	MakeSword	Schwert-Herstellung	Schwert-Herstellung	eine	die	Schwert-Herstellungen	Schwert-Herstellungen	\d	die	
_D45CC9816B7A4431	MakeThrowingWeapon	Wurfwaffen-Herstellung	Wurfwaffen-Herstellung	eine	die	Wurfwaffen-Herstellung	Wurfwaffen-Herstellung	\d	die	
_653AA10E2AD58F90	MakeTools	Werkzeug-Herstellung	Werkzeug-Herstellung	eine	die	Werkzeug-Herstellung	Werkzeug-Herstellung	\d	die	
_1BFFE53F570A7174	MakeTwo_handsMeleeWeapons	Herstellung zweihändiger Nahkampfwaffen	Herstellung zweihändiger Nahkampfwaffen	eine	die	Herstellungen zweihändiger Nahkampfwaffen	Herstellungen zweihändiger Nahkampfwaffen	\d	die	
