*HASH_VALUE	race ID	name	named	ia	da	p	pd	pia	pda
_A8FAFC95E5B884D3	Kakty	Lumper	Lumper	ein 	der	Lumper	Lumper		die
_E91844799DE6E889	Kalab	Kalab	Kalab	ein 	der	Kalabs	Kalabs		die
_66B8AC6A67086042	Kami	Kami	Kami	ein 	der	Kamis	Kamis		die
_6DE9185A9E88EC9F	Kazoar	Igara	Igara	ein 	der	Igaras	Igaras		die
_22295C8D619B8CB0	Kitifly	Kizoar	Kizoar	ein 	der	Kizoars	Kizoars		die
_A967B071AF99D886	Kitihank	Kinrey	Kinrey	ein 	der	Kinreys	Kinreys		die
_2D1928895C3A9488	Kitiharak	Kizarak	Kizarak	ein 	der	Kizaraks	Kizaraks		die
_AA98C87D29A9ECB4	Kitikil	Kipesta	Kipesta	ein	der	Kipestas	Kipestas		die
_6A985489668810B3	Kitimandib	Kincher	Kincher	ein 	der	Kincher	Kincher		die
_EED9D491A3E70895	Kitin	Kitin	Kitin	ein 	der	Kitins	Kitins		die
_AB79507DDF8958A2	Kitinagan	Kipucka	Kipucka	ein 	der	Kipuckas	Kipuckas		die
_24FB707EE636C4B2	Kitinega	Kirosta	Kirosta	ein 	der	Kirostas	Kirostas		die
_1EE70896B148CC9A	Kitinokto	Kiban	Kiban	ein 	der	Kibans	Kibans		die
_6A75F4806EFA64A9	Lightbird	Izam	Izam	ein 	der	Izams	Izams		die
_6B18A47CA78864B4	Mektoub	Mektoub	Mektoub	ein 	das	Mektoubs	Mektoubs		die
_A87A0070E91A20A1	Phytopsy	Psykopla	Psykopla	ein	der	Psykoplas	Psykoplas		die
_2BD83C686EBB78A1	Pucetron	Kipee	Kipee	ein 	der	Kipees	Kipees		die
_2BFA0C9566B710A4	Regus	Ragus	Ragus	ein 	der	Ragusse	Ragusse		die
_A28AF86F9CA484CB	Ryzerb	Najab	Najab	ein	der	Najabs	Najabs		die
_E648F0812DAACC99	Ryzoholo	Timari	Timari	ein 	der	Timaris	Timaris		die
_B027688DF0E9E0B5	Ryzoholok	Vorax	Vorax	ein 	der	Voraxe	Voraxe		die
_DD9A98FDE6A9B4AB	SapEnslaver	Slaveni	Slaveni	ein 	der	Slavenis	Slavenis		die
_ABDE4DD566A924AB	SpittingWeeds	Cratcha	Cratcha	ein 	der	Cratchas	Cratchas		die
_662AE099E1986CAE	Swarmplants	Shooki	Shooki	ein	der	Shookis	Shookis		die
_AD98A88EAAEA94AF	Vampignon	Yelk	Yelk	ein 	der	Yelks	Yelks		die
_6E4A088360B94CA6	Varinx	Varinx	Varinx	ein 	der	Varinxe	Varinxe		die
_EAB8B4862D886C6C	Yber	Yber	Yber	ein 	der	Yber	Yber		die
_658AD094682B948D	Zerx	Zerx	Zerx	ein 	der	Zerxe	Zerxe		die
_2D3828AC5F265890	race_c1	Javing	Javing	ein	der	Javings	Javings		die
_EBF8B8C11E15F09D	race_c2	Cuttler	Cuttler	ein	der	Cuttler	Cuttler		die
_649ADC991AD39BAA	race_c3	Ocyx	Ocyx	ein	der	Ocyxe	Ocyxe		die
_E93AECC05FF65096	race_c4	Jugula	Jugula	ein	der	Jugulas	Jugulas		die
_68C778AE1F65A889	race_c5	Kidinak	Kidinak	ein	der	Kidinaks	Kidinaks		die
_29A93CAC6176389C	race_h1	Raspal	Raspal	ein	der	Raspals	Raspals		die
_2AB80CAC5DE63883	race_h2	Bawaab	Bawaab	ein	der	Bawaabs	Bawaabs		die
_6BBAE4BD5EC6749F	race_h3	Frippo	Frippo	ein	der	Frippos	Frippos		die
_6B2828B061077096	race_h4	Rendor	Rendor	ein	der	Rendors	Rendors		die
_A538C48C91A6BC8B	race_h5	Gnoof	Gnoof	ein	der	Gnoofs	Gnoofs		die
_A878E0BA5D963C98	race_h6	Bolobi	Bolobi	ein	der	Bolobis	Bolobis		die
_A5D8F8B3A1963894	race_h7	Shalah	Shalah	ein	der	Shalahs	Shalahs		die
_A209A0C46156BCB1	race_h8	Ploderos	Ploderos	ein	der	Ploderosse	Ploderosse		die
_A8A838BAA2C6388B	race_h9	Wombaï	Wombaï	ein	der	Wombaïs	Wombaïs		die
_2109609496264C93	race_h10	Madakam	Madakam	ein	der	Madakams	Madakams		die
_2CB6848F1C656C82	race_h11	Arana	Arana	ein	der	Aranas	Aranas		die
_6756C0945C4550A1	race_h12	Gubani	Gubani	ein	der	Gubanis	Gubanis		die
_E5B890C2A4E598AF	race_c6	Tyrancha	Tryancha	ein	der	Tyranchas	Tryanchas		die
_2629B4959676A893	race_c7	Yetin	Yetin	ein	der	Yetins	Yetins		die
_01A8F8B90018E492	gooArma	Goo-Arma	Goo-Arma	ein	der	Goo-Armas	Goo-Armas		die
_9E846FA06CAA4C7E	gooBalduse	Goo-Baldusa	Goo-Baldusa	ein	der	Goo-Baldusas	Goo-Baldusas		die
_8A7824AB6140B89A	gooBul	Goo-Bodoc	Goo-Bodoc	ein	der	Goo-Bodocs	Goo-Bodocs		die
_DE947FA3AF0C9483	gooCapryni	Goo-Capryni	Goo-Capryni	ein	das	Goo-Caprynis	Goo-Caprynis		die
_9C49D4A995B9544D	gooCephaloplant	Goo-Jubla	Goo-Jubla	ein	der	Goo-Jublas	Goo-Jublas		die
_9C94DC8FD548B4B9	gooChonari	Goo-Gingo	Goo-Gingo	ein	der	Goo-Gingos	Goo-Gingos		die
_9075A0A02799D4BC	gooClapclap	Goo-Prakker	Goo-Prakker	ein	der	Goo-Prakkers	Goo-Prakkers		die
_4CE5A0A0E90914B9	gooCococlaw	Goo-Clopper	Goo-Clopper	ein	der	Goo-Clopper	Goo-Clopper		die
_0ED6C4C45682E09F	gooCute	Goo-Cute	Goo-Cute	ein	der	Goo-Cutes	Goo-Cutes		die
_9894E48A2EB7885F	gooDag	Goo-Yubo	Goo-Yubo	ein	der	Goo-Yubos	Goo-Yubos		die
_98F2C8956EF850B9	gooDiranak	Goo-Horncher	Goo-Horncher	ein	der	Goo-Horncher	Goo-Horncher		die
_1D0804A366573C5A	gooElectroalgs	Goo-Stinga	Goo-Stinga	ein	der	Goo-Stingas	Goo-Stingas		die
_18D8646167EA3C8A	gooEstrasson	Goo-Cray	Goo-Cray	ein	der	Goo-Crays	Goo-Crays		die
_A5D92892A0E2889B	gooFilin	Goo-Messab	Goo-Messab	ein	der	Goo-Messabs	Goo-Messabs		die
_DD77508FD5194CAF	gooFrahar	Goo-Frahar	Goo-Frahar	ein	der	Goo-Frahars	Goo-Frahars		die
_1BF65486932938A1	gooGibbai	Goo-Gibbaï 	Goo-Gibbaï 	ein	der	Goo-Gibbaïs	Goo-Gibbaïs		die
_D0F8384FEDB97092	gooHachtaha	Goo-Goari	Goo-Goari	ein	das	Goo-Goaris	Goo-Goaris		die
_DA2760536988CCBD	gooJungler	Goo-Torbak	Goo-Torbak	ein	der	Goo-Torbaks	Goo-Torbaks		die
_E5F87C916783F0A2	gooKakty	Goo-Lumper	Goo-Lumper	ein	der	Goo-Lumper	Goo-Lumper		die
_9CC94C6C6996FB8A	gooKalab	Goo-Kalab	Goo-Kalab	ein	der	Goo-Kalabs	Goo-Kalabs		die
_0B96B8A95342D484	gooKami	Goo-Kami	Goo-Kami	ein	der	Goo-Kamis	Goo-Kamis		die
_1D365CB79E64CCC1	gooKazoar	Goo-Igara	Goo-Igara	ein	der	Goo-Igaras	Goo-Igaras		die
_D9967C5A27C830AD	gooKitifly	Goo-Kizoar	Goo-Kizoar	ein	der	Goo-Kizoars	Goo-Kizoars		die
_5A1693A6E74BB48C	gooKitihank	Goo-Kinrey	Goo-Kinrey	ein	der	Goo-Kinreys	Goo-Kinreys		die
_8D18ACAE24E7F06A	gooKitiharak	Goo-Kizarak	Goo-Kizarak	ein	der	Goo-Kizaraks	Goo-Kizaraks		die
_E2148B966B5B9093	gooKitikil	Goo-Kipesta	Goo-Kipesta	ein	der	Goo-Kipestas	Goo-Kipestas		die
_2118E88CA318D852	gooKitimandib	Goo-Kincher	Goo-Kincher	ein	der	Goo-Kincher	Goo-Kincher		die
_A0CB8C6C6E961BAA	gooKitin	Goo-Kitin	Goo-Kitin	ein	der	Goo-Kitins	Goo-Kitins		die
_4E78A89FAA47F06A	gooKitinagan	Goo-Kipucka	Goo-Kipucka	ein	der	Goo-Kipuckas	Goo-Kipuckas		die
_508474A8B13884B0	gooKitinega	Goo-Kirosta	Goo-Kirosta	ein	der	Goo-Kirostas	Goo-Kirostas		die
_63A787A9674AA06E	gooKitinokto	Goo-Kiban	Goo-Kiban	ein	der	Goo-Kibans	Goo-Kibans		die
_E2091C4EAC59E45F	gooLightbird	Goo-Izam	Goo-Izam	ein	der	Goo-Izams	Goo-Izams		die
_623463A36F3A988C	gooMektoub	Goo-Mektoub	Goo-Mektoub	ein	der	Goo-Mektoubs	Goo-Mektoubs		die
_09F9DCBB28F84491	gooPhytopsy	Goo-Psykopla	Goo-Psykopla	ein	der	Goo-Psykoplas	Goo-Psykoplas		die
_D5C85460EC88ACB4	gooPucetron	Goo-Kipee	Goo-Kipee	ein	der	Goo-Kipees	Goo-Kipees		die
_68295C7A6BD703B0	gooRegus	Goo-Ragus	Goo-Ragus	ein	der	Goo-Ragusse	Goo-Ragusse		die
_E9B9FCA7DBF4D0A7	gooRyzerb	Goo-Najab	Goo-Najab	ein	der	Goo-Najabs	Goo-Najabs		die
_5F568BA4ABFA08A3	gooRyzoholo	Goo-Timari	Goo-Timari	ein	der	Goo-Timaris	Goo-Timaris		die
_24568BB3670B1090	gooRyzoholok	Goo-Vorax	Goo-Vorax	ein	der	Goo-Voraxe	Goo-Voraxe		die
_26A9CCAA6CF3A794	gooSapEnslaver	Goo-Slaveni	Goo-Slaveni	ein	der	Goo-Slavenis	Goo-Slavenis		die
_1E78FC5ADAF97CAC	gooSpittingWeeds	Goo-Cratcha	Goo-Cratcha	ein	der	Goo-Cratchas	Goo-Cratchas		die
_2248FCA724482C72	gooSwarmplants	Goo-Shooki	Goo-Shooki	ein	der	Goo-Shookis	Goo-Shookis		die
_A0D85055E75AD07C	gooVampignon	Goo-Yelk	Goo-Yelk	ein	der	Goo-Yelks	Goo-Yelks		die
_E16790959A59C8B0	gooVarinx	Goo-Varinx	Goo-Varinx	ein	der	Goo-Varinxe	Goo-Varinxe		die
_CF08BCA217B4D87D	gooYber	Goo-Yber	Goo-Yber	ein	der	Goo-Ybers	Goo-Ybers		die
_D07808B21824248D	gooZerx	Goo-Zerx	Goo-Zerx	ein	der	Goo-Zerxe	Goo-Zerxe		die
_13299C8E12444055	gooc1	Goo-Javing	Goo-Javing	ein	der	Goo-Javings	Goo-Javings		die
_EA294C6E6C99982D	gooc2	Goo-Cuttler	Goo-Cuttler	ein	der	Goo-Cuttler	Goo-Cuttler		die
_5F62BBBD6D874B74	gooc3	Goo-Ocyx	Goo-Ocyx	ein	der	Goo-Ocyxe	Goo-Ocyxe		die
_16D8E49A0F852856	gooc4	Goo-Jugula	Goo-Jugula	ein	der	Goo-Jugulas	Goo-Jugulas		die
_24287466A698C025	gooc5	Goo-Kidinak	Goo-Kidinak	ein	der	Goo-Kidinaks	Goo-Kidinaks		die
_1749689D51947448	gooh1	Goo-Raspal	Goo-Raspal	ein	der	Goo-Raspals	Goo-Raspals		die
_53E9687E92940C49	gooh2	Goo-Bawaab	Goo-Bawaab	ein	der	Goo-Bawaabs	Goo-Bawaabs		die
_17D8E8914FA55059	gooh3	Goo-Frippo	Goo-Frippo	ein	der	Goo-Frippos	Goo-Frippos		die
_1459B091D1D48C59	gooh4	Goo-Rendor	Goo-Rendor	ein	der	Goo-Rendors	Goo-Rendors		die
_5F64A8ACA4459833	gooh5	Goo-Gnoof	Goo-Gnoof	ein	der	Goo-Gnoofs	Goo-Gnoofs		die
_D6A8A48CD174284E	gooh6	Goo-Bolobi	Goo-Bolobi	ein	der	Goo-Bolobis	Goo-Bolobis		die
_16E8849A4E04684E	gooh7	Goo-Shalah	Goo-Shalah	ein	der	Goo-Shalahs	Goo-Shalahs		die
_2A69B7A22D86EF7F	gooh8	Goo-Ploderos	Goo-Ploderos	ein	der	Goo-Ploderosse	Goo-Ploderosse		die
_93B8A094D2747C50	gooh9	Goo-Wombaï	Goo-Wombaï	ein	der	Goo-Wombaïs	Goo-Wombaïs		die
_DFF68BA2E8546E64	gooh10	Goo-Madakam	Goo-Madakam	ein	der	Goo-Madakams	Goo-Madakams		die
_17A60B671616F740	gooh11	Goo-Arana	Goo-Arana	ein	der	Goo-Aranas	Goo-Aranas		die
_2AD6DB5BAC46271A	gooh12	Goo-Gubani	Goo-Gubani	ein	der	Goo-Gubanis	Goo-Gubanis		die
