*HASH_VALUE	placeId	name	da	pr	p	pda	ppr
_7458849474588414	exit	Exit	the				
_BC11684EF43CFAE1	place_lieudit_majesticgarden_1	Psykopla Knoll					
_FC11684EF43CFEE1	place_lieudit_majesticgarden_2	Matis Arena					
_3C11684EF43C02E1	place_lieudit_majesticgarden_3	Charmers' Way					
_FA713C4AB77C36DF	place_lieudit_fleetinggarden_1	Kami Circle					
_3A713C4AB77C3ADF	place_lieudit_fleetinggarden_2	The Trove					
_7A713C4AB77C3EDF	place_lieudit_fleetinggarden_3	Den of Fury					
_BB713C4AB77C42DF	place_lieudit_fleetinggarden_4	The Rising					
_3D008C56BD9C7ADE	place_lieudit_knollofdissent_1	Tunnel of Woe					
_7D008C56BD9C7EDE	place_lieudit_knollofdissent_2	Runninghill Pass					
_BD008C56BD9C82DE	place_lieudit_knollofdissent_3	Towerbridge Way					
_FE008C56BD9C86DE	place_lieudit_knollofdissent_4	Torbak Trail Hill					
_3E008C56BD9C8ADE	place_lieudit_knollofdissent_5	Killing Tree					
_7E008C56BD9C8EDE	place_lieudit_knollofdissent_6	Smitten Mount					
_9406368A84242E90	place_lieudit_upperbog_1	Fencoomb Ponds 					
_9406368A04242E90	place_lieudit_upperbog_2	Fearing Fens					
_9406368A84242E90	place_lieudit_upperbog_3	Slough of the Demon					
_9406368A06242E90	place_lieudit_upperbog_4	Panting Pass					
_B28A6751379BBFAA	place_lieudit_hereticshovel_1	Maze of Sprite					
_B28A6B51379BBFAB	place_lieudit_hereticshovel_2	Chilling Swamp					
_B28A6F51379BBFAC	place_lieudit_hereticshovel_3	Falls of the Two Totems					
_B28A7351379BBFAD	place_lieudit_hereticshovel_4	Folly plain					
_694A63E8694A63E8	place_lieudit_hiddensource_1	Little Mountain					
_A94A63E8A94A63E8	place_lieudit_hiddensource_2	Virginia Falls					
_E94A63E8E94A63E8	place_lieudit_hiddensource_3	Tylini Gate					
_CED26854BA4E805C	place_lieudit_groveofconfusion_1	Mullgrove					
_CED268543A4E805C	place_lieudit_groveofconfusion_2	Eastgrove Gate					
_CED26854BA4E805C	place_lieudit_groveofconfusion_3	Westgrove Gate					
_CED268543C4E805C	place_lieudit_groveofconfusion_4	Highgrove					
_4F52BC8D0EBE1864	place_lieudit_citiesofintuition_1	Still Waters					
_4F52C08E0EBE1864	place_lieudit_citiesofintuition_2	Mossy Scarp					
_4F52C48F0EBE1864	place_lieudit_citiesofintuition_3	Mektoub Waterhole					
_4F52C8900EBE1864	place_lieudit_citiesofintuition_4	Mystic Falls					
_F5D8B7D39E4432E4	place_lieudit_maidengrove_1	Palm Valley					
_F5E8B7D39E4436E4	place_lieudit_maidengrove_2	Maiden Pond					
_F5F8B7D39E443AE4	place_lieudit_maidengrove_3	Slavenhurst					
_F508B7D39E443EE4	place_lieudit_maidengrove_4	Fowling Lake					
_F518B7D39E4442E4	place_lieudit_maidengrove_5	Great Boulder Tunnel					
_76CAAF4EB85D8FAC	place_lieudit_havenofpurity_1	Bighorn Mountain					
_76CAB34EB85D8FAD	place_lieudit_havenofpurity_2	Fustylake					
_76CAB74EB85D8FAE	place_lieudit_havenofpurity_3	Kincher Arch					
_E7B9B3F5E7B9B3F5	place_lieudit_groveofumbra_1	Kipee Mull					
_27B9B3F527B9B3F5	place_lieudit_groveofumbra_2	Sly Lake					
_67B9B3F567B9B3F5	place_lieudit_groveofumbra_3	Underway Arch					
_A8B9B3F5A8B9B3F5	place_lieudit_groveofumbra_4	Withered Stock					
_76C0784F008B46E0	place_lieudit_knotofdementia_1	The Great Outback					
_B6C0784F008B4AE0	place_lieudit_knotofdementia_2	Desertstock					
_F6C0784F008B4EE0	place_lieudit_knotofdementia_3	Stainmoor					
_37C0784F008B52E0	place_lieudit_knotofdementia_4	Stainmoor Gate					
_77C0784F008B56E0	place_lieudit_knotofdementia_5	Highland Impasse					
_B7C0784F008B5AE0	place_lieudit_knotofdementia_6	Hopedell					
_1BB43291423CBD5A	place_lieudit_thevoid_1	Paramount Stock					
_1BB43291424CC15A	place_lieudit_thevoid_2	The Lost Valley					
_1BB43291425CC55A	place_lieudit_thevoid_3	Mull of Despond					
_F16A5F47FB6B7BB6	place_lieudit_imperialdunes_1	Valley of Emperors					
_F16A6347FB6B7BB7	place_lieudit_imperialdunes_2	Fourways					
_F16A6747FB6B7BB8	place_lieudit_imperialdunes_3	Canyon Pass					
_321BBF40355B9BA5	place_lieudit_oflovaksoasis_1	Oasis Rift					
_321BC340355B9BA6	place_lieudit_oflovaksoasis_2	Clopper Hill					
_321BC740355B9BA7	place_lieudit_oflovaksoasis_3	Midpeaks					
_321BCB40355B9BA8	place_lieudit_oflovaksoasis_4	Barkgully					
_321BCF40355B9BA9	place_lieudit_oflovaksoasis_5	Route of the Flaming Forest					
_A73B93FEA73B93FE	place_lieudit_sawdustmines_1	The Waste					
_E73B93FEE73B93FE	place_lieudit_sawdustmines_2	Highridges					
_273B93FE273B93FE	place_lieudit_sawdustmines_3	Barker Dunes					
_683B93FE683B93FE	place_lieudit_sawdustmines_4	Varynx Rise					
_A83B93FEA83B93FE	place_lieudit_sawdustmines_5	Troubled Water					
_690AABF5690AABF5	place_lieudit_frahartowers_1	Lonesome Pass					
_A90AABF5A90AABF5	place_lieudit_frahartowers_2	The Vast Expanse					
_E90AABF5E90AABF5	place_lieudit_frahartowers_3	Hightowers					
_7E70E43A7C6D32DE	place_lieudit_thesavagedunes_1	Ash Gorge					
_BE70E43A7C6D36DE	place_lieudit_thesavagedunes_2	Thesos Springs					
_FE70E43A7C6D3ADE	place_lieudit_thesavagedunes_3	Thesos Billabong					
_3F70E43A7C6D3EDE	place_lieudit_thesavagedunes_4	South Range					
_7F70E43A7C6D42DE	place_lieudit_thesavagedunes_5	Thesos Falls Tor					
_BF70E43A7C6D46DE	place_lieudit_thesavagedunes_6	Kipucka Plain					
_6A1B3FEE6A1B3FEE	place_lieudit_dunesofexile_1	Dyron Hill					
_AA1B3FEEAA1B3FEE	place_lieudit_dunesofexile_2	Dragon's Tail					
_EA1B3FEEEA1B3FEE	place_lieudit_dunesofexile_3	Malmont					
_2B1B3FEE2B1B3FEE	place_lieudit_dunesofexile_4	Ruins of Mossok					
_70096FF470096FF4	place_lieudit_outlawcanyon_1	Dragon's Spine					
_B0096FF4B0096FF4	place_lieudit_outlawcanyon_2	Lucenthead Hurst					
_F0096FF4F0096FF4	place_lieudit_outlawcanyon_3	Dragon's Gullet Impasse					
_2C03119A56C250D3	place_lieudit_thescorchedcorridor_1	Flaming Forest					
_2C13119A56C254D3	place_lieudit_thescorchedcorridor_2	Varynx Haunt					
_2C23119A56C258D3	place_lieudit_thescorchedcorridor_3	Secret Kami Oasis					
_B5787FC662B54EF7	place_lieudit_libertylake_1	Darkmoor					
_B5887FC662B552F7	place_lieudit_libertylake_2	Lakenisle					
_B5987FC662B556F7	place_lieudit_libertylake_3	Blackwater					
_7609F7D39F5656E3	place_lieudit_windsofmuse_1	Witchy Coves					
_7619F7D39F565AE3	place_lieudit_windsofmuse_2	Muse Watch Lake					
_7629F7D39F565EE3	place_lieudit_windsofmuse_3	Big Sleep Mountain					
_7639F7D39F5662E3	place_lieudit_windsofmuse_4	Windy Way					
_1EA43E748004968E	place_lieudit_thefount_1	Deathfly Plain					
_1EA43E740004968E	place_lieudit_thefount_2	Fount Porch					
_1EA43E748004968E	place_lieudit_thefount_3	Fount Lake					
_1EA43E740204968E	place_lieudit_thefount_4	Southlakes					
_1EA43E748204968E	place_lieudit_thefount_5	Ponders End Pillars					
_721A8756775B5BA7	place_lieudit_bountybeaches_1	Torbak Spread					
_721A8B56775B5BA8	place_lieudit_bountybeaches_2	Cute Springs					
_721A8F56775B5BA9	place_lieudit_bountybeaches_3	Cute Springs Twining					
_721A9356775B5BAA	place_lieudit_bountybeaches_4	Liberty Gateway					
_721A9756775B5BAB	place_lieudit_bountybeaches_5	Twin Tops					
_721A9B56775B5BAC	place_lieudit_bountybeaches_6	Rift of Strife					
_3108D34471CB3FBE	place_lieudit_enchantedisle_1	Tippy Peaks					
_3108D74471CB3FBF	place_lieudit_enchantedisle_2	Baily Lagoon					
_3108DB4471CB3FC0	place_lieudit_enchantedisle_3	Mire of the Dire					
_3108DF4471CB3FC1	place_lieudit_enchantedisle_4	Graveyard Walk					
_3108E34471CB3FC2	place_lieudit_enchantedisle_5	Enchanted Circle	the				
_FAB17C48BCBB56E9	place_lieudit_lagoonsofloria_1	Gusty Gorge					
_3AB17C48BCBB5AE9	place_lieudit_lagoonsofloria_2	Lake Superior					
_7AB17C48BCBB5EE9	place_lieudit_lagoonsofloria_3	Hush Hole					
_F892F451F2CD12FF	place_lieudit_the_windy_gate_1	Ruins of Leron					
_3892F451F2CD16FF	place_lieudit_the_windy_gate_2	Halls of Darkring					
_7892F451F2CD1AFF	place_lieudit_the_windy_gate_3	The Fallen Tree					
_B992F451F2CD1EFF	place_lieudit_the_windy_gate_4	Windygate Column					
_97615C767968DF40	place_lieudit_gateofobscurity_1	Alleyways Bluff					
_97615C767978E340	place_lieudit_gateofobscurity_2	High Henge					
_97615C767988E740	place_lieudit_gateofobscurity_3	Lowhills					
_97615C767998EB40	place_lieudit_gateofobscurity_4	Darkenwell					
_BF7D8578002031D8	place_lieudit_nexus_1	The Concha					
_BF7D8978002031D9	place_lieudit_nexus_2	Destiny's End					
_BF7D8D78002031DA	place_lieudit_nexus_3	Hammer Hills					
_BF7D9178002031DB	place_lieudit_nexus_4	The Forsaken Camp					
_5805ECCA8BA4C83A	place_lieudit_the_abyss_of_ichor_1	Hallowed Mountain					
_9805F0CA8BA4C83A	place_lieudit_the_abyss_of_ichor_2	Saprun Watch					
_D805F4CA8BA4C83A	place_lieudit_the_abyss_of_ichor_3	Templedoom					
_D7D709B7D7D709B7	place_lieudit_the_trench_of_trials_1	Eerie Valley					
_17D709B717D709B7	place_lieudit_the_trench_of_trials_2	Yelkgrove					
_57D709B757D709B7	place_lieudit_the_trench_of_trials_3	Spooky End					
_9A1634BA11F5FC50	place_lieudit_the_elusive_forest_1	Land of Plenty					
_DA1638BA11F5FC50	place_lieudit_the_elusive_forest_2	Highwell					
_1A163CBA11F5FC50	place_lieudit_the_elusive_forest_3	Underwood Woe					
_5B1640BA11F5FC50	place_lieudit_the_elusive_forest_4	Grotto Pass					
_9B1644BA11F5FC50	place_lieudit_the_elusive_forest_5	Three Totems Pass					
_DB1648BA11F5FC50	place_lieudit_the_elusive_forest_6	Giant Mushroom Pass					
_4EB4885A2E525856	place_lieudit_the_under_spring_1	Deadtree Hole					
_4EB4885AAE525856	place_lieudit_the_under_spring_2	Sap Marsh					
_4EB4885A2E525856	place_lieudit_the_under_spring_3	Furtive Waters					
_4EB4885AB0525856	place_lieudit_the_under_spring_4	Ruins of Tryde					
_4EB4885A30525856	place_lieudit_the_under_spring_5	Shooting Meadow					
_F3FD7E1D6A08DCBC	place_lieudit_the_land_of_continuity_1	Wings of Spite					
_33FD7E1D6A08E0BC	place_lieudit_the_land_of_continuity_2	Great Mushroom Wood					
_73FD7E1D6A08E4BC	place_lieudit_the_land_of_continuity_3	The Cursed Cavern					
_B4FD7E1D6A08E8BC	place_lieudit_the_land_of_continuity_4	Grotto Walk					
_F4FD7E1D6A08ECBC	place_lieudit_the_land_of_continuity_5	Midway Point					
_1B93183CB478FF48	place_lieudit_the_sunken_city_1	Saplake Major					
_1B93183CB4880348	place_lieudit_the_sunken_city_2	Haunted Gorge					
_1B93183CB4980748	place_lieudit_the_sunken_city_3	Dragon Horns Valey					
_D0F24856B00EB84A	place_lieudit_forbidden_depths_1	Cursed Impasse					
_D0F24856300EB84A	place_lieudit_forbidden_depths_2	Hall of the Mountain Bane					
_D0F24856B00EB84A	place_lieudit_forbidden_depths_3	Demon's Lap					
_86F3EE9B466128E6	place_outpost_matis_15	Psykopla Knoll Trading Post					
_86E3EE9B466128E5	place_outpost_matis_05	The Rising Border Post					
_C6E3EE9B46612CE5	place_outpost_matis_06	Southeast Trade Post					
_06E3EE9B466130E5	place_outpost_matis_07	Finder's Farm					
_47E3EE9B466134E5	place_outpost_matis_08	Trove Workshop					
_87E3EE9B466138E5	place_outpost_matis_09	Kami Circle Magic Pole					
_C6F3EE9B46612CE6	place_outpost_matis_16	Runninghill Border Post					
_06F3EE9B466130E6	place_outpost_matis_17	Wooky Workshop					
_47F3EE9B466134E6	place_outpost_matis_18	Dryland Gate Stronghold					
_87F3EE9B466138E6	place_outpost_matis_19	Runninghill Research Center					
_4503EE9B466114E7	place_outpost_matis_20	Ryecliff Stronghold					
_8503EE9B466118E7	place_outpost_matis_21	Torbak Hill Farm					
_C503EE9B46611CE7	place_outpost_matis_22	Smiiten Mount Workshop					
_0503EE9B466120E7	place_outpost_matis_23	Smiiten Mount Farm					
_85E3EE9B466118E5	place_outpost_matis_01	Panting Pass Research Center					
_C5E3EE9B46611CE5	place_outpost_matis_02	Stalia Stronghold					
_05E3EE9B466120E5	place_outpost_matis_03	Fearing  Fen Farm					
_46E3EE9B466124E5	place_outpost_matis_04	Fencoomb Workshop					
_4703EE9B466134E7	place_outpost_matis_28	Little Mountain Workshop					
_8703EE9B466138E7	place_outpost_matis_29	Little Mountain Stronghold					
_4513EE9B466114E8	place_outpost_matis_30	Berello Gorge Border Post					
_8513EE9B466118E8	place_outpost_matis_31	Virginia Falls Diplomatic Outpost					
_C513EE9B46611CE8	place_outpost_matis_32	Virginia Falls Magic Pole					
_45F3EE9B466114E6	place_outpost_matis_10	Upper Hovel Diplomatic Outpost					
_85F3EE9B466118E6	place_outpost_matis_11	Folly Farm					
_C5F3EE9B46611CE6	place_outpost_matis_12	Greenpool Workshop					
_05F3EE9B466120E6	place_outpost_matis_13	Chilling Swamp Research Center					
_46F3EE9B466124E6	place_outpost_matis_14	Maze of Sprite Border Post					
_4603EE9B466124E7	place_outpost_matis_24	Westgrove Stronghold					
_8603EE9B466128E7	place_outpost_matis_25	Eastgrove Workshop					
_C603EE9B46612CE7	place_outpost_matis_26	Highgrove Research Center					
_0603EE9B466130E7	place_outpost_matis_27	Ginti Workshop					
_4742CE8FC7126CF2	place_outpost_zorai_08	Qai-Du Workshop					
_8742CE8FC71270F2	place_outpost_zorai_09	Land's End Farm					
_4552CE8FC7124CF3	place_outpost_zorai_10	Sai-Shun Stronghold					
_8552CE8FC71250F3	place_outpost_zorai_11	Maiden Pond Workshop					
_C552CE8FC71254F3	place_outpost_zorai_12	Bighand Border Post					
_0552CE8FC71258F3	place_outpost_zorai_13	Great Boulder Workshop					
_4652CE8FC7125CF3	place_outpost_zorai_14	Great Boulder Trade Post					
_4562CE8FC7124CF4	place_outpost_zorai_20	Kincher Arch Border Post					
_8562CE8FC71250F4	place_outpost_zorai_21	Fustylake Workshop					
_C562CE8FC71254F4	place_outpost_zorai_22	Demon's Crossroads Diplomatic Outpost					
_0562CE8FC71258F4	place_outpost_zorai_23	Bighorn Mountain Farm					
_8542CE8FC71250F2	place_outpost_zorai_01	Withered Stock Magic Pole					
_C542CE8FC71254F2	place_outpost_zorai_02	Gu-Qin Workshop					
_0542CE8FC71258F2	place_outpost_zorai_03	Doomed Maze Farm					
_4642CE8FC7125CF2	place_outpost_zorai_04	Underway Arch Stronghold					
_8642CE8FC71260F2	place_outpost_zorai_05	Gu-Qin Research Center					
_C642CE8FC71264F2	place_outpost_zorai_06	Umbra Highback  Workshop					
_0642CE8FC71268F2	place_outpost_zorai_07	Sly Lake Crossroads Border Post					
_4662CE8FC7125CF4	place_outpost_zorai_24	Jen-Laï Research Center					
_8662CE8FC71260F4	place_outpost_zorai_25	Lonview Stronghold					
_C662CE8FC71264F4	place_outpost_zorai_26	Stainmoor Stronghold					
_0662CE8FC71268F4	place_outpost_zorai_27	Stainmoor Border Post					
_4762CE8FC7126CF4	place_outpost_zorai_28	Desertstock Farm					
_8762CE8FC71270F4	place_outpost_zorai_29	Great Outback Workshop					
_4572CE8FC7124CF5	place_outpost_zorai_30	Ni-Jing Farm					
_8652CE8FC71260F3	place_outpost_zorai_15	Zo-Kian Ruins Workshop					
_C652CE8FC71264F3	place_outpost_zorai_16	Lost Valley Stronghold					
_0652CE8FC71268F3	place_outpost_zorai_17	Paramount Stock Workshop					
_4752CE8FC7126CF3	place_outpost_zorai_18	Staring Stronghold					
_8752CE8FC71270F3	place_outpost_zorai_19	Witherstock Farm					
_46F30699CDD184DF	place_outpost_fyros_14	Blackburn Trade Post					
_45F30699CDD174DF	place_outpost_fyros_10	Northlake Farm					
_85F30699CDD178DF	place_outpost_fyros_11	Northlake Trade Post					
_C5F30699CDD17CDF	place_outpost_fyros_12	Barkgully Workshop					
_05F30699CDD180DF	place_outpost_fyros_13	West Blackburn Border Post					
_06F30699CDD190DF	place_outpost_fyros_17	Barker Canyon Stronghold					
_47F30699CDD194DF	place_outpost_fyros_18	Barker Canyon Farm					
_87F30699CDD198DF	place_outpost_fyros_19	Highridges Diplomatic Outpost					
_45030699CDD174E0	place_outpost_fyros_20	Workshop of the Waste 					
_85030699CDD178E0	place_outpost_fyros_21	Thesos Research Center					
_C6E30699CDD18CDE	place_outpost_fyros_06	East Dyron Workshop					
_06E30699CDD190DE	place_outpost_fyros_07	Frahar Towers Border Post					
_47E30699CDD194DE	place_outpost_fyros_08	Hightowers Stronghold					
_87E30699CDD198DE	place_outpost_fyros_09	Hightowers Farm					
_C5030699CDD17CE0	place_outpost_fyros_22	Thesos Springs Stronghold					
_05030699CDD180E0	place_outpost_fyros_23	Running Ridge Workshop					
_46030699CDD184E0	place_outpost_fyros_24	South Range Diplomatic Outpost					
_86030699CDD188E0	place_outpost_fyros_25	Southend Dune Farm					
_C6030699CDD18CE0	place_outpost_fyros_26	Kipucka Plain Border Post					
_85E30699CDD178DE	place_outpost_fyros_01	Dyron Hill Border Post					
_C5E30699CDD17CDE	place_outpost_fyros_02	North Dyron Stronghold					
_05E30699CDD180DE	place_outpost_fyros_03	Dragon's Tail Workshop					
_46E30699CDD184DE	place_outpost_fyros_04	Malmont Farm					
_86E30699CDD188DE	place_outpost_fyros_05	Canyon Road Workshop					
_86F30699CDD188DF	place_outpost_fyros_15	Dragon's Spine Stronghold					
_C6F30699CDD18CDF	place_outpost_fyros_16	Dragon's Spine Workshop					
_06030699CDD190E0	place_outpost_fyros_27	Woodburn Magic Pole					
_47030699CDD194E0	place_outpost_fyros_28	Woodburn Stronghold					
_9DF6F6A490DE1026	place_outpost_tryker_02	Darkmoor Border Post					
_9DF6F6A490EE1426	place_outpost_tryker_03	Dainty Isle Workshop					
_9DF6F6A490FE1826	place_outpost_tryker_04	Sandy Workshop					
_9DF6F6A4900E1C26	place_outpost_tryker_05	Farely Farm					
_9DF6F6A4901E2026	place_outpost_tryker_06	Greenvale Trade Post					
_9DF6F6A4902E2426	place_outpost_tryker_07	Windermeer Farm					
_9DF6F6A490EE1C28	place_outpost_tryker_23	Loriagate Border Post					
_9DF6F6A490FE2028	place_outpost_tryker_24	Windyway Workshop					
_9DF6F6A4900E2428	place_outpost_tryker_25	Muse Laake Watch Farm					
_9DF6F6A4901E2828	place_outpost_tryker_26	Threepillars Farm					
_9DF6F6A4902E2C28	place_outpost_tryker_27	Musemere Workshop					
_9DF6F6A4903E2826	place_outpost_tryker_08	Fount Lake Workshop					
_9DF6F6A4904E2C26	place_outpost_tryker_09	Bountygate Border Post					
_9DF6F6A490BE0C27	place_outpost_tryker_10	Fount Porch Trade Post					
_9DF6F6A490CE1027	place_outpost_tryker_11	Corrie Finley Farm					
_9DF6F6A490DE1427	place_outpost_tryker_12	Ponders End Workshop					
_9DF6F6A4903E2C27	place_outpost_tryker_18	Cute Springs Research Center					
_9DF6F6A4904E3027	place_outpost_tryker_19	Liberty Gateway Border Post					
_9DF6F6A490BE1028	place_outpost_tryker_20	Cute Springs Twining Stronghold					
_9DF6F6A490CE1428	place_outpost_tryker_21	Tupile Trade Post					
_9DF6F6A490DE1828	place_outpost_tryker_22	Twintops Workshop					
_9DF6F6A490EE1827	place_outpost_tryker_13	Tippy Peaks Diplomatic Outpost					
_9DF6F6A490FE1C27	place_outpost_tryker_14	Sinking Sands Workshop					
_9DF6F6A4900E2027	place_outpost_tryker_15	Eastshore Magic Pole					
_9DF6F6A4901E2427	place_outpost_tryker_16	Graveyard Gate Research Center					
_9DF6F6A4902E2827	place_outpost_tryker_17	Mire of the Dire Stronghold					
_9DF6F6A4903E3028	place_outpost_tryker_28	Watergate Border Post					
_9DF6F6A4904E3428	place_outpost_tryker_29	Loria Stronghold					
_9DF6F6A490BE1429	place_outpost_tryker_30	Loria Ponds Research Center					
_9DF6F6A490CE1829	place_outpost_tryker_31	Whirling Stronghold					
_9DF6F6A490DE1C29	place_outpost_tryker_32	Gusty Gorge Workshop					
_C4CDB0016F6A0CE5	place_outpost_pr_04	Ruins of Leron Workshop					
_C4DDB0016F6A10E5	place_outpost_pr_05	Halls of Darkring Research Center					
_C4EDB0016F6A14E5	place_outpost_pr_06	The Fallen Tree Workshop					
_C48DB4016F6AFCE6	place_outpost_pr_10	Alleyways Bluff Stronghold					
_C49DB4016F6A00E6	place_outpost_pr_11	High Henge Research Center					
_C4ADB4016F6A04E6	place_outpost_pr_12	Lowhills Stronghold					
_C4BDB4016F6A08E6	place_outpost_pr_13	Lowhills Research Center					
_85E31E9F4AB128E6	place_outpost_nexus_01	Ichorgate Research Center					
_C5E31E9F4AB12CE6	place_outpost_nexus_02	Hammer Hills Trade Post					
_05E31E9F4AB130E6	place_outpost_nexus_03	Umbragate Farm					
_46E31E9F4AB134E6	place_outpost_nexus_04	Destiny's End Diplomatic Outpost					
_86E31E9F4AB138E6	place_outpost_nexus_05	Watchcomb Workshop					
_C6E31E9F4AB13CE6	place_outpost_nexus_06	Highwatch Farm					
