*HASH_VALUE	placeId	name	placegen	placeaccus	placedat
_6AA9510AAABF6D01	place_lieudit_hiddensource_3	Врата Тайлини	Врат Тайлини		
_82AF095C7A1D0915	place_lieudit_groveofconfusion_1	Маллгроув	Маллгроува		
_DC943954BA1D9E89	place_lieudit_groveofconfusion_2	Врата Восточной рощи	Врат Восточной рощи		
_DC944966FA1D9E89	place_lieudit_groveofconfusion_3	Врата Западной рощи	Врат Западной рощи		
_815FD9573B1D0915	place_lieudit_groveofconfusion_4	Верхняя роща	Верхней рощи		
_21E51E4FFB7A0190	place_lieudit_citiesofintuition_1	Недвижные воды	Недвижных вод		
_2365BA52FA7A3524	place_lieudit_citiesofintuition_2	Замшелый откос	Замшелого откоса		
_22B4277C9955D68A	place_lieudit_citiesofintuition_3	Водопой Мектубов	Водопоя Мектубов		
_22A5BA372EAEF598	place_lieudit_citiesofintuition_4	Загадочный водопад	Загадочного водопада		
_FC8B19F957685906	place_lieudit_maidengrove_1	Долина Пальм	Долины Пальм		
_FBDA1411A8D8F90F	place_lieudit_maidengrove_2	Девственный Пруд	Девственного Пруда		
_3D3C3511A8F9191F	place_lieudit_maidengrove_3	Холм Словини	Холм Словини		
_71F73111A9AE4D10	place_lieudit_maidengrove_4	Озеро Птицеловов	Озера Птицеловов		
_9652EEE308C47E8C	place_lieudit_maidengrove_5	Тоннель Великой глыбы	Тоннель Великой глыбы		
_D9167A8A842FF9FE	place_lieudit_havenofpurity_1	Гора Бигхорн	Горы Бигхорн		
_3C9FD1282AFA69DC	place_lieudit_havenofpurity_2	Затхлое озеро	Затхлого озера		
_802F8D7FC160ED92	place_lieudit_havenofpurity_3	Арка Кинчеров	Арки Кинчеров		
_B67B641BE71925F6	place_lieudit_groveofumbra_1	Мыс Киппи	Мыса Киппи		
_F25D690296A98092	place_lieudit_groveofumbra_2	Озеро Коварства	Озера Коварства		
_37BDC190BF7F8DB4	place_lieudit_groveofumbra_3	Подземный свод	Подземного свода		
_33FD5A7E83A0C1B6	place_lieudit_groveofumbra_4	Заброшенный Кладезь 	Заброшенного Кладезя		
_57A37D6670946562	place_lieudit_knotofdementia_1	Великая Целина	Великой Целины		
_400FBD907F8C280F	place_lieudit_knotofdementia_2	Пустынный кладезь	Пустынного кладезя		
_7ECECD136BAE180B	place_lieudit_knotofdementia_3	Стэйнмур	Стэйнмура		
_D715525A73AE1C0B	place_lieudit_knotofdementia_4	Врата Стэйнмура	Врат Стэйнмура		
_57C48A86FAD8897D	place_lieudit_knotofdementia_5	Непроходимое Нагорье	Непроходимого Нагорья		
_7C2EBD2229D61808	place_lieudit_knotofdementia_6	Хоупделл	Хоупделла		
_C2AF75BBA506F90F	place_lieudit_thevoid_1	Бездонный Кладезь	Бездонного Кладезя		
_BA1A79F891772911	place_lieudit_thevoid_2	Затерянная долина	Затерянной долины		
_6F1FDD14D842A11A	place_lieudit_thevoid_3	Мыс Отчаяния	Мыса Отчаяния		
_07A7068C7EF16649	place_lieudit_imperialdunes_1	Долина Императоров	Долины Императоров		
_C1D08D256F98C4DF	place_lieudit_imperialdunes_2	Четырепутье	Четырепутья		
_6BA06D2C89EF3DBD	place_lieudit_imperialdunes_3	Горловина Каньона	Горловины Каньона		
_F5FCB51D270F9DDE	place_lieudit_oflovaksoasis_1	Разлом Оазиса	Разлома Оазиса		
_FD50A990410EF596	place_lieudit_oflovaksoasis_2	Холм Клопперов	Холм Клопперов		
_3B107D246448FCEA	place_lieudit_oflovaksoasis_3	Средигорье	Средигорье		
_7C51851FE7C8B5E4	place_lieudit_oflovaksoasis_4	Корковражье	Корковражья		
_32C47DF47ABCDAB2	place_lieudit_oflovaksoasis_5	Путь в пылающий лес	Пути в пылающий лес		
_77DF690855E95006	place_lieudit_sawdustmines_1	Пустошь	Пустоши		
_73EE8923670921FA	place_lieudit_sawdustmines_2	Вышние Хребты	Вышних Хребтов		
_EBAAAD160310ED04	place_lieudit_sawdustmines_3	Дюны Короедов	Дюн Короедов		
_AFAAC51FAB10010C	place_lieudit_sawdustmines_4	Возвышение Варинксов	Возвышения Варинксов		
_74FE5E78C79FD5C1	place_lieudit_sawdustmines_5	Неспокойные воды	Неспокойных вод		
_733DB18E849FB5B9	place_lieudit_frahartowers_1	Страда Одиночества	Страды Одиночества		
_D0D5325F73806DC1	place_lieudit_frahartowers_2	Широкие просторы	Широких просторов		
_F3DEB11C69192907	place_lieudit_frahartowers_3	Высокие Башни	Высоких Башен		
_863C8C1769CDF80B	place_lieudit_thesavagedunes_1	Пепельная Пасть	Пепельной Пасти		
_6334927D43AFACB9	place_lieudit_thesavagedunes_2	Источники Фессоса	Источников Фессоса		
_62E45E80C23E0927	place_lieudit_thesavagedunes_3	Заводи Фессоса	Заводей Фессоса		
_B34EDD89417EECEB	place_lieudit_thesavagedunes_4	Южная Гряда	Южной Гряды		
_9CC0A680C2BE4D28	place_lieudit_thesavagedunes_5	Водопад Фессоса	Водопада Фессоса		
_85E48680021CEFFA	place_lieudit_thesavagedunes_6	Равнина Кипакки	Равнины Кипакки		
_B30C301DECBA25EF	place_lieudit_dunesofexile_1	Холм Дайрона	Холма Дайрона		
_75FA698A44BFA9A3	place_lieudit_dunesofexile_2	Хвост Дракона	Хвоста Дракона		
_D9CF691E6C59148C	place_lieudit_dunesofexile_3	Мальмонт	Мальмонт		
_B334ED95881F99B1	place_lieudit_dunesofexile_4	Руины Моссока	Руин Моссока		
_37D93E9548BF95A0	place_lieudit_outlawcanyon_1	Драконий Хребет	Драконьего Хребта		
_11248A9B80DAE5E9	place_lieudit_outlawcanyon_2	 Сверкающая Отмель	Сверкающей Отмели		
_BF760B0661161AE9	place_lieudit_outlawcanyon_3	Глотка Дракона 	Глотки Дракона 		
_CB9DFAF2DE057A98	place_lieudit_thescorchedcorridor_1	Пылающая Чаща	Пылающей Чащи		
_962FDD8843B7AE93	place_lieudit_thescorchedcorridor_2	Обиталище Варинксов	Обиталища Варинксов		
_B105AAE5D4025E8F	place_lieudit_thescorchedcorridor_3	Тайный Оазис Ками	Тайного Оазиса Ками		
_60BD550BE95874B3	place_lieudit_libertylake_1	Даркмур	Даркмура		
_BB6C650529F858B3	place_lieudit_libertylake_2	Озерная отмель	Озерной отмели		
_38FD1D1368D83030	place_lieudit_libertylake_3	Черноводье	Черноводья		
_BDDA1421AA01151E	place_lieudit_windsofmuse_1	Пещеры Ведьм	Пещер Ведьм 		
_38FDAE6AF0AEFC1C	place_lieudit_windsofmuse_2	Озеро Муз	Озера Муз		
_1332FA82C18C8136	place_lieudit_windsofmuse_3	Гора Долгого Сна	Горы Долгого Сна		
_40ECF1C8EEDA68A8	place_lieudit_windsofmuse_4	Дорога Ветров	Дороги Ветров		
_042EF59E1EC81D18	place_lieudit_thefount_1	Роковая Равнина	Роковой Равнины		
_2A2F69F2DB074BBB	place_lieudit_thefount_2	Террасы Родника	Террасы Родника		
_2AA971EB98C64BBB	place_lieudit_thefount_3	Озеро Родника	Озера Родника		
_ACA9A9F25B187CAF	place_lieudit_thefount_4	Южные Озера	Южных Озер		
_B0B55E30E4FF39FC	place_lieudit_thefount_5	Колонны Предела Раздумий	Колонн Предела Раздумий		
_6F90EA75021FA1BF	place_lieudit_bountybeaches_1	Равнина Торбаков	Равнин Торбаков		
_830F548A033F41DF	place_lieudit_bountybeaches_2	Ключи Кьют	Ключей Кьют		
_6054D4F19ED5FA49	place_lieudit_bountybeaches_3	Плетение Кьют	Плетения Кьют		
_23377A7CC2AEDD8F	place_lieudit_bountybeaches_4	Врата Свободы	Врат Свободы		
_421F54206779ADE0	place_lieudit_bountybeaches_5	Пики Близнецы	Пик Близнецов		
_0026ED8F42DF2591	place_lieudit_bountybeaches_6	Разлом Противостояния	Разлома Противостояния		
_B8CABD1B47AE65E3	place_lieudit_enchantedisle_1	Острые Пики	Острых Пик		
_B7CABD85846E35E0	place_lieudit_enchantedisle_2	Лагуна Бэйли	Лагуны Бэйли		
_D9546930447E9505	place_lieudit_enchantedisle_3	Зловещая Трясина	Зловещей Трясины		
_FC151E827C8B3DF3	place_lieudit_enchantedisle_4	Кладбищенская тропа	Кладбищенской тропы		
_DCE4267C50D0064C	place_lieudit_enchantedisle_5	Зачарованный круг	Зачарованного круга		
_2D7FDD83038D38F2	place_lieudit_lagoonsofloria_1	Теснина Ветров	Теснины Ветров		
_F9115E7FC10C4020	place_lieudit_lagoonsofloria_2	Озеро Верхнее	Озера Верхнего		
_37EAAD1E2ACC341A	place_lieudit_lagoonsofloria_3	Нора Тссс!	Норы Тссс!		
_88470A6FBBCBE815	place_lieudit_the_windy_gate_1	Руины Лероны	Руин Лероны		
_8907026EB4A0A57E	place_lieudit_the_windy_gate_2	Залы Темного Кольца	Залов Темного Кольца		
_96A55926003F0877	place_lieudit_the_windy_gate_3	Падшее Дерево	Падшего Дерево		
_1B77D652AD6FE574	place_lieudit_the_windy_gate_4	Колонна Ветряных Врат	Колонны Ветряных Врат		
_A3049E4AB61D1E9E	place_lieudit_gateofobscurity_1	Утес проулков	Утеса проулков		
_F06E818C757C9509	place_lieudit_gateofobscurity_2	Высокие Мезолиты	Высоких Мезолитов		
_426EC12D9DDDB12D	place_lieudit_gateofobscurity_3	Малохолмье	Малохолмья		
_419EAD8BB60CDD2F	place_lieudit_gateofobscurity_4	Даркенвелл	Даркенвелла		
_A489686D2848EC6D	place_lieudit_nexus_1	Конха	Конхи		
_6779912FE004D832	place_lieudit_nexus_2	Роковой Предел	Рокового Предела		
_11BAF02D2988C054	place_lieudit_nexus_3	Холмы Молота	Холмов Молота		
_FDBDF4DB65E891ED	place_lieudit_nexus_4	Покинутый лагерь	Покинутого лагеря		
_CFD396CEE116EE90	place_lieudit_the_abyss_of_ichor_1	Священная Гора	Священной Горы		
_99B2C1288291D288	place_lieudit_the_abyss_of_ichor_2	Вахта Текущего Сэпа	Вахты Текущего Сэпа		
_D8A2256C40002922	place_lieudit_the_abyss_of_ichor_3	Храм Обреченных	Храма Обреченных		
_49630D6A9E56C263	place_lieudit_the_trench_of_trials_1	Долина Ужаса	Долины Ужаса		
_CEF4566CC09F1170	place_lieudit_the_trench_of_trials_2	Роща Йелков	Рощи Йелков		
_C2007270C1CFCE73	place_lieudit_the_trench_of_trials_3	Мрачный Предел	Мрачного Предела		
_9BE1C4646723A693	place_lieudit_the_elusive_forest_1	Земли Изобилия	Земель Изобилия		
_829CF96A8751FD27	place_lieudit_the_elusive_forest_2	Хайвелл	Хайвелла		
_CBB3096D0B57AE7B	place_lieudit_the_elusive_forest_3	Горе Подлесное	Горя Подлесного		
_A0A2911E09212DA2	place_lieudit_the_elusive_forest_4	Сквозной Грот	Сквозного Грота		
_9BDBDEB34A32BE9F	place_lieudit_the_elusive_forest_5	Проход Трех Тотемов	Прохода Трех Тотемов		
_78D96E6B9117D206	place_lieudit_the_elusive_forest_6	Проход Гигантских Грибов	Прохода Гигантских Грибов		
_5BE67A11F07FF584	place_lieudit_the_under_spring_1	Яма Мертводрева	Ямы Мертводрева		
_2FE14968B350B1F8	place_lieudit_the_under_spring_2	Болото сэпа	Болота сэпа		
_9D481E4A1F7FD286	place_lieudit_the_under_spring_3	Потаенные Воды	Потаенных Вод		
_2097EA1FF11F4182	place_lieudit_the_under_spring_4	Руины Трайда	Руин Трайда		
_5A269A2071868E83	place_lieudit_the_under_spring_5	Луг Стрелков	Луга Стрелков		
_241D67F3180FB983	place_lieudit_the_land_of_continuity_1	Крылья Досады	Крыльев Досады		
_26DC67507B395681	place_lieudit_the_land_of_continuity_2	Великие Грибные Леса 	Великих Грибных Лесов		
_BDE9B29A1D19BEEB	place_lieudit_the_land_of_continuity_3	Проклятая Пещера	Проклятой Пещеры		
_9EE6F6EFA1228934	place_lieudit_the_land_of_continuity_4	Тропа Грота	Тропы Грота		
_21B5D3E79E627134	place_lieudit_the_land_of_continuity_5	Срединное Место	Срединного Места		
_A0E5FA5B3678B92B	place_lieudit_the_sunken_city_1	Большое озеро сэп	Большого озера сэп		
_22852E69F288B525	place_lieudit_the_sunken_city_2	Ущелье Призраков	Ущелья Призраков		
_8FD6CEF654E02984	place_lieudit_the_sunken_city_3	Долина Драконова Рога	Долины Драконова Рога		
_20363A5BAA09827D	place_lieudit_forbidden_depths_1	Проклятый Тупик	Проклятого Тупика		
_26AB4F40D6DADF32	place_lieudit_forbidden_depths_2	Зал Горной Погибели	Зала Горной Погибели 		
_43D6BE3BE03EF813	place_lieudit_forbidden_depths_3	Ложбина Демона	Ложбины Демона		
_9BE5261797F0E5B6	place_outpost_matis_15	Торговая застава Холмы Псикоплы 	Торговой заставы Холмы Псикоплы 		
_9E955D2DB01E08E0	place_outpost_matis_05	Пограничная застава На Возвышенности	Пограничной заставы На Возвышенности		
_FDDF8294734D1FCF	place_outpost_matis_06	Юго-Восточная торговая застава	Юго-Восточная торговой заставы		
_276F7127A032A330	place_outpost_matis_07	Ферма Первооткрывателей	Фермы Первооткрывателей		
_AF8F913A2B389760	place_outpost_matis_08	Мастерская Сокровищницы	Мастерской Сокровищницы		
_0CDFF97A30EC4CD9	place_outpost_matis_09	Магический Полюс Ками	Магического Полюса Ками		
_DDF39152C9DD0457	place_outpost_matis_16	Застава Бегущего Холма	Заставы Бегущего Холма		
_AFD0653A6A689361	place_outpost_matis_17	Мастерская Вуки	Мастерской Вуки		
_1551FEAC447A2346	place_outpost_matis_18	Форт Врата Засухи	Форта Врат Засухи		
_4F00F10722E4CD49	place_outpost_matis_19	Исследовательский центр Бегущего Холма	Исследовательского центра Бегущего Холма		
_80FF6D9502E9F4D8	place_outpost_matis_20	Форт Ржавого Утеса	Форта Ржавого Утеса		
_BDBD2036ABA7949D	place_outpost_matis_21	Фирма Холма Торбаков	Фермы Холма Торбаков		
_08C716A9C5FCFFD0	place_outpost_matis_22	Мастерская Разбитой горы	Мастерской Разбитой горы		
_ECD1753646FCCBBF	place_outpost_matis_23	Ферма Разбитой Горы	Фермы Разбитой Горы		
_C2610B10DA12A018	place_outpost_matis_01	Исследовательский центр Изнуряющего Перевала	Исследовательского центра Изнуряющего Перевала		
_FD4F81286E8EC098	place_outpost_matis_02	Форт Сталия	Форта Сталия		
_B7DB991E9F080FD1	place_outpost_matis_03	Ферма Болото Страха	Фермы Болото Страха		
_42EF6D35E33910DE	place_outpost_matis_04	Мастерская у Фенкумба	Мастерской у Фенкумба		
_585666AC47FB5008	place_outpost_matis_28	Мастерская у Малой Горы	Мастерской у Малой Горы		
_170576ACA2815001	place_outpost_matis_29	Форт у Малой Горы	Форта у Малой Горы		
_C26112A102D2C42C	place_outpost_matis_30	Пограничная застава Ущелье Берелло	Пограничной заставы Ущелья Берелло		
_76BCF7E6C446C678	place_outpost_matis_31	Дипломатическая миссия Водопад Виргиния	Дипломатической миссии Водопад Виргиния		
_16A1F294799F2D04	place_outpost_matis_32	Очаг Магии Водопад Виргиния	Очага Магии Водопад Виргиния		
_E27BBA05A2D565E2	place_outpost_matis_10	Дипломатическая миссия верхнего Логова	Дипломатической миссии верхнего Логова		
_93DAC8C4EB574350	place_outpost_matis_11	Ферма Причуд	Фермы Причуд		
_8150691475FC20EC	place_outpost_matis_12	Мастерская Зеленого Пруда	Мастерской Зеленого Пруда		
_755CA30BD88C2C00	place_outpost_matis_13	Исследовательский центр Мерзлого Болота	Исследовательского центра Мерзлого Болота		
_C7B3E6A8E20210E0	place_outpost_matis_14	Пограничная застава Лабиринта Спрайтов	Пограничной заставы Лабиринта Спрайтов		
_02E04A8AF11D40E8	place_outpost_matis_24	Форт Западной Рощи	Форта Западной Рощи		
_01E0A522316C48ED	place_outpost_matis_25	Мастерская Восточной Рощи	Мастерской Восточной Рощи		
_1B465A313103094F	place_outpost_matis_26	Исследовательский центр Вышней Рощи	Исследовательского центра Вышней Рощи		
_AFCF8939E9679362	place_outpost_matis_27	Лаборатория Джинти	Лаборатории Джинти		
_C36C782A2CA83799	place_outpost_zorai_08	Мастерская Кай-Ду	Мастерской Кай-Ду		
_032AA1E4A947F396	place_outpost_zorai_09	Ферма на краю Света	Фермы на краю Света		
_40CD74977FCA14E6	place_outpost_zorai_10	Форт Саи-Шуна	Форта Саи-Шуна		
_016DC992459EAC9C	place_outpost_zorai_11	Мастерская у Девственного Пруда	Мастерской у Девственного Пруда		
_C20E29A349DB838E	place_outpost_zorai_12	Пограничная Застава Тяжелая Рука	Пограничной Заставы Тяжелой Рука		
_B706B292C98F40A3	place_outpost_zorai_13	Мастерская Великой Глыбы	Мастерской Великой Глыбы		
_76159184087E2113	place_outpost_zorai_14	Торговая застава Великой Глыбы	Торговой заставы Великой Глыбы		
_4F2FA59987ABD45F	place_outpost_zorai_20	Пограничная застава арки Кинчеров	Пограничной заставы арки Кинчеров		
_80608520B94D0CDF	place_outpost_zorai_21	Мастерская Затхлого Озера	Мастерской Затхлого Озера		
_14D204357D7859A8	place_outpost_zorai_22	Дипломатическая миссия Перекресток Демона 	Дипломатической миссии Перекресток Демона 		
_7FB51A93FE97FFE2	place_outpost_zorai_23	Ферма у горы Бигхорн	Фермы у горы Бигхорн		
_1530E2A73F8035FD	place_outpost_zorai_01	Очаг Магии Заброшенный Кладезь	Очаг Магии Заброшенного Кладезя		
_01BE09EE31071F99	place_outpost_zorai_02	Мастерская Гу-Кина	Мастерской Гу-Кина		
_FC5C2C2AB1F7B09B	place_outpost_zorai_03	Ферма Лабиринт Обреченных	Фермы Лабиринт Обреченных		
_4BD5B69AFE1B1129	place_outpost_zorai_04	Форт Подземного Свода	Форта Подземного Свода		
_9AB59256CA9B9791	place_outpost_zorai_05	Исследовательский центр Гу-Кина	Исследовательского центра Гу-Кина		
_8725F28C88DDB8E0	place_outpost_zorai_06	Мастерская Теневой гряды	Мастерской Теневой гряды		
_76B7F5D4D840B9CC	place_outpost_zorai_07	Пограничная застава перекрестка у Озера Коварства	Пограничной заставы перекрестка у Озера Коварства		
_D8C3F99CBA68EBCF	place_outpost_zorai_24	Исследовательский центр Джен-Лаи	Исследовательского центра Джен-Лаи		
