*HASH_VALUE	item ID	name	p	description	somgen	twogen	onegen	
_7CA21DC266832C54	goo_varinx_blood	Сосуд с кровью варинкса, зараженного гуу	Сосуды с кровью варинкса, зараженного гуу		Сосудов с кровью варинкса, зараженного гуу	Сосуда с кровью варинкса, зараженного гуу	Сосуд с кровью варинкса, зараженного гуу	
_DDE22C9F40DC38D2	goo_yber_sticky_glands	Железа ибера, зараженного гуу	Железы ибера, зараженного гуу		Желез ибера, зараженного гуу	Железы ибера, зараженного гуу	Железу ибера, зараженного гуу	
_DFBEF850F4144EB3	green_liquid_vial	Кристалл Нексус	Кристаллы Нексус		Кристаллов Нексус	Кристалла Нексус	Кристалл Нексус	
_C7E4ABA61E218D66	green_medicine	Зеленое снадобье	Зеленые снадобья		Зеленых снадобий	Зеленых снадобья	Зеленое снадобье	
_C035657CDDA3C54C	guard_scroll	Свиток стражника	Свитков стражника		Свитков стражника	Свитка стражника	Свиток стражника	
_FE92D2ABBEF726B8	heavy_armors_acreditation	Heavy Armor Accreditation	Heavy Armor Accreditation		Heavy Armor Accreditation	Heavy Armor Accreditation	Heavy Armor Accreditation	
_7BFC81067891490A	heavy_conch	Тяжелая раковина	Тяжелые раковины		Тяжелых раковин	Тяжелых Раковины	Тяжелую раковину	
_8B31326A3B23E66B	heavy_package	Тяжелый сверток	Тяжелые свертки		Тяжелых свертков	Тяжелых свертка	Тяжелый сверток	
_E938348C4558587C	iccm1bm	Палица	Палицы	Палица	Палиц	Палицы	Палицу	
_E5F930951F9AC05E	iccm1bs	Посох	Посохи	Посох	Посохов	Посоха	Посох	
_9E18DC15602A786B	iccm1pd	Кинжал	Кинжалы	Кинжал	Кинжалов	Кинжала	Кинжал	
_2768FC7B5E9AF45A	iccm1ps	Копье	Копья	Копье	Копий	Копья	Копье	
_EBB95CBE16B7C77A	iccm1sa	Топор	Топоры	Топор	Топоров	Топора	Топор	
_EBCA74981F9AFC68	iccm1ss	Меч	Мечи	Меч	Мечей	Меча	Меч	
_2F3E1221B70D1897	iccm2bm	Длинная палица	Длинные палицы	Длинная палица	Длинных палиц	Длинных палицы	Длинную палицу	
_E93894A4C889907D	iccm2pp	Пика	Пики	Пика	Пик	Пики	Пику	
_5ACE81FC868EE997	iccm2sa	Длинный топор	Длинные топоры	Длинный топор	Длинных топоров	Длинных топора	Длинный топор	
_0974C96A2EDF5D2C	iccm2ss	Длинный меч	Длинные мечи	Длинный меч	Длинных мечей	Длинных меча	Длинный меч	
_73404E493DF80D8A	iccp1bb	Дробящие заряды для самострела	Дробящие заряды для самострела	Дробящие заряды для самострела	Дробящих зарядов для самострела	Дробящих заряда для самострела	Дробящий заряд для самострела	
_74B03E48FCE9E986	iccp1bp	Проникающие заряды для самострела	Проникающие заряды для самострела	Проникающие заряды для самострела	Проникающих зарядов для самострела	Проникающих заряда для самострела	Проникающий заряд для самострела	
_73304E49FD09098A	iccp1bs	Рассекающие заряды для самострела	Рассекающие заряды для самострела	Рассекающие заряды для самострела	Рассекающих зарядов для самострела	Рассекающих заряда для самострела	Рассекающий заряд для самострела	
_0DAD62FD2122F9CF	iccp1gb	Граната дробящего действия	Гранаты дробящего действия	Граната дробящего действия	Гранат дробящего действия	Гранаты дробящего действия	Гранату дробящего действия	
_4B1D52F36103F9C5	iccp1gp	Граната проникающего действия	Гранаты проникающего действия	Граната проникающего действия	Гранат проникающего действия	Гранаты проникающего действия	Гранату проникающего действия	
_0DAD5AFC2133F9CF	iccp1gs	Граната рассекающего действия	Гранаты рассекающего действия	Граната рассекающего действия	Гранат рассекающего действия	Гранаты рассекающего действия	Гранату рассекающего действия	
_B1485A2A8BD9FE48	iccp1pb	Дробящие заряды для пистолета	Дробящие заряды для пистолета	Дробящие заряды для пистолета	Дробящих зарядов для пистолета	Дробящих заряда для пистолета	Дробящий заряд для пистолета	
_B1A83E318A1AF248	iccp1pp	Проникающие заряды для пистолета	Проникающие заряды для пистолета	Проникающие заряды для пистолета	Проникающих зарядов для пистолета	Проникающих заряда для пистолета	Проникающий заряд для пистолета	
_B1485A2A0BDAFE48	iccp1ps	Рассекающие заряды для пистолета	Рассекающие заряды для пистолета	Рассекающие заряды для пистолета	Рассекающих зарядов для пистолета	Рассекающих заряда для пистолета	Рассекающий заряд для пистолета	
_C8858CA7C752A745	iccp2ab	Дробящие заряды для автометателя	Дробящие заряды для автометателя	Дробящие заряды для автометателя	Дробящих зарядов для автометателя	Дробящих заряда для автометателя	Дробящий заряд для автометателя	
_C8C57C9F4563A739	iccp2ap	Проникающие заряды для автометателя	Проникающие заряды для автометателя	Проникающие заряды для автометателя	Проникающих зарядов для автометателя	Проникающих заряда для автометателя	Проникающий заряд для автометателя	
_C88588A7C763A344	iccp2as	Рассекающие заряды для автометателя	Рассекающие заряды для автометателя	Рассекающие заряды для автометателя	Рассекающих зарядов для автометателя	Рассекающих заряда для автометателя	Рассекающий заряд для автометателя	
_EC122DC0AB2E8ED4	iccp2bb	Дробящие заряды для арбалета	Дробящие заряды для арбалета	Дробящие заряды для арбалета	Дробящих зарядов для арбалета	Дробящих заряда для арбалета	Дробящий заряд для арбалета	
_EB221DBD69AF9ACF	iccp2bp	Проникающие заряды для арбалета	Проникающие заряды для арбалета	Проникающие заряды для арбалета	Проникающих зарядов для арбалета	Проникающих заряда для арбалета	Проникающий заряд для арбалета	
_AC1229C0AB3F8ED3	iccp2bs	Рассекающие заряды для арбалета	Рассекающие заряды для арбалета	Рассекающие заряды для арбалета	Рассекающих зарядов для арбалета	Рассекающих заряда для арбалета	Рассекающий заряд для арбалета	
_679181B8EDBF72D0	iccp2lb	Дробящие заряды для метателя	Дробящие заряды для метателя	Дробящие заряды для метателя	Дробящих зарядов для метателя	Дробящих заряда для метателя	Дробящий заряд для метателя	
_66A171B5AB407ECB	iccp2lp	Проникающие заряды для метателя	Проникающие заряды для метателя	Проникающие заряды для метателя	Проникающих зарядов для метателя	Проникающих заряда для метателя	Проникающий заряд для метателя	
_27917DB8EDD072CF	iccp2ls	Рассекающие заряды для метателя	Рассекающие заряды для метателя	Рассекающие заряды для метателя	Рассекающих зарядов для метателя	Рассекающих заряда для метателя	Рассекающий заряд для метателя	
_12A1C8C24D030CB4	iccp2rb	Дробящие заряды для ружья	Дробящие заряды для ружья	Дробящие заряды для ружья	Дробящих зарядов для ружей	Дробящих заряда для ружья	Дробящий заряд для ружья	
_1171B4BC0E94ECB5	iccp2rp	Проникающие заряды для ружья	Проникающие заряды для ружья	Проникающие заряды для ружья	Проникающих зарядов для ружей	Проникающих заряда для ружья	Проникающий заряд для ружья	
_D2A1C8C24D0408B4	iccp2rs	Рассекающие заряды для ружья	Рассекающие заряды для ружья	Рассекающие заряды для ружья	Рассекающих зарядов для ружей	Рассекающих заряда для ружья	Рассекающий заряд для ружья	
_3F8F7D75C1BEC1F0	iccr1b	Самострел	Самострелы	Самострел	Самострелов	Самострела	Самострел	
_2E689894EBB81474	iccr1p	Пистолет	Пистолеты	Пистолет	Пистолетов	Пистолета	Пистолет	
_A14CDFFCC7C22A51	iccr2a	Автометатель	Автометатели	Автометатель	Автометателей	Автометателя	Автометатель	
_C6BD492B6CF411E9	iccr2b	Арбалет	Арбалеты	Арбалет	Арбалетов	Арбалета	Арбалет	
_459D5D20E7D491D9	iccr2l	Метатель	Метатели	Метатель	Метателей	Метателя	Метатель	
_68B87C8A1F37E07E	iccr2r	Ружье	Ружья	Ружье	Ружей	Ружья	Ружье	
_E2187DEF28BAFCA4	iccsb	Малый щит	Малые щиты	Малый щит	Малых щитов	Малых щита	Малый щит	
_A958309BA2696CB0	iccss	Щит	Щиты	Щит	Щитов	Щита	Щит	
_32A79FC666529B4E	icfahb	Ботинки Костом	Ботинки Костом	Тяжелые файросские ботинки	Ботинок Костом	Ботинок Костом	Ботинки Костом	
_4314D81D5EBF5A4C	icfahg	Рукавицы Костом	Рукавицы Костом	Тяжелые файросские рукавицы	Рукавиц Костом	Рукавиц Костом	Рукавицы Костом	
_607F44F713B2B5A8	icfahh	Шлем Костом	Шлемы Костом	Тяжелый файросский шлем	Шлемов Костом	Шлема Костом	Шлем Костом	
_B2196309DE04DD5E	icfahp	Поножи Костом	Поножи Костом	Тяжелые файросские поножи	Поножей Костом	Поножей Костом	Поножи Костом	
_C781C4C6A454E328	icfahs	Наручи Костом	Наручи Костом	Тяжелые файросские наручи	Наручей Костом	Наручей Костом	Наручи Костом	
_A93B0E2063AC6933	icfahv	Нагрудник Костом	Нагрудники Костом	Тяжелый файросский нагрудник	Нагрудников Костом	Нагрудника Костом	Нагрудник Костом	
_50C8EFA6D8AFBE63	icfalb	Ботинки Хобен	Ботинки Хобен	Легкие файросские ботинки	Ботинок Хобен	Ботинок Хобен	Ботинки Хобен	
_8D573B86A948DFA6	icfalg	Рукавицы Хобен	Рукавицы Хобен	Легкие файросские рукавицы	Рукавиц Хобен	Рукавиц Хобен	Рукавицы Хобен	
_D4C8EB985C9FBA63	icfalp	Поножи Хобен	Поножи Хобен	Легкие файросские поножи	Поножей Хобен	Поножей Хобен	Поножи Хобен	
_DF27805BA638D353	icfals	Наручи Хобен	Наручи Хобен	Легкие файросские наручи	Наручей Хобен	Наручей Хобен	Наручи Хобен	
_8A117EC1CFB43963	icfalv	Нагрудник Хобен	Нагрудники Хобен	Легкий файросский нагрудник	Нагрудников Хобен	Нагрудника Хобен	Нагрудник Хобен	
_D1371B8D52C4EAD8	icfamb	Ботинки Рилон	Ботинки Рилон	Средние файросские ботинки	Ботинок Рилон	Ботинок Рилон	Ботинки Рилон	
_0D05EEE7C3B9179C	icfamg	Рукавицы Рилон	Рукавицы Рилон	Средние файросские рукавицы	Рукавиц Рилон	Рукавиц Рилон	Рукавицы Рилон	
_5527E39B52B4E6D8	icfamp	Поножи Рилон	Поножи Рилон	Средние файросские поножи	Поножей Рилон	Поножей Рилон	Поножи Рилон	
_13D29C71A399F33B	icfams	Наручи Рилон	Наручи Рилон	Средние файросские наручи	Наручей Рилон	Наручей Рилон	Наручи Рилон	
_CA2892BE0C92566F	icfamv	Нагрудник Рилон	Нагрудники Рилон	Средний файросский нагрудник	Нагрудников Рилон	Нагрудника Рилон	Нагрудник Рилон	
_BEFA4612DF175275	icfja	Файросский ножной браслет	Файросские ножные браслеты	Файросский ножной браслет	Файросских ножных браслетов	Файросских ножных браслета	Файросский ножной браслет	
_AC38EBF788DA77B7	icfjb	Файросский браслет	Файросские браслеты	Файросский браслет	Файросских браслетов	Файросских браслета	Файросский браслет	
_01FA46FDDF97DA69	icfjd	Файросская диадема	Файросские диадемы	Файросская диадема	Файросских диадем	Файросских диадемы	Файросскую диадему	
_A107DB0C1DB5B207	icfje	Файросская серьга	Файросские серьги	Файросская серьга	Файросских серег	Файросских серьги	Файросскую серьгу	
_A8D8EFF697D3DE21	icfjp	Файросский кулон	Файросские кулоны	Файросский кулон	Файросских кулонов	Файросских кулона	Файросский кулон	
_F661163A7E4C352A	icfjr	Файросское кольцо	Файросские кольца	Файросское кольцо	Файросских колец	Файросских кольца	Файросское кольцо	
_00BC9F29CC7D7967	icfm1bm	Палица Мэссон	Палицы Мэссон	Одноручная файросская палица	Палиц Мэссон	Палицы Мэссон	Палицу Мэссон	
_D7CEEF3B67555128	icfm1bs	Посох Талус	Посохи Талус	Одноручный файросский посох	Посохов Талус	Посоха Талус	Посох Талус	
_61D14A716CB95A10	icfm1pd	Кинжал Джэб	Кинжалы Джэб	Одноручный файросский кинжал	Кинжалов Джэб	Кинжала Джэб	Кинжал Джэб	
_402BAC2E121563C6	icfm1ps	Копье Кронк	Копья Кронк	Одноручное файросское копье	Копий Кронк	Копья Кронк	Копье Кронк	
_6CD86B0094928DED	icfm1sa	Топор Кливен	Топоры Кливен	Одноручный файросский топор	Топоров Кливен	Топора Кливен	Топор Кливен	
_F40879DA13349871	icfm1sab	Пылающий топор Кливен	Пылающие топоры Кливен	Одноручный пылающий топор	Пылающих топоров Кливен	Пылающих топора Кливен	Пылающий топор Кливен	
_976393F6AA5CC628	icfm1ss	Меч Блэм	Мечи Блэм	Одноручный файросский меч	Мечей Блэм	Меча Блэм	Меч Блэм	
_48E27FEEF1C9F652	icfm2bm	Палица Хэмп	Палицы Хэмп	Двуручная длинная файросская палица	Палиц Хэмп	Палицы Хэмп	Палицу Хэмп	
_FECB774898D1BD66	icfm2pp	Пика Пуннэл	Пиков Пуннэл	Двуручная файросская пика	Пик Пуннэл	Пики Пуннэл	Пику Пуннэл	
_45B90F5A6779EBB9	icfm2sa	Топор Рэтч	Топоры Рэтч	Двуручный длинный файросский топор	Топоров Рэтч	Топора Рэтч	Топор Рэтч	
_062D49E95FA5177F	icfm2sab	Пылающий топор Рэтч	Пылающие топоры Рэтч	Двуручный пылающий длинный топор	Пылающих топоров Рэтч	Пылающих топора Рэтч	Пылающий топор Рэтч	
_7E326F5C7A98C725	icfm2ss	Меч Стэйвон	Мечи Стэйвон	Двуручный файросский длинный меч	Мечей Стэйвон	Меча Стэйвон	Меч Стэйвон	
_E30EF804BF075EE8	icfm2ssb	Пылающий меч Стэйвон	Пылающие мечи Стэйвон	Двуручный Пылающий длинный меч	Пылающих мечей Стэйвон	Пылающих меча Стэйвон	Пылающий меч Стэйвон	
_38E6FF8C1FFCD3E1	icfp1bb	Дробящие заряды Колтон	Дробящие заряды Колтон	Дробящие заряды для файросского самострела	Дробящих зарядов Колтон	Дробящих заряда Колтон	Дробящий заряд Колтон	
_38F6F3981C4DD3E1	icfp1bp	Проникающие заряды Колтон	Проникающие заряды Колтон	Проникающие заряды для файросского самострела	Проникающих зарядов Колтон	Проникающих заряда Колтон	Проникающий заряд Колтон	
_38E6FF8C5F0DD3E1	icfp1bs	Рассекающие заряды Колтон	Рассекающие заряды Колтон	Рассекающие заряды для файросского самострела	Рассекающих зарядов Колтон	Рассекающих заряда Колтон	Рассекающий заряд Колтон	
_92F29A201B96BF73	icfp1gb	Файросская граната дробящего действия	Файросские гранаты дробящего действия	Файросские гранаты дробящего действия	Файросских гранат дробящего действия	Файросских гранаты дробящего действия	Файросскую гранату дробящего действия	
_91C2861ADC279F74	icfp1gp	Файросская граната проникающего действия	Файросские гранаты проникающего действия	Файросская граната проникающего действия	Файросских гранат проникающего действия	Файросских гранаты проникающего действия	Файросскую гранату проникающего действия	
_52F29A201B97BB73	icfp1gs	Файросская граната рассекающего действия	Файросские гранаты рассекающего действия	Файросская граната рассекающего действия	Файросских гранат рассекающего действия	Файросских гранаты рассекающего действия	Файросскую гранату рассекающего действия	
_3689F8F069D4F12C	icfp1pb	Дробящие заряды Римэль	Дробящие заряды Римэль	Дробящие заряды для файросского пистолета	Дробящих зарядов Римэль	Дробящих заряда Римэль	Дробящий заряд Римэль	
_3749D8EA2AB5C128	icfp1pp	Проникающие заряды Римэль	Проникающие заряды Римэль	Проникающие заряды для файросского пистолета	Проникающих зарядов Римэль	Проникающих заряда Римэль	Проникающий заряд Римэль	
_3679F8F069D5ED2C	icfp1ps	Рассекающие заряды Римэль	Рассекающие заряды Римэль	Рассекающие заряды для файросского пистолета	Рассекающих зарядов Римэль	Рассекающих заряда Римэль	Рассекающий заряд Римэль	
_4D44AA4EE881C952	icfp2ab	Дробящие заряды Фрэйзер	Дробящие заряды Фрэйзер	Дробящие заряды для файросского автометателя	Дробящих зарядов Фрэйзер	Дробящих заряда Фрэйзер	Дробящий заряд Фрэйзер	
_4E649656E602B551	icfp2ap	Проникающие заряды Фрэйзер	Проникающие заряды Фрэйзер	Проникающие заряды для файросского автометателя	Проникающих зарядов Фрэйзер	Проникающих заряда Фрэйзер	Проникающий заряд Фрэйзер	
_4D34AA4E6892C952	icfp2as	Рассекающие заряды Фрэйзер	Рассекающие заряды Фрэйзер	Рассекающие заряды для файросского автометателя	Рассекающих зарядов Фрэйзер	Рассекающих заряда Фрэйзер	Рассекающий заряд Фрэйзер	
_A16603BCFA63F9F2	icfp2bb	Дробящие заряды Стрэбус	Дробящие заряды Стрэбус	Дробящие заряды для файросского арбалета	Дробящих зарядов Стрэбус	Дробящих заряда Стрэбус	Дробящий заряд Стрэбус	
_DD8613B17A44F9ED	icfp2bp	Проникающие заряды Стрэбус	Проникающие заряды Стрэбус	Проникающие заряды для файросского арбалета	Проникающих зарядов Стрэбус	Проникающих заряда Стрэбус	Проникающий заряд Стрэбус	
_A166FFBAFA74F9F2	icfp2bs	Рассекающие заряды Стрэбус	Рассекающие заряды Стрэбус	Рассекающие заряды для файросского арбалета	Рассекающих зарядов Стрэбус	Рассекающих заряда Стрэбус	Рассекающий заряд Стрэбус	
_36CF579E228F73A1	icfp2lb	Дробящие заряды Брэйзер	Дробящие заряды Брэйзер	Дробящие заряды для файросского метателя	Дробящих зарядов Брэйзер	Дробящих заряда Брэйзер	Дробящий заряд Брэйзер	
_362F3BA521D067A1	icfp2lp	Проникающие заряды Брэйзер	Проникающие заряды Брэйзер	Проникающие заряды для файросского метателя	Проникающих зарядов Брэйзер	Проникающих заряда Брэйзер	Проникающий заряд Брэйзер	
_36CF579EA29073A1	icfp2ls	Рассекающие заряды Брэйзер	Рассекающие заряды Брэйзер	Рассекающие заряды для файросского метателя	Рассекающих зарядов Брэйзер	Рассекающих заряда Брэйзер	Рассекающий заряд Брэйзер	
_C82C361752D999EA	icfp2rb	Дробящие заряды Стрэммель	Дробящие заряды Стрэммель	Дробящие заряды для файросского ружья	Дробящих зарядов Стрэммель	Дробящих заряда Стрэммель	Дробящий заряд Стрэммель	
_87EC2218513A95E9	icfp2rp	Проникающие заряды Стрэммель	Проникающие заряды Стрэммель	Проникающие заряды для файросского ружья	Проникающих зарядов Стрэммель	Проникающих заряда Стрэммель	Проникающий заряд Стрэммель	
_882C321712EA99EA	icfp2rs	Рассекающие заряды Стрэммель	Рассекающие заряды Стрэммель	Рассекающие заряды для файросского ружья	Рассекающих зарядов Стрэммель	Рассекающих заряда Стрэммель	Рассекающий заряд Стрэммель	
_38049C717BD24862	icfr1b	Самострел Колтон	Самострелы Колтон	Одноручный файросский самострел	Самострелов Колтон	Самострела Колтон	Самострел Колтон	
_0A01FCFF5BB8F254	icfr1p	Пистолет Римэль	Пистолеты Римэль	Одноручный файросский пистолет	Пистолетов Римэль	Пистолета Римэль	Пистолет Римэль	
_FE719E3EC7488020	icfr2a	Автометатель Фрэйзер	Автометатели Фрэйзер	Двуручный файросский автометатель	Автометателей Фрэйзер	Автометателя Фрэйзер	Автометатель Фрэйзер	
_B7F478CC81461B4C	icfr2b	Арбалет Стрэбус	Арбалеты Стрэбус	Двуручный файросский арбалет	Арбалетов Стрэбус	Арбалета Стрэбус	Арбалет Стрэбус	
_5D99216553EB56C1	icfr2l	Метатель Брэйзер	Метатели Брэйзер	Двуручный файросский метатель	Метателей Брэйзер	Метателя Брэйзер	Метатель Брэйзер	
_F00FB25577FC6897	icfr2r	Ружье Стрэммель	Ружья Стрэммель	Двуручное файросское ружье	Ружей Стрэммель	Ружья Стрэммель	Ружье Стрэммель	
_08687AF462A2B649	icfsb	Малый щит Блок	Малые щиты Блок	Малый файросский щит	Малых щитов Блок	Малых щита Блок	Малый щит Блок	
_DC11AF8EDBB6C247	icfss	Щит Сток	Щиты Сток	Файросский щит	Щитов Сток	Щита Сток	Щит Сток	
_91C8FBC059F0FA55	icmahb	Ботинки Парок	Ботинки Парок	Тяжелые матисские ботинки	Ботинок Парок	Ботинок Парок	Ботинки Парок	
_8C678BA065AAE39E	icmahg	Рукавицы Парок	Рукавицы Парок	Тяжелые матисские рукавицы	Рукавиц Парок	Рукавиц Парок	Рукавицы Парок	
_034ACE0478D63F7C	icmahh	Шлем Парок	Шлемы Парок	Тяжелый матисский шлем	Шлемов Парок	Шлема Парок	Шлем Парок	
_15C8F7B2DDE0F655	icmahp	Поножи Парок	Поножи Парок	Тяжелые матисские поножи	Поножей Парок	Поножей Парок	Поножи Парок	
_1EA704536679C34F	icmahs	Наручи Парок	Наручи Парок	Тяжелые матисские наручи	Наручей Парок	Наручей Парок	Наручи Парок	
_076196CACE36E96E	icmahv	Нагрудник Парок	Нагрудники Парок	Тяжелый матисский нагрудник	Нагрудников Парок	Нагрудника Парок	Нагрудник Парок	
_56F08BA296628E2F	icmalb	Ботинки Уива	Ботинки Уива	Легкие матисские ботинки	Ботинок Уива	Ботинок Уива	Ботинки Уива	
_E3E6A6B3D96032E8	icmalg	Рукавицы Уива	Рукавицы Уива	Легкие матисские рукавицы	Рукавиц Уива	Рукавиц Уива	Рукавицы Уива	
_9A10C3A25682FA21	icmalp	Поножи Уива	Поножи Уива	Легкие матисские поножи	Поножей Уива	Поножей Уива	Поножи Уива	
_A3FF4BA8048837DF	icmals	Наручи Уива	Наручи Уива	Легкие матисские наручи	Наручей Уива	Наручей Уива	Наручи Уива	
_41F36E5D8A536576	icmalv	Нагрудник Уива	Нагрудники Уива	Легкий матисский нагрудник	Нагрудников Уива	Нагрудника Уива	Нагрудник Уива	
_6D27BE0B6A39C74E	icmamb	Ботинки Стрива	Ботинки Стрива	Средние матисские ботинки	Ботинок Стрива	Ботинок Стрива	Ботинки Стрива	
_65CCDC63F067623D	icmamg	Рукавицы Стрива	Рукавицы Стрива	Средние матисские рукавицы	Рукавиц Стрива	Рукавиц Стрива	Рукавицы Стрива	
_EA08BE0BEA796F4D	icmamp	Поножи Стрива	Поножи Стрива	Средние матисские поножи	Поножей Стрива	Поножей Стрива	Поножи Стрива	
_5623CC2E2B018A12	icmams	Наручи Стрива	Наручи Стрива	Средние матисские наручи	Наручей Стрива	Наручей Стрива	Наручи Стрива	
_604A3ABE67A73E6D	icmamv	Нагрудник Стрива	Нагрудники Стрива	Средний матисский нагрудник	Нагрудников Стрива	Нагрудника Стрива	Нагрудник Стрива	
_BE6A46006294A675	icmja	Матисский ножной браслет	Матисские ножные браслеты	Матисский ножной браслет	Матисских ножных браслетов	Матисских ножных браслета	Матисский ножной браслет	
_2DC70FD9CB5993B1	icmjb	Матисский браслет	Матисские браслеты	Матисский браслет	Матисских браслетов	Матисских браслета	Матисский браслет	
_016A46EB62142E69	icmjd	Матисская диадема	Матисские диадемы	Матисская диадема	Матисских диадем	Матисских диадемы	Матисскую диадему	
_A117CBF05AA4CE07	icmje	Матисская серьга	Матисские серьги	Матисская серьга	Матисских серег	Матисских серьги	Матисскую серьгу	
_A8E8DFDAD4C2FA21	icmjp	Матисский кулон	Матисские кулоны	Матисский кулон	Матисских кулонов	Матисских кулона	Матисский кулон	
_39503234FF6B590C	icmjr	Матисское кольцо	Матисские кольца	Матисское кольцо	Матисских колец	Матисских кольца	Матисское кольцо	
_821D7F180FCD7968	icmm1bm	Палица Бристо	Палицы Бристо	Одноручная матисская палица	Палиц Бристо	Палицы Бристо	Палицу Бристо	
_F76D288DAB0840E4	icmm1bs	Посох Баттони	Посохи Баттони	Одноручный матисский посох	Посохов Баттони	Посоха Баттони	Посох Баттони	
_B87940B6DE2177D8	icmm1pd	Кинжал Лиммэль	Кинжалы Лиммэль	Одноручный матисский кинжал	Кинжалов Лиммэль	Кинжала Лиммэль	Кинжал Лиммэль	
_02BCAC02D26663C6	icmm1ps	Копье Пэлор	Копья Пэлор	Одноручное матисское копье	Копий Пэлор	Копья Пэлор	Копье Пэлор	
_11511B7DDA6742BA	icmm1sa	Топор Хэкк	Топоры Хэкк	Одноручный матисский топор	Топоров Хэкк	Топора Хэкк	Топор Хэкк	
_BF3B0C4DD9656FC6	icmm1ss	Меч Клайд	Мечи Клайд	Одноручный матисский меч	Мечей Клайд	Меча Клайд	Меч Клайд	
_36AE3C381A28CEC5	icmm2bm	Палица Гондо	Палицы Гондо	Двуручная длинная матисская палица	Палиц Гондо	Палицы Гондо	Палицу Гондо	
_4B23029C59661A46	icmm2pp	Пика Кроп	Пиков Кроп	Двуручная матисская пика	Пик Кроп	Пики Кроп	Пику Кроп	
_17D03FFCB85AEE25	icmm2sa	Топор Клаут	Топоры Клаут	Двуручный длинный матисский топор	Топоров Клаут	Топора Клаут	Топор Клаут	
_7DE18B4C7A98C70D	icmm2ss	Меч Слэйф	Мечи Слэйф	Двуручный длинный матисский меч	Мечей Слэйф	Меча Слэйф	Меч Слэйф	
_E1D21CFC1C1E0282	icmp1bb	Дробящие заряды Рива	Дробящие заряды Рива	Дробящие заряды для матисского самострела	Дробящих зарядов Рива	Дробящих заряда Рива	Дробящий заряд Рива	
_DF721CF7DC9FEA87	icmp1bp	Проникающие заряды Рива	Проникающие заряды Рива	Проникающие заряды для матисского самострела	Проникающих зарядов Рива	Проникающих заряда Рива	Проникающий заряд Рива	
