*HASH_VALUE	creature ID	name	ia	da	cc	pr	p	pia	pda
_C32EAE4FBD2A34B4	cabjb1	Slimy Prakker	a	the			Slimy Prakkers		the
_FC77810564D4FC16	cabjb2	Common Prakker	a	the			Common Prakkers		the
_1AC0A68A8079ED89	cabjb3	Feeding Prakker	a	the			Feeding Prakkers		the
_DA81F284403A3D83	cabjb4	Adult Prakker	a	the			Adult Prakkers		the
_DA81F284403A3184	cabjc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
_B28001113C4E44BA	cabjc2	Defensive Prakker	a	the			Defensive Prakkers		the
_42DEBE603F8A3CB5	cabjc3	Scouring Prakker	a	the			Scouring Prakkers		the
_5840DE77BEF92977	cabjc4	Chilling Prakker	a	the			Chilling Prakkers		the
_5840DE77BEF91D78	cabjd1	Lurking Prakker	a	the			Lurking Prakkers		the
_5A652F9A1A0F055C	cabjd2	Prowling Prakker	a	the			Prowling Prakkers		the
_FC77410568360018	cabjd3	Enraged Prakker	an	the			Enraged Prakkers		the
_C91EB24CFD1A90B7	cabjd4	Wild Prakker	a	the			Wild Prakkers		the
_C91EB24CFD1A84B8	cabje1	Humongous Prakker	a	the			Humongous Prakkers		the
_1A655E30C31D2B1A	cabje2	Ravenous Prakker	a	the			Ravenous Prakkers		the
_C10F56713A1B3CB2	cabje3	Mean Prakker	a	the			Mean Prakkers		the
_438E76613A0B48B9	cabje4	Attacking Prakker	an	the			Attacking Prakkers		the
_438E76613A0B3CBA	cabjf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
_D775166D42650D38	cabjf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
_59BFC27ABF78097D	cabjf3	Sinister Prakker	a	the			Sinister Prakkers		the
_7D7789076EF4F815	cabla1	Little Prakker	a	the			Little Prakkers		the
_1F71D26C042A156A	cabla2	Primitive Prakker	a	the			Primitive Prakkers		the
_7D77810564D40015	cabla3	Appeased Prakker	an	the			Appeased Prakkers		the
_442EAE4FBD2A40B3	cabla4	Rapid Prakker	a	the			Rapid Prakkers		the
_76F03D203BED40B8	cabpa1	Little Prakker	a	the			Little Prakkers		the
_DC55266749C5813C	cabpa2	Primitive Prakker	a	the			Primitive Prakkers		the
_484ED2673F1B60AC	cabpa3	Appeased Prakker	an	the			Appeased Prakkers		the
_1E454F876320A55B	cabpa4	Rapid Prakker	a	the			Rapid Prakkers		the
_1E454F876320995C	cabpb1	Slimy Prakker	a	the			Slimy Prakkers		the
_5C9F9E7C4058E17B	cabpb2	Common Prakker	a	the			Common Prakkers		the
_9EE5EA28483D1710	cabpb3	Feeding Prakker	a	the			Feeding Prakkers		the
_43EF9267BDBA3CB1	cabpb4	Adult Prakker	a	the			Adult Prakkers		the
_43EF9267BDBA30B2	cabpc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
_1A753E21844C1F19	cabpc2	Defensive Prakker	a	the			Defensive Prakkers		the
_8A04E68CE1209944	cabpc3	Scouring Prakker	a	the			Scouring Prakkers		the
_1DD0BE8501890985	cabpc4	Chilling Prakker	a	the			Chilling Prakkers		the
_1DD0BE850189FD86	cabpd1	Lurking Prakker	a	the			Lurking Prakkers		the
_9E151633060C1F14	cabpd2	Prowling Prakker	a	the			Prowling Prakkers		the
_9D44C66C4285DD24	cabpd3	Enraged Prakker	an	the			Enraged Prakkers		the
_4B1EB24CFD1A90B7	cabpd4	Wild Prakker	a	the			Wild Prakkers		the
_4B1EB24CFD1A84B8	cabpe1	Humongous Prakker	a	the			Humongous Prakkers		the
_85BE9E623C5B34B0	cabpe2	Ravenous Prakker	a	the			Ravenous Prakkers		the
_15102E69B414D13D	cabpe3	Mean Prakker	a	the			Mean Prakkers		the
_B8035BF3A2024EE9	cabpe4	Attacking Prakker	an	the			Attacking Prakkers		the
_B8035BF3A20242EA	cabpf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
_9AB613991D203D65	cabpf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
_DBBFC27ABF78097D	cabpf3	Sinister Prakker	a	the			Sinister Prakkers		the
_4010F219394A7CFA	cbada1	Fledgling Igara	a	the			Fledgling Igaras		the
_02FE9126F19B7BFA	cbada2	Lesser Igara	a	the			Lesser Igaras		the
_7DFF11FEF0A64F11	cbada3	Gentle Igara	a	the			Gentle Igaras		the
_05EFDD0D66744471	cbada4	Soaring Igara	a	the			Soaring Igaras		the
_05EFDD0D66743872	cbadb1	Gorged Igara	a	the			Gorged Igaras		the
_3FB019062F964B12	cbadb2	Vulgar Igara	a	the			Vulgar Igaras		the
_3F6F490071975322	cbadb3	Bloated Igara	a	the			Bloated Igaras		the
_1C14A5BAE6795F8E	cbadb4	Prime Igara	a	the			Prime Igaras		the
_1C14A5BAE679538F	cbadc1	Vigilant Igara	a	the			Vigilant Igaras		the
_8B0F2D2D62743C73	cbadc2	Hungry Igara	a	the			Hungry Igaras		the
_8DB1BD2D62744073	cbadc3	Scavenging Igara	a	the			Scavenging Igaras		the
_7E3F56083E2A58FE	cbadc4	Leering Igara	a	the			Leering Igaras		the
_7E3F56083E2A4CFF	cbadd1	Vicious Igara	a	the			Vicious Igaras		the
_894FFD2166543C74	cbadd2	Malignant Igara	a	the			Malignant Igaras		the
_9CA37E26836CC127	cbadd3	Mocking Igara	a	the			Mocking Igaras		the
_3DC0F2053979580F	cbadd4	Carrion Igara	a	the			Carrion Igaras		the
_3DC0F20539794C10	cbade1	Tracker Igara	a	the			Tracker Igaras		the
_80D02A1479DA6018	cbade2	Volatile Igara	a	the			Volatile Igaras		the
_BE3061FAF0775B21	cbade3	Frightening Igara	a	the			Frightening Igaras		the
_DA352A36C1FE7138	cbade4	Rapacious Igara	a	the			Rapacious Igaras		the
_DC14A9BE2B8AA38A	cbaga1	Impure Igara	an	the			Impure Igaras		the
_D605AA3443A1008E	cbaga2	Blighted Igara	a	the			Blighted Igaras		the
_02D1690C2FA68F2C	cbaga3	Contaminated Igara	a	the			Contaminated Igaras		the
_D2C02B80A3E42147	cbaga4	Infected Igara	an	the			Infected Igaras		the
_D2C02B80A3E41548	cbagb1	Nauseous Igara	a	the			Nauseous Igaras		the
_C043E96D3C3A68EE	cbagb2	Stinking Igara	a	the			Stinking Igaras		the
_FF8035F5F1B74F12	cbagb3	Morbid Igara	a	the			Morbid Igaras		the
_DC14C5C16B199781	cbagb4	Poisoned Igara	a	the			Poisoned Igaras		the
_DC14C5C16B198B82	cbagc1	Plagued Igara	a	the			Plagued Igaras		the
_3CAF390CB5A74B13	cbagc2	Sickly  Igara	a	the			Sickly  Igaras		the
_7FCF16FDFC398403	cbagc3	Putrescent Igara	a	the			Putrescent Igaras		the
_003F520BBC1A700A	cbagc4	Virulent Igara	a	the			Virulent Igaras		the
_003F520BBC1A640B	cbagd1	Ravaged Igara	a	the			Ravaged Igaras		the
_CFEFED0D64563C74	cbagd2	Festering Igara	a	the			Festering Igaras		the
_A67C951E2DF80779	cbagd3	Pestiferous Igara	a	the			Pestiferous Igaras		the
_92E4958A13E0CD77	cbagd4	Raving Igara	a	the			Raving Igaras		the
_92E4958A13E0C178	cbage1	Pustulous Igara	a	the			Pustulous Igaras		the
_BBDF350270974B15	cbage2	Seeping Igara	a	the			Seeping Igaras		the
_18D0AA6A2D20600B	cbage3	Foaming Igara	a	the			Foaming Igaras		the
_C17F310773D78F34	cbage4	Revolting Igara	a	the			Revolting Igaras		the
_C17F310773D78335	cbagf1	Demented Igara	a	the			Demented Igaras		the
_FF6FF2033A59800C	cbagf2	Frenzied Igara	a	the			Frenzied Igaras		the
_7E4F26FD3C5A6810	cbagf3	Fiendish Igara	a	the			Fiendish Igaras		the
_92E10B91DFE4E948	cbaja1	Fledgling Igara	a	the			Fledgling Igaras		the
_A1F5223207BE6130	cbaja2	Lesser Igara	a	the			Lesser Igaras		the
_9D14C1B1A8886B87	cbaja3	Gentle Igara	a	the			Gentle Igaras		the
_86EFDD0D66744471	cbaja4	Soaring Igara	a	the			Soaring Igaras		the
_86EFDD0D66743872	cbajb1	Gorged Igara	a	the			Gorged Igaras		the
_9D14C9B82858577E	cbajb2	Vulgar Igara	a	the			Vulgar Igaras		the
_7D80161AFD2B680F	cbajb3	Bloated Igara	a	the			Bloated Igaras		the
_00B02A13FE5BB01C	cbajb4	Prime Igara	a	the			Prime Igaras		the
_00B02A13FE5BA41D	cbajc1	Vigilant Igara	a	the			Vigilant Igaras		the
_67EC550529E93778	cbajc2	Hungry Igara	a	the			Hungry Igaras		the
_86EFCD236A344073	cbajc3	Scavenging Igara	a	the			Scavenging Igaras		the
_FDEF120F3F0A8C10	cbajc4	Leering Igara	a	the			Leering Igaras		the
_FDEF120F3F0A8011	cbajd1	Vicious Igara	a	the			Vicious Igaras		the
_1B632E38812C6D39	cbajd2	Malignant Igara	a	the			Malignant Igaras		the
_9D14A9B828897B93	cbajd3	Mocking Igara	a	the			Mocking Igaras		the
_900FFD09E6544474	cbajd4	Carrion Igara	a	the			Carrion Igaras		the
_900FFD09E6543875	cbaje1	Tracker Igara	a	the			Tracker Igaras		the
_BE60790070974B15	cbaje2	Volatile Igara	a	the			Volatile Igaras		the
_864F9D3360564075	cbaje3	Frightening Igara	a	the			Frightening Igaras		the
_862FDD1560364475	cbaje4	Rapacious Igara	a	the			Rapacious Igaras		the
_64598FB32542EFA3	cbajf5	Kim-kol	a	the			Kim-kols		the
_41BE6DFBDF595C21	cbbda1	Fledgling Izam	a	the			Fledgling Izams		the
_829F211960361B12	cbbda2	Lesser Izam	a	the			Lesser Izams		the
_051F5DE77490F6F9	cbbda3	Gentle Izam	a	the			Gentle Izams		the
_ED0F350F66F7EF2F	cbbda4	Soaring Izam	a	the			Soaring Izams		the
_ED0F350F66F7E330	cbbdb1	Gorged Izam	a	the			Gorged Izams		the
_0501FD037270F2FA	cbbdb2	Vulgar Izam	a	the			Vulgar Izams		the
_8D1F5505EE72F6FC	cbbdb3	Bloated Izam	a	the			Bloated Izams		the
_9A94A48E11D7DFB0	cbbdb4	Prime Izam	a	the			Prime Izams		the
_9A94A48E11D7D3B1	cbbdc1	Vigilant Izam	a	the			Vigilant Izams		the
_30704129E8D70731	cbbdc2	Hungry Izam	a	the			Hungry Izams		the
_B1613D1BE857EB31	cbbdc3	Scavenging Izam	a	the			Scavenging Izams		the
_BE2E450064396817	cbbdc4	Leering Izam	a	the			Leering Izams		the
_C2DF51F49C885C19	cbbde1	Tracker Izam	a	the			Tracker Izams		the
_C29089F85F899023	cbbde2	Volatile Izam	a	the			Volatile Izams		the
_899F9501EC32F603	cbbde3	Frightening Izam	a	the			Frightening Izams		the
_09564236FF5EB8F1	cbbde4	Rapacious Izam	a	the			Rapacious Izams		the
_6BE694AA2FB6A3A8	cbbde5	Dylion	a	the			Dylions		the
_CD01DE668D52F19A	cbbja1	Fledgling Izam	a	the			Fledgling Izams		the
_C7965A26073080F7	cbbja2	Lesser Izam	a	the			Lesser Izams		the
_9A94C08512E6B7B3	cbbja3	Gentle Izam	a	the			Gentle Izams		the
_6E0F350F66F7EF2F	cbbja4	Soaring Izam	a	the			Soaring Izams		the
_6E0F350F66F7E330	cbbjb1	Gorged Izam	a	the			Gorged Izams		the
_1794C88C1166CFB0	cbbjb2	Vulgar Izam	a	the			Vulgar Izams		the
_80FE6907A299AC25	cbbjb3	Bloated Izam	a	the			Bloated Izams		the
_C42F69FC225AE42D	cbbjb4	Prime Izam	a	the			Prime Izams		the
_C42F69FC225AD82E	cbbjc1	Vigilant Izam	a	the			Vigilant Izams		the
_994724FDB0984360	cbbjc2	Hungry Izam	a	the			Hungry Izams		the
_6E0F2D18ABB80331	cbbjc3	Scavenging Izam	a	the			Scavenging Izams		the
_C16E39F6A28ACC1D	cbbjc4	Leering Izam	a	the			Leering Izams		the
_7360491126B7DF33	cbbje1	Tracker Izam	a	the			Tracker Izams		the
_86FF950DEC72F2FD	cbbje2	Volatile Izam	a	the			Volatile Izams		the
_6EBF011AA8082733	cbbje3	Frightening Izam	a	the			Frightening Izams		the
_EE4F3D13E4F82733	cbbje4	Rapacious Izam	a	the			Rapacious Izams		the
_EE4F3D13E4F81B34	cbbjf1	Threatening Izam	a	the			Threatening Izams		the
_C82DD93F344EC8FA	cbbjf2	Enraged Izam	an	the			Enraged Izams		the
_C03E45F49EC8AC29	cbbjf3	Tremendous Izam	a	the			Tremendous Izams		the
_D994CC8D1686CFC3	cbbla1	Fledgling Izam	a	the			Fledgling Izams		the
_870F35F964E99026	cbbla2	Lesser Izam	a	the			Lesser Izams		the
_9894C88C1166D3AF	cbbla3	Gentle Izam	a	the			Gentle Izams		the
_EF0F350F66F7EF2F	cbbla4	Soaring Izam	a	the			Soaring Izams		the
_EF0F350F66F7E330	cbblb1	Gorged Izam	a	the			Gorged Izams		the
_C90C9D40713ED0F2	cbblb2	Vulgar Izam	a	the			Vulgar Izams		the
_C79C952F713DBCFC	cbblb3	Bloated Izam	a	the			Bloated Izams		the
_5C94A48512C7BBB4	cbblb4	Prime Izam	a	the			Prime Izams		the
_5C94A48512C7AFB5	cbblc1	Vigilant Izam	a	the			Vigilant Izams		the
_1A672C0CAD070B5A	cbblc2	Hungry Izam	a	the			Hungry Izams		the
_1A6704122909EF64	cbblc3	Scavenging Izam	a	the			Scavenging Izams		the
_CD4DE533722DE0F3	cbblc4	Leering Izam	a	the			Leering Izams		the
_CD4DE533722DD4F4	cbbld1	Vicious Izam	a	the			Vicious Izams		the
_8DED2533762DE4FE	cbbld2	Malignant Izam	a	the			Malignant Izams		the
_C49089F85F899422	cbbld3	Mocking Izam	a	the			Mocking Izams		the
_028E2DFBA4899822	cbbld4	Carrion Izam	a	the			Carrion Izams		the
_1BD71C17AF483758	cbbpa1	Fledgling Izam	a	the			Fledgling Izams		the
_CE5D1531B14D9C06	cbbpa2	Lesser Izam	a	the			Lesser Izams		the
_322F251B2B49272F	cbbpa3	Gentle Izam	a	the			Gentle Izams		the
_4A075A31089F84F5	cbbpa4	Soaring Izam	a	the			Soaring Izams		the
_4A075A31089F78F6	cbbpb1	Gorged Izam	a	the			Gorged Izams		the
_816E11FD60E8C024	cbbpb2	Vulgar Izam	a	the			Vulgar Izams		the
_103F1DFDF2B0F60A	cbbpb3	Bloated Izam	a	the			Bloated Izams		the
_B0CF0D172A871330	cbbpb4	Prime Izam	a	the			Prime Izams		the
_B0CF0D172A870731	cbbpc1	Vigilant Izam	a	the			Vigilant Izams		the
_8C9F85EFEEB0F201	cbbpc2	Hungry Izam	a	the			Hungry Izams		the
_37173233C25A8CD8	cbbpc3	Scavenging Izam	a	the			Scavenging Izams		the
_463F850D20C89821	cbbpc4	Leering Izam	a	the			Leering Izams		the
_463F850D20C88C22	cbbpd1	Vicious Izam	a	the			Vicious Izams		the
_8C9F5513F230F202	cbbpd2	Malignant Izam	a	the			Malignant Izams		the
_0A0CB14171EEC4EE	cbbpd3	Mocking Izam	a	the			Mocking Izams		the
_F560491126B7EB32	cbbpd4	Carrion Izam	a	the			Carrion Izams		the
_DFE448A21608F3AB	cbcga1	Impure Yber	an	the			Impure Ybers		the
_1B14DE42457D403D	cbcga2	Blighted Yber	a	the			Blighted Ybers		the
_4B31AD11E692F619	cbcga3	Contaminated Yber	a	the			Contaminated Ybers		the
_4EE0BA7009843D82	cbcga4	Infected Yber	an	the			Infected Ybers		the
_4EE0BA7009843183	cbcgb1	Nauseous Yber	a	the			Nauseous Ybers		the
_001FD1F97DB9C80A	cbcgb2	Stinking Yber	a	the			Stinking Ybers		the
_C5118DFFE0B4F6FA	cbcgb3	Morbid Yber	a	the			Morbid Ybers		the
_A557AB831627BF8D	cbcgb4	Poisoned Yber	a				Poisoned Ybers		the
_5CE464A594D7FFA7	cbcgc1	Plagued Yber	a	the			Plagued Ybers		the
_C5AF7D05EA94F2FB	cbcgc2	Sickly  Yber	a	the			Sickly  Ybers		the
_04AFE9F362486423	cbcgc3	Putrescent Yber	a	the			Putrescent Ybers		the
_43E019F6A629681D	cbcgc4	Virulent Yber	a	the			Virulent Ybers		the
_43E019F6A6295C1E	cbcgd1	Ravaged Yber	a	the			Ravaged Ybers		the
_B2603D1627470342	cbcgd2	Festering Yber	a	the			Festering Ybers		the
_D2E840183328F368	cbcgd3	Pestiferous Yber	a	the			Pestiferous Ybers		the
_DD93017B043C487C	cbcgd4	Raving Yber	a	the			Raving Ybers		the
_DD93017B043C3C7D	cbcge1	Pustulous Yber	a	the			Pustulous Ybers		the
_C56F2519E074F2FD	cbcge2	Seeping Yber	a	the			Seeping Ybers		the
_46EE914B74CE0C00	cbcge3	Foaming Yber	a	the			Foaming Ybers		the
_CD6F3513E4F4FA1B	cbcge4	Revolting Yber	a	the			Revolting Ybers		the
_CD6F3513E4F4EE1C	cbcgf1	Demented Yber	a	the			Demented Ybers		the
_85EFF1F021686026	cbcgf2	Frenzied Yber	a	the			Frenzied Ybers		the
_40DFF5ECA2C8AC29	cbcgf3	Fiendish Yber	a	the			Fiendish Ybers		the
_12517E768DA30182	cbcja1	Fledgling Yber	a	the			Fledgling Ybers		the
_C8259A264870200C	cbcja2	Lesser Yber	a	the			Lesser Ybers		the
_DFE460951237C79B	cbcja3	Gentle Yber	a	the			Gentle Ybers		the
_6E1F3514A8B6CF3F	cbcja4	Soaring Yber	a	the			Soaring Ybers		the
_6E1F3514A8B6C340	cbcjb1	Gorged Yber	a	the			Gorged Ybers		the
_5CE4689C11B7DF98	cbcjb2	Vulgar Yber	a	the			Vulgar Ybers		the
_C19F19FFA699AC25	cbcjb3	Bloated Yber	a	the			Bloated Ybers		the
_05D019F4265AE42D	cbcjb4	Prime Yber	a	the			Prime Ybers		the
_05D019F4265AD82E	cbcjc1	Vigilant Yber	a	the			Vigilant Ybers		the
_935824FDF1D8F774	cbcjc2	Hungry Yber	a	the			Hungry Ybers		the
_6E1F2D1DED77E341	cbcjc3	Scavenging Yber	a	the			Scavenging Ybers		the
_020FE9EEA68ACC1D	cbcjc4	Leering Yber	a	the			Leering Ybers		the
_020FE9EEA68AC01E	cbcjd1	Vicious Yber	a	the			Vicious Ybers		the
_8A646A31823D380D	cbcjd2	Malignant Yber	a	the			Malignant Ybers		the
_21E4489C1368E3A2	cbcjd3	Mocking Yber	a	the			Mocking Ybers		the
_737049166876CB42	cbcjd4	Carrion Yber	a	the			Carrion Ybers		the
_737049166876BF43	cbcje1	Tracker Yber	a	the			Tracker Ybers		the
_860FBD15E074F2FD	cbcje2	Volatile Yber	a	the			Volatile Ybers		the
_6ECF011FEAC70743	cbcje3	Frightening Yber	a	the			Frightening Ybers		the
_EE5F3D1826B70743	cbcje4	Rapacious Yber	a	the			Rapacious Ybers		the
_1EE46C9D16D7DFAB	cbcla1	Fledgling Yber	a	the			Fledgling Ybers		the
_C8B0E5F168E99026	cbcla2	Lesser Yber	a	the			Lesser Ybers		the
_DDE4689C11B7E397	cbcla3	Gentle Yber	a	the			Gentle Ybers		the
_EF1F3514A8B6CF3F	cbcla4	Soaring Yber	a	the			Soaring Ybers		the
_EF1F3514A8B6C340	cbclb1	Gorged Yber	a	the			Gorged Ybers		the
_045D3D50713EE4F6	cbclb2	Vulgar Yber	a	the			Vulgar Ybers		the
