*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_6836DC8A2C2998A7	Jungle	Jungle	a	the	Jungles		the	
_E43FDCC6417170C3	JungleExoticRawMaterialKnowledge	Jungle Exotic Raw Material Knowledge	a	the	Jungle Exotic Raw Material Knowledge		the	
_5ACFDD4B1486AD86	JungleKamisKnowledge	Jungle-Kami Knowledge	a	the	Jungle-Kamis Knowledge		the	
_50122A4F06FFF689	JungleTravel	Jungle Travel	a	the	Jungle Travels		the	
_66B8AC6A67086042	Kami	Kami	a	the	Kamis		the	
_B2D412D83E3E19EF	KamicShield	Kamic Shield	a	the	Kamic Shields		the	
_BFCCBDEE328BD517	KamicShock	Kamic Shock	a	the	Kamic Shocks		the	
_6678EC8AE728C082	Kick	Kick	a	the	Kicks		the	
_6E29A89C6C96A8A7	Kitin	Kitin	a	the	Kitin		the	
_6478AC8C64A86085	Lake	Lake	a	the	Lakes		the	
_A84B290A6BA89380	LakeArmor	Lake Armor		the	Lake Armors		the	
_B87E348201AD4818	LakeExoticRawMaterialKnowledge	Lake Exotic Raw Material Knowledge	a	the	Lake Exotic Raw Material Knowledge		the	
_CE00A8A30459E4A6	LakeKamisKnowledge	Lake-Kami Knowledge	a	the	Lake-Kamis Knowledge		the	
_FF4F45E9C92C3403	LakeTravel	Lake Travel	a	the	Lake Travels		the	
_3D1E51E9C17B20E5	LeadAnimal	Leading Animal	a	the	Leading Animals		the	
_404CCC3C606DB7A4	LeatherTailoring	Leather Tailoring	a	the	Leather Tailorings		the	
_0CDA1F2172BB4F7A	LeftHandedAttack	Left Handed Attack	a	the	Left Handed Attacks		the	
_2977DCD4ED6D5BBC	LeftHandedParry	Left Handed Parry	a	the	Left Handed Parries		the	
_1C452E5ADB0F4DDD	LifeAlchemy	Life Alchemy	a	the	Life Alchemies		the	
_2689E4F96CC9C432	LifeGift	Life Gift	a	the	Life Gifts		the	
_3BC98B8C237A9BAA	LightArmourWear	Wear Light Armor 	a	the	Wear Light Armors		the	
_69394089AC77E8A4	Madness	Madness	a	the	Madnesses		the	
_7F1FF04F061BB117	MagicObjects	Magic Object			Magic Objects		the	
_4A1563CB5D170572	MagicTransfert	Magic Transfer	a	the	Magic Transfers		the	
_449005FF39A1D502	MajorDryade	Major Dryad	a	the	Major Dryads		the	
_DDA2FBD688944578	MajorHealLife	Major Life Healing	a	the	Major Life Healings		the	
_32142614590778BD	MajorLifeRegeneration	Major Life Regeneration	a	the	Major Life Regenerations		the	
_FB8ADF795E3A8FA9	MajorMandragore	Major Mandragore	a	the	Major Mandragores		the	
_8E469D3A09A53D9D	MajorSapHeal	Major Sap Healing	a	the	Major Sap Healings		the	
_723965FA2CF480B7	MajorSapRegenearation	Major Sap Regenearation	a	the	Major Sap Regenearations		the	
_C3BF6514728D2923	MajorSylve	Major Sylve	a	the	Major Sylves		the	
_48923BB1F7616C43	MajorTirednessHeal	Major Tiredness Healing	a	the	Major Tiredness Healings		the	
_28B70F8EE7F1E397	MajorTirednessRegenearation	Major Tiredness Regeneration	a	the	Major Tiredness Regenerations		the	
_01BE69F0286BF4F9	MakeAnklet	Make Anklet	a	the	Make Anklets		the	
_562787D2DFA6055B	MakeAutolaunch	Make Autolauncher	a	the	Make Autolaunchers		the	
_90D1FEADCD88C416	MakeAutolaunchAmmo	Make Autolauncher Ammo	a	the	Make Autolauncher Ammo		the	
_D9B8B48313D6046B	MakeAxe	Make Axe	a	the	Make Axes		the	
_93A88C2FE9286084	MakeBag	Make Bag	a	the	Make Bags		the	
_836F6D0D663CF8F4	MakeBowgun	Make Bowgun	a	the	Make Bowguns		the	
_767582DF9EF129C9	MakeBowgunAmmo	Make Bowgun Ammo	a	the	Make Bowgun Ammo		the	
_9EE795107FFE253D	MakeBracelet	Make Bracelet	a	the	Make Bracelets		the	
_C39FFA595F3059DC	MakeBuckler	Make Buckler	a	the	Make Bucklers		the	
_492FB257A21035D5	MakeClothes	Make Clothes	a	the	Make Clothes		the	
_806E3DDF645BC0FA	MakeDagger	Make Dagger	a	the	Make Daggers		the	
_3F3E05E1A6FBE0F5	MakeDiadem	Make Diadem	a	the	Make Diadems		the	
_FF1E45F3251CC0F0	MakeEaring	Make Earring	a	the	Make Earrings		the	
_4914A1E198420674	MakeFireAmmos	Make Incendiary Ammo	a	the	Make Incendiary Ammo		the	
_73FA26423280690E	MakeFireToughenedArmors	Make Fire Toughened Armor	a	the	Make Fire Toughened Armors		the	
_65DBA76FC56DEB80	MakeFireWeapons	Make Fire Weapon	a	the	Make Fire Weapons		the	
_4AB749A9D24AB50C	MakeFloralLivingJewels	Make Floral Living Jewel	a	the	Make Floral Living Jewels		the	
_536E971B64FC1969	MakeFloralPatternLivingClothes	Make Floral Living Clothes	a	the	Make Floral Living Clothes		the	
_450EDE5820AE45CB	MakeGrenade	Make Grenade	a	the	Make Grenades		the	
_6DB4A7D45F1EA3D5	MakeHarpoonGun	Make Harpoon Gun	a	the	Make Harpoon Guns		the	
_34341DB6AD476035	MakeHarpoonGunAmmo	Make Harpoon Gun Ammo	a	the	Make Harpoon Gun Ammo		the	
_6DDCAAE991F672CE	MakeHeavyArmors	Make Heavy Armor	a	the	Make Heavy Armors		the	
_F92893926561D285	MakeHeavyBoots	Make Heavy Boots	a	the	Make Heavy Boots		the	
_618BFE8DFCF7D3EB	MakeHeavyGloves	Make Heavy Gloves	a	the	Make Heavy Gloves		the	
_DF9AF6867E07AFE0	MakeHeavyHelmet	Make Heavy Helmet	a	the	Make Heavy Helmets		the	
_7968039225810A85	MakeHeavyPants	Make Heavy Pants	a	the	Make Heavy Pants		the	
_77680C0D00AB976B	MakeHeavySleeves	Make Heavy Sleeves	a	the	Make Heavy Sleeves		the	
_A181F2EC4DE66203	MakeHeavyVest	Make Heavy Vest	a	the	Make Heavy Vests		the	
_82BE79FA66BCD001	MakeJewels	Make Jewel	a	the	Make Jewels		the	
_2F6834EAB74BFB88	MakeKamicClothes	Make Kami Clothes	a	the	Make Kami Clothes		the	
_66FAB65A37E733BB	MakeKamicJewels	Make Kami Jewel	a	the	Make Kami Jewels		the	
_A17C92BFFA8767AB	MakeKamicWeapon	Make Kami Weapon	a	the	Make Kami Weapons		the	
_ECFE45E663E82B91	MakeLance	Make Lance	a	the	Make Lances		the	
_DE76A50C41DF0566	MakeLauncher	Make Launcher	a	the	Make Launchers		the	
_E7DDC03F39EB8A49	MakeLauncherAmmo	Make Launcher Ammo	a	the	Make Launcher Ammo		the	
_B947AB91A2E0FA8D	MakeLightBoots	Make Light Boots	a	the	Make Light Boots		the	
_E2CB0E83F6B7DFE5	MakeLightGloves	Make Light Gloves	a	the	Make Light Gloves		the	
_60DA067C78C7BBDA	MakeLightHelmet	Make Light Helmet	a	the	Make Light Helmets		the	
_39871B916200328D	MakeLightPants	Make Light Pants	a	the	Make Light Pants		the	
_7868F8FABD6ACF73	MakeLightSleeves	Make Light Sleeves	a	the	Make Light Sleeves		the	
_A2C1DED94B364A0D	MakeLightVest	Make Light Vest	a	the	Make Light Vests		the	
_DAF476E0B18FF4A1	MakeLongAxe	Make Long Axe	a	the	Make Long Axes		the	
_DE306AF5EA14B16B	MakeLongMace	Make Long Mace	a	the	Make Long Maces		the	
_1F8639B8A0C05A0E	MakeLongSword	Make Long Sword	a	the	Make Long Swords		the	
_24890FE925A98435	MakeMace	Make Mace	a	the	Make Maces		the	
_249A1EF4794DF373	MakeMediumArmors	Make Medium Armor	a	the	Make Medium Armors		the	
_6304DF7BA51CE3E1	MakeMediumBoots	Make Medium Boots	a	the	Make Medium Boots		the	
_689A17497DAAD37F	MakeMediumGloves	Make Medium Gloves	a	the	Make Medium Gloves		the	
_E4BA1B49BD7A6F7A	MakeMediumHelmet	Make Medium Helmet	a	the	Make Medium Helmets		the	
_64D5A789A51CDFD2	MakeMediumPants	Make Medium Pants	a	the	Make Medium Pants		the	
_03715C4A307B4393	MakeMediumSleeves	Make Medium Sleeves	a	the	Make Medium Sleeves		the	
_353746DAE031DDD5	MakeMediumVest	Make Medium Vest	a	the	Make Medium Vests		the	
_76F72B362AAC8F82	MakeMeleeWeapons	Make Melee Weapon	a	the	Make Melee Weapons		the	
_411F9E6A9E2061D4	MakePendant	Make Pendant	a	the	Make Pendants		the	
_26BA0FE927A9B040	MakePike	Make Pike	a	the	Make Pikes		the	
_81DF89FDADDDE000	MakePistol	Make Pistol	a	the	Make Pistols		the	
_78466AD1E48201CF	MakePistolAmmo	Make Pistol Ammo	a	the	Make Pistol Ammo		the	
_4B75DD52E356426D	MakePistolarc	Make Bowpistol	a	the	Make Bowpistols		the	
_9320684D6768A7D4	MakePistolarcAmmo	Make Bowpistol Ammo	a	the	Make Bowpistol Ammo		the	
_991ADAB89946888F	MakePoisonnousLivingWeapons	Make Poisonnous Living Weapon 	a	the	Make Poisonnous Living Weapons		the	
_EF63C9FD732288B1	MakeRangeWeaponAmmos	Make Range Weapon Ammo	a	the	Make Range Weapon Ammo		the	
_75482B382A8C9B89	MakeRangeWeapons	Make Range Weapon	a	the	Make Range Weapons		the	
_ECFE69DEEB496B9D	MakeRifle	Make Rifle	a	the	Make Rifles		the	
_9A416EB90CE45A15	MakeRifleAmmo	Make Rifle Ammo	a	the	Make Rifle Ammo		the	
_26DA0FEB68D9C045	MakeRing	Make Ring	a	the	Make Rings		the	
_BFBE05EFC29C0CFA	MakeShield	Make Shield	a	the	Make Shields		the	
_E3AB5AE138E88FDC	MakeShiftRepair	Makeshift Repair	a	the	Makeshift Repairs		the	
_80F1FC4005C90AD9	MakeSurvivalTools	Make Survival Tool	a	the	Make Survival Tools		the	
_1072FDCDBB1A104A	MakeSurvivalWeapon	Make Survival Weapon	a	the	Make Survival Weapons		the	
_ECEE81E57079DB9F	MakeSword	Make Sword	a	the	Make Swords		the	
_D460C9C17B7A4431	MakeThrowingWeapon	Make Throwing Weapon	a	the	Make Throwing Weapons		the	
_6D3A210E2AD98F90	MakeTools	Make Tool	a	the	Make Tools		the	
_1A71F239B2E251D9	MakeTwo_handsMeleeWeapons	Make Two-Handed Melee Weapon	a	the	Make Two-Handed Melee Weapons		the	
_3EB0EACB668C31A4	MakeTwo_handsRangeWeaponAmmos	Make Two-Handed Range Weapon Ammo	a	the	Make Two-Handed Range Weapon Ammo		the	
_9AB1EA3C73A265D9	MakeTwo_handsRangeWeapons	Make Two-Handed Range Weapon	a	the	Make Two-Handed Range Weapons		the	
_0000F1056799011B	Mandragore	Mandragore	a	the	Mandragores		the	
_A067CE5043AE6D31	MandrakeFist	Mandrake Fist	a	the	Mandrake Fists		the	
_2B1AD886AECBC4B2	Mass	Mace	a	the	Maces		the	
_51682E7744501A37	MassiveThrow	Massive Throw	a	the	Massive Throws		the	
_E7CB9C9EA95430A4	Matis	Matis	a	the	Matis		the	
_A4697DF5DC89B4C9	MatisGoods	Matis Goods			Matis Goods		the	
_67E3918848E72E85	MatisMystery	Matis Mystery	a	the	Matis Mysteries		the	
_6588B47C23E8D8A2	Mechanic	Mechanic	a	the	Mechanics		the	
_86F3B04039B62EB2	MediumArmourWear	Wear Medium Armor	a	the	Wear Medium Armors		the	
_5E92FFD0CB94557F	MinorLifeHeal	Minor Life Healing	a	the	Minor Life Healings		the	
_8E86BD3E0BE55D9D	MinorSapHeal	Minor Sap Healing	a	the	Minor Sap Healings		the	
_4CD25BB1F7616C4B	MinorTirednessHeal	Minor Tiredness Healing	a	the	Minor Tiredness Healings		the	
_2E18A8946C892CB1	Mirror	Mirror	a	the	Mirrors		the	
_972836AC4E97D9AB	MuscularFever	Muscular Fever	a	the	Muscular Fevers		the	
_54894E6FC071E630	NervousFever	Nervous Fever	a	the	Nervous Fevers		the	
_822085072D648CD5	NightShot	Night Shot	a	the	Night Shots		the	
_E2D84C902138508B	Nunb	Numb	a	the	Numbs		the	
_4616F4A6A6A2826D	OnHorseBackMelee	Mektoub-Back Fighting	a	the	Mektoub-Back Fightings		the	
_C7F844ACEC048E70	OnHorseBackShoot	Mektoub-Back Shooting	a	the	Mektoub-Back Shootings		the	
_6F2F81DC6EB9630D	PainShare	Pain Share	a	the	Pain Shares		the	
_6F192D06AB0CC0A8	Paralysis	Paralysis	a	the	Paralyses		the	
_6478EC9464A8C091	Pike	Pike	a	the	Pikes		the	
_CBA44A71617EA1EC	PikeHunting	Creature Hunting	a	the	Creature Huntings		the	
_AF69B09BEBBA04B2	Pistol	Pistol	a	the	Pistols		the	
_0D34CAEA8B6E5530	PlantHatred	Plant Hatred	a	the	Plant Hatreds		the	
_6A9DBACB0D772AF0	PointBlankShot	Point Blank Shot	a	the	Point Blank Shots		the	
_D12926744140D92D	PrimaryRoots	Primary Roots	a	the	Primary Roots		the	
_467A2A6B5F907117	ProtectingKamisKnoledge	Protecting-Kamis Knowledge	a	the	Protecting-Kamis Knowledge		the	
_8B608910661B5912	Quartering	Quartering	a	the	Quarterings		the	
_7EB1C916EE6468C7	QuickShot	Quick Shot	a	the	Quick Shots		the	
_4721E101340BE121	QuickThrow	Quick Throw	a	the	Quick Throws		the	
_2BC87088607984B3	Range	Range	a	the	Ranges		the	
_C7A2BD01AF6C9524	RapidBurst	Rapid Burst	a	the	Rapid Bursts		the	
_2ACA649FEC1B18BA	Resist	Resist	a	the	Resists		the	
_83020DEBACE9AD22	Resistance	Resistance	a	the	Resistances		the	
_8290155535EB41F4	RidePackers	Leading Packer	a	the	Leading Packers		the	
_E7978490A9CAB0A1	Riding	Riding	a	the	Ridings		the	
_6D98848DA279A4B3	Rifle	Rifle	a	the	Rifles		the	
_A252816C4430AE87	RifleHunting	Shooting	a	the	Shootings		the	
_ACE7BC8F6E3A208E	Rocket	Rocket	a	the	Rockets		the	
_2C1F9D07AAE92B0C	RockTabou	Rock Taboo	a	the	Rock Taboos		the	
_E4D8D8862478A8A7	Rondache	Rondache	a	the	Rondaches		the	
_30BA3C93ACDB2CC4	Rot	Rot	a	the	Rots		the	
_6C3AF096EF7958AA	Running	Running	a	the	Runnings		the	
_79806D5580F0E4DA	SapAlchemy	Sap Alchemy	a	the	Sap Alchemies		the	
_CD7CA9C0B01914A7	SapArmor	Sap Armor	a	the	Sap Armors		the	
_62A68091E1E694A7	SapGift	Sap Gift	a	the	Sap Gifts		the	
_E5276C97A9BA88A2	Shield	Shield	a	the	Shields		the	
_DEA519080950AC38	ShootAndRun	Shoot And Run	a	the	Shoot And Runs		the	
_0FD5028061125DEA	ShotProtect	Shot Protect	a	the	Shot Protects		the	
_A2050EE052021A3B	SlowingBreath	Slowing Breath	a	the	Slowing Breaths		the	
_CBFCC680FB10A513	SlowingLife	Slowing Life	a	the	Slowing Lives		the	
_EDA9A489A1EAC4C1	Spear	Spear	a	the	Spears		the	
_5D3066C7A2A68E41	SpellDeletion	Spell Deletion	a	the	Spell Deletions		the	
_2713DD768021F28D	SpellProtect	Spell Protect	a	the	Spell Protects		the	
_A078F656C840E13B	SpurtingFire	Spurting Fire	a	the	Spurting Fires		the	
_85C1715287AF5529	Squandering	Squandering	a	the	Squanderings		the	
_6512E65E672F3118	StallSetUp	Stall Set Up	a	the	Stall Set Ups		the	
_C2D6F6DCC35FD516	StealBreath	Stealing Breath	a	the	Stealing Breaths		the	
_3E5099FA2D8434C6	StealLife	Stealing Life	a	the	Stealing Lives		the	
_A6F56DFFEACB5B9E	StealSap	Stealing Sap	a	the	Stealing Sap		the	
_AB98B093236AD4BA	Stick	Staff	a	the	Staves		the	
_E4C822470500ED36	StrenghtGift	Strength Gift	a	the	Strength Gifts		the	
_E898309466E8F8C0	Swimming	Swimming	a	the	Swimmings		the	
_AE79F4AB28FAE0B3	Sword	Sword	a	the	Swords		the	
_8C56EA607EEF6A3B	SylphicSlide	Sylphic Slide	a	the	Sylphic Slide		the	
_EF9904AEEAEAE8B4	Sylve	Sylve	a	the	Sylves		the	
_7A6DD453630B1B9C	TactileWithering	Tactile Withering	a	the	Tactile Witherings		the	
_27E93CA2EB5A109D	Target	Target	a	the	Targets		the	
_2D8988A26BFA2CB1	Terror	Terror	a	the	Terrors		the	
_7133136C41C6EBD8	TirednessAlchemy	Tiredness Alchemy	a	the	Tiredness Alchemies		the	
_E2980894E368E4BD	Tracking	Tracking	a	the	Trackings		the	
_C59F9DCCE81750DB	TradingCenterKnowledge	Trading Center Knowledge	a	the	Trading Center Knowledges		the	
_A93AB3AE653CF3EF	TrainingAgility	Training Agility	a	the	Training Agilities		the	
_B32BEEA39D22E67B	TrainingAnimal	Training Animal	a	the	Training Animals		the	
_393B5CBEF56D92F0	TrainingCharisme	Training Charisma	a	the	Training Charismas		the	
_F3C965A093732C93	TrainingConstitution	Training Constitution	a	the	Training Constitutions		the	
_351EF274DFBA0BAC	TrainingDiseaseResist	Training Disease Resistance	a	the	Training Disease Resistances		the	
_B4FB23C2F91BE7AA	TrainingEmpathie	Training Empathy	a	the	Training Empathies		the	
_142CBD9D31843032	TrainingFearResist	Training Fear Resistance	a	the	Training Fear Resistances		the	
_ABF5E073A7799BA6	TrainingHp	Training Hit Points			Training Hit Points			
_E1CCAD99D96490E8	TrainingHp2	Training Hit Points 2			Training Hit Points 2			
_E1DCAD99196490E9	TrainingHp3	Training Hit Points 3			Training Hit Points 3			
_E1ECAD995A6490EA	TrainingHp4	Training Hit Points 4			Training Hit Points 4			
_1CCA3193AA24FC94	TrainingImpactResist	Training Impact Resistance	a	the	Training Impact Resistances		the	
_2C19F97A8F71DC72	TrainingIntelligence	Training Intelligence	a	the	Training Intelligences		the	
_1A252482D641E881	TrainingMagicResist	Training Magic Resistance	a	the	Training Magic Resistances		the	
_11407B3110027055	TrainingPerception	Training Perception	a	the	Training Perceptions		the	
_3DC154E16BE889E1	TrainingSeve	Training Sap			Training Sap			
_B31ED15981B08C9B	TrainingSeve2	Training Sap 2			Training Sap 2			
_F32ED15981B08C9C	TrainingSeve3	Training Sap 3			Training Sap 3			
_343ED15981B08C9D	TrainingSeve4	Training Sap 4			Training Sap 4			
_ACBA03D24C8AC702	TrainingStamina	Training Stamina	a	the	Training Stamina		the	
_385B22309A135FF6	TrainingStamina2	Training Stamina 2	a	the	Training Stamina 2			
_385B26301A135FF6	TrainingStamina3	Training Stamina 3	a	the	Training Stamina 3			
_385B2A309C135FF6	TrainingStamina4	Training Stamina 4	a	the	Training Stamina 4			
_375D98E67B1E92EF	TrainingStrength	Training Strength	a	the	Training Strengths		the	
_A118099D29A4149A	TrainingTechnoResist	Training Techno Resistance	a	the	Training Techno Resistances		the	
_5756848CA893DD5B	TrainingWellBalanced	Training Well Balance	a	the	Training Well Balance		the	
_20D6025A00303136	TrainingWill	Training Will	a	the	Training Wills		the	
_ECC9D489AE5810A4	Tryker	Tryker	a	the	Trykers		the	
_4031501624D75420	TrykerGoods	Tryker Goods			Tryker Goods		the	
_CBB743E46995B59A	TrykerMystery	Tryker Mystery	a	the	Tryker Mysteries		the	
_2CB63230E628BBDE	TwoHandedCombat	Two-Handed Combat	a	the	Two-Handed Combats		the	
_47AC1699E1717661	TwoHandsSword	Two-Handed Sword	a	the	Two-Handed Swords		the	
_BF6DCC40B7AD6470	UnderwaterExtract	Underwater Extract	an	the	Underwater Extracts		the	
_C07D8EF09DDBB2F0	VisualWithering	Visual Withering	a	the	Visual Witherings		the	
_C8A2ED05AFEC9528	VitalBurst	Vital Burst	a	the	Vital Bursts		the	
_081EF286B90381FD	WarriorGift	Warrior Gift	a	the	Warrior Gifts		the	
_7A1C339955F7BD9B	WeaponsCutting	Weapons Cutting	a	the	Weapons Cuttings		the	
_6D6FC9112F18B37A	WindArmor	Wind Armor	a	the	Wind Armors		the	
_A689E40E6EC9F032	WindGift	Wind Gift	a	the	Wind Gifts		the	
_6D6F9109A739639E	WindShear	Wind Shear	a	the	Wind Shears		the	
_AB51CA9C65185C9F	Zorai	Zoraï	a	the	Zoraïs		the	
_251AA7FA5B30C8BD	ZoraiGoods	Zoraï Goods			Zoraï Goods		the	
_65C3BB09C5A79A88	ZoraiMystery	Zoraï Mystery	a	the	Zoraï Mysteries		the	
_38C1105E6F782063	TrainingImpactResist2	Training Impact Resist 2	a	the	Training Impact Resists 2		the	
_38C1145E6F782065	TrainingImpactResist3	Training Impact Resist 3	a	the	Training Impact Resists 3		the	
_1F21110F5F14937D	TrainingMagicResist2	Training Magic Resist 2	a	the	Training Magic Resists 2		the	
_5F31110F5F24937D	TrainingMagicResist3	Training Magic Resist 3	a	the	Training Magic Resists 3		the	
_AE1F115ACB37454D	MakeEnchantedWeapons	Make Enchanted Weapons	a	the	Make Enchanted Weapons		the	
_A574083FC4B3A01F	MakeEnchantedArmors	Make Enchanted Armors	a	the	Make Enchanted Armors		the	
_6648641242913825	MakeVampiricWeapons	Make Vampiric Weapons	a	the	Make Vampiric Weapons		the	
_F08B51C1F532CB9C	MakeEnchantedFloralPatternLivingClothes	Make Enchanted Floral Pattern Living Clothes	a	the	Make Enchanted Floral Pattern Living Clothes		the	
_E9038876D5D7F5A8	MakeDeadlyHarpoongun	Make Deadly Harpoongun	a	the	Make Deadly Harpoonguns		the	
_49D27454017C168F	MakeHuntingArmors	Make Hunting Armors	a	the	Make Hunting Armors		the	
_C31F00537ECC6392	MakeRitualClothes	Make Ritual Clothes	a	the	Make Ritual Clothes		the	
_25EAC3473B0D939B	MakeRitualJewels	Make Ritual Jewels	a	the	Make Ritual Jewels		the	
_D8145C8EEA5A3CA6	SC	Craft	a	the	Craft		the	Craft
_5654AC8E60988490	SM	Magic	a	the	Magic		the	Magic
_4A520987D8F5BA5B	SMT	Impact Magic	a	the	Magic Targeted		the	Magic targeted
_31D259A451019CC9	SMTM	Missile Magic	a	the	Magic Targeted Missile		the	Magic targeted missile
_640F8F5DAF790CBD	SMTMR	Primal Magic	a	the	Magic Targeted Missile - Primal		the	Magic targeted missile - Primal
