*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_9D83D6BB80FD9218	aBFMD04	Bleeding 4		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 65.
_9D83D6BC80BD9E18	aBFMD05	Bleeding 5		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 90.
_9049BB7449276716	aBFMD06	Bleeding 6		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 115.
_9049BB7508676716	aBFMD07	Bleeding 7		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 140.
_9049BB7649976716	aBFMD08	Bleeding 8		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 165.
_9049BB7708476B16	aBFMD09	Bleeding 9		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 200.
_CA6339DD6671354E	aBFMD10	Bleeding 10		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 235.
_CA633DDD6781354E	aBFMD11	Bleeding 11		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 275.
_E946476A4AD38195	abfcb01	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4AE38195	abfcb02	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4AF38195	abfcb03	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4A038195	abfcb04	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4A138195	abfcb05	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4A238195	abfcb06	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4A338195	abfcb07	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4A438195	abfcb08	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4A538195	abfcb09	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_E946476A4AC38595	abfcb10	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes HP.
_C8F4BDDEA10757F7	abfcc01	Attack After Dodge 1		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 20. Usable only after a dodge.
_C804BDDEA12757F7	abfcc02	Attack After Dodge 2		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 30. Usable only after a dodge.
_C814BDDEE24757F7	abfcc03	Attack After Dodge 3		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 45. Usable only after a dodge.
_C824BDDEA18757F7	abfcc04	Attack After Dodge 4		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 70. Usable only after a dodge.
_C834BDDEA1B757F7	abfcc05	Attack After Dodge 5		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 90. Usable only after a dodge.
_3686BDBD89E7BD77	abfcc06	Attack After Dodge 6		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 115. Usable only after a dodge.
_3696BDB84AF7BD77	abfcc07	Attack After Dodge 7		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 140. Usable only after a dodge.
_36A6BDBDCA07BD77	abfcc08	Attack After Dodge 8		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 165. Usable only after a dodge.
_36B6BDB88B17BD77	abfcc09	Attack After Dodge 9		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 190. Usable only after a dodge.
_D81CBAE2BB892544	abfcc10	Attack After Dodge 10		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 215. Usable only after a dodge.
_181CBAE7BB992544	abfcc11	Attack After Dodge 11		an	the				Increases damage (to up to double) - maximum efficiency for a weapon with a recommended skill level of 265. Usable only after a dodge.
_7ABF6FAC29D11979	abfcd01	Attack After Parry 1		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 20. Usable only after a parry.
_7ACF6FAC29E12D7A	abfcd02	Attack After Parry 2		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 35. Usable only after a parry.
_9D83E5AC1D65CECC	abfcd03	Attack After Parry 3		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 50. Usable only after a parry.
_7AEF6FAC29012D7D	abfcd04	Attack After Parry 4		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 65. Usable only after a parry.
_7AFF6FAC29111980	abfcd05	Attack After Parry 5		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 90. Usable only after a parry.
_177441E62D0FFC6E	abfcd06	Attack After Parry 6		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 115. Usable only after a parry.
_178441E62DCF086E	abfcd07	Attack After Parry 7		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 140. Usable only after a parry.
_76A18FE3CB59A461	abfcd08	Attack After Parry 8		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 170. Usable only after a parry.
_9A4BFE60AC85F584	abfcd09	Attack After Parry 9		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 200. Usable only after a parry.
_8C29127450699DD1	abfcd10	Attack After Parry 10		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 235. Usable only after a parry.
_CC29127450B99DD1	abfcd11	Attack After Parry 11		a	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 275. Usable only after a parry.
_90DC035AAEABD852	abfce01	Attack After Critical Hit 1		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC075AAEBBD852	abfce02	Attack After Critical Hit 2		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC0B5AAECBD852	abfce03	Attack After Critical Hit 3		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC0F5AAEDBD852	abfce04	Attack After Critical Hit 4		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC135AAEEBD852	abfce05	Attack After Critical Hit 5		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC175AAEFBD852	abfce06	Attack After Critical Hit 6		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC1B5AAE0BD852	abfce07	Attack After Critical Hit 7		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC1F5AAE1BD852	abfce08	Attack After Critical Hit 8		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_90DC235AAE2BD852	abfce09	Attack After Critical Hit 9		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_68DE68098813B056	abfce10	Attack After Critical Hit 10		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_68EE68098823B056	abfce11	Attack After Critical Hit 11		a	the				Gives an 'attack after critical hit' credit stanza for combat.
_449658B02B522BD3	ABPPC01	Constitution Training 1		a	the				Enhances your constitution and your HP.
_449658B02B622FD3	ABPPC02	Constitution Training 2		a	the				Enhances your constitution and your HP.
_449658B02B7233D3	ABPPC03	Constitution Training 3		a	the				Enhances your constitution and your HP.
_449658B02B8237D3	ABPPC04	Constitution Training 4		a	the				Enhances your constitution and your HP.
_449658B02B923BD3	ABPPC05	Constitution Training 5		a	the				Enhances your constitution and your HP.
_449658B02BA23FD3	ABPPC06	Constitution Training 6		a	the				Enhances your constitution and your HP.
_449658B02BB243D3	ABPPC07	Constitution Training 7		a	the				Enhances your constitution and your HP.
_449658B02BC247D3	ABPPC08	Constitution Training 8		a	the				Enhances your constitution and your HP.
_449658B02BD24BD3	ABPPC09	Constitution Training 9		a	the				Enhances your constitution and your HP.
_51E2CD1998B2F2F3	ABPPC10	Constitution Training 10		a	the				Enhances your constitution and your HP.
_51E2CD1998D2F2F3	ABPPC11	Constitution Training 11		a	the				Enhances your constitution and your HP.
_51E2CD1998F2F2F3	ABPPC12	Constitution Training 12		a	the				Enhances your constitution and your HP.
_51E2CD199812F2F3	ABPPC13	Constitution Training 13		a	the				Enhances your constitution and your HP.
_51E2CD199832F2F3	ABPPC14	Constitution Training 14		a	the				Enhances your constitution and your HP.
_51E2CD199852F2F3	ABPPC15	Constitution Training 15		a	the				Enhances your constitution and your HP.
_51E2CD199872F2F3	ABPPC16	Constitution Training 16		a	the				Enhances your constitution and your HP.
_51E2CD199892F2F3	ABPPC17	Constitution Training 17		a	the				Enhances your constitution and your HP.
_51E2CD1998B2F2F3	ABPPC18	Constitution Training 18		a	the				Enhances your constitution and your HP.
_51E2CD1998D2F2F3	ABPPC19	Constitution Training 19		a	the				Enhances your constitution and your HP.
_51E2CD1998B2FAF3	ABPPC20	Constitution Training 20		a	the				Enhances your constitution and your HP.
_51E2CD1998D2FAF3	ABPPC21	Constitution Training 21		a	the				Enhances your constitution and your HP.
_51E2CD1998F2FAF3	ABPPC22	Constitution Training 22		a	the				Enhances your constitution and your HP.
_51E2CD199812FAF3	ABPPC23	Constitution Training 23		a	the				Enhances your constitution and your HP.
_51E2CD199832FAF3	ABPPC24	Constitution Training 24		a	the				Enhances your constitution and your HP.
_51E2CD199852FAF3	ABPPC25	Constitution Training 25		a	the				Enhances your constitution and your HP.
_51E2CD199872FAF3	ABPPC26	Constitution Training 26		a	the				Enhances  your constitution and your HP.
_51E2CD199892FAF3	ABPPC27	Constitution Training 27		a	the				Enhances  your constitution and your HP.
_51E2CD1998B2FAF3	ABPPC28	Constitution Training 28		a	the				Enhances  your constitution and your HP.
_51E2CD1998D2FAF3	ABPPC29	Constitution Training 29		a	the				Enhances  your constitution and your HP.
_51E2CD1998B202F3	ABPPC30	Constitution Training 30		a	the				Enhances  your constitution and your HP.
_51E2CD1998D202F3	ABPPC31	Constitution Training 31		a	the				Enhances  your constitution and your HP.
_51E2CD1998F202F3	ABPPC32	Constitution Training 32		a	the				Enhances  your constitution and your HP.
_51E2CD19981202F3	ABPPC33	Constitution Training 33		a	the				Enhances  your constitution and your HP.
_51E2CD19983202F3	ABPPC34	Constitution Training 34		a	the				Enhances  your constitution and your HP.
_51E2CD19985202F3	ABPPC35	Constitution Training 35		a	the				Enhances  your constitution and your HP.
_51E2CD19987202F3	ABPPC36	Constitution Training 36		a	the				Enhances  your constitution and your HP.
_51E2CD19989202F3	ABPPC37	Constitution Training 37		a	the				Enhances  your constitution and your HP.
_51E2CD1998B202F3	ABPPC38	Constitution Training 38		a	the				Enhances  your constitution and your HP.
_51E2CD1998D202F3	ABPPC39	Constitution Training 39		a	the				Enhances  your constitution and your HP.
_51E2CD1998B20AF3	ABPPC40	Constitution Training 40		a	the				Enhances  your constitution and your HP.
_51E2CD1998D20AF3	ABPPC41	Constitution Training 41		a	the				Enhances  your constitution and your HP.
_51E2CD1998F20AF3	ABPPC42	Constitution Training 42		a	the				Enhances  your constitution and your HP.
_51E2CD1998120AF3	ABPPC43	Constitution Training 43		a	the				Enhances  your constitution and your HP.
_51E2CD1998320AF3	ABPPC44	Constitution Training 44		a	the				Enhances  your constitution and your HP.
_51E2CD1998520AF3	ABPPC45	Constitution Training 45		a	the				Enhances  your constitution and your HP.
_51E2CD1998720AF3	ABPPC46	Constitution Training 46		a	the				Enhances  your constitution and your HP.
_51E2CD1998920AF3	ABPPC47	Constitution Training 47		a	the				Enhances  your constitution and your HP.
_51E2CD1998B20AF3	ABPPC48	Constitution Training 48		a	the				Enhances  your constitution and your HP.
_51E2CD1998D20AF3	ABPPC49	Constitution Training 49		a	the				Enhances  your constitution and your HP.
_51E2CD1998B212F3	ABPPC50	Constitution Training 50		a	the				Enhances  your constitution and your HP.
_0D47881C7D252D83	ABPPM01	Metabolism Training 1		a	the				Enhances your metabolism and your HP regeneration speed.
_4D47881C7D352D83	ABPPM02	Metabolism Training 2		a	the				Enhances your metabolism and your HP regeneration speed.
_8D47881C7D452D83	ABPPM03	Metabolism Training 3		a	the				Enhances your metabolism and your HP regeneration speed.
_CE47881C7D552D83	ABPPM04	Metabolism Training 4		a	the				Enhances your metabolism and your HP regeneration speed.
_0E47881C7D652D83	ABPPM05	Metabolism Training 5		a	the				Enhances your metabolism and your HP regeneration speed.
_4E47881C7D752D83	ABPPM06	Metabolism Training 6		a	the				Enhances your metabolism and your HP regeneration speed.
_8E47881C7D852D83	ABPPM07	Metabolism Training 7		a	the				Enhances your metabolism and your HP regeneration speed.
_CF47881C7D952D83	ABPPM08	Metabolism Training 8		a	the				Enhances your metabolism and your HP regeneration speed.
_0F47881C7DA52D83	ABPPM09	Metabolism Training 9		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59ECF1BA3B	ABPPM10	Metabolism Training 10		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC01BA3C	ABPPM11	Metabolism Training 11		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC11BA3D	ABPPM12	Metabolism Training 12		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC21BA3E	ABPPM13	Metabolism Training 13		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC31BA3F	ABPPM14	Metabolism Training 14		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC41BA40	ABPPM15	Metabolism Training 15		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC51BA41	ABPPM16	Metabolism Training 16		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC61BA42	ABPPM17	Metabolism Training 17		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC71BA43	ABPPM18	Metabolism Training 18		a	the				Enhances your metabolism and your HP regeneration speed.
_2DB86C59EC81BA44	ABPPM19	Metabolism Training 19		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59ECF1BE3B	ABPPM20	Metabolism Training 20		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC01BE3C	ABPPM21	Metabolism Training 21		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC11BE3D	ABPPM22	Metabolism Training 22		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC21BE3E	ABPPM23	Metabolism Training 23		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC31BE3F	ABPPM24	Metabolism Training 24		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC41BE40	ABPPM25	Metabolism Training 25		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC51BE41	ABPPM26	Metabolism Training 26		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC61BE42	ABPPM27	Metabolism Training 27		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC71BE43	ABPPM28	Metabolism Training 28		a	the				Enhances your metabolism and your HP regeneration speed.
_6DB86C59EC81BE44	ABPPM29	Metabolism Training 29		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59ECF1C23B	ABPPM30	Metabolism Training 30		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC01C23C	ABPPM31	Metabolism Training 31		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC11C23D	ABPPM32	Metabolism Training 32		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC21C23E	ABPPM33	Metabolism Training 33		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC31C23F	ABPPM34	Metabolism Training 34		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC41C240	ABPPM35	Metabolism Training 35		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC51C241	ABPPM36	Metabolism Training 36		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC61C242	ABPPM37	Metabolism Training 37		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC71C243	ABPPM38	Metabolism Training 38		a	the				Enhances your metabolism and your HP regeneration speed.
_ADB86C59EC81C244	ABPPM39	Metabolism Training 39		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59ECF1C63B	ABPPM40	Metabolism Training 40		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC01C63C	ABPPM41	Metabolism Training 41		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC11C63D	ABPPM42	Metabolism Training 42		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC21C63E	ABPPM43	Metabolism Training 43		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC31C63F	ABPPM44	Metabolism Training 44		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC41C640	ABPPM45	Metabolism Training 45		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC51C641	ABPPM46	Metabolism Training 46		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC61C642	ABPPM47	Metabolism Training 47		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC71C643	ABPPM48	Metabolism Training 48		a	the				Enhances your metabolism and your HP regeneration speed.
_EEB86C59EC81C644	ABPPM49	Metabolism Training 49		a	the				Enhances your metabolism and your HP regeneration speed.
_2EB86C59ECF1CA3B	ABPPM50	Metabolism Training 50		a	the				Enhances your metabolism and your HP regeneration speed.
_4B8BB23E384B82BB	ABPPI01	Intelligence Training 1		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E385B86BB	ABPPI02	Intelligence Training 2		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E386B8ABB	ABPPI03	Intelligence Training 3		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E387B8EBB	ABPPI04	Intelligence Training 4		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E388B92BB	ABPPI05	Intelligence Training 5		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E389B96BB	ABPPI06	Intelligence Training 6		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E38AB9ABB	ABPPI07	Intelligence Training 7		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E38BB9EBB	ABPPI08	Intelligence Training 8		an	the				Enhances your intelligence and your sap reserve.
_4B8BB23E38CBA2BB	ABPPI09	Intelligence Training 9		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE24423	ABPPI10	Intelligence Training 10		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD024423	ABPPI11	Intelligence Training 11		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD224423	ABPPI12	Intelligence Training 12		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD424423	ABPPI13	Intelligence Training 13		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD624423	ABPPI14	Intelligence Training 14		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD824423	ABPPI15	Intelligence Training 15		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDA24423	ABPPI16	Intelligence Training 16		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDC24423	ABPPI17	Intelligence Training 17		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE24423	ABPPI18	Intelligence Training 18		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD024423	ABPPI19	Intelligence Training 19		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE24C23	ABPPI20	Intelligence Training 20		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD024C23	ABPPI21	Intelligence Training 21		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD224C23	ABPPI22	Intelligence Training 22		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD424C23	ABPPI23	Intelligence Training 23		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD624C23	ABPPI24	Intelligence Training 24		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD824C23	ABPPI25	Intelligence Training 25		an	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDA24C23	ABPPI26	Intelligence Training 26		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDC24C23	ABPPI27	Intelligence Training 27		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE24C23	ABPPI28	Intelligence Training 28		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD024C23	ABPPI29	Intelligence Training 29		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE25423	ABPPI30	Intelligence Training 30		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD025423	ABPPI31	Intelligence Training 31		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD225423	ABPPI32	Intelligence Training 32		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD425423	ABPPI33	Intelligence Training 33		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD625423	ABPPI34	Intelligence Training 34		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD825423	ABPPI35	Intelligence Training 35		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDA25423	ABPPI36	Intelligence Training 36		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDC25423	ABPPI37	Intelligence Training 37		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE25423	ABPPI38	Intelligence Training 38		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD025423	ABPPI39	Intelligence Training 39		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE25C23	ABPPI40	Intelligence Training 40		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD025C23	ABPPI41	Intelligence Training 41		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD225C23	ABPPI42	Intelligence Training 42		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD425C23	ABPPI43	Intelligence Training 43		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD625C23	ABPPI44	Intelligence Training 44		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD825C23	ABPPI45	Intelligence Training 45		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDA25C23	ABPPI46	Intelligence Training 46		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDC25C23	ABPPI47	Intelligence Training 47		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE25C23	ABPPI48	Intelligence Training 48		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBD025C23	ABPPI49	Intelligence Training 49		a	the				Enhances your intelligence and your sap reserve.
_E53EDE5DBDE26423	ABPPI50	Intelligence Training 50		a	the				Enhances your intelligence and your sap reserve.
_B2E0E33A8FF3D1F8	ABPPW01	Wisdom Training 1		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33ACF03D1F8	ABPPW02	Wisdom Training 2		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33A0F13D1F8	ABPPW03	Wisdom Training 3		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33A5023D1F8	ABPPW04	Wisdom Training 4		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33A9033D1F8	ABPPW05	Wisdom Training 5		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33AD043D1F8	ABPPW06	Wisdom Training 6		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33A1053D1F8	ABPPW07	Wisdom Training 7		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
_B2E0E33A5163D1F8	ABPPW08	Wisdom Training 8		a	the				Enhances your wisdom and the regeneration speed of your sap reserve.
