*HASH_VALUE	sphrase ID	name	named	* noms français	ia	da	p	pd	pia	pda	description
_DDFF719A4EBB530E	aBFMA12	Erhöhter Schaden 12	Erhöhter Schaden 12		ein	der	Erhöhte Schäden 12	Erhöhte Schäden 12		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 240.
_DDFF859D4ECB530E	aBFMA13	Erhöhter Schaden 13	Erhöhter Schaden 13		ein	der	Erhöhte Schäden 13	Erhöhte Schäden 13		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 265.
_2E67673587860FDF	aBFMC01	Präzisionsangriff 1	Präzisionsangriff 1		ein	der	Präzisionsangriffe 1	Präzisionsangriffe 1		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 25
_2E67673508A60FDF	aBFMC02	Präzisionsangriff 2	Präzisionsangriff 2		ein	der	Präzisionsangriffe 2	Präzisionsangriffe 2		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 35.
_2E67673507D60FDF	aBFMC03	Präzisionsangriff 3	Präzisionsangriff 3		ein	der	Präzisionsangriffe 3	Präzisionsangriffe 3		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 50.
_2E67673589F60FDF	aBFMC04	Präzisionsangriff 4	Präzisionsangriff 4		ein	der	Präzisionsangriffe 4	Präzisionsangriffe 4		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 65.
_2E67673588360FDF	aBFMC05	Präzisionsangriff 5	Präzisionsangriff 5		ein	der	Präzisionsangriffe 5	Präzisionsangriffe 5		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 90.
_2E671F3C08C60FDF	aBFMC06	Präzisionsangriff 6	Präzisionsangriff 6		ein	der	Präzisionsangriffe 6	Präzisionsangriffe 6		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 115.
_2E671F3709D60FDF	aBFMC07	Präzisionsangriff 7	Präzisionsangriff 7		ein	der	Präzisionsangriffe 7	Präzisionsangriffe 7		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 140.
_2E671F370AE60FDF	aBFMC08	Präzisionsangriff 8	Präzisionsangriff 8		ein	der	Präzisionsangriffe 8	Präzisionsangriffe 8		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 170.
_2E671F3789060FDF	aBFMC09	Präzisionsangriff 9	Präzisionsangriff 9		ein	der	Präzisionsangriffe 9	Präzisionsangriffe 9		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 200.
_F1024ED620BDADB2	aBFMC10	Präzisionsangriff 10	Präzisionsangriff 10		ein	der	Präzisionsangriffe 10	Präzisionsangriffe 10		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 235.
_F1024EDB20CDADB2	aBFMC11	Präzisionsangriff 11	Präzisionsangriff 11		ein	der	Präzisionsangriffe 11	Präzisionsangriffe 11		die	Reduziert die Ausweich-Chance des Gegners, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 275.
_E476C1DC32F82500	aBFMD01	Blutungsangriff 1	Blutungsangriff 1		ein	der	Blutungsangriffe 1	Blutungsangriffe 1		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 25.
_E476C5DD32082500	aBFMD02	Blutungsangriff 2	Blutungsangriff 2		ein	der	Blutungsangriffe 2	Blutungsangriffe 2		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 35.
_E426CDDE32182500	aBFMD03	Blutungsangriff 3	Blutungsangriff 3		ein	der	Blutungsangriffe 3	Blutungsangriffe 3		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 50.
_E476D1DF32282500	aBFMD04	Blutungsangriff 4	Blutungsangriff 4		ein	der	Blutungsangriffe 4	Blutungsangriffe 4		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 65.
_E426DDE032382500	aBFMD05	Blutungsangriff 5	Blutungsangriff 5		ein	der	Blutungsangriffe 5	Blutungsangriffe 5		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 90.
_A636BDE13248252E	aBFMD06	Blutungsangriff 6	Blutungsangriff 6		ein	der	Blutungsangriffe 6	Blutungsangriffe 6		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 115.
_6566BDE23258252E	aBFMD07	Blutungsangriff 7	Blutungsangriff 7		ein	der	Blutungsangriffe 7	Blutungsangriffe 7		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 140.
_A686BDE33268252E	aBFMD08	Blutungsangriff 8	Blutungsangriff 8		ein	der	Blutungsangriffe 8	Blutungsangriffe 8		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 165.
_6526C1E43278252E	aBFMD09	Blutungsangriff 9	Blutungsangriff 9		ein	der	Blutungsangriffe 9	Blutungsangriffe 9		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 200.
_EC6DE377614890A8	aBFMD10	Blutungsangriff 10	Blutungsangriff 10		ein	der	Blutungsangriffe 10	Blutungsangriffe 10		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 235.
_ED6DE777615890A8	aBFMD11	Blutungsangriff 11	Blutungsangriff 11		ein	der	Blutungsangriffe 11	Blutungsangriffe 11		die	Blutungs-Zusatzschaden für 10 Sekunden, basierend auf dem vorigen Treffer, Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 275.
_1CD63F5A46D02A42	abfcb01	Lebensabzug 1	Lebensabzug 1		ein	der	Lebensabzüge 1	Lebensabzüge 1		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46E02A42	abfcb02	Lebensabzug 2	Lebensabzug 2		ein	der	Lebensabzüge 2	Lebensabzüge 2		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46F02A42	abfcb03	Lebensabzug 3	Lebensabzug 3		ein	der	Lebensabzüge 3	Lebensabzüge 3		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46002A42	abfcb04	Lebensabzug 4	Lebensabzug 4		ein	der	Lebensabzüge 4	Lebensabzüge 4		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46102A42	abfcb05	Lebensabzug 5	Lebensabzug 5		ein	der	Lebensabzüge 5	Lebensabzüge 5		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46202A42	abfcb06	Lebensabzug 6	Lebensabzug 6		ein	der	Lebensabzüge 6	Lebensabzüge 6		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46302A42	abfcb07	Lebensabzug 7	Lebensabzug 7		ein	der	Lebensabzüge 7	Lebensabzüge 7		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46402A42	abfcb08	Lebensabzug 8	Lebensabzug 8		ein	der	Lebensabzüge 8	Lebensabzüge 8		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46502A42	abfcb09	Lebensabzug 9	Lebensabzug 9		ein	der	Lebensabzüge 9	Lebensabzüge 9		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_1CD63F5A46C02E42	abfcb10	Lebensabzug 10	Lebensabzug 10		ein	der	Lebensabzüge 10	Lebensabzüge 10		die	Ausgleichs-Stanza, also Kosten-Teil einer Aktion, die/der Lebenskraft einsetzt und verbraucht
_45137A24795BE8EE	abfcc01	Angriff nach Ausweichen 1	Angriff nach Ausweichen 1		ein	der	Angriffe nach Ausweichen 1	Angriffe nach Ausweichen 1		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 20. Nur nach Ausweichen verwendbar.
_45237A24B96BE8EE	abfcc02	Angriff nach Ausweichen 2	Angriff nach Ausweichen 2		ein	der	Angriffe nach Ausweichen 2	Angriffe nach Ausweichen 2		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 30. Nur nach Ausweichen verwendbar.
_45337A29FA7BE8EE	abfcc03	Angriff nach Ausweichen 3	Angriff nach Ausweichen 3		ein	der	Angriffe nach Ausweichen 3	Angriffe nach Ausweichen 3		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 45. Nur nach Ausweichen verwendbar.
_45437A24BA8BE8EE	abfcc04	Angriff nach Ausweichen 4	Angriff nach Ausweichen 4		ein	der	Angriffe nach Ausweichen 4	Angriffe nach Ausweichen 4		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 70. Nur nach Ausweichen verwendbar.
_45537A243B9BE8EE	abfcc05	Angriff nach Ausweichen 5	Angriff nach Ausweichen 5		ein	der	Angriffe nach Ausweichen 5	Angriffe nach Ausweichen 5		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 90. Nur nach Ausweichen verwendbar.
_75109F1C5544AF5B	abfcc06	Angriff nach Ausweichen 6	Angriff nach Ausweichen 6		ein	der	Angriffe nach Ausweichen 6	Angriffe nach Ausweichen 6		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 115. Nur nach Ausweichen verwendbar.
_75208B1F5554AF5B	abfcc07	Angriff nach Ausweichen 7	Angriff nach Ausweichen 7		ein	der	Angriffe nach Ausweichen 7	Angriffe nach Ausweichen 7		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 140. Nur nach Ausweichen verwendbar.
_75309F215564AF5B	abfcc08	Angriff nach Ausweichen 8	Angriff nach Ausweichen 8		ein	der	Angriffe nach Ausweichen 8	Angriffe nach Ausweichen 8		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 165. Nur nach Ausweichen verwendbar.
_75408B245574AF5B	abfcc09	Angriff nach Ausweichen 9	Angriff nach Ausweichen 9		ein	der	Angriffe nach Ausweichen 9	Angriffe nach Ausweichen 9		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 190. Nur nach Ausweichen verwendbar.
_FF9A3608ED4E331B	abfcc10	Angriff nach Ausweichen 10	Angriff nach Ausweichen 10		ein	der	Angriffe nach Ausweichen 10	Angriffe nach Ausweichen 10		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 215. Nur nach Ausweichen verwendbar.
_3F9A4A08ED5E331B	abfcc11	Angriff nach Ausweichen 11	Angriff nach Ausweichen 11		ein	der	Angriffe nach Ausweichen 11	Angriffe nach Ausweichen 11		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz für Waffen bis zu empfohlener Fertigkeits-Stufe 265. Nur nach Ausweichen verwendbar.
_E1B9C8AA445797A9	abfcd01	Angriff nach Abwehr 1	Angriff nach Abwehr 1		ein	der	Angriffe nach Abwehr 1	Angriffe nach Abwehr 1		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 20. Nur nach Abwehr einsetzbar.
_E1C9C8AA44B79BA9	abfcd02	Angriff nach Abwehr 2	Angriff nach Abwehr 2		ein	der	Angriffe nach Abwehr 2	Angriffe nach Abwehr 2		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 35. Nur nach Abwehr einsetzbar.
_E1D9C8AA4477A3A9	abfcd03	Angriff nach Abwehr 3	Angriff nach Abwehr 3		ein	der	Angriffe nach Abwehr 3	Angriffe nach Abwehr 3		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 50. Nur nach Abwehr einsetzbar.
_E1E9C8AA44D7A7A9	abfcd04	Angriff nach Abwehr 4	Angriff nach Abwehr 4		ein	der	Angriffe nach Abwehr 4	Angriffe nach Abwehr 4		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 65. Nur nach Abwehr einsetzbar.
_E1F9C8AA4497B3A9	abfcd05	Angriff nach Abwehr 5	Angriff nach Abwehr 5		ein	der	Angriffe nach Abwehr 5	Angriffe nach Abwehr 5		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 90. Nur nach Abwehr einsetzbar.
_5D21A7788FC82542	abfcd06	Angriff nach Abwehr 6	Angriff nach Abwehr 6		ein	der	Angriffe nach Abwehr 6	Angriffe nach Abwehr 6		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 115. Nur nach Abwehr einsetzbar.
_5D31A7784E082542	abfcd07	Angriff nach Abwehr 7	Angriff nach Abwehr 7		ein	der	Angriffe nach Abwehr 7	Angriffe nach Abwehr 7		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 140. Nur nach Abwehr einsetzbar.
_5D41A7784E482542	abfcd08	Angriff nach Abwehr 8	Angriff nach Abwehr 8		ein	der	Angriffe nach Abwehr 8	Angriffe nach Abwehr 8		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 170. Nur nach Abwehr einsetzbar.
_5D51A7784EE82942	abfcd09	Angriff nach Abwehr 9	Angriff nach Abwehr 9		ein	der	Angriffe nach Abwehr 9	Angriffe nach Abwehr 9		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 200. Nur nach Abwehr einsetzbar.
_43BC5600C3F666D3	abfcd10	Angriff nach Abwehr 10	Angriff nach Abwehr 10		ein	der	Angriffe nach Abwehr 10	Angriffe nach Abwehr 10		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 235. Nur nach Abwehr einsetzbar.
_83BC5600C40666D3	abfcd11	Angriff nach Abwehr 11	Angriff nach Abwehr 11		ein	der	Angriffe nach Abwehr 11	Angriffe nach Abwehr 11		die	Reduziert die gegnerische Ausweich-Chance, Maximaleffizienz mit Waffen bis zu empfohlener Fertigkeits-Stufe 275. Nur nach Abwehr einsetzbar.
_604F56ED5F5B0DDE	abfce01	Angriff nach kritischem Treffer 1	Angriff nach kritischem Treffer 1		ein	der	Angriffe nach kritischem Treffer 1	Angriffe nach kritischem Treffer 1		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F5AED5F6B0DDE	abfce02	Angriff nach kritischem Treffer 2	Angriff nach kritischem Treffer 2		ein	der	Angriffe nach kritischem Treffer 2	Angriffe nach kritischem Treffer 2		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F5EED5F7B0DDE	abfce03	Angriff nach kritischem Treffer 3	Angriff nach kritischem Treffer 3		ein	der	Angriffe nach kritischem Treffer 3	Angriffe nach kritischem Treffer 3		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F62ED5F8B0DDE	abfce04	Angriff nach kritischem Treffer 4	Angriff nach kritischem Treffer 4		ein	der	Angriffe nach kritischem Treffer 4	Angriffe nach kritischem Treffer 4		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F66ED5F9B0DDE	abfce05	Angriff nach kritischem Treffer 5	Angriff nach kritischem Treffer 5		ein	der	Angriffe nach kritischem Treffer 5	Angriffe nach kritischem Treffer 5		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F6AED5FAB0DDE	abfce06	Angriff nach kritischem Treffer 6	Angriff nach kritischem Treffer 6		ein	der	Angriffe nach kritischem Treffer 6	Angriffe nach kritischem Treffer 6		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F6EED5FBB0DDE	abfce07	Angriff nach kritischem Treffer 7	Angriff nach kritischem Treffer 7		ein	der	Angriffe nach kritischem Treffer 7	Angriffe nach kritischem Treffer 7		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F72ED5FCB0DDE	abfce08	Angriff nach kritischem Treffer 8	Angriff nach kritischem Treffer 8		ein	der	Angriffe nach kritischem Treffer 8	Angriffe nach kritischem Treffer 8		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_604F76ED5FDB0DDE	abfce09	Angriff nach kritischem Treffer 9	Angriff nach kritischem Treffer 9		ein	der	Angriffe nach kritischem Treffer 9	Angriffe nach kritischem Treffer 9		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_3126B3CC4CDFE072	abfce10	Angriff nach kritischem Treffer 10	Angriff nach kritischem Treffer 10		ein	der	Angriffe nach kritischem Treffer 10	Angriffe nach kritischem Treffer 10		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_3136B3CC4CEFE072	abfce11	Angriff nach kritischem Treffer 11	Angriff nach kritischem Treffer 11		ein	der	Angriffe nach kritischem Treffer 11	Angriffe nach kritischem Treffer 11		die	Kampf-Stanza (Teil einer Aktion) für den Angriff nach einem kritischem Treffer
_DF30CD79CE5422FD	ABPPC01	Konstitutions-Erhöhung 1	Konstitutions-Erhöhung 1		eine	die	Konstitutions-Erhöhungen 1	Konstitutions-Erhöhungen 1		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CE6426FD	ABPPC02	Konstitutions-Erhöhung 2	Konstitutions-Erhöhung 2		eine	die	Konstitutions-Erhöhungen 2	Konstitutions-Erhöhungen 2		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CE742AFD	ABPPC03	Konstitutions-Erhöhung 3	Konstitutions-Erhöhung 3		eine	die	Konstitutions-Erhöhungen 3	Konstitutions-Erhöhungen 3		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CE842EFD	ABPPC04	Konstitutions-Erhöhung 4	Konstitutions-Erhöhung 4		eine	die	Konstitutions-Erhöhungen 4	Konstitutions-Erhöhungen 4		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CE9432FD	ABPPC05	Konstitutions-Erhöhung 5	Konstitutions-Erhöhung 5		eine	die	Konstitutions-Erhöhungen 5	Konstitutions-Erhöhungen 5		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CEA436FD	ABPPC06	Konstitutions-Erhöhung 6	Konstitutions-Erhöhung 6		eine	die	Konstitutions-Erhöhungen 6	Konstitutions-Erhöhungen 6		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CEB43AFD	ABPPC07	Konstitutions-Erhöhung 7	Konstitutions-Erhöhung 7		eine	die	Konstitutions-Erhöhungen 7	Konstitutions-Erhöhungen 7		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CEC43EFD	ABPPC08	Konstitutions-Erhöhung 8	Konstitutions-Erhöhung 8		eine	die	Konstitutions-Erhöhungen 8	Konstitutions-Erhöhungen 8		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_DF30CD79CED442FD	ABPPC09	Konstitutions-Erhöhung 9	Konstitutions-Erhöhung 9		eine	die	Konstitutions-Erhöhungen 9	Konstitutions-Erhöhungen 9		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A08E9A5D	ABPPC10	Konstitutions-Erhöhung 10	Konstitutions-Erhöhung 10		eine	die	Konstitutions-Erhöhungen 10	Konstitutions-Erhöhungen 10		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A0AE9A5D	ABPPC11	Konstitutions-Erhöhung 11	Konstitutions-Erhöhung 11		eine	die	Konstitutions-Erhöhungen 11	Konstitutions-Erhöhungen 11		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A0CE9A5D	ABPPC12	Konstitutions-Erhöhung 12	Konstitutions-Erhöhung 12		eine	die	Konstitutions-Erhöhungen 12	Konstitutions-Erhöhungen 12		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A0EE9A5D	ABPPC13	Konstitutions-Erhöhung 13	Konstitutions-Erhöhung 13		eine	die	Konstitutions-Erhöhungen 13	Konstitutions-Erhöhungen 13		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A00E9A5D	ABPPC14	Konstitutions-Erhöhung 14	Konstitutions-Erhöhung 14		eine	die	Konstitutions-Erhöhungen 14	Konstitutions-Erhöhungen 14		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A02E9A5D	ABPPC15	Konstitutions-Erhöhung 15	Konstitutions-Erhöhung 15		eine	die	Konstitutions-Erhöhungen 15	Konstitutions-Erhöhungen 15		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A04E9A5D	ABPPC16	Konstitutions-Erhöhung 16	Konstitutions-Erhöhung 16		eine	die	Konstitutions-Erhöhungen 16	Konstitutions-Erhöhungen 16		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A06E9A5D	ABPPC17	Konstitutions-Erhöhung 17	Konstitutions-Erhöhung 17		eine	die	Konstitutions-Erhöhungen 17	Konstitutions-Erhöhungen 17		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A08E9A5D	ABPPC18	Konstitutions-Erhöhung 18	Konstitutions-Erhöhung 18		eine	die	Konstitutions-Erhöhungen 18	Konstitutions-Erhöhungen 18		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A0AE9A5D	ABPPC19	Konstitutions-Erhöhung 19	Konstitutions-Erhöhung 19		eine	die	Konstitutions-Erhöhungen 19	Konstitutions-Erhöhungen 19		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
_BCB8F0A7A08EA25D	ABPPC20	Konstitutions-Erhöhung 20	Konstitutions-Erhöhung 20		eine	die	Konstitutions-Erhöhungen 20	Konstitutions-Erhöhungen 20		die	Erhöht die Konstitution und damit auch die Maximal-Lebenspunkte
