*HASH_VALUE	outpost ID	name	description
_D8762257F536008A	tryker_outpost_22.outpost	Twintops Workshop	Outpost founded in 2487, abandoned in 2493\n Challenge for expert-rank guilds\n A workshop which expanded under the influence of a rich Tryker craftsman. Scandal broke out when it was discovered that he owed his fortune to a close collaboration with the Slavers tribe. The craftsman was arrested, and the outpost was then run by a federal guild until it was abandoned.
_B11ACD519839AD43	tryker_outpost_24.outpost	Windway Workshop	Outpost founded in 2484, abandoned in 2493\n Challenge for confirmed-rank guilds\n This outpost was built around the first big trepan installed by the Karavan in the New Lands. Thanks to this machine blessed by Jena, the craftsmen of the Silt Sculptors tribe were among the first ones to experiment with the new materials from the depths of Atys. They are the forerunners of the outposts' craft industry.
_D35FE6C01736C84C	tryker_outpost_29.outpost	Loria Stronghold	Outpost founded in 2490, abandoned in 2493\n Challenge for master-rank guilds\n After its big trepan was installed this outpost was attacked by the Lagoon Brothers, who took the precious resources extracted by the drill. A federal army regiment was sent to reconquer the outpost. The soldiers wiped out the pirates and then built a stronghold which they dedicated to Loria, the famous Tryker heroine.
_14719DD3A0341BBF	tryker_outpost_31.outpost	Whirling Strongold	Outpost founded in 2489, abandoned in 2493\n Challenge for master-rank guilds\n The strategic positioning of this outpost, next to the vortex leading to Liberty Lake, for a long time made it a favored target of the bandits and other pirates who stalked the Lagoons of Loria. A fort was constructed in order to repel these attacks. Numerous clashes occurred at its walls before the outpost was abandoned.
_A8E93FA99BDB4436	zorai_outpost_02.outpost	Gu-Qin Workshop	Outpost founded in 2490, abandoned in 2494\n Challenge for expert-rank guilds\n A workshop which developed under the influence of a Zoraï craftsman named Gu-Qin, who had decided to brave the threat of the Goo. Unfortunately he was contaminated by the purple plague. Despite his apprentices' care he lapsed into madness. He disappeared one winter's night; until the outpost was abandoned a few years later, the craftsmen of the workshop swore that they would sometimes hear his demented laughter brought to them through the jungle on the breeze.
_CAD14424711A6CBD	zorai_outpost_08.outpost	Qai-Du Workshop	Outpost founded in 2490, abandoned in 2494\n Challenge for apprentice-rank guilds\n This workshop was set up by the master jeweller Qai-Du, celebrated member of the Icon Worshippers tribe. His knowledge and piety did much to gain recognition of Zoraï crafts amongst traditionalists, who had long considered the manufacturing of profane objects as a waste of time.
_9AF53CB170CAA29D	zorai_outpost_10.outpost	Sai-Shun Stronghold	Outpost founded in 2490, abandoned in 2494\n Challenge for confirmed-rank guilds\n Built in the middle of the Maiden Grove jungle, the Sai-Shun stronghold was in the front line of the campaign against the Kitins which began in 2490. General Sai-Shun established his quarters in the outpost and swore he would not leave the area before the threat of the Swarming was warded off. He kept his word and fought for two years alongside the Force of Fraternity.
_E344209D01FD73B5	zorai_outpost_15.outpost	Zo-Kian Ruins Workshop	Outpost founded in 2492, abandoned in 2494\n Challenge for master-rank guilds\n This outpost was established to the north-east of the ruins of Zo-Kian, originally a small village founded by Zoraï hunters. These hunters trailed gibbaïs, who at the time were numerous in that part of the jungle, laughing off their people's superstition that to kill those animals, which were so similar to homins, brought bad luck. One night the village was attacked by hordes of unknown creatures and completely destroyed. A few years later explorers discovered the existence of superior gibbaïs in the region. Many think that they were responsible for the end of Zo-Kian and that they must have been reacting to the hunters' attacks.
_A9B1E17037E0BF79	zorai_outpost_16.outpost	Lost Valley Stronghold	Outpost founded in 2491, abandoned in 2494\n Challenge for master-rank guilds\n This outpost was fortified following repeated attacks by animals contaminated by the Goo. Hotbeds of infection were discovered to the north-west, in the Lost Valley. Several expeditions were sent to try and destroy it, but with little success. When the tree-bore in the outpost began to wilt, contaminated by the purple plague, it sounded the death knell for the fortress which was quickly abandoned.
_E897424AD4725452	zorai_outpost_22.outpost	Demon's Crossroads Diplomatic Outpost	Outpost founded in 2492, abandoned in 2494\n Challenge for advanced-rank guilds\n Soon after the installation of a tree-bore in this outpost, a jungle demon was attracted by the Kamic activity and hung around the surrounding area. He was seething with rage for he was wasted by the Goo. A Zoraï sage, member of the Company of the Eternal Tree, found him and managed to cure his illness. The demon transformed into a luminous spirit then blessed the Zoraï, who became a saint among saints. After this miracle the outpost served as a meeting place for Kamists from the whole region.
_0F508D96CC6A8DA7	zorai_outpost_29.outpost	Great Outback Workshop	Outpost founded in 2491, abandoned in 2494\n Challenge for expert-rank guilds\n This outpost's activity was developed in the desert region of the Knot of Dementia by Cardarus Vekian, a Fyros gunsmith. The absence of excessive vegetation enabled the artisan to use his people's manufacturing techniques, which are based on the use of fire, without the risk of starting a blaze. Though wary at first, the traders of Zora ended up taking an interest in the Fyros' work. Vekian became a renowned craftsman throughout the Witherings and many Zoraï warriors were proud to bear weapons from his forge.
_6FE48772D9E253F3	matis_outpost_03.outpost	Fearing Fen Farm	Outpost founded in 2492, abandoned in 2493\n Challenge for expert-rank guilds\n Established near the Fearing Fen, the activity of this outpost is centred on harvesting resources and cleaning the marshes invaded by the Goo. Clashes occurred with the Ecowarriors tribe when they discovered that the contaminated materials weren't destroyed but instead were sent to Yrkanis or to the south-east to undergo various experiments. This led them to accuse the Matis of spreading the Goo. The royal scientists categorically denied these allegations, assuring them that every precaution was taken to avoid contamination.
_640FA7D9C6414BD7	matis_outpost_07.outpost	Finder's Farm	Outpost founded in 2491, abandoned in 2493\n Challenge for confirmed-rank guilds\n A Matis scholar, searching for divine inspiration, decided to settle at the outpost to profit from the big trepan and to have access to the rare materials sanctified by the Goddess. He carried out numerous experiments, and, notably, discovered a new drilling powder which made several founts rise to the surface at once. The outpost became a meeting place for prospectors wishing to try this miracle powder. 
_D6CD5001FB9E622C	matis_outpost_15.outpost	Psykopla Knoll Trading Post	Outpost founded in 2491, abandoned in 2493\n Challenge for apprentice-rank guilds\n A small merchant guild developed trade at this outpost. Initially, many prospectors bartered their material at the site of this big trepan installed by the Karavan. A Tryker peddler had the idea of setting up a structure to facilitate these exchanges, for a modest commission. He created a guild with the Matis merchants which prospered until the outpost was closed.
_DCD910ED7E62A2C2	matis_outpost_17.outpost	Wooky Workshop	Outpost founded in 2490, abandoned in 2493\n Challenge for advanced-rank guilds\n A workshop built near to a vortex leading to the depths of the Prime Roots. It was the first to be established in the Verdant Heights. Its name refers to the beginning of a period of intense activity for the Matis people: setting up outposts, fighting the kitins, and establishing new trading routes.
_34B4FC4C6451CC84	matis_outpost_24.outpost	Westgrove Stronghold	Outpost founded in 2492, abandoned in 2493\n Challenge for master-rank guilds\n An outpost constructed in the wooded depths of the Grove of Confusion. It was fortified to fight the Dryads tribe, fanatical homins who see themselves as defenders of the plants. Many Matis botanists, accused of torturing the Atysian flora, have perished into their hands.
_0C19BCC74DB35B36	matis_outpost_27.outpost	Ginti Workshop	Outpost founded in 2491, abandoned in 2493\n Challenge for master-rank guilds\n Sevalda Ginti was one of the most renowned Matis botanists of the 25th century. She was the disciple of Bravichi Lenardi. When the Karavan placed the big trepans in the Grove of Confusion, she left Yrkanis' greenhouse to go and work deep in the jungle. She carried out much research and perfected armor-crafting thanks to her discoveries on resins. She disappeared in mysterious circumstances.
_F1B1343B89EF309D	matis_outpost_30.outpost	Berello Gorge Border Post	Outpost founded in 2491, abandoned in 2493\n Challenge for expert-rank guilds\n Fortified under the command of the Matis captain Arcando Berello, this border post was the site of many confrontations with the Woven Bridles tribe. The stakes were high, as whoever controlled the outpost controlled the passage between the oases in the north and the arid plateaus in the south of the region. Berello demonstrated tenacity and tactical skill, and even the Fyros barbarians came to respect their enemy.
_431F0D331FF1DD57	marauder_light_melee_fighter_b.outpost_squad	Marauder Warriors Squad	
_431F0D331FF1E157	marauder_light_melee_fighter_c.outpost_squad	Marauder Warriors Squad	
_431F0D331FF1E557	marauder_light_melee_fighter_d.outpost_squad	Marauder Warriors Squad	
_431F0D331FF1E957	marauder_light_melee_fighter_e.outpost_squad	Marauder Warriors Squad	
_431F0D331FF1ED57	marauder_light_melee_fighter_f.outpost_squad	Marauder Warriors Squad	
_243AE24310D10D5D	marauder_light_range_fighter_b.outpost_squad	Marauder Range Fighters Squad	
_243AE24310D1115D	marauder_light_range_fighter_c.outpost_squad	Marauder Range Fighters Squad	
_243AE24310D1155D	marauder_light_range_fighter_d.outpost_squad	Marauder Range Fighters Squad	
_243AE24310D1195D	marauder_light_range_fighter_e.outpost_squad	Marauder Range Fighters Squad	
_243AE24310D11D5D	marauder_light_range_fighter_f.outpost_squad	Marauder Range Fighters Squad	
_302F323E1AB2D6B3	marauder_light_mixed_fighter_b.outpost_squad	Marauder Fighters Squad	
_302F323E1AB2DAB3	marauder_light_mixed_fighter_c.outpost_squad	Marauder Fighters Squad	
_302F323E1AB2DEB3	marauder_light_mixed_fighter_d.outpost_squad	Marauder Fighters Squad	
_302F323E1AB2E2B3	marauder_light_mixed_fighter_e.outpost_squad	Marauder Fighters Squad	
_302F323E1AB2E6B3	marauder_light_mixed_fighter_f.outpost_squad	Marauder Fighters Squad	
_CA7E8470D81A655E	free_squad_light_melee_fighter_b.outpost_squad	Militiamen Squad	A squad of eight apprentice mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor.
_EA0D947415F96160	free_squad_light_melee_fighter_c.outpost_squad	Militiamen Squad	A squad of eight confirmed mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor.
_0EDB1B3AD99DEBE8	free_squad_light_melee_fighter_d.outpost_squad	Militiamen Squad	A squad of eight advanced mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor.
_0EDB4543550E13E4	free_squad_light_melee_fighter_e.outpost_squad	Militiamen Squad	A squad of eight expert mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor.
_0EDB094359F5B7EC	free_squad_light_melee_fighter_f.outpost_squad	Militiamen Squad	A squad of eight master mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor.
_AEFD62A80D8439DC	outpost_squad_light_melee_fighter_b.outpost_squad	Squad of skirmishers	A squad of eight apprentice mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor
_2E1546AC0EC331DB	outpost_squad_light_melee_fighter_c.outpost_squad	Squad of skirmishers	A squad of eight confirmed mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor
_916FBA4FBDE5DA3D	outpost_squad_light_melee_fighter_d.outpost_squad	Squad of skirmishers	A squad of eight advanced mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor
_907FBADAFFF4F647	outpost_squad_light_melee_fighter_e.outpost_squad	Squad of skirmishers	A squad of eight expert mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor
_928FBACBFFE5F030	outpost_squad_light_melee_fighter_f.outpost_squad	Squad of skirmishers	A squad of eight master mercenaries, composed of warriors and two healers, equipped with rapid weapons and light armor
_DA9562D33825667D	outpost_squad_medium_melee_fighter_b.outpost_squad	Squad of battlers	A squad of eight apprentice mercenaries, composed of warriors in medium armor equipped with light weapons, some carrying a shield, and a healer
_99846A5376667671	outpost_squad_medium_melee_fighter_c.outpost_squad	Squad of battlers	A squad of eight confirmed mercenaries, composed of warriors in medium armor equipped with light weapons, some carrying a shield, and a healer
_C8A275AF3AE0C006	outpost_squad_medium_melee_fighter_d.outpost_squad	Squad of battlers	A squad of eight advanced mercenaries, composed of warriors in medium armor equipped with light weapons, some carrying a shield, and a healer
_CA4365AF3A89E4F7	outpost_squad_medium_melee_fighter_e.outpost_squad	Squad of battlers	A squad of eight expert mercenaries, composed of warriors in medium armor equipped with light weapons, some carrying a shield, and a healer
_A9D285AF3A98E406	outpost_squad_medium_melee_fighter_f.outpost_squad	Squad of battlers	A squad of eight master mercenaries, composed of warriors in medium armor equipped with light weapons, some carrying a shield, and a healer
_31917ACDA8B6D507	outpost_squad_heavy_melee_fighter_b.outpost_squad	Squad of heavy warriors	A squad of eight apprentice mercenaries, composed of warriors in heavy armor equipped with two-handed weapons, and a healer
_74E072CC28BEB902	outpost_squad_heavy_melee_fighter_c.outpost_squad	Squad of heavy warriors	A squad of eight confirmed mercenaries, composed of warriors in heavy armor equipped with two-handed weapons, and a healer
_5F9729077C762AA3	outpost_squad_heavy_melee_fighter_d.outpost_squad	Squad of heavy warriors	A squad of eight advanced mercenaries, composed of warriors in heavy armor equipped with two-handed weapons, and a healer
_A1B645117B762A2E	outpost_squad_heavy_melee_fighter_e.outpost_squad	Squad of heavy warriors	A squad of eight expert mercenaries, composed of warriors in heavy armor equipped with two-handed weapons, and a healer
_A1B73FFA7D762A1F	outpost_squad_heavy_melee_fighter_f.outpost_squad	Squad of heavy warriors	A squad of eight master mercenaries, composed of warriors in heavy armor equipped with two-handed weapons, and a healer
_2B09BFC50EF80C5E	outpost_squad_tank_b.outpost_squad	Squad of protectors	A squad of eight apprentice mercenaries, composed of warriors in heavy armor equipped with light weapons and shields, and a healer
_2A29C1BE0F38DC5C	outpost_squad_tank_c.outpost_squad	Squad of protectors	A squad of eight confirmed mercenaries, composed of warriors in heavy armor equipped with light weapons and shields, and a healer
_F8B55F7529227DE0	outpost_squad_tank_d.outpost_squad	Squad of protectors	A squad of eight advanced mercenaries, composed of warriors in heavy armor equipped with light weapons and shields, and a healer
_BB755F75CCB341E7	outpost_squad_tank_e.outpost_squad	Squad of protectors	A squad of eight expert mercenaries, composed of warriors in heavy armor equipped with light weapons and shields, and a healer
_35F55F7508B37D65	outpost_squad_tank_f.outpost_squad	Squad of protectors	A squad of eight master mercenaries, composed of warriors in heavy armor equipped with light weapons and shields, and a healer
_5601C36FA8D20761	outpost_squad_light_range_fighter_b.outpost_squad	Squad of gunfighters	A squad of eight apprentice mercenaries, composed of shooters in medium armor equipped with pistols, and a healer
_76A0D373A5B10363	outpost_squad_light_range_fighter_c.outpost_squad	Squad of gunfighters	A squad of eight confirmed mercenaries, composed of shooters in medium armor equipped with pistols, and a healer
_A5F22FBC0B41E9D0	outpost_squad_light_range_fighter_d.outpost_squad	Squad of gunfighters	A squad of eight advanced mercenaries, composed of shooters in medium armor equipped with pistols, and a healer
_A50259C547B211CC	outpost_squad_light_range_fighter_e.outpost_squad	Squad of gunfighters	A squad of eight expert mercenaries, composed of shooters in medium armor equipped with pistols, and a healer
_A5121DC50B99B5D4	outpost_squad_light_range_fighter_f.outpost_squad	Squad of gunfighters	A squad of eight master mercenaries, composed of shooters in medium armor equipped with pistols, and a healer
_C403E2D6AEC519C7	outpost_squad_medium_range_fighter_b.outpost_squad	Squad of gunners	A squad of eight apprentice mercenaries, composed of shooters in medium armor equipped with rifles, and a healer
_C323E4CFAF05E9C5	outpost_squad_medium_range_fighter_c.outpost_squad	Squad of gunners	A squad of eight confirmed mercenaries, composed of shooters in medium armor equipped with rifles, and a healer
_89DC33F311346898	outpost_squad_medium_range_fighter_d.outpost_squad	Squad of gunners	A squad of eight advanced mercenaries, composed of shooters in medium armor equipped with rifles, and a healer
_4C9C33F3B4C52C9F	outpost_squad_medium_range_fighter_e.outpost_squad	Squad of gunners	A squad of eight expert mercenaries, composed of shooters in medium armor equipped with rifles, and a healer
_C61C33F3F0C5681D	outpost_squad_medium_range_fighter_f.outpost_squad	Squad of gunners	A squad of eight master mercenaries, composed of shooters in medium armor equipped with rifles, and a healer
_1043FDD2C7CB4EF4	outpost_squad_heavy_range_fighter_b.outpost_squad	Squad of artillery shooters	A squad of eight apprentice mercenaries, composed of shooters equipped with machine guns and grenade launchers, and a healer
_1192F5D147D332F8	outpost_squad_heavy_range_fighter_c.outpost_squad	Squad of artillery shooters	A squad of eight confirmed mercenaries, composed of shooters equipped with machine guns and grenade launchers, and a healer
_99F2301FEE875442	outpost_squad_heavy_range_fighter_d.outpost_squad	Squad of artillery shooters	A squad of eight advanced mercenaries, composed of shooters equipped with machine guns and grenade launchers, and a healer
_DB114C29ED8754CD	outpost_squad_heavy_range_fighter_e.outpost_squad	Squad of artillery shooters	A squad of eight expert mercenaries, composed of shooters equipped with machine guns and grenade launchers, and a healer
_DB124612EF8754BE	outpost_squad_heavy_range_fighter_f.outpost_squad	Squad of artillery shooters	A squad of eight master mercenaries, composed of shooters equipped with machine guns and grenade launchers, and a healer
_70CFDE9FE7F12A5B	outpost_squad_light_mixed_fighter_b.outpost_squad	Squad of harriers	A squad of eight apprentice mercenaries, composed of warriors and shooters equipped with rapid weapons and pistols, and a healer
_6DBEDAA107803A5F	outpost_squad_light_mixed_fighter_c.outpost_squad	Squad of harriers	A squad of eight confirmed mercenaries, composed of warriors and shooters equipped with rapid weapons and pistols, and a healer
_BBDA84BDC96B2A68	outpost_squad_light_mixed_fighter_d.outpost_squad	Squad of harriers	A squad of eight advanced mercenaries, composed of warriors and shooters equipped with rapid weapons and pistols, and a healer
_F75BACB9C96B5471	outpost_squad_light_mixed_fighter_e.outpost_squad	Squad of harriers	A squad of eight expert mercenaries, composed of warriors and shooters equipped with rapid weapons and pistols, and a healer
_BB5250C1C96B1871	outpost_squad_light_mixed_fighter_f.outpost_squad	Squad of harriers	A squad of eight master mercenaries, composed of warriors and shooters equipped with rapid weapons and pistols, and a healer
_314148BBFC1D44FA	outpost_squad_medium_mixed_fighter_b.outpost_squad	Squad of fighters	A squad of eight apprentice mercenaries, composed of warriors and shooters equipped with light weapons and rifles, some carrying a shield, and a healer
_30614AB4FD5D14F8	outpost_squad_medium_mixed_fighter_c.outpost_squad	Squad of fighters	A squad of eight confirmed mercenaries, composed of warriors and shooters equipped with light weapons and rifles, some carrying a shield, and a healer
_AE1C15053C1DCD73	outpost_squad_medium_mixed_fighter_d.outpost_squad	Squad of fighters	A squad of eight advanced mercenaries, composed of warriors and shooters equipped with light weapons and rifles, some carrying a shield, and a healer
_71DC1505DFAE917A	outpost_squad_medium_mixed_fighter_e.outpost_squad	Squad of fighters	A squad of eight expert mercenaries, composed of warriors and shooters equipped with light weapons and rifles, some carrying a shield, and a healer
_EB5C15051BAECDF8	outpost_squad_medium_mixed_fighter_f.outpost_squad	Squad of fighters	A squad of eight master mercenaries, composed of warriors and shooters equipped with light weapons and rifles, some carrying a shield, and a healer
_83F65F3F71561BD2	outpost_squad_nukers_b.outpost_squad	Squad of elementalists	A squad of eight apprentice mercenaries, composed of magicians skilled in destruction spells, and a healer
_84362F3D307621CB	outpost_squad_nukers_c.outpost_squad	Squad of elementalists	A squad of eight confirmed mercenaries, composed of magicians skilled in destruction spells, and a healer
_58207E496F02F1FB	outpost_squad_nukers_d.outpost_squad	Squad of elementalists	A squad of eight advanced mercenaries, composed of magicians skilled in destruction spells, and a healer
_FBB14250F2C2F5FB	outpost_squad_nukers_e.outpost_squad	Squad of elementalists	A squad of eight expert mercenaries, composed of magicians skilled in destruction spells, and a healer
_37B17ECE2C42F9FB	outpost_squad_nukers_f.outpost_squad	Squad of elementalists	A squad of eight master mercenaries, composed of magicians skilled in destruction spells, and a healer
_A60073A524657344	outpost_squad_offensive_linkers_b.outpost_squad	Squad of disturbers	A squad of eight apprentice mercenaries, composed of magicians skilled in offensive link spells (debilitating and elementary), and a healer
_E441839AA3547BC4	outpost_squad_offensive_linkers_c.outpost_squad	Squad of disturbers	A squad of eight confirmed mercenaries, composed of magicians skilled in offensive link spells (debilitating and elementary), and a healer
_C95D4E469B8A51DF	outpost_squad_offensive_linkers_d.outpost_squad	Squad of disturbers	A squad of eight advanced mercenaries, composed of magicians skilled in offensive link spells (debilitating and elementary), and a healer
_C90672385D2B41DF	outpost_squad_offensive_linkers_e.outpost_squad	Squad of disturbers	A squad of eight expert mercenaries, composed of magicians skilled in offensive link spells (debilitating and elementary), and a healer
_C9157248FCBA61DF	outpost_squad_offensive_linkers_f.outpost_squad	Squad of disturbers	A squad of eight master mercenaries, composed of magicians skilled in offensive link spells (debilitating and elementary), and a healer
_0CA62202F8B8D9E1	outpost_squad_mixed_casters_b.outpost_squad	Squad of magicians	A squad of eight apprentice mercenaries, composed of magicians who follow different schools of magic (destructive and relieving)
_8B952A8236F9E9D6	outpost_squad_mixed_casters_c.outpost_squad	Squad of magicians	A squad of eight confirmed mercenaries, composed of magicians who follow different schools of magic (destructive and relieving)
_660DE14ACBEFDAD3	outpost_squad_mixed_casters_d.outpost_squad	Squad of magicians	A squad of eight advanced mercenaries, composed of magicians who follow different schools of magic (destructive and relieving)
_28AED14ACB98FEC5	outpost_squad_mixed_casters_e.outpost_squad	Squad of magicians	A squad of eight expert mercenaries, composed of magicians who follow different schools of magic (destructive and relieving)
_C73DF14ACBA7FED5	outpost_squad_mixed_casters_f.outpost_squad	Squad of magicians	A squad of eight master mercenaries, composed of magicians who follow different schools of magic (destructive and relieving)
_27C70004295AFD33	driller_bountybeaches_kami_u1_100a.outpost_building	Offering for Tree-Bore	Raw materials for crafting + Consumables 
_27C700046A5AFD33	driller_bountybeaches_kami_u1_150a.outpost_building	Offering for Tree-Bore	Raw materials for crafting + Consumables 
_27C70004296AFD33	driller_bountybeaches_kami_u1_200a.outpost_building	Offering for Tree-Bore	Raw materials for crafting + Consumables 
_5223406B8AC3F2A5	driller_bountybeaches_kami_u2_100a.outpost_building	Offering for Crystal Tree-Bore	Raw materials for crafting + Double Consumables 
_B43AE8DBD548D9F4	driller_bountybeaches_kami_u2_150a.outpost_building	Offering for Crystal Tree-Bore	Raw materials for crafting + Double Consumables
_5223406B8AD3F2A5	driller_bountybeaches_kami_u2_200a.outpost_building	Offering for Crystal Tree-Bore	Raw materials for crafting + Double Consumables 
_B285735D1C570E40	driller_bountybeaches_kami_u3_100a.outpost_building	Offering for Hardy Tree-Bore	Raw materials for crafting + Consumables (speed x1.5) 
_B285735D5D570E40	driller_bountybeaches_kami_u3_150a.outpost_building	Offering for Hardy Tree-Bore	Raw materials for crafting + Consumables (speed x1.5) 
_B285735D1C670E40	driller_bountybeaches_kami_u3_200a.outpost_building	Offering for Hardy Tree-Bore	Raw materials for crafting + Consumables (speed x1.5) 
_D8CA151470F9417D	driller_bountybeaches_kami_u4_100a.outpost_building	Offering for Superior Tree-Bore	Raw materials for crafting + Consumables (speed x2) 
_D8CA1514B1F9417D	driller_bountybeaches_kami_u4_150a.outpost_building	Offering for Superior Tree-Bore	Raw materials for crafting + Consumables (speed x2) 
_D8CA15147009417D	driller_bountybeaches_kami_u4_200a.outpost_building	Offering for Superior Tree-Bore	Raw materials for crafting + Consumables (speed x2) 
_40213497BD469797	driller_bountybeaches_karavan_u1_100a.outpost_building	Offering for Big Trepan	Raw materials for crafting + Consumables 
_40713497BD469797	driller_bountybeaches_karavan_u1_150a.outpost_building	Offering for Big Trepan	Raw materials for crafting + Consumables 
_40213897BD469797	driller_bountybeaches_karavan_u1_200a.outpost_building	Offering for Big Trepan	Raw materials for crafting + Consumables 
_57B84C949990AB65	driller_bountybeaches_karavan_u2_100a.outpost_building	Offering for Crystal Big Trepan	Raw materials for crafting + Double Consumables 
_344B6E0E2EE83210	driller_bountybeaches_karavan_u2_150a.outpost_building	Offering for Crystal Big Trepan	Raw materials for crafting + Double Consumables
_57B850949990AB65	driller_bountybeaches_karavan_u2_200a.outpost_building	Offering for Crystal Big Trepan	Raw materials for crafting + Double Consumables 
_155C215B40A809FB	driller_bountybeaches_karavan_u3_100a.outpost_building	Offering for Rapid Big Trepan	Raw materials for crafting + Consumables (speed x1.5) 
_15AC215B40A809FB	driller_bountybeaches_karavan_u3_150a.outpost_building	Offering for Rapid Big Trepan	Raw materials for crafting + Consumables (speed x1.5) 
_155C255B40A809FB	driller_bountybeaches_karavan_u3_200a.outpost_building	Offering for Rapid Big Trepan	Raw materials for crafting + Consumables (speed x1.5) 
_83F0DA2890B1565B	driller_bountybeaches_karavan_u4_100a.outpost_building	Offering for Superior Big Trepan	Raw materials for crafting + Consumables (speed x2) 
_8340DA2890B1565B	driller_bountybeaches_karavan_u4_150a.outpost_building	Offering for Superior Big Trepan	Raw materials for crafting + Consumables (speed x2) 
_83F0DE2890B1565B	driller_bountybeaches_karavan_u4_200a.outpost_building	Offering for Superior Big Trepan	Raw materials for crafting + Consumables (speed x2) 
_03912D6F5054EBF7	driller_citiesofintuition_kami_u1_50a.outpost_building	Offering for Tree-Bore	Raw materials for crafting + Consumables 
_1A28456DEC9EFFC5	driller_citiesofintuition_kami_u2_50a.outpost_building	Offering for Crystal Tree-Bore	Raw materials for crafting + Double Consumables 
_594C2A3553B65953	driller_citiesofintuition_kami_u3_50a.outpost_building	Offering for Hardy Tree-Bore	Raw materials for crafting + Consumables (speed x1.5) 
_4660D30362BFAABB	driller_citiesofintuition_kami_u4_50a.outpost_building	Offering for Superior Tree-Bore	Raw materials for crafting + Consumables (speed x2) 
