*HASH_VALUE	item ID	name	ia	da	p	pia	pda	descripción
_D983739BF7A2F020	goo_vampignon_fungus	Hongo Vampignon Goo	un	el	Hongos Vampignon Goo		los	
_7CA21DC266832C54	goo_varinx_blood	Ampolla de Sangre de Varinx Goo	una	la	Ampollas de Sangre de Varinx Goo		las	
_DDE22C9F40DC38D2	goo_yber_sticky_glands	Glándula Pegajosa de Yber Goo	una	la	Glándulas Pegajosas de Yber Goo		las	
_DFBEF850F4144EB3	green_liquid_vial	Cristal del Nexus	un	el	cristal del Nexus		los	
_C7E4ABA61E218D66	green_medicine	Medicina Verde	un	la	Medicinas Verdes		las	
_C035657CDDA3C54C	guard_scroll	Desplazamiento de la Guardia	un	el	Desplazamientos de la Guardia		los	
_FE92D2ABBEF726B8	heavy_armors_acreditation	Acreditación de Armadura Pesada	una	la	Acreditaciones de Armadura Pesada		las	
_7BFC81067891490A	heavy_conch	Concha Pesada	un	la	Conchas Pesadas		las	
_8B31326A3B23E66B	heavy_package	Paquete Pesado	un	el	Paquetes Pesados		los	
_E938348C4558587C	iccm1bm	Mazo	un	el	Mazos		los	Mazos
_E5F930951F9AC05E	iccm1bs	Bastón	un	el	Bastones		los	Bastón
_9E18DC15602A786B	iccm1pd	Daga	un	la	Dagas		las	Daga
_2768FC7B5E9AF45A	iccm1ps	Lanza	una	la	Lanzas		las	Lanza
_EBB95CBE16B7C77A	iccm1sa	Hacha Larga	un	la	Hachas		las	Hacha
_EBCA74981F9AFC68	iccm1ss	Espada	una	la	Espadas		las	Espada
_2F3E1221B70D1897	iccm2bm	Mazo Largo	un	el	Mazos Largos		los	Mazos Largos
_E93894A4C889907D	iccm2pp	Pico	un	el	Picos		los	Picos
_5ACE81FC868EE997	iccm2sa	Hacha Larga	una	la	Hachas Largas		las	Hacha Larga
_0974C96A2EDF5D2C	iccm2ss	Espada Larga	un	la	Espadas Largas		las	Espada Larga
_73404E493DF80D8A	iccp1bb	Munición de Pistola de Arco Destructora	una	la	Municiones de Pistolas de Arco Destructoras		las	Munición de Pistola de Arco Destructora
_74B03E48FCE9E986	iccp1bp	Munición de Pistola de Arco Perforadora	una	la	Municiones de Pistolas de Arco Perforadoras		las	Munición de Pistola de Arco Perforadora
_73304E49FD09098A	iccp1bs	Munición de Pistola de Arco Cortadora	una	la	Municiones de Pistolas de Arco Cortadoras		las	Munición de Pistola de Arco Cortadora
_0DAD62FD2122F9CF	iccp1gb	Munición de Granada Destructora	una	la	Menciones de Granadas Destructoras		las	Munición de Granada Destructora
_4B1D52F36103F9C5	iccp1gp	Munición de Granada Perforadora	una	la	Municiones de Granadas Perforadoras		las	Munición de Granada Perforadora
_0DAD5AFC2133F9CF	iccp1gs	Munición de Granada Cortadora	una	la	Municiones de Grandes Cortadoras		las	Munición de Granada Cortadora
_B1485A2A8BD9FE48	iccp1pb	Munición de Pistola Destructora	una	la	Municiones de Pistolas Destructoras		las	Munición de Pistola Destructora
_B1A83E318A1AF248	iccp1pp	Munición de Pistola Perforadora	una	la	Municiones de Pistolas Perforadoras		las	Munición de Pistola Perforadora
_B1485A2A0BDAFE48	iccp1ps	Munición de Pistola Cortadora	una	la	Municiones de Pistolas Cortadoras		las	Munición de Pistola Cortadora
_C8858CA7C752A745	iccp2ab	Munición de Autolanzador Destructor	una	la	Municiones de Autolanzadores Destructores		las	Munición de Autolanzador Destructor
_C8C57C9F4563A739	iccp2ap	Munición de Autolanzador Perforador	una	la	Municiones de Autolanzadores Perforadores		las	Munición de Autolanzador Perforador
_C88588A7C763A344	iccp2as	Munición de Autolanzador Cortador	una	la	Municiones de Autorlanzadores Cortadores		las	Munición de Autolanzador Cortador
_EC122DC0AB2E8ED4	iccp2bb	Munición de Rifle de Arco Destructor	una	la	Municiones de Rifles de Arco Destructores		los	Munición de Rifle de Arco Destructor
_EB221DBD69AF9ACF	iccp2bp	Munición de Rifle de Arco Perforador	una	la	Municiones de Rifles de Arco Perforadores		las	Munición de Rifle de Arco Perforador
_AC1229C0AB3F8ED3	iccp2bs	Munición de Rifle de Arco Cortador	una	la	Municiones de Rifles de Arco Cortadores		las	Munición de Rifle de Arco Cortador
_679181B8EDBF72D0	iccp2lb	Munición de Lanzador Destructor	una	la	Municiones de Lanzadores Destructores		las	Munición de Lanzador Destructor
_66A171B5AB407ECB	iccp2lp	Munición de Lanzador Perforador	una	la	Municiones de Lanzadores Perforadores		las	Munición de Lanzador Perforador
_27917DB8EDD072CF	iccp2ls	Munición de Lanzador Cortador	una	la	Municiones de Lanzadores Cortadores		las	Munición de Lanzador Cortador
_12A1C8C24D030CB4	iccp2rb	Munición de Rifle Destructor	una	la	Municiones Rifles Destructores		las	Munición de Rifle Destructor
_1171B4BC0E94ECB5	iccp2rp	Munición de Rifle Perforador	una	la	Municiones de Rifles Perforadores		las	Munición de Rifle Perforador
_D2A1C8C24D0408B4	iccp2rs	Munición de Rifle Cortador	una	la	Municiones de Rifles Cortadores		las	Munición de Rifle Cortador
_3F8F7D75C1BEC1F0	iccr1b	Pistola de Arco	una	la	Pistolas de Arco		las	Pistola de Arco
_2E689894EBB81474	iccr1p	Pistola	una	la	Pistolas		las	Pistola
_A14CDFFCC7C22A51	iccr2a	Autolanzador	un	el	Autolanzadores		los	Autolanzador
_C6BD492B6CF411E9	iccr2b	Rifle de Arco	un	el	Rifles de Arco		los	Rifle de Arco
_459D5D20E7D491D9	iccr2l	Lanzador	un	el	Lanzadores		los	Lanzador
_68B87C8A1F37E07E	iccr2r	Rifle	un	el	Rifles		los	Rifle
_E2187DEF28BAFCA4	iccsb	Defensa	una	la	Defensas		las	Defensa
_A958309BA2696CB0	iccss	Escudo	un	el	Escudos		los	Escudo
_32A79FC666529B4E	icfahb	Botas Kostom	una	la	Botas Kostom		las	Botas Pesadas Fyros
_4314D81D5EBF5A4C	icfahg	Guantes Kostom	unos	el	Guantes Kostom		los	Guantes Pesados Fyros
_607F44F713B2B5A8	icfahh	Casco Kostom	un	el	Cascos Kostom		los	Cascos Pesados Fyros
_B2196309DE04DD5E	icfahp	Pantalones Kostom	unos	el	Pantalones Kostom		los	Pantalones Pesados Fyros
_C781C4C6A454E328	icfahs	Mangas Kostom	unas	la	Mangas Kostom		las	Mangas Pesadas Fyros
_A93B0E2063AC6933	icfahv	Chaleco Kostom	unos	el	Chalecos Kostom		los	Chaleco Pesado Fryos
_50C8EFA6D8AFBE63	icfalb	Botas Hoben	unas	la	Bostas Hoben		las	Botas Ligeras Fyros
_8D573B86A948DFA6	icfalg	Guantes Hoben	unos	el	Guantes Hoben		los	Guantes Ligeros Fryos
_D4C8EB985C9FBA63	icfalp	Pantalones Hoben	unos	el	Pantalones Hoben 		los	Pantalones Ligeros Fyos
_DF27805BA638D353	icfals	Mangas Hoben	unas	la	Mangas Hoben		las	Mangas Ligeras Fyros
_8A117EC1CFB43963	icfalv	Chaleco Hoben	un	el	Chalecos Hoben		los 	Chaleco Pesado Fyros
_D1371B8D52C4EAD8	icfamb	Botas Rilon	unas	la	Botas Rilon		las	Botas Medianas Fyros
_0D05EEE7C3B9179C	icfamg	Guantes Rilon	unas	el	Guantes Rilon		los	Guantes Medianos Fyros
_5527E39B52B4E6D8	icfamp	Pantalones Rilon	unos	el	Pantalones Rilon		los	Pantalones Medianos Fyros
_13D29C71A399F33B	icfams	Mangas Rilon	unas	la	Mangas Rilon		las	Mangas Medianas Fyros
_CA2892BE0C92566F	icfamv	Chaleco Rilon 	un	el	Chalecos Rilon		los	Chalecos Medianos Fyros
_BEFA4612DF175275	icfja	Tobillera Fyros	una	la	Tobilleras Fyros		las	Tobillera Fyros
_AC38EBF788DA77B7	icfjb	Brazalete Fyros	un	el	Brazaletes Fyros		los	Brazalete Fyros
_01FA46FDDF97DA69	icfjd	Diadema Fyros	una	la	Diademas Fyros		las	Diadema Fryos
_A107DB0C1DB5B207	icfje	Arete Fyros	un	el	Aretes Fyros		los	Aretes Fyros
_A8D8EFF697D3DE21	icfjp	Pendiente Fyros	un	el	Pendientes Fyros		los	Pendiente Fyros
_F661163A7E4C352A	icfjr	Anillo Fyros	un	el	Anillos Fyros		los	Anillo Fyros
_00BC9F29CC7D7967	icfm1bm	Mazo Masson 	un	el	Mazos Masson 		los 	Mazo de una Mano Fyros
_D7CEEF3B67555128	icfm1bs	Bastón Talus	un	el	Bastones Taluff		los 	Bastones de una Mano Fyros
_61D14A716CB95A10	icfm1pd	Daga Jab	una	la	Dagas Jab		las	Daga de una Mano Fyros
_402BAC2E121563C6	icfm1ps	Lanza Kronk	una	la	Lanzas Kronk		las 	Lanzas de una Mano Fyros
_6CD86B0094928DED	icfm1sa	Hacha Cleven	una	la	Hachas Cleven		las	Hacha de una Mano Fyros
_F40879DA13349871	icfm1sab	Hacha Ardiente Cleven	una	la	Hachas Ardientes Cleven		las	Hacha Ardiente de una Mano Fyros
_976393F6AA5CC628	icfm1ss	Espada Blam	una	la	Espadas Blam		las	Espadas de una Mano Fyros
_48E27FEEF1C9F652	icfm2bm	Mazo Hamp	un	el	Mazos Hamp		los	Mazo Largo de una Mano Fyros
_FECB774898D1BD66	icfm2pp	Pico Punnel	un	el	Picos Punnel		los	Pico de Dos Manos Fyros
_45B90F5A6779EBB9	icfm2sa	Hacha Arrojadora	un	la	Hachas Arrojadoras		las	Hacha Larga de Dos Manos Fyros
_062D49E95FA5177F	icfm2sab	Archa Ardiente Arrojadora	una	la	Hachas Ardientes Arrojadoras		las	Hacha Ardiente Larga de Dos Manos
_7E326F5C7A98C725	icfm2ss	Espada Stavon	una	la	Espadas Stavons		las	Espadas Largas Dos Manos Fyros
_E30EF804BF075EE8	icfm2ssb	Espada Ardiente Stavon	una	la	Espadas Ardientes Stavons		las	Espada Ardiente Larga de Dos Manos
_38E6FF8C1FFCD3E1	icfp1bb	Munición Destructora Kolton	una	la	Municiones Destructoras Kolton		las	Munición de Pistola de Arco Destructora Fyros
_38F6F3981C4DD3E1	icfp1bp	Munición Perforadora Kolton	una	la	Municiones Perforadoras Kolton		las	Munición de Pistola de Arco Perforadora Fyros
_38E6FF8C5F0DD3E1	icfp1bs	Munición Cortadora Kolton	una	la	Municiones Cortadoras Kolton		las	Munición de Pistola de Arco Cortadora Fyros
_92F29A201B96BF73	icfp1gb	Munición de Granada Destructora Fyros	una	la	Municiones de Granadas Destructoras Fyros		las 	Munición de Granada Destructora Fyros
_91C2861ADC279F74	icfp1gp	Munición de Granada Perforadora Fyros	una	la	Municiones de Granadas Perforadoras Fyros		las	Munición de Granada Perforadora Fyros
_52F29A201B97BB73	icfp1gs	Munición de Granada Cortadora Fyros	una	la	Municiones de Granadas Cortadoras Fyros		las	Munición de Granada Cortadora Fyros
_3689F8F069D4F12C	icfp1pb	Munición de Rimel Destructor	una	la	Municiones de Rimel Destructores		las	Munición de Pistola Destructora Fyros
_3749D8EA2AB5C128	icfp1pp	Munición de Rimel Perforador	una	la	Municiones de Rimel Perforadores		las	Munición de Pistola Perforadora Fyros
_3679F8F069D5ED2C	icfp1ps	Munición de Rimel Cortador	una	la	Municiones de Rimel Cortadores		las	Munición de Pistola Cortadora Fyros
_4D44AA4EE881C952	icfp2ab	Munición de Fraser Destructor 	una	la	Municiones de Frase Destructores		las	Munición de Autolanzador Destructor Fyros
_4E649656E602B551	icfp2ap	Munición de Fraser Perforador	una	la	Municiones de Fraser Perforadores		las	Munición de Autolanzador Perforador Fyros
_4D34AA4E6892C952	icfp2as	Munición de Fraser Cortador	una	la	Municiones de Fraser Cortadores		las	Munición de Autolanzador Cortador Fyros
_A16603BCFA63F9F2	icfp2bb	Munición de Strabus Destructor	una	la	Municiones de Strabus Destructores		las	Munición de Rifle de Arco Destructor Fyros
_DD8613B17A44F9ED	icfp2bp	Munición de Strabus Perforador	una	la	Municiones de Strabus Perforadores		las	Munición de Rifle de Arco  Perforador Fyros
_A166FFBAFA74F9F2	icfp2bs	Munición de Strabus Cortador	una	la	Municiones de Strabus Cortadores		las	Munición de Rifle de Arco Cortador Fyros
_36CF579E228F73A1	icfp2lb	Munición de Brazer Destructor	una	la	Municiones de Brazers Destructores		las	Munición de Lanzador Destructor Fyros
_362F3BA521D067A1	icfp2lp	Munición de Brazer Perforador	una	la	Municiones de Brazers Perforadores		las	Munición de Lanzador  Perforador Fyros
_36CF579EA29073A1	icfp2ls	Munición de Brazer Cortador	una	la	Municiones de Brazers Cortadores		las	Munición de Lanzador Cortador Fyros
_C82C361752D999EA	icfp2rb	Munición de Stramel Destructor	una	la	Municiones de Strammel Destructores		las	Munición de Rifle Destructor Fyros
_87EC2218513A95E9	icfp2rp	Munición de Strammel Perforador	una	la	Municiones de Strammel Perforadores		las	Munición de Rifle Perforador Fyros
_882C321712EA99EA	icfp2rs	Munición de Strammel Cortador	una	la	Municiones de Strammel Cortadores		las	Municiones de Rifle Cortador Fyros
_38049C717BD24862	icfr1b	Pistola de Arco Kolton	una	la	Pistolas de Arco Kolton 		las	Pistola de Arco de una Mano Fyros
_0A01FCFF5BB8F254	icfr1p	Pistola Rimel	una	la	Pistolas Rimel		las 	Pistola de una Mano Fyros
_FE719E3EC7488020	icfr2a	Autolanzador Fraser	un	el	Autolanzadores Fraser		los	Autolanzador de Dos Manos Fyros
_B7F478CC81461B4C	icfr2b	Rifle de Arco Strabus	un	el	Rifles de Arco Strabus		los	Rifle de Arco de Dos Manos Fyros
_5D99216553EB56C1	icfr2l	Lanzador Brazer	un	el	Lanzadores Fraser		los	Lanzador de Dos Manos Fyros
_F00FB25577FC6897	icfr2r	Rifle Strammel	un	el	Rifles Strammel		los	Rifle de Dos Manos Fyros
_08687AF462A2B649	icfsb	Defensa Blok	una	la	Defensas Blok		las	Defensas Fyros
_DC11AF8EDBB6C247	icfss	Escudo Stok	un	el	Escudos Stoks		los	Escudo Fyros
_91C8FBC059F0FA55	icmahb	Botas Parok	unas	la	Botas Parok		las	Botas Pesadas Matis
_8C678BA065AAE39E	icmahg	Guantes Parok	unos	el	Guantes Parok		los	Guantes Pesados Matis
_034ACE0478D63F7C	icmahh	Casco Parok	unos	el	Cascos Parok		los	Casco Pesado Matis
_15C8F7B2DDE0F655	icmahp	Pantalones Parok	unos	el	Pantalones Parok		los	Pantalones Pesados Matis
_1EA704536679C34F	icmahs	Mangas Parok	unas	la	Mangas Parok		las	Mangas Pesadas Matis
_076196CACE36E96E	icmahv	Chaleco Parok	un	el	Chalecos Parok		los	Chalecos Pesados Matis
_56F08BA296628E2F	icmalb	Botas Wiva	unas	la	Botas Wiva		las	Botas Ligeras Matis
_E3E6A6B3D96032E8	icmalg	Guantes Wiva	unas	el	Guantes Wiva		los	Guantes Ligeros Matis
_9A10C3A25682FA21	icmalp	Pantalones Wiva	unos	el	Pantalones Wiva		los	Pantalones Ligeros Matis
_A3FF4BA8048837DF	icmals	Mangas Wiva	unas	la	Mangas Wiva		las	Mangas Ligeras Matis
_41F36E5D8A536576	icmalv	Chaleco Wiva	un	el	Chalecos Wiva		los	Chaleco Ligero Matis
_6D27BE0B6A39C74E	icmamb	Botas Striva	unas	la	Botas Striva		las	Botas Medianas Matis
_65CCDC63F067623D	icmamg	Guantes Striva	unos	la	Guantes Striva		los	Guantes Medianos Matis
_EA08BE0BEA796F4D	icmamp	Pantalones Striva	unos	la	Pantalones Striva		los	Pantalones Medianos Matis
_5623CC2E2B018A12	icmams	Mangas Striva	unas	la	Mangas Striva		las	Mangas Medianas Matis
_604A3ABE67A73E6D	icmamv	Chaleco Striva	un	el	Chalecos Striva		los	Chaleco Mediano Matis
_BE6A46006294A675	icmja	Tobillera Matis	una	la	Tobilleras Matis		las	Tobillera Matis
_2DC70FD9CB5993B1	icmjb	Brazalete Matis	un	el	Brazalete Matis		los	Brazalete Matis
_016A46EB62142E69	icmjd	Diadema Matis	una	la	Diademas Matis		las	Diademas Matis
_A117CBF05AA4CE07	icmje	Arete Matis	un	el	Aretes Matis		los	Aretes Matis
_A8E8DFDAD4C2FA21	icmjp	Pendiente Matis	un	el	Pendientes Matis		los	Pendiente Matis
_39503234FF6B590C	icmjr	Anillo Matis	un	el	Anillos Matis		los	Anillo Matis
_821D7F180FCD7968	icmm1bm	Mazo Bristo	un	el	Mazos Bristo		los	Mazo de Una Mano Matis
_F76D288DAB0840E4	icmm1bs	Bastón Battoni	un	el	Bastones Battoni		los	Bastón de una Mano Matis
_B87940B6DE2177D8	icmm1pd	Daga Limmel	una	la	Dagas Limmel		las	Daga de una Mano Matis
_02BCAC02D26663C6	icmm1ps	Espada Palor	una	la	Espadas Palor		las	Espada de una Mano Matis
_11511B7DDA6742BA	icmm1sa	Hacha Haque	una	el	Hachas Haque		las	Hacha de una Mano Matis
_BF3B0C4DD9656FC6	icmm1ss	Espada Klyde	una	la	Espadas Klyde		las	Espada de una Manos Matis
_36AE3C381A28CEC5	icmm2bm	Mazo Gondo	un	el	Mazos Gondo		los	Mazo Largo de dos Manos Matis
_4B23029C59661A46	icmm2pp	Pico Krop	un	el	Picos Krop		los	Pico de Dos Manos Matis
_17D03FFCB85AEE25	icmm2sa	Hacha Klout	un	el	Hachas Klouts		las	Hacha Larga de dos Manos Matis
_7DE18B4C7A98C70D	icmm2ss	Espada Slathe	una	la	Espadas Slathe		las	Espadas Largas de Dos Manos Matis
_E1D21CFC1C1E0282	icmp1bb	Munición de Riva Destructora	una	la	Municiones de Riva Destructora		las	Munición de Pistola de Arco Destructora Matis
_DF721CF7DC9FEA87	icmp1bp	Munición de Riva Perforadora	una	la	Municiones de Riva Perforadoras		las	Munición de Pistola de Arco Perforadora Matis
_61D21CFC1C2FFE82	icmp1bs	Munición de Riva Cortadora	una	la	Municiones de Riva Cortadoras		las	Munición de Pistola de Arco Cortadora Matis
_92028A0A56265F7A	icmp1gb	Munición de Granada Destructora Matis	una	la	Municiones de Granadas Destructoras Matis		las	Munición de Granada Destructora Matis
_91D2760417B73F7B	icmp1gp	Munición de Granada Perforadora Matis	una	el	Municiones de Granadas Perforadoras Matis		las	Municiones de Granada Perforadora Matis
_52028A0A56275B7A	icmp1gs	Munición de Granada Cortadora Matis	una	la	Municiones de Granadas Destructoras Matis		las	Munición de Granada Destructora Matis
_2C68F5D6BF534123	icmp1pb	Munición de Maka Destructora 	una	la	Municiones de Maka Destructoras		las	Munición de Pistola Destructora Matis
_E92805CDBF242D24	icmp1pp	Munición de Maka Perforadora	una	la	Municiones de Maka Perforadoras		las	Munición de Pistola Perforadora Matis
_EC68F5D5BF643D23	icmp1ps	Munición de Maka Cortadora	una	la	Municiones de Maka Cortadoras		las	Munición de Pistola Cortadora Matis
_0A11CBD52E4E8E43	icmp2ab	Munición de Morikov Destructor	una	la	Municiones de Morikov Destructores		las	Munición de Autolanzador Destructor Matis
_C841CBCE2C1F9E3A	icmp2ap	Munición de Morikov Perforador	una	la	Municiones de Morikov Perforadores		las	Munición de Autolanzador Perforador Matis
_0A11C7D42E5F8E42	icmp2as	Munición de Morkov Cortador	una	la	Municiones de Morikov Cortador		las	Munición de Autolanzador Cortador Ammo
_1DE7B143C1EB2D06	icmp2bb	Munición de Polta Destructora	una	la	Municiones de Polta Destructoras		las	Munición de Rifle de Arco Destructor Matis
_5DE79D3D40BC21FF	icmp2bp	Munición de Polta Perforadora	una	la	Municiones de Polta Perforadoras		las	Munición de Rifle de Arco Perforador Matis
_1DE7B143C1EC2905	icmp2bs	Munición de Polta Cortadora	una	la	Municiones de Polta Cortadoras		las	Munición de Rifle de Arco Cortador Matis
_9A76A14245EB4504	icmp2lb	Munición de Vulca Destructora	una	the	Municiones de Vulca Destructoras		las	Munición de Lanzador Destructor Matis
_DA768D3CC4BC39FD	icmp2lp	Munición de Vulca Perforadora	una	la	Municiones de Vulca Perforadoras		las	Munición de Lanzador Perforador Matis
_9A76A14245EC4103	icmp2ls	Munición de Vulca Cortadora	una	la	Municiones de Vulca Cortadoras		las	Munición de Lanzador Cortador Matis
_79AF12DBD4F75196	icmp2rb	Munición de Stylone Destructor	una	la	Municiones de Stylone Destructores		las	Munición de Rifle Destructor Matis
_F7DF12CFD418418E	icmp2rp	Munición de Stylone Perforador	una	la	Municiones de Stylone Perforadores		las	Munición de Rifle Perforador Matis
_79AF0EDAD4084D96	icmp2rs	Munición de Stylone Cortador	una	la	Municiones de Stylone Cortadores		las	Munición de Rifle Cortador Matis
_AA51BCDA958FDBCC	icmr1b	Pistola de Arco Riva	una	la	Pistolas de Arco Riva		las	Pistola de una Mano Matis
_59E540516F857981	icmr1p	Pistola Maka	una	la	Pistolas Maka		las	Pistola de una Mano Matis
_0B5EEF4960C0641C	icmr2a	Autolanzador Morikov	un	el	Autolanzadores Morikov		los	Autolanzador de Dos Manos Matis
_E35FDCB4CA4D0480	icmr2b	Rifle de Arco Polta	un	el	Rilfes de Arco Polta		los	Rilfe de Arco de Dos Manos Matis
_DC4EE49F4FFEC88A	icmr2l	Lanzador Vulca	un	el	Lanzadores Vulca		los	Lanzador de Dos Manos Matis
_0A8A6629CEABAA18	icmr2r	Rifle Stylone	un	el	Rifles Stylone		los	Rifle de Dos Manos Matis
_9BB4C162E0F5AE3F	icmsb	Defensa Wod	una	la	Defensas Wod		las	Defensa Matis
_F7C4FBF7D9821E4E	icmss	Escudo Takod	un	el	Escudos Takod		los	Escudo Matis
_7310DFE67CF97179	icraba	Botas de Refugiados	unas	la	Botas de Refugiados		los	Botas de Refugiados
_7310DFE67CF98179	icrabe	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_7310DFE67CF98979	icrabg	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_7310DFE67CF9B579	icrabr	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_7310DFE67CF9BD79	icrabt	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_7310DFE67CF9C179	icrabu	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_7310DFE67CF9C579	icrabv	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_7310DFE67CF9C979	icrabw	Botas de Refugiados	unas	la	Botas de Refugiados		las	Botas de Refugiados
_FB6BE75C48496AE4	icraga	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C48497AE4	icrage	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C484982E4	icragg	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C4849AEE4	icragr	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C4849B6E4	icragt	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C4849BAE4	icragu	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C4849BEE4	icragv	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_FB6BE75C4849C2E4	icragw	Guantes de Refugiados	unos	el	Guantes de Refugiados		los	Guantes de Refugiado
_4A9F234635B7BE01	icrapa	Polainas/Mallas de Refugiados	unos	el	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B7CE01	icrape	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B7D601	icrapg	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B70201	icrapr	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B70A01	icrapt	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B70E01	icrapu	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B71201	icrapv	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_4A9F234635B71601	icrapw	Polainas/Mallas de Refugiados	unas	la	Polainas/Mallas de Refugiados		las	Polainas/Mallas de Refugiados
_2D191D2E667EBD24	icrasa	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667ECD24	icrase	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667ED524	icrasg	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667E0124	icrasr	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667E0924	icrast	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667E0D24	icrasu	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667E1124	icrasv	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_2D191D2E667E1524	icrasw	Hombreras de Antebrazos de Refugiados	unas	la	Hombreras de Antebrazos de Refugiados		las	Hombreras de Antebrazos de Refugiados
_8516EA8E4623F106	icrava	Capucha de Refugiados	una	la	Capuchas de Refugiados		las	Capucha de Refugiados
