# Ryzom chat emoji table -- GENERATED, do not edit by hand.
# Regenerate with tools/emoji/gen_emoji_table.py
# Put local corrections in emoji_overrides.txt instead; it is
# loaded afterwards and wins.
# name\tcodepoints(hex)\timage-stem (client appends .tga)
+1	1f44d	emoji_u1f44d
brain	1f9e0	emoji_u1f9e0
branches	1fabe	emoji_u1fabe
bravery	1f49c	emoji_u1f49c
bread	1f35e	emoji_u1f35e
break	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
breakfast	1f95e	emoji_u1f95e
breaking	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
breast	1f931	emoji_u1f931
breast_feeding	1f931	emoji_u1f931
breath	1fac1	emoji_u1fac1
breathe	1fac1	emoji_u1fac1
brew	1fad6	emoji_u1fad6
brick	1f9f1	emoji_u1f9f1
bricks	1f9f1	emoji_u1f9f1
bride	1f470	emoji_u1f470
bridge	1f309	emoji_u1f309
briefcase	1f4bc	emoji_u1f4bc
briefs	1fa72	emoji_u1fa72
bright_eyed	1f9d2	emoji_u1f9d2
brightness	1f506	emoji_u1f506
broadband	1f6dc	emoji_u1f6dc
broccoli	1f966	emoji_u1f966
broken	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
broken_chain	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
broken_heart	1f494	emoji_u1f494
brontosaurus	1f995	emoji_u1f995
bronze	1f949	emoji_u1f949
broom	1f9f9	emoji_u1f9f9
brown_circle	1f7e4	emoji_u1f7e4
brown_heart	1f90e	emoji_u1f90e
brown_mushroom	1f344 200d 1f7eb	emoji_u1f344_200d_1f7eb
brown_square	1f7eb	emoji_u1f7eb
brr	1f9e5	emoji_u1f9e5
brush	1faa5	emoji_u1faa5
bubble_tea	1f9cb	emoji_u1f9cb
bubbles	1fae7	emoji_u1fae7
bucket	1faa3	emoji_u1faa3
buddhism	2638	emoji_u2638
buffalo	1f9ac	emoji_u1f9ac
bug	1f41b	emoji_u1f41b
bulb	1f4a1	emoji_u1f4a1
bull	1f402	emoji_u1f402
bullet_train	1f685	emoji_u1f685
bullhorn	1f4e2	emoji_u1f4e2
bulls_eye	1f3af	emoji_u1f3af
bunny	1f430	emoji_u1f430
buoy	1f6df	emoji_u1f6df
burgers	1f96c	emoji_u1f96c
burial	26b0	emoji_u26b0
burp	1fae7	emoji_u1fae7
burrito	1f32f	emoji_u1f32f
burro	1facf	emoji_u1facf
bury	1fa8f	emoji_u1fa8f
bus	1f68c	emoji_u1f68c
bus_stop	1f68f	emoji_u1f68f
butter	1f9c8	emoji_u1f9c8
butterfly	1f98b	emoji_u1f98b
buzz	1f41d	emoji_u1f41d
c	00a9	emoji_u00a9
cactus	1f335	emoji_u1f335
cake	1f370	emoji_u1f370
calculation	1f9ee	emoji_u1f9ee
calculator	1f9ee	emoji_u1f9ee
calendar	1f4c5	emoji_u1f4c5
calf	1f42e	emoji_u1f42e
call_me	1f919	emoji_u1f919
calling	1f4f2	emoji_u1f4f2
calm	1fab7	emoji_u1fab7
camel	1f42b	emoji_u1f42b
camera	1f4f7	emoji_u1f4f7
camping	26fa	emoji_u26fa
campsite	1f3d5	emoji_u1f3d5
can	1f96b	emoji_u1f96b
cancer	264b	emoji_u264b
candle	1f56f	emoji_u1f56f
candy	1f36c	emoji_u1f36c
canned	1f96b	emoji_u1f96b
canned_food	1f96b	emoji_u1f96b
canoe	1f6f6	emoji_u1f6f6
cap	1f9e2	emoji_u1f9e2
capital_abcd	1f520	emoji_u1f520
capital_letters	1f520	emoji_u1f520
capricorn	2651	emoji_u2651
capsicum	1fad1	emoji_u1fad1
captivated	1fae3	emoji_u1fae3
car	1f697	emoji_u1f697
card_index	1f4c7	emoji_u1f4c7
cardiology	1fac0	emoji_u1fac0
carousel	1f3a0	emoji_u1f3a0
carp_streamer	1f38f	emoji_u1f38f
carpenter	1fa9a	emoji_u1fa9a
carpenter_square	1f4d0	emoji_u1f4d0
carpentry	1fa9a	emoji_u1fa9a
carpentry_saw	1fa9a	emoji_u1fa9a
carrot	1f955	emoji_u1f955
cartwheel	1f938	emoji_u1f938
cask	1faa3	emoji_u1faa3
castle	1f3f0	emoji_u1f3f0
cat	1f408	emoji_u1f408
caterpillar	1f41b	emoji_u1f41b
caution	26a0	emoji_u26a0
caw	1f426 200d 2b1b	emoji_u1f426_200d_2b1b
cd	1f4bf	emoji_u1f4bf
celebration	1f388	emoji_u1f388
cell_reception	1f4f6	emoji_u1f4f6
cemetery	1faa6	emoji_u1faa6
censor	1f92c	emoji_u1f92c
cereal	1f963	emoji_u1f963
cha	1fa87	emoji_u1fa87
chain	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
chains	26d3	emoji_u26d3
chair	1fa91	emoji_u1fa91
champagne	1f37e	emoji_u1f37e
change	1fab8	emoji_u1fab8
charge	1f202	emoji_u1f202
charm	1f9ff	emoji_u1f9ff
chart	1f4c8	emoji_u1f4c8
check	2705	emoji_u2705
check_mark	2714	emoji_u2714
checkbox	2611	emoji_u2611
checkered_flag	1f3c1	emoji_u1f3c1
cheese	1f9c0	emoji_u1f9c0
chemistry	1f9ea	emoji_u1f9ea
cherries	1f352	emoji_u1f352
cherry_blossom	1f338	emoji_u1f338
chess	265f	emoji_u265f
chess_pawn	265f	emoji_u265f
chest	1f9f0	emoji_u1f9f0
chestnut	1f330	emoji_u1f330
chick	1f424	emoji_u1f424
chicken	1f414	emoji_u1f414
chickpea	1f9c6	emoji_u1f9c6
child	1f9d2	emoji_u1f9d2
children_crossing	1f6b8	emoji_u1f6b8
chili_pepper	1f336	emoji_u1f336
chipmunk	1f43f	emoji_u1f43f
chocolate	1f36b	emoji_u1f36b
chopsticks	1f962	emoji_u1f962
choy	1f96c	emoji_u1f96c
christianity	271d	emoji_u271d
christmas	1f9d1 200d 1f384	emoji_u1f9d1_200d_1f384
church	26ea	emoji_u26ea
cinco	1fa85	emoji_u1fa85
cinema	1f3a6	emoji_u1f3a6
circle	2b55	emoji_u2b55
circus	1f3aa	emoji_u1f3aa
citrus	1f34b 200d 1f7e9	emoji_u1f34b_200d_1f7e9
city	1f3d9	emoji_u1f3d9
city_sunrise	1f307	emoji_u1f307
cl	1f191	emoji_u1f191
clack	1faad	emoji_u1faad
clap	1f44f	emoji_u1f44f
classical_building	1f3db	emoji_u1f3db
classy	1f9d0	emoji_u1f9d0
claus	1f9d1 200d 1f384	emoji_u1f9d1_200d_1f384
claws	1f99e	emoji_u1f99e
clay	1f9f1	emoji_u1f9f1
climate	1fab8	emoji_u1fab8
clink	1f942	emoji_u1f942
clipboard	1f4cb	emoji_u1f4cb
clock	1f557	emoji_u1f557
clockwise	1f503	emoji_u1f503
closed_book	1f4d5	emoji_u1f4d5
closed_mailbox	1f4ea	emoji_u1f4ea
closed_umbrella	1f302	emoji_u1f302
clothes	1f97c	emoji_u1f97c
clothing	1f45a	emoji_u1f45a
cloud	2601	emoji_u2601
clouds	1f636 200d 1f32b	emoji_u1f636_200d_1f32b
cloudy	1f325	emoji_u1f325
clover	2618	emoji_u2618
clown	1f921	emoji_u1f921
clubs	2663	emoji_u2663
cluck	1f414	emoji_u1f414
clue	1f5dd	emoji_u1f5dd
coat	1f9e5	emoji_u1f9e5
cock-a-doodle-doo	1f413	emoji_u1f413
cockroach	1fab3	emoji_u1fab3
cocktail	1f378	emoji_u1f378
coconut	1f965	emoji_u1f965
coffee	2615	emoji_u2615
coffin	26b0	emoji_u26b0
coin	1fa99	emoji_u1fa99
colada	1f965	emoji_u1f965
cold_face	1f976	emoji_u1f976
cold_sweat	1f630	emoji_u1f630
collision	1f4a5	emoji_u1f4a5
colorful	1f99a	emoji_u1f99a
comb	1faae	emoji_u1faae
come	1faf4	emoji_u1faf4
comet	2604	emoji_u2604
comfort	1fac2	emoji_u1fac2
comfy	1f97f	emoji_u1f97f
commitment	1f510	emoji_u1f510
commodities	1f6e2	emoji_u1f6e2
compass	1f9ed	emoji_u1f9ed
composition_book	1f4d3	emoji_u1f4d3
compression	1f5dc	emoji_u1f5dc
computer	1f4bb	emoji_u1f4bb
computer_mouse	1f5b1	emoji_u1f5b1
concerned	1f615	emoji_u1f615
concertina	1fa97	emoji_u1fa97
conch	1f41a	emoji_u1f41a
condemned	1f3da	emoji_u1f3da
confetti	1f38a	emoji_u1f38a
confounded	1f616	emoji_u1f616
confused	1f615	emoji_u1f615
confusion	1fae4	emoji_u1fae4
conga	1fa98	emoji_u1fa98
congee	1f963	emoji_u1f963
congratulations	3297	emoji_u3297
connectivity	1f6dc	emoji_u1f6dc
construction	1f3d7	emoji_u1f3d7
construction_worker	1f477	emoji_u1f477
construction_zone	1f6a7	emoji_u1f6a7
contact	1f50e	emoji_u1f50e
container	1fad9	emoji_u1fad9
control_knobs	1f39b	emoji_u1f39b
convenience_store	1f3ea	emoji_u1f3ea
convoluted	1f968	emoji_u1f968
cook	1f9d1 200d 1f373	emoji_u1f9d1_200d_1f373
cookie	1f36a	emoji_u1f36a
cooking	1f373	emoji_u1f373
cool	1f192	emoji_u1f192
cooling	1faad	emoji_u1faad
cop	1f46e	emoji_u1f46e
copyright	00a9	emoji_u00a9
coral	1fab8	emoji_u1fab8
cord	1faa2	emoji_u1faa2
corn	1f33d	emoji_u1f33d
corvid	1f426 200d 2b1b	emoji_u1f426_200d_2b1b
couch_and_lamp	1f6cb	emoji_u1f6cb
counterclockwise	1f504	emoji_u1f504
couple_with_heart	1f491	emoji_u1f491
couple_with_heart_man_man	1f468 200d 2764 200d 1f468	emoji_u1f468_200d_2764_200d_1f468
couple_with_heart_woman_man	1f469 200d 2764 200d 1f468	emoji_u1f469_200d_2764_200d_1f468
couple_with_heart_woman_woman	1f469 200d 2764 200d 1f469	emoji_u1f469_200d_2764_200d_1f469
cow	1f404	emoji_u1f404
cowboy	1f920	emoji_u1f920
crab	1f980	emoji_u1f980
crash	1f4a5	emoji_u1f4a5
crayon	1f58d	emoji_u1f58d
crazy	1f61c	emoji_u1f61c
credentials	1faaa	emoji_u1faaa
credit_card	1f4b3	emoji_u1f4b3
cremation	26b1	emoji_u26b1
crew	1f6a3	emoji_u1f6a3
cricket	1f997	emoji_u1f997
cricket_game	1f3cf	emoji_u1f3cf
crime	1fac6	emoji_u1fac6
crochet	1f9f6	emoji_u1f9f6
crocodile	1f40a	emoji_u1f40a
croissant	1f950	emoji_u1f950
crook	1fa9d	emoji_u1fa9d
cross	271d	emoji_u271d
cross_mark	274c	emoji_u274c
crossed	1faf0	emoji_u1faf0
crossed_flags	1f38c	emoji_u1f38c
crow	1f426 200d 2b1b	emoji_u1f426_200d_2b1b
crown	1f451	emoji_u1f451
cruise	1f6f3	emoji_u1f6f3
crush	1f970	emoji_u1f970
crushed	1f940	emoji_u1f940
crutch	1fa7c	emoji_u1fa7c
cry	1f622	emoji_u1f622
crying_cat	1f63f	emoji_u1f63f
crystal	1f48e	emoji_u1f48e
crystal_ball	1f52e	emoji_u1f52e
cube	1f9ca	emoji_u1f9ca
cucumber	1f952	emoji_u1f952
cuffs	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
culture	1f9eb	emoji_u1f9eb
cup_with_straw	1f964	emoji_u1f964
cupcake	1f9c1	emoji_u1f9c1
cupid	1f498	emoji_u1f498
cupped	1f932	emoji_u1f932
curious	1f99d	emoji_u1f99d
curl	1f4c3	emoji_u1f4c3
curling	1f94c	emoji_u1f94c
curling_stone	1f94c	emoji_u1f94c
curry	1f35b	emoji_u1f35b
cursing	1f92c	emoji_u1f92c
curve	1fa9d	emoji_u1fa9d
cussing	1f92c	emoji_u1f92c
custard	1f36e	emoji_u1f36e
customs	1f6c3	emoji_u1f6c3
cut_of_meat	1f969	emoji_u1f969
cute	1f4a0	emoji_u1f4a0
cyan	1fa75	emoji_u1fa75
cyclist	1f6b4	emoji_u1f6b4
cyclone	1f300	emoji_u1f300
cygnet	1f9a2	emoji_u1f9a2
dagger	1f5e1	emoji_u1f5e1
dairy	1f9c8	emoji_u1f9c8
dam	1f9ab	emoji_u1f9ab
dancer	1f483	emoji_u1f483
dancers	1f46f	emoji_u1f46f
dancing	1f57a	emoji_u1f57a
danger	26a0	emoji_u26a0
dango	1f361	emoji_u1f361
dark_sunglasses	1f576	emoji_u1f576
darts	1f3af	emoji_u1f3af
dash	1f4a8	emoji_u1f4a8
date	1f4c6	emoji_u1f4c6
daze	1fae8	emoji_u1fae8
de	1fa85	emoji_u1fa85
deaf_man	1f9cf 200d 2642	emoji_u1f9cf_200d_2642
deaf_person	1f9cf	emoji_u1f9cf
deaf_woman	1f9cf 200d 2640	emoji_u1f9cf_200d_2640
death	2620	emoji_u2620
debit_card	1f4b3	emoji_u1f4b3
deciduous_tree	1f333	emoji_u1f333
decor	1fab4	emoji_u1fab4
decoration	1f380	emoji_u1f380
decorative_notebook	1f4d4	emoji_u1f4d4
decrease	1f53d	emoji_u1f53d
decreasing	1f4c9	emoji_u1f4c9
deer	1f98c	emoji_u1f98c
deg	1faaf	emoji_u1faaf
delivery	1f961	emoji_u1f961
demonstration	1faa7	emoji_u1faa7
denim	1f456	emoji_u1f456
dental	1faa5	emoji_u1faa5
dentist	1f9b7	emoji_u1f9b7
department_store	1f3ec	emoji_u1f3ec
departure	1f6eb	emoji_u1f6eb
depressed	1fae5	emoji_u1fae5
derelict_house	1f3da	emoji_u1f3da
desert	1f3dc	emoji_u1f3dc
desktop_computer	1f5a5	emoji_u1f5a5
dessert	1f9c1	emoji_u1f9c1
detective	1f575	emoji_u1f575
devil	1f47f	emoji_u1f47f
diagonal	1fae4	emoji_u1fae4
diamond_with_a_dot	1f4a0	emoji_u1f4a0
diamonds	2666	emoji_u2666
diaper	1f9f7	emoji_u1f9f7
dice	1f3b2	emoji_u1f3b2
die	1f3b2	emoji_u1f3b2
dig	1fa8f	emoji_u1fa8f
digital_security	1f50f	emoji_u1f50f
dim	1f505	emoji_u1f505
ding	1f6ce	emoji_u1f6ce
diplodocus	1f995	emoji_u1f995
direct_hit	1f3af	emoji_u1f3af
direction	1f9ed	emoji_u1f9ed
disability	1fa7c	emoji_u1fa7c
disabled	267f	emoji_u267f
disappointed	1f61e	emoji_u1f61e
disappointed_relieved	1f625	emoji_u1f625
disapproval	1f928	emoji_u1f928
disc	1f94f	emoji_u1f94f
disco	1f57a	emoji_u1f57a
disguise	1f978	emoji_u1f978
disguised_face	1f978	emoji_u1f978
dish	1f9eb	emoji_u1f9eb
dismiss	1faf3	emoji_u1faf3
dissolve	1fae0	emoji_u1fae0
distraught	1f629	emoji_u1f629
distrust	1f928	emoji_u1f928
dive	1f97d	emoji_u1f97d
divide	2797	emoji_u2797
diving_mask	1f93f	emoji_u1f93f
division	2797	emoji_u2797
diya	1fa94	emoji_u1fa94
diya_lamp	1fa94	emoji_u1fa94
dizzy	1f635	emoji_u1f635
dna	1f9ec	emoji_u1f9ec
do_not_litter	1f6af	emoji_u1f6af
document	1f4c4	emoji_u1f4c4
dodo	1f9a4	emoji_u1f9a4
dog	1f415	emoji_u1f415
dogi	1f94b	emoji_u1f94b
doll	1fa86	emoji_u1fa86
dollar	1fa99	emoji_u1fa99
dollar_bills	1f4b5	emoji_u1f4b5
dollars	1f4b2	emoji_u1f4b2
dolls	1f38e	emoji_u1f38e
dolphin	1f42c	emoji_u1f42c
donation	1fa78	emoji_u1fa78
done_deal	1f91d	emoji_u1f91d
doner_kebab	1f959	emoji_u1f959
donkey	1facf	emoji_u1facf
donut	1f369	emoji_u1f369
door	1f6aa	emoji_u1f6aa
dormouse	1f42d	emoji_u1f42d
dotted	1fae5	emoji_u1fae5
dotted_line_face	1fae5	emoji_u1fae5
dotted_six_pointed_star	1f52f	emoji_u1f52f
double_down	23ec	emoji_u23ec
double_exclamation	203c	emoji_u203c
double_loop	27bf	emoji_u27bf
double_up	23eb	emoji_u23eb
doubtful	1fae4	emoji_u1fae4
doughnut	1f369	emoji_u1f369
dove	1f54a	emoji_u1f54a
dove_of_peace	1f54a	emoji_u1f54a
down	2b07	emoji_u2b07
down_button	1f53d	emoji_u1f53d
downvote	1f53d	emoji_u1f53d
downwards_trend	1f4c9	emoji_u1f4c9
dr	1f97c	emoji_u1f97c
dracula	1f9db	emoji_u1f9db
dragon	1f409	emoji_u1f409
dragon_face	1f432	emoji_u1f432
drained	1faab	emoji_u1faab
drama	1f3ad	emoji_u1f3ad
dream	1f4ad	emoji_u1f4ad
drenched	1f327	emoji_u1f327
dress	1f457	emoji_u1f457
drinking_water	1f6b0	emoji_u1f6b0
drip	1fadf	emoji_u1fadf
drive_with_care	1f6b8	emoji_u1f6b8
drooling	1f924	emoji_u1f924
drop	1f4a7	emoji_u1f4a7
drop_of_blood	1fa78	emoji_u1fa78
dropped	1faf3	emoji_u1faf3
