creature ID	name	ia	da	cc	pr	p	pia	pda
caapb3	Doleful Baldusa	a	the			Doleful Baldusas		the
caapb4	Morbid Baldusa	a	the			Morbid Baldusas		the
caapc1	Morbid Baldusa	a	the			Morbid Baldusas		the
caapc2	Leering Baldusa	a	the			Leering Baldusas		the
caapc3	Prime Root Baldusa	a	the			Prime Root Baldusas		the
caapc4	Grunting Baldusa	a	the			Grunting Baldusas		the
caapd1	Grunting Baldusa	a	the			Grunting Baldusas		the
caapd2	Howling Baldusa	a	the			Howling Baldusas		the
caapd3	Malignant Baldusa	a	the			Malignant Baldusas		the
caapd4	Clammy Baldusa	a	the			Clammy Baldusas		the
caape1	Clammy Baldusa	a	the			Clammy Baldusas		the
caape2	Wicked Baldusa	a	the			Wicked Baldusas		the
caape3	Dark-eyed Baldusa	a	the			Dark-eyed Baldusas		the
caape4	Bloodthirsty Baldusa	a	the			Bloodthirsty Baldusas		the
caapf1	Bloodthirsty Baldusa	a	the			Bloodthirsty Baldusas		the
caapf2	Horrifying Baldusa	a	the			Horrifying Baldusas		the
caapf3	Fiendish Baldusa	a	the			Fiendish Baldusas		the
cabda1	Satiated Prakker	a	the			Satiated Prakkers		the
cabda2	Overfed Prakker	an	the			Overfed Prakkers		the
cabda3	Crammed Prakker	a	the			Crammed Prakkers		the
cabda4	Docile Prakker	a	the			Docile Prakkers		the
cabdb1	Docile Prakker	a	the			Docile Prakkers		the
cabdb2	Bloated Prakker	a	the			Bloated Prakkers		the
cabdb3	Replete Prakker	a	the			Replete Prakkers		the
cabdb4	Sand Prakker	a	the			Sand Prakkers		the
cabdc1	Sand Prakker	a	the			Sand Prakkers		the
cabdc2	Lesser Prakker	a	the			Lesser Prakkers		the
cabdc3	Desert Prakker	a	the			Desert Prakkers		the
cabdc4	Quenched Prakker	a	the			Quenched Prakkers		the
cabdd1	Quenched Prakker	a	the			Quenched Prakkers		the
cabdd2	Common Prakker	a	the			Common Prakkers		the
cabdd3	Dehydrated Prakker	a	the			Dehydrated Prakkers		the
cabdd4	Famished Prakker	a	the			Famished Prakkers		the
cabde1	Famished Prakker	a	the			Famished Prakkers		the
cabde2	Scouring Prakker	a	the			Scouring Prakkers		the
cabde3	Panting Prakker	a	the			Panting Prakkers		the
cabde4	Scrounging Prakker	a	the			Scrounging Prakkers		the
cabdf1	Scrounging Prakker	a	the			Scrounging Prakkers		the
cabdf2	Volatile Prakker	a	the			Volatile Prakkers		the
cabdf3	Starving Prakker	a	the			Starving Prakkers		the
cabfa1	Fledgling Prakker	a	the			Fledgling Prakkers		the
cabfa2	Weeny Prakker	a	the			Weeny Prakkers		the
cabfa3	Little Prakker	a	the			Little Prakkers		the
cabfa4	Puny Prakker	a	the			Puny Prakkers		the
cabfb1	Puny Prakker	a	the			Puny Prakkers		the
cabfb2	Mild Prakker	a	the			Mild Prakkers		the
cabfb3	Prime Prakker	a	the			Prime Prakkers		the
cabfb4	Moor Prakker	a	the			Moor Prakkers		the
cabfc1	Moor Prakker	a	the			Moor Prakkers		the
cabfc2	Lesser Prakker	a	the			Lesser Prakkers		the
cabfc3	Wood Prakker	a	the			Wood Prakkers		the
cabfd1	Primeval Prakker	a	the			Primeval Prakkers		the
cabfd2	Spry Prakker	a	the			Spry Prakkers		the
cabfd3	Budding Prakker	a	the			Budding Prakkers		the
cabfd4	Vigorous Prakker	a	the			Vigorous Prakkers		the
cabfe1	Vigorous Prakker	a	the			Vigorous Prakkers		the
cabfe2	Grown Prakker	a	the			Grown Prakkers		the
cabfe3	Robust Prakker	a	the			Robust Prakkers		the
cabfe4	Mature Prakker	a	the			Mature Prakkers		the
cabff1	Mature Prakker	a	the			Mature Prakkers		the
cabff2	Weather Worn Prakker	a	the			Weather Worn Prakkers		the
cabff3	Great Prakker	a	the			Great Prakkers		the
cabja1	Domesticated Prakker	a	the			Domesticated Prakkers		the
cabja2	Submissive Prakker	a	the			Submissive Prakkers		the
cabja3	Meek Prakker	a	the			Meek Prakkers		the
cabja4	Docile Prakker	a	the			Docile Prakkers		the
cabjb1	Docile Prakker	a	the			Docile Prakkers		the
cabjb2	Calm Prakker	a	the			Calm Prakkers		the
cabjb3	Sluggish Prakker	a	the			Sluggish Prakkers		the
cabjb4	Timorous Prakker	a	the			Timorous Prakkers		the
cabjc1	Timorous Prakker	a	the			Timorous Prakkers		the
cabjc2	Swamp Prakker	a	the			Swamp Prakkers		the
cabjc3	Jungle Prakker	a	the			Jungle Prakkers		the
cabjc4	Vigilent Prakker	a	the			Vigilent Prakkers		the
cabjd1	Vigilent Prakker	a	the			Vigilent Prakkers		the
cabjd2	Lampooning Prakker	a	the			Lampooning Prakkers		the
cabjd3	Vile Prakker	a	the			Vile Prakkers		the
cabjd4	Clammy Prakker	a	the			Clammy Prakkers		the
cabje1	Clammy Prakker	a	the			Clammy Prakkers		the
cabje2	Rattled Prakker	a	the			Rattled Prakkers		the
cabje3	Savage Prakker	a	the			Savage Prakkers		the
cabje4	Raging Prakker	a	the			Raging Prakkers		the
cabjf1	Raging Prakker	a	the			Raging Prakkers		the
cabjf2	Ferocious Prakker	a	the			Ferocious Prakkers		the
cabjf3	Fiendish Prakker	a	the			Fiendish Prakkers		the
cabla1	Dumn Prakker	a	the			Dumn Prakkers		the
cabla2	Tranquil Prakker	a	the			Tranquil Prakkers		the
cabla3	Calm Prakker	a	the			Calm Prakkers		the
cabla4	Docile Prakker	a	the			Docile Prakkers		the
cabpa1	Murky Prakker	a	the			Murky Prakkers		the
cabpa2	Nocturnal Prakker	a	the			Nocturnal Prakkers		the
cabpa3	Sullen Prakker	a	the			Sullen Prakkers		the
cabpa4	Lugubrious Prakker	a	the			Lugubrious Prakkers		the
cabpb1	Lugubrious Prakker	a	the			Lugubrious Prakkers		the
cabpb2	Dreadful Prakker	a	the			Dreadful Prakkers		the
cabpb3	Doleful Prakker	a	the			Doleful Prakkers		the
cabpb4	Morbid Prakker	a	the			Morbid Prakkers		the
cabpc1	Morbid Prakker	a	the			Morbid Prakkers		the
cabpc2	Leering Prakker	a	the			Leering Prakkers		the
cabpc3	Prime Root Prakker	a	the			Prime Root Prakkers		the
cabpc4	Grunting Prakker	a	the			Grunting Prakkers		the
cabpd1	Grunting Prakker	a	the			Grunting Prakkers		the
cabpd2	Howling Prakker	a	the			Howling Prakkers		the
cabpd3	Malignant Prakker	a	the			Malignant Prakkers		the
cabpd4	Clammy Prakker	a	the			Clammy Prakkers		the
cabpe1	Clammy Prakker	a	the			Clammy Prakkers		the
cabpe2	Wicked Prakker	a	the			Wicked Prakkers		the
cabpe3	Dark-eyed Prakker	a	the			Dark-eyed Prakkers		the
cabpe4	Bloodthirsty Prakker	a	the			Bloodthirsty Prakkers		the
cabpf1	Bloodthirsty Prakker	a	the			Bloodthirsty Prakkers		the
cabpf2	Horrifying Prakker	a	the			Horrifying Prakkers		the
cabpf3	Fiendish Prakker	a	the			Fiendish Prakkers		the
cbada1	Satiated Igara	a	the			Satiated Igaras		the
cbada2	Overfed Igara	an	the			Overfed Igaras		the
cbada3	Crammed Igara	a	the			Crammed Igaras		the
cbada4	Docile Igara	a	the			Docile Igaras		the
cbadb1	Docile Igara	a	the			Docile Igaras		the
cbadb2	Bloated Igara	a	the			Bloated Igaras		the
cbadb3	Replete Igara	a	the			Replete Igaras		the
cbadb4	Sand Igara	a	the			Sand Igaras		the
cbadc1	Sand Igara	a	the			Sand Igaras		the
cbadc2	Lesser Igara	a	the			Lesser Igaras		the
cbadc3	Desert Igara	a	the			Desert Igaras		the
cbadc4	Quenched Igara	a	the			Quenched Igaras		the
cbadd1	Quenched Igara	a	the			Quenched Igaras		the
cbadd2	Common Igara	a	the			Common Igaras		the
cbadd3	Dehydrated Igara	a	the			Dehydrated Igaras		the
cbadd4	Famished Igara	a	the			Famished Igaras		the
cbade1	Famished Igara	a	the			Famished Igaras		the
cbade2	Scouring Igara	a	the			Scouring Igaras		the
cbade3	Panting Igara	a	the			Panting Igaras		the
cbade4	Scrounging Igara	a	the			Scrounging Igaras		the
cbaga1	Pure Igara	a	the			Pure Igaras		the
cbaga2	Unpolluted Igara	an	the			Unpolluted Igaras		the
cbaga3	Corrupt Igara	a	the			Corrupt Igaras		the
cbaga4	Contaminated Igara	a	the			Contaminated Igaras		the
cbagb1	Contaminated Igara	a	the			Contaminated Igaras		the
cbagb2	Infected Igara	an	the			Infected Igaras		the
cbagb3	Tainted Igara	a	the			Tainted Igaras		the
cbagb4	Foul Igara	a	the			Foul Igaras		the
cbagc1	Foul Igara	a	the			Foul Igaras		the
cbagc2	Sullied Igara	a	the			Sullied Igaras		the
cbagc3	Blighted Igara	a	the			Blighted Igaras		the
cbagc4	Poisoned Igara	a	the			Poisoned Igaras		the
cbagd1	Poisoned Igara	a	the			Poisoned Igaras		the
cbagd2	Sickly Igara	a	the			Sickly Igaras		the
cbagd3	Fusty Igara	a	the			Fusty Igaras		the
cbagd4	Pestiferous Igara	a	the			Pestiferous Igaras		the
cbage1	Pestiferous Igara	a	the			Pestiferous Igaras		the
cbage2	Ravaged Igara	a	the			Ravaged Igaras		the
cbage3	Repulsive Igara	a	the			Repulsive Igaras		the
cbage4	Viscous Igara	a	the			Viscous Igaras		the
cbagf1	Viscous Igara	a	the			Viscous Igaras		the
cbagf2	Demented Igara	a	the			Demented Igaras		the
cbagf3	Fiendish Igara	a	the			Fiendish Igaras		the
cbaja1	Domesticated Igara	a	the			Domesticated Igaras		the
cbaja2	Submissive Igara	a	the			Submissive Igaras		the
cbaja3	Meek Igara	a	the			Meek Igaras		the
cbaja4	Docile Igara	a	the			Docile Igaras		the
cbajb1	Docile Igara	a	the			Docile Igaras		the
cbajb2	Calm Igara	a	the			Calm Igaras		the
cbajb3	Sluggish Igara	a	the			Sluggish Igaras		the
cbajb4	Timorous Igara	a	the			Timorous Igaras		the
cbajc1	Timorous Igara	a	the			Timorous Igaras		the
cbajc2	Swamp Igara	a	the			Swamp Igaras		the
cbajc3	Jungle Igara	a	the			Jungle Igaras		the
cbajc4	Vigilent Igara	a	the			Vigilent Igaras		the
cbajd1	Vigilent Igara	a	the			Vigilent Igaras		the
cbajd2	Lampooning Igara	a	the			Lampooning Igaras		the
cbajd3	Vile Igara	a	the			Vile Igaras		the
cbajd4	Clammy Igara	a	the			Clammy Igaras		the
cbaje1	Clammy Igara	a	the			Clammy Igaras		the
cbaje2	Rattled Igara	a	the			Rattled Igaras		the
cbaje3	Savage Igara	a	the			Savage Igaras		the
cbaje4	Raging Igara	a	the			Raging Igaras		the
cbajf5	Kim-kol	the	the			Kim-kols		the
cbbda1	Satiated Izam	a	the			Satiated Izams		the
cbbda2	Overfed Izam	an	the			Overfed Izams		the
cbbda3	Crammed Izam	a	the			Crammed Izams		the
cbbda4	Docile Izam	a	the			Docile Izams		the
cbbdb1	Docile Izam	a	the			Docile Izams		the
cbbdb2	Bloated Izam	a	the			Bloated Izams		the
cbbdb3	Replete Izam	a	the			Replete Izams		the
cbbdb4	Sand Izam	a	the			Sand Izams		the
cbbdc1	Sand Izam	a	the			Sand Izams		the
cbbdc2	Lesser Izam	a	the			Lesser Izams		the
cbbdc3	Desert Izam	a	the			Desert Izams		the
cbbdc4	Quenched Izam	a	the			Quenched Izams		the
cbbde1	Famished Izam	a	the			Famished Izams		the
cbbde2	Scouring Izam	a	the			Scouring Izams		the
cbbde3	Panting Izam	a	the			Panting Izams		the
cbbde4	Scrounging Izam	a	the			Scrounging Izams		the
cbbde5	Dylion	the	the			Dylions		the
cbbja1	Domesticated Izam	a	the			Domesticated Izams		the
cbbja2	Submissive Izam	a	the			Submissive Izams		the
cbbja3	Meek Izam	a	the			Meek Izams		the
cbbja4	Docile Izam	a	the			Docile Izams		the
cbbjb1	Docile Izam	a	the			Docile Izams		the
cbbjb2	Calm Izam	a	the			Calm Izams		the
cbbjb3	Sluggish Izam	a	the			Sluggish Izams		the
cbbjb4	Timorous Izam	a	the			Timorous Izams		the
cbbjc1	Timorous Izam	a	the			Timorous Izams		the
cbbjc2	Swamp Izam	a	the			Swamp Izams		the
cbbjc3	Jungle Izam	a	the			Jungle Izams		the
cbbjc4	Vigilent Izam	a	the			Vigilent Izams		the
cbbje1	Clammy Izam	a	the			Clammy Izams		the
cbbje2	Rattled Izam	a	the			Rattled Izams		the
cbbje3	Savage Izam	a	the			Savage Izams		the
cbbje4	Raging Izam	a	the			Raging Izams		the
cbbjf1	Raging Izam	a	the			Raging Izams		the
cbbjf2	Ferocious Izam	a	the			Ferocious Izams		the
cbbjf3	Fiendish Izam	a	the			Fiendish Izams		the
cbbla1	Dumn Izam	a	the			Dumn Izams		the
cbbla2	Tranquil Izam	a	the			Tranquil Izams		the
cbbla3	Calm Izam	a	the			Calm Izams		the
cbbla4	Docile Izam	a	the			Docile Izams		the
cbblb1	Docile Izam	a	the			Docile Izams		the
cbblb2	Wandering Izam	a	the			Wandering Izams		the
cbblb3	Gamboling Izam	a	the			Gamboling Izams		the
cbblb4	Reed Izam	a	the			Reed Izams		the
cbblc1	Reed Izam	a	the			Reed Izams		the
cbblc2	Minor Izam	a	the			Minor Izams		the
cbblc3	Water Izam	a	the			Water Izams		the
cbblc4	Ferreting Izam	a	the			Ferreting Izams		the
cbbld1	Ferreting Izam	a	the			Ferreting Izams		the
cbbld2	Furrowing Izam	a	the			Furrowing Izams		the
cbbld3	Scouring Izam	a	the			Scouring Izams		the
cbbld4	Stalking Izam	a	the			Stalking Izams		the
cbbpa1	Murky Izam	a	the			Murky Izams		the
cbbpa2	Nocturnal Izam	a	the			Nocturnal Izams		the
cbbpa3	Sullen Izam	a	the			Sullen Izams		the
cbbpa4	Lugubrious Izam	a	the			Lugubrious Izams		the
cbbpb1	Lugubrious Izam	a	the			Lugubrious Izams		the
cbbpb2	Dreadful Izam	a	the			Dreadful Izams		the
cbbpb3	Doleful Izam	a	the			Doleful Izams		the
cbbpb4	Morbid Izam	a	the			Morbid Izams		the
cbbpc1	Morbid Izam	a	the			Morbid Izams		the
cbbpc2	Leering Izam	a	the			Leering Izams		the
cbbpc3	Prime Root Izam	a	the			Prime Root Izams		the
cbbpc4	Grunting Izam	a	the			Grunting Izams		the
cbbpd1	Grunting Izam	a	the			Grunting Izams		the
cbbpd2	Howling Izam	a	the			Howling Izams		the
cbbpd3	Malignant Izam	a	the			Malignant Izams		the
cbbpd4	Clammy Izam	a	the			Clammy Izams		the
cbcga1	Pure Yber	a	the			Pure Ybers		the
cbcga2	Unpolluted Yber	an	the			Unpolluted Ybers		the
cbcga3	Corrupt Yber	a	the			Corrupt Ybers		the
cbcga4	Contaminated Yber	a	the			Contaminated Ybers		the
cbcgb1	Contaminated Yber	a	the			Contaminated Ybers		the
cbcgb2	Infected Yber	an	the			Infected Ybers		the
cbcgb3	Tainted Yber	a	the			Tainted Ybers		the
cbcgb4	Yber							
cbcgc1	Foul Yber	a	the			Foul Ybers		the
cbcgc2	Sullied Yber	a	the			Sullied Ybers		the
cbcgc3	Blighted Yber	a	the			Blighted Ybers		the
cbcgc4	Poisoned Yber	a	the			Poisoned Ybers		the
cbcgd1	Poisoned Yber	a	the			Poisoned Ybers		the
cbcgd2	Sickly Yber	a	the			Sickly Ybers		the
cbcgd3	Fusty Yber	a	the			Fusty Ybers		the
cbcgd4	Pestiferous Yber	a	the			Pestiferous Ybers		the
cbcge1	Pestiferous Yber	a	the			Pestiferous Ybers		the
cbcge2	Ravaged Yber	a	the			Ravaged Ybers		the
cbcge3	Repulsive Yber	a	the			Repulsive Ybers		the
cbcge4	Viscous Yber	a	the			Viscous Ybers		the
cbcgf1	Viscous Yber	a	the			Viscous Ybers		the
cbcgf2	Demented Yber	a	the			Demented Ybers		the
cbcgf3	Fiendish Yber	a	the			Fiendish Ybers		the
cbcja1	Domesticated Yber	a	the			Domesticated Ybers		the
cbcja2	Submissive Yber	a	the			Submissive Ybers		the
cbcja3	Meek Yber	a	the			Meek Ybers		the
cbcja4	Docile Yber	a	the			Docile Ybers		the
cbcjb1	Docile Yber	a	the			Docile Ybers		the
cbcjb2	Calm Yber	a	the			Calm Ybers		the
cbcjb3	Sluggish Yber	a	the			Sluggish Ybers		the
cbcjb4	Timorous Yber	a	the			Timorous Ybers		the
cbcjc1	Timorous Yber	a	the			Timorous Ybers		the
cbcjc2	Swamp Yber	a	the			Swamp Ybers		the
cbcjc3	Jungle Yber	a	the			Jungle Ybers		the
cbcjc4	Vigilent Yber	a	the			Vigilent Ybers		the
cbcjd1	Vigilent Yber	a	the			Vigilent Ybers		the
cbcjd2	Lampooning Yber	a	the			Lampooning Ybers		the
cbcjd3	Vile Yber	a	the			Vile Ybers		the
cbcjd4	Clammy Yber	a	the			Clammy Ybers		the
cbcje1	Clammy Yber	a	the			Clammy Ybers		the
cbcje2	Rattled Yber	a	the			Rattled Ybers		the
cbcje3	Savage Yber	a	the			Savage Ybers		the
cbcje4	Raging Yber	a	the			Raging Ybers		the
cbcla1	Dumn Yber	a	the			Dumn Ybers		the
cbcla2	Tranquil Yber	a	the			Tranquil Ybers		the
cbcla3	Calm Yber	a	the			Calm Ybers		the
cbcla4	Docile Yber	a	the			Docile Ybers		the
cbclb1	Docile Yber	a	the			Docile Ybers		the
cbclb2	Wandering Yber	a	the			Wandering Ybers		the
cbclb3	Gamboling Yber	a	the			Gamboling Ybers		the
cbclb4	Reed Yber	a	the			Reed Ybers		the
cbclc1	Reed Yber	a	the			Reed Ybers		the
cbclc2	Minor Yber	a	the			Minor Ybers		the
cbclc3	Water Yber	a	the			Water Ybers		the
cbclc4	Ferreting Yber	a	the			Ferreting Ybers		the
ccada1	Satiated Gingo	a	the			Satiated Gingos		the
ccada2	Overfed Gingo	an	the			Overfed Gingos		the
ccada3	Crammed Gingo	a	the			Crammed Gingos		the
ccada4	Docile Gingo	a	the			Docile Gingos		the
ccadb1	Docile Gingo	a	the			Docile Gingos		the
ccadb2	Bloated Gingo	a	the			Bloated Gingos		the
ccadb3	Replete Gingo	a	the			Replete Gingos		the
ccadb4	Sand Gingo	a	the			Sand Gingos		the
ccade1	Famished Gingo	a	the			Famished Gingos		the
ccade2	Scouring Gingo	a	the			Scouring Gingos		the
ccade3	Panting Gingo	a	the			Panting Gingos		the
ccade4	Scrounging Gingo	a	the			Scrounging Gingos		the
ccafa1	Fledgling Gingo	a	the			Fledgling Gingos		the
ccafa2	Weeny Gingo	a	the			Weeny Gingos		the
ccafa3	Little Gingo	a	the			Little Gingos		the
ccafa4	Puny Gingo	a	the			Puny Gingos		the
ccafb1	Puny Gingo	a	the			Puny Gingos		the
ccafb2	Mild Gingo	a	the			Mild Gingos		the
ccafb3	Prime Gingo	a	the			Prime Gingos		the
ccafb4	Wild Gingo	a	the			Wild Gingos		the
ccafc1	Moor Gingo	a	the			Moor Gingos		the
ccafc2	Lesser Gingo	a	the			Lesser Gingos		the
ccafc3	Wood Gingo	a	the			Wood Gingos		the
ccafc4	Primeval Gingo	a	the			Primeval Gingos		the
ccafd5	Torrius	the	the			Torriuss		the
ccafe1	Vigorous Gingo	a	the			Vigorous Gingos		the
ccafe2	Grown Gingo	a	the			Grown Gingos		the
ccafe3	Robust Gingo	a	the			Robust Gingos		the
ccafe4	Mature Gingo	a	the			Mature Gingos		the
ccaga1	Pure Gingo	a	the			Pure Gingos		the
ccaga2	Unpolluted Gingo	an	the			Unpolluted Gingos		the
ccaga3	Corrupt Gingo	a	the			Corrupt Gingos		the
ccaga4	Contaminated Gingo	a	the			Contaminated Gingos		the
ccagb1	Contaminated Gingo	a	the			Contaminated Gingos		the
ccagb2	Infected Gingo	an	the			Infected Gingos		the
ccagb3	Tainted Gingo	a	the			Tainted Gingos		the
ccagb4	Foul Gingo	a	the			Foul Gingos		the
ccagc1	Foul Gingo	a	the			Foul Gingos		the
ccagc2	Sullied Gingo	a	the			Sullied Gingos		the
ccagc3	Blighted Gingo	a	the			Blighted Gingos		the
ccagc4	Poisoned Gingo	a	the			Poisoned Gingos		the
ccagd1	Poisoned Gingo	a	the			Poisoned Gingos		the
ccagd2	Sickly Gingo	a	the			Sickly Gingos		the
ccagd3	Fusty Gingo	a	the			Fusty Gingos		the
ccagd4	Pestiferous Gingo	a	the			Pestiferous Gingos		the
ccage1	Pestiferous Gingo	a	the			Pestiferous Gingos		the
ccage2	Ravaged Gingo	a	the			Ravaged Gingos		the
ccage3	Repulsive Gingo	a	the			Repulsive Gingos		the
ccage4	Viscous Gingo	a	the			Viscous Gingos		the
ccagf1	Viscous Gingo	a	the			Viscous Gingos		the
ccagf2	Demented Gingo	a	the			Demented Gingos		the
ccagf3	Fiendish Gingo	a	the			Fiendish Gingos		the
ccaja1	Domesticated Gingo	a	the			Domesticated Gingos		the
ccaja2	Submissive Gingo	a	the			Submissive Gingos		the
ccaja3	Meek Gingo	a	the			Meek Gingos		the
ccaja4	Docile Gingo	a	the			Docile Gingos		the
ccajd1	Vigilent Gingo	a	the			Vigilent Gingos		the
ccajd2	Lampooning Gingo	a	the			Lampooning Gingos		the
ccajd3	Vile Gingo	a	the			Vile Gingos		the
ccajd4	Clammy Gingo	a	the			Clammy Gingos		the
ccaje1	Clammy Gingo	a	the			Clammy Gingos		the
ccaje2	Rattled Gingo	a	the			Rattled Gingos		the
ccaje3	Savage Gingo	a	the			Savage Gingos		the
ccaje4	Raging Gingo	a	the			Raging Gingos		the
ccbda1	Satiated Clopper	a	the			Satiated Cloppers		the
ccbda2	Overfed Clopper	an	the			Overfed Cloppers		the
ccbda3	Crammed Clopper	a	the			Crammed Cloppers		the
ccbda4	Docile Clopper	a	the			Docile Cloppers		the
ccbdb1	Docile Clopper	a	the			Docile Cloppers		the
ccbdb2	Bloated Clopper	a	the			Bloated Cloppers		the
ccbdb3	Replete Clopper	a	the			Replete Cloppers		the
ccbdb4	Sand Clopper	a	the			Sand Cloppers		the
ccbdc1	Sand Clopper	a	the			Sand Cloppers		the
ccbdc2	Lesser Clopper	a	the			Lesser Cloppers		the
ccbdc3	Desert Clopper	a	the			Desert Cloppers		the
ccbdc4	Quenched Clopper	a	the			Quenched Cloppers		the
ccbde5	Nekothus	the	the			Nekothuss		the
ccbga1	Pure Clopper	a	the			Pure Cloppers		the
ccbga2	Unpolluted Clopper	an	the			Unpolluted Cloppers		the
ccbga3	Corrupt Clopper	a	the			Corrupt Cloppers		the
ccbga4	Contaminated Clopper	a	the			Contaminated Cloppers		the
ccbgb1	Contaminated Clopper	a	the			Contaminated Cloppers		the
ccbgb2	Infected Clopper	an	the			Infected Cloppers		the
ccbgb3	Tainted Clopper	a	the			Tainted Cloppers		the
ccbgb4	Foul Clopper	a	the			Foul Cloppers		the
ccbgc1	Foul Clopper	a	the			Foul Cloppers		the
ccbgc2	Sullied Clopper	a	the			Sullied Cloppers		the
ccbgc3	Blighted Clopper	a	the			Blighted Cloppers		the
ccbgc4	Poisoned Clopper	a	the			Poisoned Cloppers		the
ccbgd1	Poisoned Clopper	a	the			Poisoned Cloppers		the
ccbgd2	Sickly Clopper	a	the			Sickly Cloppers		the
ccbgd3	Fusty Clopper	a	the			Fusty Cloppers		the
ccbgd4	Pestiferous Clopper	a	the			Pestiferous Cloppers		the
ccbge1	Pestiferous Clopper	a	the			Pestiferous Cloppers		the
ccbge2	Ravaged Clopper	a	the			Ravaged Cloppers		the
ccbge3	Repulsive Clopper	a	the			Repulsive Cloppers		the
ccbge4	Viscous Clopper	a	the			Viscous Cloppers		the
ccbgf1	Viscous Clopper	a	the			Viscous Cloppers		the
ccbgf2	Demented Clopper	a	the			Demented Cloppers		the
ccbgf3	Fiendish Clopper	a	the			Fiendish Cloppers		the
ccbla1	Clopper							
ccbla2	Clopper							
ccblb1	Clopper							
ccblb2	Clopper							
ccblb3	Clopper							
ccblb4	Clopper							
ccblc1	Clopper							
ccblc2	Clopper							
ccblc3	Clopper							
ccblc4	Clopper							
ccbpa1	Murky Clopper	a	the			Murky Cloppers		the
ccbpa2	Nocturnal Clopper	a	the			Nocturnal Cloppers		the
ccbpa3	Sullen Clopper	a	the			Sullen Cloppers		the
ccbpa4	Lugubrious Clopper	a	the			Lugubrious Cloppers		the
ccbpb1	Lugubrious Clopper	a	the			Lugubrious Cloppers		the
ccbpb2	Dreadful Clopper	a	the			Dreadful Cloppers		the
ccbpb3	Doleful Clopper	a	the			Doleful Cloppers		the
ccbpb4	Morbid Clopper	a	the			Morbid Cloppers		the
ccbpc1	Morbid Clopper	a	the			Morbid Cloppers		the
ccbpc2	Leering Clopper	a	the			Leering Cloppers		the
ccbpc3	Prime Root Clopper	a	the			Prime Root Cloppers		the
ccbpc4	Grunting Clopper	a	the			Grunting Cloppers		the
cccda1	Satiated Goari	a	the			Satiated Goaris		the
cccda2	Overfed Goari	an	the			Overfed Goaris		the
cccda3	Crammed Goari	a	the			Crammed Goaris		the
cccda4	Docile Goari	a	the			Docile Goaris		the
cccdb1	Docile Goari	a	the			Docile Goaris		the
cccdb2	Bloated Goari	a	the			Bloated Goaris		the
cccdb3	Replete Goari	a	the			Replete Goaris		the
cccdb4	Sand Goari	a	the			Sand Goaris		the
cccdc1	Sand Goari	a	the			Sand Goaris		the
cccdc2	Lesser Goari	a	the			Lesser Goaris		the
cccdc3	Desert Goari	a	the			Desert Goaris		the
cccdc4	Quenched Goari	a	the			Quenched Goaris		the
cccgb1	Goari							
cccgb2	Goari							
cccgb3	Goari							
cccgb4	Goari							
cccgc1	Goari							
cccgc2	Goari							
cccgc3	Goari							
cccgc4	Goari							
cccgd1	Goari							
cccgd2	Goari							
cccgd3	Goari							
cccgd4	Goari							
cccge1	Goari							
cccge2	Goari							
cccge3	Goari							
cccge4	Goari							
cccgf1	Goari							
cccgf2	Goari							
