skill ID	name	ia	da	p	pia	pda	description
AcurateBleedingShot	accurate bleeding shot 	an	the	accurate bleeding shots 		the	
AcurateBreathlessShot	accurate breathless shot	an	the	accurate breathless shots		the	
AnimalSlideslip	animal slideslip	an	the	animal slideslips		the	
AnimalStalking	animal stalking	an	the	animal stalkings		the	
Apothecary	apothecary	an	the	apothecaries		the	
Area	area	an	the	areas		the	
ArmorAndWeaponSmithing	armor and weapon smithing			armor and weapon smithing		the	
ArtAndCraft	arts and crafts	an	the	arts and crafts		the	
AttackKamisKnowledge	attack Kamis knowledge	an	the	attack Kamis knowledge		the	
AtysianRegeneration	atysian regeneration	an	the	atysian regenerations		the	
Axe	axe	an	the	axes		the	
BackdraftStab	backdraft stab	a	the	backdraft stabs		the	
BadLuck	bad luck	a	the	bad lucks		the	
BarehandedCombat	barehanded combat	a	the	barehanded combats		the	
BersekAttack	berserk attack	a	the	berserk attacks		the	
SML	Magic Link	a	the	Magic link		the	Magic link
SMLM	Missile Link	a	the	Magic link missile		the	Magic link missile
SMLMR	Primal Link	a	the	Magic link missile - Primal		the	Magic link missile - Primal
SMLMG	Atysian Link	a	the	Magic link missile - Atysian		the	Magic link missile - Atysian
SMLMB	Celestial Link	a	the	Magic link missile - Celestial		the	Magic link missile - Celestial
SMLO	Offensive Link	a	the	Magic link offensive		the	Magic link offensive
SMLOS	Sickness Link	a	the	Magic link offensive sickness		the	Magic link offensive sickness
SMLOSM	Madness Link	a	the	Magic link offensive sickness - madness		the	Magic link offensive sickness - madness
SMLOSS	Speed Debuff Link	a	the	Magic link offensive sickness - speed debuff		the	Magic link offensive sickness - speed debuff
SMLOSR	Resist Debuff Link	a	the	Magic link offensive sickness - resist debuff		the	Magic link offensive sickness - resist debuff
SMLOSK	Skill Debuff Link	a	the	Magic link offensive sickness - skill debuff		the	Magic link offensive sickness - skill debuff
SMLOC	Curse Link	a	the	Magic link offensive curse		the	Magic link offensive curse
SMLOCI	Incapacity Link	a	the	Magic link offensive curse - incapacity		the	Magic link offensive curse - incapacity
SMLOCM	Mental Disturbance Link	a	the	Magic link offensive curse - mental disturbance		the	Magic link offensive curse - mental disturbance
SMLOCS	Misfortune Link	a	the	Magic link offensive curse - misfortune		the	Magic link offensive curse - misfortune
SMLOCH	Hatred Link	a	the	Magic link offensive curse - hatred		the	Magic link offensive curse - hatred
SMLOD	Physical Link	a	the	Magic link offensive damage		the	Magic link offensive damage
SMLODP	Piercing Link	a	the	Magic link offensive damage - piercing		the	Magic link offensive damage - piercing
SMLODB	Blunt Link	a	the	Magic link offensive damage - blunt		the	Magic link offensive damage - blunt
SMLODS	Slashing Link	a	the	Magic link offensive damage - slashing		the	Magic link offensive damage - slashing
SMLOE	Elemental Link	a	the	Magic link offensive special damage		the	Magic link offensive special damage
SMLOEC	Cold Link	a	the	Magic link offensive special damage - cold		the	Magic link offensive special damage - cold
SMLOEA	Acid Link	a	the	Magic link offensive special damage - acid		the	Magic link offensive special damage - acid
SMLOER	Rot Link	a	the	Magic link offensive special damage - rot		the	Magic link offensive special damage - rot
SMLOEF	Fire Link	a	the	Magic link offensive special damage - fire		the	Magic link offensive special damage - fire
SMLOES	Shockwave Link	a	the	Magic link offensive special damage - shockwave		the	Magic link offensive special damage - shockwave
SMLOEP	Poison Link	a	the	Magic link offensive special damage - poison		the	Magic link offensive special damage - poison
SMLOEE	Electric Link	a	the	Magic link offensive special damage - electric		the	Magic link offensive special damage - electric
SMLC	Curative Link	a	the	Magic link curative		the	Magic link curative
SMLCH	Healing Link	a	the	Magic link curative heal		the	Magic link curative heal
SMLCHP	HP Healing Link	a	the	Magic link curative heal - HP		the	Magic link curative heal - HP
SMLCHT	STA Healing Link	a	the	Magic link curative heal - STA		the	Magic link curative heal - STA
SMLCHA	SAP Healing Link	a	the	Magic link curative heal - SAP		the	Magic link curative heal - SAP
SMLCHC	Focus Healing Link	a	the	Magic link curative heal - Focus		the	Magic link curative heal - Focus
SMA	Autonomous Magic	a	the	Magic autonomous		the	Magic autonomous
SMAE	Enchantment Magic	a	the	Magic enchantment		the	Magic enchantment
SMAES	Spell Enchantment	a	the	Magic enchantment - spell		the	Magic enchantment - spell
SMAEB	Bonus Enchantment	a	the	Magic enchantment - bonus		the	Magic enchantment - bonus
SMAP	Potion Making Magic	a	the	Magic potion making		the	Magic potion making
SD	Defense	a	the	Defense		the	Defense
SDA	Armor defense	an	the	Armor defense		the	Armor defense
SDAL	Light armor defense	a	the	Light armor defense		the	Light armor defense
SDALF	Light armor defense - Fyros	a	the	Light armor defense - Fyros		the	Light armor defense - Fyros
SDALFA	Advanced light armor defense - Fyros	an	the	Advanced light armor defense - Fyros		the	Advanced light armor defense - Fyros
SDALFAE	Expert light armor defense - Fyros	an	the	Expert light armor defense - Fyros		the	Expert light armor defense - Fyros
SDALM	Light armor defense - Matis	a	the	Light armor defense - Matis		the	Light armor defense - Matis
SDALMA	Advanced light armor defense - Matis	an	the	Advanced light armor defense - Matis		the	Advanced light armor defense - Matis
SDALMAE	Expert light armor defense - Matis	an	the	Expert light armor defense - Matis		the	Expert light armor defense - Matis
SDALT	Light armor defense - Tryker	a	the	Light armor defense - Tryker		the	Light armor defense - Tryker
SDALTA	Advanced light armor defense - Tryker	an	the	Advanced light armor defense - Tryker		the	Advanced light armor defense - Tryker
SDALTAE	Expert light armor defense - Tryker	an	the	Expert light armor defense - Tryker		the	Expert light armor defense - Tryker
SDALZ	Light armor defense - Zoraï	a	the	Light armor defense - Zoraï		the	Light armor defense - Zoraï
SDALZA	Advanced light armor defense - Zoraï	an	the	Advanced light armor defense - Zoraï		the	Advanced light armor defense - Zoraï
SDALZAE	Expert light armor defense - Zoraï	an	the	Expert light armor defense - Zoraï		the	Expert light armor defense - Zoraï
SDAM	Medium armor defense	a	the	Medium armor defense		the	Medium armor defense
SDAMF	Medium armor defense - Fyros	a	the	Medium armor defense - Fyros		the	Medium armor defense - Fyros
SDAMFA	Advanced medium armor defense - Fyros	an	the	Advanced medium armor defense - Fyros		the	Advanced medium armor defense - Fyros
SDAMFAE	Expert medium armor defense - Fyros	an	the	Expert medium armor defense - Fyros		the	Expert medium armor defense - Fyros
SDAMM	Medium armor defense - Matis	a	the	Medium armor defense - Matis		the	Medium armor defense - Matis
SDAMMA	Advanced medium armor defense - Matis	an	the	Advanced medium armor defense - Matis		the	Advanced medium armor defense - Matis
SDAMMAE	Expert medium armor defense - Matis	an	the	Expert medium armor defense - Matis		the	Expert medium armor defense - Matis
SDAMT	Medium armor defense - Tryker	a	the	Medium armor defense - Tryker		the	Medium armor defense - Tryker
SDAMTA	Advanced medium armor defense - Tryker	an	the	Advanced medium armor defense - Tryker		the	Advanced medium armor defense - Tryker
SDAMTAE	Expert medium armor defense - Tryker	an	the	Expert medium armor defense - Tryker		the	Expert medium armor defense - Tryker
SDAMZ	Medium armor defense - Zoraï	a	the	Medium armor defense - Zoraï		the	Medium armor defense - Zoraï
SDAMZA	Advanced medium armor defense - Zoraï	an	the	Advanced medium armor defense - Zoraï		the	Advanced medium armor defense - Zoraï
SDAMZAE	Expert medium armor defense - Zoraï	an	the	Expert medium armor defense - Zoraï		the	Expert medium armor defense - Zoraï
SDAH	Expert armor defense	an	the	Expert armor defense		the	Expert armor defense
SDAHF	Expert armor defense - Fyros	an	the	Expert armor defense - Fyros		the	Expert armor defense - Fyros
SDAHFA	Advanced expert armor defense - Fyros	an	the	Advanced expert armor defense - Fyros		the	Advanced expert armor defense - Fyros
SDAHFAE	Expert expert armor defense - Fyros	an	the	Expert expert armor defense - Fyros		the	Expert expert armor defense - Fyros
SDAHM	Expert armor defense - Matis	an	the	Expert armor defense - Matis		the	Expert armor defense - Matis
SDAHMA	Advanced expert armor defense - Matis	an	the	Advanced expert armor defense - Matis		the	Advanced expert armor defense - Matis
SDAHMAE	Expert expert armor defense - Matis	an	the	Expert expert armor defense - Matis		the	Expert expert armor defense - Matis
SDAHT	Expert armor defense - Tryker	an	the	Expert armor defense - Tryker		the	Expert armor defense - Tryker
SDAHTA	Advanced expert armor defense - Tryker	an	the	Advanced expert armor defense - Tryker		the	Advanced expert armor defense - Tryker
SDAHTAE	Expert expert armor defense - Tryker	an	the	Expert expert armor defense - Tryker		the	Expert expert armor defense - Tryker
SDAHZ	Expert armor defense - Zoraï	an	the	Expert armor defense - Zoraï		the	Expert armor defense - Zoraï
SDAHZA	Advanced expert armor defense - Zoraï	an	the	Advanced expert armor defense - Zoraï		the	Advanced expert armor defense - Zoraï
SDAHZAE	Expert expert armor defense - Zoraï	an	the	Expert expert armor defense - Zoraï		the	Expert expert armor defense - Zoraï
SDS	Shield defense	a	the	Shield defense		the	Shield defense
SDSB	Shield buckler defense 	a	the	Shield buckler defense 		the	Shield buckler defense 
SDSBF	Shield buckler defense - Fyros	a	the	Shield buckler defense - Fyros		the	Shield buckler defense - Fyros
