item ID	name	ia	da	p	pia	pda	description								
icfp2ls	Fyros Launcher Slashing Ammo	a	the	Fyros Launcher Slashing Ammo		the									
icfp2rb	Fyros Rifle Blunting Ammo	a	the	Fyros Rifle Blunting Ammo		the									
icfp2rp	Fyros Rifle Piercing Ammo	a	the	Fyros Rifle Piercing Ammo		the									
icfp2rs	Fyros Rifle Slashing Ammo	a	the	Fyros Rifle Slashing Ammo		the									
icfr1b	Fyros Bowpistol	a	the	Fyros Bowpistols		the									
icfr1p	Fyros Pistol	a	the	Fyros Pistols		the									
icfr2a	Fyros Autolauncher	a	the	Fyros Autolaunchers		the									
icfr2b	Fyros Bowrifle	a	the	Fyros Bowrifles		the									
icfr2l	Fyros Launcher	a	the	Fyros Launchers		the									
icfr2r	Fyros Rifle	a	the	Fyros Rifles		the									
icfsb	Fyros Buckler	a	the	Fyros Bucklers		the									
icfss	Fyros Shield	a	the	Fyros Shields		the									
icmahb	Matis Heavy Boots	a	the	Matis Heavy Boots		the									
icmahg	Matis Heavy Gloves	a	the	Matis Heavy Gloves		the									
icmahh	Matis Heavy Helmet	a	the	Matis Heavy Helmet		the									
icmahp	Matis Heavy Pants	a	the	Matis Heavy Pants		the									
icmahs	Matis Heavy Sleeves	a	the	Matis Heavy Sleeves		the									
icmahv	Matis Heavy Vest	a	the	Matis Heavy Vests		the									
icmalb	Matis Light Boots	a	the	Matis Light Boots		the									
icmalg	Matis Light Gloves	a	the	Matis Light Gloves		the									
icmalp	Matis Light Pants	a	the	Matis Light Pants		the									
icmals	Matis Light Sleeves	a	the	Matis Light Sleeves		the									
icmalv	Matis Light Vest	a	the	Matis Light Vests		the									
icmamb	Matis Medium Boots	a	the	Matis Medium Boots		the									
icmamg	Matis Medium Gloves	a	the	Matis Medium Gloves		the									
icmamp	Matis Medium Pants	a	the	Matis Medium Pants		the									
icmams	Matis Medium Sleeves	a	the	Matis Medium Sleeves		the									
icmamv	Matis Medium Vest	a	the	Matis Medium Vests		the									
icmja	Matis Anklet	a	the	Matis Anklets		the									
icmjb	Matis Bracelet	a	the	Matis Bracelets		the									
icmjd	Matis Diadem	a	the	Matis Diadems		the									
icmje	Matis Earring	a	the	Matis Earrings		the									
icmjp	Matis Pendant	a	the	Matis Pendants		the									
icmjr	Matis Ring	a	the	Matis Rings		the									
icmm1bm	Matis Mace	a	the	Matis Maces		the									
icmm1bs	Matis Staff	a	the	Matis Staffs		the									
icmm1pd	Matis Dagger	a	the	Matis Daggers		the									
icmm1ps	Matis Lance	a	the	Matis Lances		the									
icmm1sa	Matis Axe	a	the	Matis Axes		the									
icmm1ss	Matis Sword	a	the	Matis Swords		the									
icmm2bm	Matis Long Mace	a	the	Matis Long Maces		the									
icmm2pp	Matis Pike	a	the	Matis Pikes		the									
icmm2sa	Matis Long Axe	a	the	Matis Long Axes		the									
icmm2ss	Matis Long Sword	a	the	Matis Long Swords		the									
icmp1bb	Matis Bowpistol Blunting Ammo	a	the	Matis Bowpistol Blunting Ammo		the									
icmp1bp	Matis Bowpistol Piercing Ammo	a	the	Matis Bowpistol Piercing Ammo		the									
icmp1bs	Matis Bowpistol Slashing Ammo	a	the	Matis Bowpistol Slashing Ammo		the									
icmp1gb	Matis Grenade Blunting Ammo	a	the	Matis Grenade Blunting Ammo		the									
icmp1gp	Matis Grenade Piercing Ammo	a	the	Matis Grenade Piercing Ammo		the									
icmp1gs	Matis Grenade Slashing Ammo	a	the	Matis Grenade Slashing Ammo		the									
icmp1pb	Matis Pistol Blunting Ammo	a	the	Matis Pistol Blunting Ammo		the									
icmp1pp	Matis Pistol Piercing Ammo	a	the	Matis Pistol Piercing Ammo		the									
icmp1ps	Matis Pistol Slashing Ammo	a	the	Matis Pistol Slashing Ammo		the									
icmp2ab	Matis Autolauncher Blunting Ammo	a	the	Matis Autolauncher Blunting Ammo		the									
icmp2ap	Matis Autolauncher Piercing Ammo	a	the	Matis Autolauncher Piercing Ammo		the									
icmp2as	Matis Autolauncher Slashing Ammo	a	the	Matis Autolauncher Slashing Ammo		the									
icmp2bb	Matis Bowrifle Blunting Ammo	a	the	Matis Bowrifle Blunting Ammo		the									
icmp2bp	Matis Bowrifle Piercing Ammo	a	the	Matis Bowrifle Piercing Ammo		the									
icmp2bs	Matis Bowrifle Slashing Ammo	a	the	Matis Bowrifle Slashing Ammo		the									
icmp2lb	Matis Launcher Blunting Ammo	a	the	Matis Launcher Blunting Ammo		the									
icmp2lp	Matis Launcher Piercing Ammo	a	the	Matis Launcher Piercing Ammo		the									
icmp2ls	Matis Launcher Slashing Ammo	a	the	Matis Launcher Slashing Ammo		the									
icmp2rb	Matis Rifle Blunting Ammo	a	the	Matis Rifle Blunting Ammo		the									
icmp2rp	Matis Rifle Piercing Ammo	a	the	Matis Rifle Piercing Ammo		the									
icmp2rs	Matis Rifle Slashing Ammo	a	the	Matis Rifle Slashing Ammo		the									
icmr1b	Matis Bowpistol	a	the	Matis Bowpistols		the									
icmr1p	Matis Pistol	a	the	Matis Pistols		the									
icmr2a	Matis Autolauncher	a	the	Matis Autolaunchers		the									
icmr2b	Matis Bowrifle	a	the	Matis Bowrifles		the									
icmr2l	Matis Launcher	a	the	Matis Launchers		the									
icmr2r	Matis Rifle	a	the	Matis Rifles		the									
icmsb	Matis Buckler	a	the	Matis Bucklers		the									
icmss	Matis Shield	a	the	Matis Shields		the									
icraba	Refugee boots	a	the	Refugee boots		the									
icrabe	Refugee boots	a	the	Refugee boots		the									
icrabg	Refugee boots	a	the	Refugee boots		the									
icrabr	Refugee boots	a	the	Refugee boots		the									
icrabt	Refugee boots	a	the	Refugee boots		the									
icrabu	Refugee boots	a	the	Refugee boots		the									
icrabv	Refugee boots	a	the	Refugee boots		the									
icrabw	Refugee boots	a	the	Refugee boots		the									
icraga	Refugee gloves	a	the	Refugee gloves		the									
icrage	Refugee gloves	a	the	Refugee gloves		the									
icragg	Refugee gloves	a	the	Refugee gloves		the									
icragr	Refugee gloves	a	the	Refugee gloves		the									
icragt	Refugee gloves	a	the	Refugee gloves		the									
icragu	Refugee gloves	a	the	Refugee gloves		the									
icragv	Refugee gloves	a	the	Refugee gloves		the									
icragw	Refugee gloves	a	the	Refugee gloves		the									
icrapa	Refugee leggings	a	the	Refugee leggings		the									
icrape	Refugee leggings	a	the	Refugee leggings		the									
icrapg	Refugee leggings	a	the	Refugee leggings		the									
icrapr	Refugee leggings	a	the	Refugee leggings		the									
icrapt	Refugee leggings	a	the	Refugee leggings		the									
icrapu	Refugee leggings	a	the	Refugee leggings		the									
icrapv	Refugee leggings	a	the	Refugee leggings		the									
icrapw	Refugee leggings	a	the	Refugee leggings		the									
icrasa	Refugee forearm pads	a	the	Refugee armwear		the									
icrase	Refugee forearm pads	a	the	Refugee armwear		the									
icrasg	Refugee forearm pads	a	the	Refugee armwear		the									
icrasr	Refugee forearm pads	a	the	Refugee armwear		the									
icrast	Refugee forearm pads	a	the	Refugee armwear		the									
icrasu	Refugee forearm pads	a	the	Refugee armwear		the									
icrasv	Refugee forearm pads	a	the	Refugee armwear		the									
icrasw	Refugee forearm pads	a	the	Refugee armwear		the									
icrava	Refugee top	a	the	Refugee tops		the									
icrave	Refugee top	a	the	Refugee tops		the									
icravg	Refugee top	a	the	Refugee tops		the									
icravr	Refugee top	a	the	Refugee tops		the									
icravt	Refugee top	a	the	Refugee tops		the									
icravu	Refugee top	a	the	Refugee tops		the									
icravv	Refugee top	a	the	Refugee tops		the									
icravw	Refugee top	a	the	Refugee tops		the									
ictahb	Tryker Heavy Boots	a	the	Tryker Heavy Boots		the									
ictahg	Tryker Heavy Gloves	a	the	Tryker Heavy Gloves		the									
ictahh	Tryker Heavy Helmet	a	the	Tryker Heavy Helmet		the									
ictahp	Tryker Heavy Pants	a	the	Tryker Heavy Pants		the									
ictahs	Tryker Heavy Sleeves	a	the	Tryker Heavy Sleeves		the									
ictahv	Tryker Heavy Vest	a	the	Tryker Heavy Vests		the									
ictalb	Tryker Light Boots	a	the	Tryker Light Boots		the									
ictalg	Tryker Light Gloves	a	the	Tryker Light Gloves		the									
ictalp	Tryker Light Pants	a	the	Tryker Light Pants		the									
ictals	Tryker Light Sleeves	a	the	Tryker Light Sleeves		the									
ictalv	Tryker Light Vest	a	the	Tryker Light Vests		the									
ictamb	Tryker Medium Boots	a	the	Tryker Medium Boots		the									
ictamg	Tryker Medium Gloves	a	the	Tryker Medium Gloves		the									
ictamp	Tryker Medium Pants	a	the	Tryker Medium Pants		the									
ictams	Tryker Medium Sleeves	a	the	Tryker Medium Sleeves		the									
ictamv	Tryker Medium Vest	a	the	Tryker Medium Vests		the									
ictja	Tryker Anklet	a	the	Tryker Anklets		the									
ictjb	Tryker Bracelet	a	the	Tryker Bracelets		the									
ictjd	Tryker Diadem	a	the	Tryker Diadems		the									
ictje	Tryker Earring	a	the	Tryker Earrings		the									
ictjp	Tryker Pendant	a	the	Tryker Pendants		the									
ictjr	Tryker Ring	a	the	Tryker Rings		the									
ictm1bm	Tryker Mace	a	the	Tryker Maces		the									
ictm1bs	Tryker Staff	a	the	Tryker Staffs		the									
ictm1pd	Tryker Dagger	a	the	Tryker Daggers		the									
ictm1ps	Tryker Lance	a	the	Tryker Lances		the									
ictm1sa	Tryker Axe	a	the	Tryker Axes		the									
ictm1ss	Tryker Sword	a	the	Tryker Swords		the									
ictm2bm	Tryker Long Mace	a	the	Tryker Long Maces		the									
ictm2pp	Tryker Pike	a	the	Tryker Pikes		the									
ictm2sa	Tryker Long Axe	a	the	Tryker Long Axes		the									
ictm2ss	Tryker Long Sword	a	the	Tryker Long Swords		the									
ictp1bb	Tryker Bowpistol Blunting Ammo	a	the	Tryker Bowpistol Blunting Ammo		the									
ictp1bp	Tryker Bowpistol Piercing Ammo	a	the	Tryker Bowpistol Piercing Ammo		the									
ictp1bs	Tryker Bowpistol Slashing Ammo	a	the	Tryker Bowpistol Slashing Ammo		the									
ictp1gb	Tryker Grenade Blunting Ammo	a	the	Tryker Grenade Blunting Ammo		the									
ictp1gp	Tryker Grenade Piercing Ammo	a	the	Tryker Grenade Piercing Ammo		the									
ictp1gs	Tryker Grenade Slashing Ammo	a	the	Tryker Grenade Slashing Ammo		the									
ictp1hb	Tryker harpoon ammo - blunt	a	the	Tryker harpoon ammo - blunt		the									
ictp1hp	Tryker harpoon ammo - piercing	a	the	Tryker harpoon ammo - piercing		the									
ictp1hs	Tryker harpoon ammo - slashing	a	the	Tryker harpoon ammo - slashing		the									
ictp1pb	Tryker Pistol Blunting Ammo	a	the	Tryker Pistol Blunting Ammo		the									
ictp1pp	Tryker Pistol Piercing Ammo	a	the	Tryker Pistol Piercing Ammo		the									
ictp1ps	Tryker Pistol Slashing Ammo	a	the	Tryker Pistol Slashing Ammo		the									
ictp2ab	Tryker Autolauncher Blunting Ammo	a	the	Tryker Autolauncher Blunting Ammo		the									
ictp2ap	Tryker Autolauncher Piercing Ammo	a	the	Tryker Autolauncher Piercing Ammo		the									
ictp2as	Tryker Autolauncher Slashing Ammo	a	the	Tryker Autolauncher Slashing Ammo		the									
ictp2bb	Tryker Bowrifle Blunting Ammo	a	the	Tryker Bowrifle Blunting Ammo		the									
ictp2bp	Tryker Bowrifle Piercing Ammo	a	the	Tryker Bowrifle Piercing Ammo		the									
ictp2bs	Tryker Bowrifle Slashing Ammo	a	the	Tryker Bowrifle Slashing Ammo		the									
ictp2lb	Tryker Launcher Blunting Ammo	a	the	Tryker Launcher Blunting Ammo		the									
ictp2lp	Tryker Launcher Piercing Ammo	a	the	Tryker Launcher Piercing Ammo		the									
ictp2ls	Tryker Launcher Slashing Ammo	a	the	Tryker Launcher Slashing Ammo		the									
ictp2rb	Tryker Rifle Blunting Ammo	a	the	Tryker Rifle Blunting Ammo		the									
ictp2rp	Tryker Rifle Piercing Ammo	a	the	Tryker Rifle Piercing Ammo		the									
ictp2rs	Tryker Rifle Slashing Ammo	a	the	Tryker Rifle Slashing Ammo		the									
ictr1b	Tryker Bowpistol	a	the	Tryker Bowpistols		the									
ictr1p	Tryker Pistol	a	the	Tryker Pistols		the									
ictr2a	Tryker Autolauncher	a	the	Tryker Autolaunchers		the									
ictr2b	Tryker Bowrifle	a	the	Tryker Bowrifles		the									
ictr2h	Tryker harpoon	a	the	Tryker harpoons		the									
ictr2l	Tryker Launcher	a	the	Tryker Launchers		the									
ictr2r	Tryker Rifle	a	the	Tryker Rifles		the									
ictsb	Tryker Buckler	a	the	Tryker Bucklers		the									
ictss	Tryker Shield	a	the	Tryker Shields		the									
iczahb	Zoraï Heavy Boots	a	the	Zoraï Heavy Boots		the									
iczahg	Zoraï Heavy Gloves	a	the	Zoraï Heavy Gloves		the									
iczahh	Zoraï Heavy Helmet	a	the	Zoraï Heavy Helmet		the									
iczahp	Zoraï Heavy Pants	a	the	Zoraï Heavy Pants		the									
iczahs	Zoraï Heavy Sleeves	a	the	Zoraï Heavy Sleeves		the									
iczahv	Zoraï Heavy Vest	a	the	Zoraï Heavy Vests		the									
iczalb	Zoraï Light Boots	a	the	Zoraï Light Boots		the									
iczalg	Zoraï Light Gloves	a	the	Zoraï Light Gloves		the									
iczalp	Zoraï Light Pants	a	the	Zoraï Light Pants		the									
iczals	Zoraï Light Sleeves	a	the	Zoraï Light Sleeves		the									
iczalv	Zoraï Light Vest	a	the	Zoraï Light Vests		the									
iczamb	Zoraï Medium Boots	a	the	Zoraï Medium Boots		the									
iczamg	Zoraï Medium Gloves	a	the	Zoraï Medium Gloves		the									
iczamp	Zoraï Medium Pants	a	the	Zoraï Medium Pants		the									
iczams	Zoraï Medium Sleeves	a	the	Zoraï Medium Sleeves		the									
iczamv	Zoraï Medium Vest	a	the	Zoraï Medium Vests		the									
iczja	Zoraï Anklet	a	the	Zoraï Anklets		the									
iczjb	Zoraï Bracelet	a	the	Zoraï Bracelets		the									
iczjd	Zoraï Diadem	a	the	Zoraï Diadems		the									
iczje	Zoraï Earring	a	the	Zoraï Earrings		the									
iczjp	Zoraï Pendant	a	the	Zoraï Pendants		the									
iczjr	Zoraï Ring	a	the	Zoraï Rings		the									
iczm1bm	Zoraï Mace	a	the	Zoraï Maces		the									
iczm1bs	Zoraï Staff	a	the	Zoraï Staffs		the									
iczm1pd	Zoraï Dagger	a	the	Zoraï Daggers		the									
iczm1ps	Zoraï Lance	a	the	Zoraï Lances		the									
iczm1pse	Electric Lance	a	the	Electric Lances		the									
iczm1sa	Zoraï Axe	a	the	Zoraï Axes		the									
iczm1ss	Zoraï Sword	a	the	Zoraï Swords		the									
iczm2bm	Zoraï 2 hand mace	a	the	Zoraï 2 hand maces		the									
iczm2pp	Zoraï pike	a	the	Zoraï pikes		the									
iczm2sa	Zoraï Long Axe	a	the	Zoraï Long Axes		the									
iczm2ss	Zoraï Long Sword	a	the	Zoraï Long Swords		the									
iczp1bb	Zoraï Bowpistol Blunting Ammo	a	the	Zoraï Bowpistol Blunting Ammo		the									
iczp1bp	Zoraï Bowpistol Piercing Ammo	a	the	Zoraï Bowpistol Piercing Ammo		the									
iczp1bs	Zoraï Bowpistol Slashing Ammo	a	the	Zoraï Bowpistol Slashing Ammo		the									
iczp1gb	Zoraï Grenade Blunting Ammo	a	the	Zoraï Grenade Blunting Ammo		the									
iczp1gp	Zoraï Grenade Piercing Ammo	a	the	Zoraï Grenade Piercing Ammo		the									
iczp1gs	Zoraï Grenade Slashing Ammo	a	the	Zoraï Grenade Slashing Ammo		the									
iczp1pb	Zoraï Pistol Blunting Ammo	a	the	Zoraï Pistol Blunting Ammo		the									
iczp1pp	Zoraï Pistol Piercing Ammo	a	the	Zoraï Pistol Piercing Ammo		the									
iczp1ps	Zoraï Pistol Slashing Ammo	a	the	Zoraï Pistol Slashing Ammo		the									
iczp2ab	Zoraï Autolauncher Blunting Ammo	a	the	Zoraï Autolauncher Blunting Ammo		the									
iczp2ap	Zoraï Autolauncher Piercing Ammo	a	the	Zoraï Autolauncher Piercing Ammo		the									
iczp2as	Zoraï Autolauncher Slashing Ammo	a	the	Zoraï Autolauncher Slashing Ammo		the									
iczp2bb	Zoraï Bowrifle Blunting Ammo	a	the	Zoraï Bowrifle Blunting Ammo		the									
iczp2bp	Zoraï Bowrifle Piercing Ammo	a	the	Zoraï Bowrifle Piercing Ammo		the									
iczp2bs	Zoraï Bowrifle Slashing Ammo	a	the	Zoraï Bowrifle Slashing Ammo		the									
iczp2lb	Zoraï Launcher Blunting Ammo	a	the	Zoraï Launcher Blunting Ammo		the									
iczp2lp	Zoraï Launcher Piercing Ammo	a	the	Zoraï Launcher Piercing Ammo		the									
iczp2ls	Zoraï Launcher Slashing Ammo	a	the	Zoraï Launcher Slashing Ammo		the									
iczp2rb	Zoraï Rifle Blunting Ammo	a	the	Zoraï Rifle Blunting Ammo		the									
iczp2rp	Zoraï Rifle Piercing Ammo	a	the	Zoraï Rifle Piercing Ammo		the									
iczp2rs	Zoraï Rifle Slashing Ammo	a	the	Zoraï Rifle Slashing Ammo		the									
iczr1b	Zoraï Bowpistol	a	the	Zoraï Bowpistols		the									
iczr1p	Zoraï Pistol	a	the	Zoraï Pistols		the									
iczr2a	Zoraï Autolauncher	a	the	Zoraï Autolaunchers		the									
iczr2b	Zoraï Bowrifle	a	the	Zoraï Bowrifles		the									
iczr2l	Zoraï Launcher	a	the	Zoraï Launchers		the									
iczr2r	Zoraï Rifle	a	the	Zoraï Rifles		the									
iczsb	Zoraï Buckler	a	the	Zoraï Bucklers		the									
iczss	Zoraï Shield	a	the	Zoraï Shields		the									
itammo	Crafting tool for ammo	a	the	Crafting tools for ammo		the									
itarmor	Crafting tool for armor	a	the	Crafting tools for armor		the									
item_sap_recharge	Sap Recharge	a	the	Sap Recharge		the									
itforage	Foraging tool	a	the	Foraging tools		the									
itjewel	Crafting tool for jewelry	a	the	Crafting tools for jewelry		the									
itmwea	Crafting tool for melee weapons	a	the	Crafting tools for melee weapons		the									
itrwea	Crafting tool for range weapons	a	the	Crafting tools for range weapons		the									
ka_cheveux_medium01	Kami medium hair	a	the	Kami medium hair		the									
kami_vial	Kami's vial	a	the	Kami's vials		the									
large_brazier	Large brazier	a	the	Large braziers		the									
large_kamic_sphere	Large kamic sphere	a	the	Large kamic spheres		the									
large_purse	Large purse	a	the	Large purses		the									
light_armor_acreditation	Light armor acreditation	a	the	Light armor acreditations		the									
light_package	Light package	a	the	Light packages		the									
list_of_merchandises	List of merchandises	a	the	Lists of merchandises		the									
ma_armor01_armpad	Matis armor sleeves	a	the	Matis armor sleeves		the									
ma_armor01_bottes	Matis armor boots	a	the	Matis armor boots		the									
ma_armor01_gilet	Matis armor vest	a	the	Matis armor vests		the									
ma_armor01_hand	Matis armor gloves	a	the	Matis armor gloves		the									
ma_armor01_pantabotte	Matis armor pants	a	the	Matis armor pants		the									
ma_cheveux_long01	Matis long hair	a	the	Matis long hair		the									
ma_cheveux_medium01	Matis medium hair	a	the	Matis medium hair		the									
ma_cheveux_shave_01	Matis shaved hair	a	the	Matis shaved hair		the									
ma_cheveux_shave01	Matis shaved hair	a	the	Matis shaved hair		the									
ma_cheveux_short01	Matis short hair	a	the	Matis short hair		the									
ma_cheveux01	Matis hair	a	the	Matis hair		the									
ma_cheveux02	Matis hair	a	the	Matis hair		the									
ma_civil01_armpad	Matis sleeves	a	the	Matis sleeves		the									
